tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Ayder yaylası - Rize_temp,Ayder yaylası - Rize_prcp,Ayder yaylası - Rize_snow,Ayder yaylası - Rize_rain,Ayder yaylası - Rize_wspd,Ayder yaylası - Rize_rhum
2024.01.01 - 2024.01.07,0.0,0.0,,2380.95,0.67,0.0,0.0,0.0,12.57,56.87
2024.01.08 - 2024.01.14,0.0,0.0,,2380.95,2.03,77.18,55.94,21.24,16.38,68.0
2024.01.15 - 2024.01.21,0.0,0.0,,2380.95,-2.79,92.64,92.64,0.0,12.51,82.66
2024.01.22 - 2024.01.28,0.0,0.0,,2380.95,1.2,69.73,69.59,0.14,16.11,73.74
2024.01.29 - 2024.02.04,0.0,0.0,,2380.95,-3.43,44.09,44.09,0.0,10.84,78.77
2024.02.05 - 2024.02.11,0.0,0.0,,2380.95,-2.63,14.52,14.52,0.0,11.28,67.33
2024.02.12 - 2024.02.18,0.0,0.0,,2380.95,4.31,71.96,37.34,34.62,16.81,62.6
2024.02.19 - 2024.02.25,0.0,0.0,,2380.95,2.47,38.1,36.28,1.82,10.59,80.56
2024.02.26 - 2024.03.03,0.0,0.0,,2380.95,1.03,8.54,8.54,0.0,9.86,68.99
2024.03.04 - 2024.03.10,0.0,0.0,,2380.95,1.91,0.5,0.0,0.5,9.62,55.64
2024.03.11 - 2024.03.17,0.0,0.0,,2380.95,1.29,46.26,43.29,2.97,11.0,78.15
2024.03.18 - 2024.03.24,0.0,0.0,,2380.95,3.35,27.61,23.42,4.19,10.69,72.07
2024.03.25 - 2024.03.31,0.0,0.0,,2380.95,0.91,38.72,38.6,0.12,10.53,79.84
2024.04.01 - 2024.04.07,0.0,0.0,,2380.95,5.59,13.52,12.77,0.75,13.61,61.17
2024.04.08 - 2024.04.14,0.0,0.0,,2380.95,6.27,7.41,0.0,7.41,10.66,69.15
2024.04.15 - 2024.04.21,0.0,0.0,,2380.95,5.13,4.97,0.0,4.97,8.07,82.28
2024.04.22 - 2024.04.28,0.0,0.0,,2380.95,11.71,0.38,0.0,0.38,11.56,62.33
2024.04.29 - 2024.05.05,0.0,0.0,,2380.95,12.37,2.31,0.0,2.31,10.7,66.15
2024.05.06 - 2024.05.12,0.0,0.0,,2380.95,6.75,63.15,0.0,63.15,9.07,87.19
2024.05.13 - 2024.05.19,0.0,0.0,,2380.95,7.68,17.49,0.0,17.49,11.21,74.95
2024.05.20 - 2024.05.26,0.0,0.0,,2380.95,6.31,21.12,0.0,21.12,9.58,78.05
2024.05.27 - 2024.06.02,0.0,0.0,,2380.95,10.59,11.01,0.0,11.01,8.66,77.88
2024.06.03 - 2024.06.09,0.0,0.0,,2380.95,12.66,13.82,0.0,13.82,9.26,77.4
2024.06.10 - 2024.06.16,0.0,0.0,,2380.95,15.11,14.65,0.0,14.65,8.69,75.92
2024.06.17 - 2024.06.23,0.0,0.0,,2380.95,16.48,7.37,0.0,7.37,10.2,70.6
2024.06.24 - 2024.06.30,0.0,0.0,,2380.95,15.92,5.49,0.0,5.49,8.36,81.88
2024.07.01 - 2024.07.07,0.0,0.0,,2380.95,14.7,37.06,0.0,37.06,10.94,77.65
2024.07.08 - 2024.07.14,0.0,0.0,,2380.95,17.01,10.85,0.0,10.85,10.58,80.29
