tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Borçka Karagöl Tabiat Parkı - Artvin_temp,Borçka Karagöl Tabiat Parkı - Artvin_prcp,Borçka Karagöl Tabiat Parkı - Artvin_snow,Borçka Karagöl Tabiat Parkı - Artvin_rain,Borçka Karagöl Tabiat Parkı - Artvin_wspd,Borçka Karagöl Tabiat Parkı - Artvin_rhum
2022.01.03 - 2022.01.09,0.0,0.0,,95.47,-4.02,56.44,56.44,0.0,11.07,77.63
2022.01.10 - 2022.01.16,190.0,2.0,5.0,95.47,-1.12,17.74,17.74,0.0,14.24,57.73
2022.01.17 - 2022.01.23,0.0,0.0,,95.47,-5.35,87.26,87.26,0.0,11.32,76.75
2022.01.24 - 2022.01.30,190.0,2.0,4.5,95.47,-6.5,60.3,60.3,0.0,12.85,68.09
2022.01.31 - 2022.02.06,190.0,2.0,5.0,95.47,-5.75,26.95,26.95,0.0,10.24,69.43
2022.02.07 - 2022.02.13,0.0,0.0,,95.47,-2.96,40.19,40.19,0.0,12.93,68.28
2022.02.14 - 2022.02.20,285.0,3.0,5.0,95.47,-2.54,21.07,21.07,0.0,11.43,69.1
2022.02.21 - 2022.02.27,0.0,0.0,,95.47,-2.02,1.87,1.87,0.0,6.83,68.83
2022.02.28 - 2022.03.06,95.0,1.0,5.0,95.47,2.55,16.58,14.77,1.81,10.92,68.44
2022.03.07 - 2022.03.13,95.0,1.0,5.0,95.47,-1.94,56.05,56.05,0.0,11.07,75.67
2022.03.14 - 2022.03.20,95.0,1.0,5.0,95.47,-6.21,57.75,57.75,0.0,9.58,82.15
2022.03.21 - 2022.03.27,95.0,1.0,3.0,95.47,-7.92,52.91,52.91,0.0,7.9,84.97
2022.03.28 - 2022.04.03,190.0,2.0,5.0,95.47,-3.9,19.21,19.21,0.0,8.07,80.88
2022.04.04 - 2022.04.10,95.0,1.0,5.0,95.47,6.72,0.77,0.0,0.77,13.24,50.03
2022.04.11 - 2022.04.17,190.0,2.0,5.0,95.47,5.39,27.23,1.28,25.95,11.14,66.56
2022.04.18 - 2022.04.24,95.0,1.0,5.0,95.47,2.78,35.3,35.3,0.0,10.92,68.58
2022.04.25 - 2022.05.01,95.0,1.0,4.0,95.47,6.55,5.06,3.84,1.22,7.75,71.36
2022.05.02 - 2022.05.08,477.0,5.0,4.83,95.47,5.92,22.15,0.0,22.15,7.03,78.72
