tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Elevit Yaylası - Rize_temp,Elevit Yaylası - Rize_prcp,Elevit Yaylası - Rize_snow,Elevit Yaylası - Rize_rain,Elevit Yaylası - Rize_wspd,Elevit Yaylası - Rize_rhum
2024.01.01 - 2024.01.07,0.0,0.0,,169.17,-3.36,0.0,0.0,0.0,12.32,57.41
2024.01.08 - 2024.01.14,169.0,1.0,5.0,169.17,-2.0,74.5,74.5,0.0,16.23,68.08
2024.01.15 - 2024.01.21,169.0,1.0,5.0,169.17,-6.89,96.61,96.61,0.0,12.62,82.67
2024.01.22 - 2024.01.28,0.0,0.0,,169.17,-2.86,73.94,73.94,0.0,16.1,73.82
2024.01.29 - 2024.02.04,0.0,0.0,,169.17,-7.49,46.02,46.02,0.0,11.04,78.8
2024.02.05 - 2024.02.11,0.0,0.0,,169.17,-6.62,14.38,14.38,0.0,11.23,67.48
2024.02.12 - 2024.02.18,0.0,0.0,,169.17,0.27,66.17,66.17,0.0,16.65,62.52
2024.02.19 - 2024.02.25,0.0,0.0,,169.17,-1.68,41.34,41.34,0.0,10.65,80.91
2024.02.26 - 2024.03.03,0.0,0.0,,169.17,-3.11,9.13,9.13,0.0,9.84,69.3
2024.03.04 - 2024.03.10,0.0,0.0,,169.17,-2.29,0.45,0.45,0.0,9.5,56.46
2024.03.11 - 2024.03.17,169.0,1.0,5.0,169.17,-2.82,48.33,48.33,0.0,11.19,78.29
2024.03.18 - 2024.03.24,0.0,0.0,,169.17,-0.81,27.84,27.84,0.0,10.69,72.67
2024.03.25 - 2024.03.31,0.0,0.0,,169.17,-3.2,39.17,39.17,0.0,10.72,79.95
2024.04.01 - 2024.04.07,338.0,2.0,3.0,169.17,1.33,13.32,12.63,0.69,13.57,61.78
2024.04.08 - 2024.04.14,169.0,1.0,5.0,169.17,2.08,6.85,6.79,0.06,10.66,69.69
2024.04.15 - 2024.04.21,845.0,5.0,5.0,169.17,0.97,5.17,5.17,0.0,8.16,82.61
2024.04.22 - 2024.04.28,169.0,1.0,5.0,169.17,7.4,0.42,0.0,0.42,11.58,63.34
2024.04.29 - 2024.05.05,507.0,3.0,5.0,169.17,8.02,2.62,0.0,2.62,10.74,67.3
2024.05.06 - 2024.05.12,0.0,0.0,,169.17,2.54,63.5,38.69,24.81,9.28,87.48
2024.05.13 - 2024.05.19,338.0,2.0,4.5,169.17,3.5,17.81,7.73,10.08,11.28,75.22
2024.05.20 - 2024.05.26,338.0,2.0,5.0,169.17,2.23,21.44,9.88,11.56,9.67,78.47
2024.05.27 - 2024.06.02,169.0,1.0,5.0,169.17,6.42,10.43,0.0,10.43,8.62,78.33
2024.06.03 - 2024.06.09,676.0,4.0,5.0,169.17,8.49,14.4,0.0,14.4,9.26,78.01
2024.06.10 - 2024.06.16,845.0,5.0,5.0,169.17,10.97,15.21,0.0,15.21,8.74,76.25
2024.06.17 - 2024.06.23,845.0,5.0,5.0,169.17,12.34,7.73,0.0,7.73,10.2,70.99
2024.06.24 - 2024.06.30,3722.0,22.0,4.26,169.17,11.85,5.47,0.0,5.47,8.41,82.08
2024.07.01 - 2024.07.07,2708.0,16.0,4.76,169.17,10.68,35.58,0.0,35.58,11.06,77.85
2024.07.08 - 2024.07.14,2030.0,12.0,4.82,169.17,12.83,10.92,0.0,10.92,10.68,80.58
2024.07.15 - 2024.07.21,1183.0,7.0,4.9,169.17,12.69,20.3,0.0,20.3,8.38,82.6
2024.07.22 - 2024.07.28,1183.0,7.0,4.33,169.17,13.64,42.79,0.0,42.79,9.07,82.58
2024.07.29 - 2024.08.04,3723.0,22.0,4.42,169.17,12.93,19.36,0.0,19.36,10.43,79.72
2024.08.05 - 2024.08.11,3214.0,19.0,4.71,169.17,12.51,18.39,0.0,18.39,9.46,79.55
2024.08.12 - 2024.08.18,2875.0,17.0,5.0,169.17,12.62,12.09,0.0,12.09,9.59,79.45
2024.08.19 - 2024.08.25,4907.0,29.0,4.63,169.17,11.34,0.66,0.0,0.66,10.1,74.64
2024.08.26 - 2024.09.01,4907.0,29.0,4.54,169.17,12.97,38.77,0.0,38.77,9.55,81.63
2024.09.02 - 2024.09.08,1014.0,6.0,4.2,169.17,3.46,9.28,6.7,2.58,12.7,84.9
2024.09.09 - 2024.09.15,2707.0,16.0,4.71,169.17,9.68,23.32,0.0,23.32,9.72,83.55
2024.09.16 - 2024.09.22,1184.0,7.0,4.83,169.17,13.25,22.4,0.0,22.4,10.02,78.07
2024.09.23 - 2024.09.29,338.0,2.0,5.0,169.17,8.73,89.25,0.0,89.25,9.84,83.1
2024.09.30 - 2024.10.06,338.0,2.0,5.0,169.17,9.93,9.62,0.0,9.62,10.05,76.3
2024.10.07 - 2024.10.13,507.0,3.0,4.75,169.17,7.58,75.62,0.0,75.62,11.88,71.33
2024.10.14 - 2024.10.20,676.0,4.0,4.17,169.17,7.86,66.3,0.0,66.3,11.02,80.33
2024.10.21 - 2024.10.27,338.0,2.0,5.0,169.17,0.98,133.35,89.65,43.7,17.38,85.54
2024.10.28 - 2024.11.03,338.0,2.0,4.0,169.17,0.15,103.19,103.19,0.0,12.65,80.76
2024.11.04 - 2024.11.10,169.0,1.0,5.0,169.17,0.1,16.52,16.52,0.0,11.58,74.51
2024.11.11 - 2024.11.17,0.0,0.0,,169.17,-2.6,71.67,71.67,0.0,12.37,73.67
2024.11.18 - 2024.11.24,676.0,4.0,4.75,169.17,-0.67,55.53,55.53,0.0,10.86,74.65
2024.11.25 - 2024.12.01,338.0,2.0,4.5,169.17,-0.55,91.21,91.21,0.0,16.34,75.62
2024.12.02 - 2024.12.08,0.0,0.0,,169.17,-6.21,75.99,75.99,0.0,13.82,75.83
2024.12.09 - 2024.12.15,169.0,1.0,5.0,169.17,-3.56,0.07,0.07,0.0,13.53,63.97
2024.12.16 - 2024.12.22,0.0,0.0,,169.17,-5.01,46.63,46.63,0.0,18.11,74.75
2024.12.23 - 2024.12.29,0.0,0.0,,169.17,-4.56,49.0,49.0,0.0,14.95,71.63
2024.12.30 - 2025.01.05,0.0,0.0,,169.17,-2.95,45.85,45.85,0.0,13.73,74.75
2025.01.06 - 2025.01.12,97.0,1.0,5.0,107.25,-5.77,33.02,33.02,0.0,11.27,72.06
