tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2024.01.01 - 2024.01.07,258.0,1.0,5.0,257.61,9.29,0.0,0.0,0.0,11.89,75.53
2024.01.08 - 2024.01.14,773.0,3.0,5.0,257.61,9.64,19.07,0.0,19.07,14.0,69.75
2024.01.15 - 2024.01.21,0.0,0.0,,257.61,2.17,19.71,11.9,7.81,16.02,73.47
2024.01.22 - 2024.01.28,0.0,0.0,,257.61,6.83,34.51,3.11,31.4,14.84,73.61
2024.01.29 - 2024.02.04,1031.0,4.0,5.0,257.61,2.38,48.73,29.99,18.74,13.91,77.73
2024.02.05 - 2024.02.11,258.0,1.0,4.0,257.61,3.95,9.54,3.92,5.62,12.94,75.09
2024.02.12 - 2024.02.18,258.0,1.0,5.0,257.61,10.97,0.77,0.0,0.77,12.96,60.38
2024.02.19 - 2024.02.25,1031.0,4.0,4.67,257.61,6.56,16.86,0.0,16.86,16.11,83.28
2024.02.26 - 2024.03.03,258.0,1.0,5.0,257.61,6.2,3.21,0.0,3.21,14.36,79.77
2024.03.04 - 2024.03.10,1545.0,6.0,5.0,257.61,6.29,0.12,0.0,0.12,12.93,85.94
2024.03.11 - 2024.03.17,773.0,3.0,4.0,257.61,5.72,16.13,0.0,16.13,15.29,81.98
2024.03.18 - 2024.03.24,774.0,3.0,4.0,257.61,7.09,11.1,0.0,11.1,12.17,84.83
2024.03.25 - 2024.03.31,1032.0,4.0,3.5,257.61,5.31,41.36,0.0,41.36,15.61,81.44
2024.04.01 - 2024.04.07,258.0,1.0,5.0,257.61,10.83,4.74,0.0,4.74,16.99,69.82
2024.04.08 - 2024.04.14,773.0,3.0,5.0,257.61,10.4,3.09,0.0,3.09,14.03,73.09
2024.04.15 - 2024.04.21,8760.0,34.0,4.55,257.61,10.7,0.0,0.0,0.0,14.69,80.23
2024.04.22 - 2024.04.28,4894.0,19.0,4.58,257.61,14.12,6.13,0.0,6.13,16.16,68.44
2024.04.29 - 2024.05.05,2833.0,11.0,4.95,257.61,13.41,6.03,0.0,6.03,15.33,77.66
2024.05.06 - 2024.05.12,2835.0,11.0,4.67,257.61,10.47,48.42,0.0,48.42,13.85,85.7
2024.05.13 - 2024.05.19,1032.0,4.0,4.75,257.61,12.03,4.79,0.0,4.79,13.78,77.04
2024.05.20 - 2024.05.26,1546.0,6.0,4.62,257.61,11.58,1.29,0.0,1.29,14.7,75.74
2024.05.27 - 2024.06.02,2577.0,10.0,4.8,257.61,14.1,0.96,0.0,0.96,15.81,81.96
2024.06.03 - 2024.06.09,2062.0,8.0,4.27,257.61,16.87,3.95,0.0,3.95,11.71,79.25
2024.06.10 - 2024.06.16,1289.0,5.0,4.67,257.61,20.12,0.0,0.0,0.0,12.4,75.13
2024.06.17 - 2024.06.23,3606.0,14.0,4.5,257.61,21.05,0.25,0.0,0.25,15.09,75.08
2024.06.24 - 2024.06.30,13395.0,52.0,4.2,257.61,20.64,0.6,0.0,0.6,12.19,74.63
