tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Gölcük Tabiat Parkı - Bolu_temp,Gölcük Tabiat Parkı - Bolu_prcp,Gölcük Tabiat Parkı - Bolu_snow,Gölcük Tabiat Parkı - Bolu_rain,Gölcük Tabiat Parkı - Bolu_wspd,Gölcük Tabiat Parkı - Bolu_rhum
2024.01.01 - 2024.01.07,1310.0,5.0,4.8,261.99,5.41,0.0,0.0,0.0,2.08,74.19
2024.01.08 - 2024.01.14,3668.0,14.0,4.93,261.99,5.5,28.74,0.0,28.74,3.94,72.92
2024.01.15 - 2024.01.21,5764.0,22.0,4.74,261.99,-2.85,23.86,23.86,0.0,3.36,79.36
2024.01.22 - 2024.01.28,3668.0,14.0,4.63,261.99,2.6,16.2,12.63,3.57,3.9,77.99
2024.01.29 - 2024.02.04,5240.0,20.0,4.9,261.99,-3.3,23.62,23.62,0.0,3.42,85.41
2024.02.05 - 2024.02.11,12838.0,49.0,4.88,261.99,-1.19,1.94,0.35,1.59,3.43,75.2
2024.02.12 - 2024.02.18,11528.0,44.0,4.86,261.99,7.88,0.02,0.0,0.02,3.35,58.94
2024.02.19 - 2024.02.25,8646.0,33.0,5.0,261.99,2.28,15.63,7.83,7.8,2.86,80.25
2024.02.26 - 2024.03.03,10480.0,40.0,4.8,261.99,3.77,0.03,0.03,0.0,2.0,66.49
2024.03.04 - 2024.03.10,6288.0,24.0,4.55,261.99,6.93,0.33,0.0,0.33,2.43,68.46
2024.03.11 - 2024.03.17,6812.0,26.0,4.91,261.99,3.41,12.89,5.39,7.5,2.74,77.25
2024.03.18 - 2024.03.24,5764.0,22.0,4.74,261.99,5.24,5.28,0.0,5.28,1.95,71.11
2024.03.25 - 2024.03.31,1310.0,5.0,5.0,261.99,2.12,28.47,12.3,16.17,1.93,71.76
2024.04.01 - 2024.04.07,2620.0,10.0,4.94,261.99,10.24,4.31,0.0,4.31,2.5,58.77
2024.04.08 - 2024.04.14,3930.0,15.0,4.81,261.99,10.76,0.02,0.0,0.02,4.06,53.47
2024.04.15 - 2024.04.21,18078.0,69.0,4.76,261.99,11.45,0.0,0.0,0.0,3.71,69.01
2024.04.22 - 2024.04.28,9432.0,36.0,4.67,261.99,14.36,8.7,0.0,8.7,5.26,55.18
2024.04.29 - 2024.05.05,5764.0,22.0,5.0,261.99,14.66,12.89,0.0,12.89,4.28,63.13
2024.05.06 - 2024.05.12,5764.0,22.0,4.96,261.99,9.45,26.16,0.0,26.16,3.9,78.0
2024.05.13 - 2024.05.19,6288.0,24.0,4.94,261.99,10.55,8.99,0.0,8.99,3.71,70.62
2024.05.20 - 2024.05.26,4454.0,17.0,5.0,261.99,12.08,3.87,0.0,3.87,4.21,68.65
2024.05.27 - 2024.06.02,4716.0,18.0,4.67,261.99,14.2,42.95,0.0,42.95,3.99,71.9
2024.06.03 - 2024.06.09,3406.0,13.0,4.9,261.99,17.07,4.22,0.0,4.22,2.91,66.21
2024.06.10 - 2024.06.16,6812.0,26.0,4.54,261.99,20.5,6.9,0.0,6.9,3.31,63.01
2024.06.17 - 2024.06.23,4978.0,19.0,4.76,261.99,22.06,1.01,0.0,1.01,4.99,58.22
2024.06.24 - 2024.06.30,17292.0,66.0,4.75,261.99,21.75,0.0,0.0,0.0,4.52,61.5
2024.07.01 - 2024.07.07,11004.0,42.0,4.82,261.99,20.87,0.0,0.0,0.0,5.34,59.43
2024.07.08 - 2024.07.14,11528.0,44.0,4.47,261.99,21.41,9.0,0.0,9.0,4.63,62.4
2024.07.15 - 2024.07.21,12838.0,49.0,4.87,261.99,21.4,10.98,0.0,10.98,4.67,67.06
