tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Güzeldere selalesi Tabiat Parkı - Düzce_temp,Güzeldere selalesi Tabiat Parkı - Düzce_prcp,Güzeldere selalesi Tabiat Parkı - Düzce_snow,Güzeldere selalesi Tabiat Parkı - Düzce_rain,Güzeldere selalesi Tabiat Parkı - Düzce_wspd,Güzeldere selalesi Tabiat Parkı - Düzce_rhum
2022.01.03 - 2022.01.09,699.0,3.0,4.0,233.1,4.65,7.53,0.0,7.53,3.89,87.76
2022.01.10 - 2022.01.16,932.0,4.0,4.67,233.1,7.65,3.22,0.0,3.22,3.68,79.79
2022.01.17 - 2022.01.23,932.0,4.0,5.0,233.1,0.02,42.82,40.85,1.97,6.19,81.63
2022.01.24 - 2022.01.30,699.0,3.0,4.33,233.1,-2.3,58.89,58.89,0.0,6.09,83.02
2022.01.31 - 2022.02.06,699.0,3.0,4.5,233.1,-1.5,5.94,5.09,0.85,4.29,80.64
2022.02.07 - 2022.02.13,932.0,4.0,5.0,233.1,2.63,21.14,12.33,8.81,5.32,75.75
2022.02.14 - 2022.02.20,0.0,0.0,,233.1,3.12,44.02,27.11,16.91,5.25,82.01
2022.02.21 - 2022.02.27,0.0,0.0,,233.1,5.6,12.14,0.0,12.14,3.48,73.01
2022.02.28 - 2022.03.06,466.0,2.0,5.0,233.1,4.97,54.05,0.0,54.05,5.54,85.41
2022.03.07 - 2022.03.13,0.0,0.0,,233.1,2.25,19.46,8.48,10.98,5.54,80.54
2022.03.14 - 2022.03.20,0.0,0.0,,233.1,-1.99,29.38,22.97,6.41,6.07,80.03
2022.03.21 - 2022.03.27,0.0,0.0,,233.1,-1.36,19.51,19.51,0.0,5.3,78.92
2022.03.28 - 2022.04.03,233.0,1.0,4.0,233.1,3.29,5.91,5.14,0.77,5.17,74.64
2022.04.04 - 2022.04.10,1165.0,5.0,4.5,233.1,12.75,1.7,0.0,1.7,6.53,54.02
2022.04.11 - 2022.04.17,233.0,1.0,5.0,233.1,10.32,26.69,0.0,26.69,5.7,73.77
2022.04.18 - 2022.04.24,932.0,4.0,4.67,233.1,7.8,11.26,0.0,11.26,5.05,70.14
2022.04.25 - 2022.05.01,699.0,3.0,5.0,233.1,12.24,3.78,0.0,3.78,4.58,69.91
2022.05.02 - 2022.05.08,932.0,4.0,5.0,233.1,12.29,9.66,0.0,9.66,5.51,76.56
