tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2024.01.01 - 2024.01.07,0.0,0.0,,160.0,7.63,0.0,0.0,0.0,8.57,78.11
2024.01.08 - 2024.01.14,320.0,2.0,5.0,160.0,8.34,33.56,0.0,33.56,12.53,72.68
2024.01.15 - 2024.01.21,320.0,2.0,5.0,160.0,0.94,17.9,13.12,4.78,12.34,78.13
2024.01.22 - 2024.01.28,320.0,2.0,4.0,160.0,5.22,19.53,12.87,6.66,12.58,79.27
2024.01.29 - 2024.02.04,480.0,3.0,5.0,160.0,0.5,29.08,21.86,7.22,11.35,81.95
2024.02.05 - 2024.02.11,160.0,1.0,5.0,160.0,2.45,6.57,2.9,3.67,12.1,77.01
2024.02.12 - 2024.02.18,320.0,2.0,5.0,160.0,11.5,0.58,0.0,0.58,13.19,58.52
2024.02.19 - 2024.02.25,640.0,4.0,4.5,160.0,5.81,20.32,0.0,20.32,9.6,86.67
2024.02.26 - 2024.03.03,480.0,3.0,4.5,160.0,6.79,3.17,0.0,3.17,7.54,74.05
2024.03.04 - 2024.03.10,320.0,2.0,3.0,160.0,7.77,0.81,0.0,0.81,6.71,81.13
2024.03.11 - 2024.03.17,960.0,6.0,4.83,160.0,5.29,37.31,0.0,37.31,9.16,83.96
2024.03.18 - 2024.03.24,320.0,2.0,5.0,160.0,7.35,22.27,0.0,22.27,7.64,82.45
2024.03.25 - 2024.03.31,320.0,2.0,5.0,160.0,4.83,36.45,8.66,27.79,11.49,80.88
2024.04.01 - 2024.04.07,0.0,0.0,,160.0,12.01,4.11,0.0,4.11,11.47,63.25
2024.04.08 - 2024.04.14,1120.0,7.0,5.0,160.0,11.7,1.97,0.0,1.97,10.72,65.43
2024.04.15 - 2024.04.21,9600.0,60.0,4.98,160.0,12.48,0.0,0.0,0.0,10.46,76.95
2024.04.22 - 2024.04.28,4160.0,26.0,4.83,160.0,15.31,4.23,0.0,4.23,12.97,62.75
2024.04.29 - 2024.05.05,3520.0,22.0,4.95,160.0,15.31,6.97,0.0,6.97,9.49,74.39
2024.05.06 - 2024.05.12,1920.0,12.0,4.88,160.0,10.64,33.19,0.0,33.19,8.77,87.05
2024.05.13 - 2024.05.19,1920.0,12.0,4.43,160.0,12.36,10.92,0.0,10.92,9.72,75.07
2024.05.20 - 2024.05.26,1920.0,12.0,5.0,160.0,12.07,3.79,0.0,3.79,8.75,78.67
2024.05.27 - 2024.06.02,2240.0,14.0,4.67,160.0,14.95,7.49,0.0,7.49,9.19,79.94
2024.06.03 - 2024.06.09,1760.0,11.0,5.0,160.0,18.44,6.27,0.0,6.27,8.07,73.33
2024.06.10 - 2024.06.16,2720.0,17.0,4.56,160.0,21.51,0.83,0.0,0.83,8.53,70.32
2024.06.17 - 2024.06.23,2720.0,17.0,4.64,160.0,21.79,4.81,0.0,4.81,10.58,67.85
2024.06.24 - 2024.06.30,11040.0,69.0,4.64,160.0,21.33,0.0,0.0,0.0,8.73,68.95
2024.07.01 - 2024.07.07,7360.0,46.0,4.95,160.0,20.34,0.34,0.0,0.34,10.69,69.62
2024.07.08 - 2024.07.14,6400.0,40.0,4.84,160.0,21.38,7.75,0.0,7.75,10.75,72.73
2024.07.15 - 2024.07.21,7200.0,45.0,4.85,160.0,22.71,13.81,0.0,13.81,10.58,75.44
2024.07.22 - 2024.07.28,9440.0,59.0,4.53,160.0,24.67,3.14,0.0,3.14,10.82,72.15
2024.07.29 - 2024.08.04,8800.0,55.0,4.97,160.0,22.25,43.35,0.0,43.35,10.68,74.99
2024.08.05 - 2024.08.11,7680.0,48.0,4.9,160.0,22.09,2.42,0.0,2.42,10.33,71.3
2024.08.12 - 2024.08.18,11840.0,74.0,4.93,160.0,22.54,1.06,0.0,1.06,9.88,72.85
2024.08.19 - 2024.08.25,8160.0,51.0,4.74,160.0,21.19,0.0,0.0,0.0,9.51,66.83
