tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Hıdırnebi yaylası - Trabzon_temp,Hıdırnebi yaylası - Trabzon_prcp,Hıdırnebi yaylası - Trabzon_snow,Hıdırnebi yaylası - Trabzon_rain,Hıdırnebi yaylası - Trabzon_wspd,Hıdırnebi yaylası - Trabzon_rhum
2024.01.01 - 2024.01.07,932.0,3.0,4.67,310.56,2.05,0.0,0.0,0.0,8.39,66.76
2024.01.08 - 2024.01.14,1554.0,5.0,4.5,310.56,3.75,33.66,2.3,31.36,12.38,68.41
2024.01.15 - 2024.01.21,933.0,3.0,5.0,310.56,-1.8,41.86,25.52,16.34,11.5,78.88
2024.01.22 - 2024.01.28,311.0,1.0,5.0,310.56,2.49,24.25,22.3,1.95,16.38,69.56
2024.01.29 - 2024.02.04,621.0,2.0,5.0,310.56,-3.9,19.29,19.29,0.0,10.41,73.43
2024.02.05 - 2024.02.11,0.0,0.0,,310.56,-1.52,1.95,1.95,0.0,9.01,66.31
2024.02.12 - 2024.02.18,622.0,2.0,5.0,310.56,6.04,8.46,0.0,8.46,13.48,57.38
2024.02.19 - 2024.02.25,933.0,3.0,3.67,310.56,3.21,11.88,8.41,3.47,10.72,77.48
2024.02.26 - 2024.03.03,622.0,2.0,4.5,310.56,0.82,11.58,11.58,0.0,8.7,72.23
2024.03.04 - 2024.03.10,933.0,3.0,4.33,310.56,2.17,0.36,0.0,0.36,8.35,66.99
2024.03.11 - 2024.03.17,1554.0,5.0,4.75,310.56,1.53,20.16,15.49,4.67,9.48,77.15
2024.03.18 - 2024.03.24,622.0,2.0,5.0,310.56,3.38,24.51,0.0,24.51,10.18,76.96
2024.03.25 - 2024.03.31,0.0,0.0,,310.56,0.88,26.75,26.75,0.0,10.12,78.33
2024.04.01 - 2024.04.07,621.0,2.0,5.0,310.56,4.6,14.63,12.7,1.93,11.09,67.71
2024.04.08 - 2024.04.14,1865.0,6.0,4.75,310.56,5.59,10.41,0.0,10.41,9.51,72.35
2024.04.15 - 2024.04.21,311.0,1.0,5.0,310.56,5.11,6.39,0.0,6.39,8.2,84.21
2024.04.22 - 2024.04.28,2174.0,7.0,4.06,310.56,10.34,1.03,0.0,1.03,11.63,62.24
2024.04.29 - 2024.05.05,1554.0,5.0,4.75,310.56,11.82,6.7,0.0,6.7,9.7,70.22
2024.05.06 - 2024.05.12,7764.0,25.0,4.44,310.56,7.08,49.27,0.0,49.27,9.51,84.07
2024.05.13 - 2024.05.19,5590.0,18.0,4.83,310.56,7.65,17.87,0.0,17.87,11.05,75.26
2024.05.20 - 2024.05.26,7144.0,23.0,4.31,310.56,7.08,7.79,0.0,7.79,9.55,75.23
2024.05.27 - 2024.06.02,7455.0,24.0,4.72,310.56,10.25,16.05,0.0,16.05,8.0,78.3
2024.06.03 - 2024.06.09,10557.0,34.0,4.62,310.56,11.96,11.03,0.0,11.03,8.98,76.66
2024.06.10 - 2024.06.16,13043.0,42.0,4.52,310.56,14.69,13.85,0.0,13.85,8.06,73.28
2024.06.17 - 2024.06.23,12423.0,40.0,4.49,310.56,16.98,3.24,0.0,3.24,9.39,68.19
2024.06.24 - 2024.06.30,25465.0,82.0,4.41,310.56,16.73,7.55,0.0,7.55,9.09,72.15
2024.07.01 - 2024.07.07,23601.0,76.0,4.76,310.56,15.68,31.75,0.0,31.75,11.28,68.17
2024.07.08 - 2024.07.14,23914.0,77.0,4.68,310.56,17.56,16.97,0.0,16.97,10.62,74.41
2024.07.15 - 2024.07.21,28570.0,92.0,4.62,310.56,18.56,24.59,0.0,24.59,8.29,77.8
2024.07.22 - 2024.07.28,20807.0,67.0,4.37,310.56,18.42,32.15,0.0,32.15,9.23,76.38
2024.07.29 - 2024.08.04,26087.0,84.0,4.43,310.56,17.27,23.6,0.0,23.6,12.16,69.43
2024.08.05 - 2024.08.11,28260.0,91.0,4.6,310.56,16.5,7.2,0.0,7.2,10.28,68.49
2024.08.12 - 2024.08.18,32298.0,104.0,4.73,310.56,17.37,5.34,0.0,5.34,10.29,69.79
2024.08.19 - 2024.08.25,24844.0,80.0,4.55,310.56,18.29,0.38,0.0,0.38,9.75,63.85
2024.08.26 - 2024.09.01,19875.0,64.0,4.71,310.56,19.36,21.55,0.0,21.55,9.99,72.24
2024.09.02 - 2024.09.08,10248.0,33.0,4.52,310.56,18.61,0.21,0.0,0.21,8.52,74.45
2024.09.09 - 2024.09.15,7764.0,25.0,4.47,310.56,16.8,25.11,0.0,25.11,10.25,76.35
2024.09.16 - 2024.09.22,7763.0,25.0,4.45,310.56,16.98,13.54,0.0,13.54,9.42,72.38
2024.09.23 - 2024.09.29,6211.0,20.0,4.69,310.56,13.05,62.62,0.0,62.62,10.63,75.52
2024.09.30 - 2024.10.06,7766.0,25.0,4.6,310.56,13.34,3.23,0.0,3.23,9.21,71.41
2024.10.07 - 2024.10.13,3727.0,12.0,5.0,310.56,12.22,25.85,0.0,25.85,9.99,68.66
2024.10.14 - 2024.10.20,3728.0,12.0,4.33,310.56,13.12,24.01,0.0,24.01,9.29,75.84
2024.10.21 - 2024.10.27,4659.0,15.0,4.71,310.56,6.02,56.05,0.0,56.05,15.82,74.12
2024.10.28 - 2024.11.03,2175.0,7.0,4.92,310.56,5.72,16.93,0.0,16.93,11.52,72.97
2024.11.04 - 2024.11.10,2797.0,9.0,5.0,310.56,5.7,7.13,0.0,7.13,9.75,67.93
2024.11.11 - 2024.11.17,933.0,3.0,5.0,310.56,3.12,23.16,23.16,0.0,10.93,66.52
2024.11.18 - 2024.11.24,1864.0,6.0,4.56,310.56,4.41,18.38,0.0,18.38,9.33,73.77
2024.11.25 - 2024.12.01,2175.0,7.0,5.0,310.56,4.9,73.15,54.97,18.18,15.51,73.45
2024.12.02 - 2024.12.08,932.0,3.0,5.0,310.56,-1.25,4.54,4.54,0.0,9.82,66.89
2024.12.09 - 2024.12.15,1555.0,5.0,5.0,310.56,1.39,0.51,0.38,0.13,7.83,67.12
2024.12.16 - 2024.12.22,933.0,3.0,5.0,310.56,-1.31,11.09,11.09,0.0,12.24,69.64
2024.12.23 - 2024.12.29,622.0,2.0,5.0,310.56,1.22,6.36,3.24,3.12,7.31,69.49
2024.12.30 - 2025.01.05,311.0,1.0,5.0,310.56,2.5,16.91,14.78,2.13,10.21,72.48
2025.01.06 - 2025.01.12,612.0,2.0,5.0,306.4,-0.94,18.64,18.64,0.0,8.4,70.94
2025.01.13 - 2025.01.19,1835.0,6.0,4.42,305.71,1.5,0.39,0.0,0.39,5.72,64.07
2025.01.20 - 2025.01.26,306.0,1.0,5.0,305.71,-0.63,38.32,38.32,0.0,9.7,83.91
2025.01.27 - 2025.02.02,306.0,1.0,5.0,305.71,0.18,5.67,5.67,0.0,6.2,69.21
2025.02.03 - 2025.02.09,306.0,1.0,3.0,305.71,0.06,0.06,0.06,0.0,4.77,59.92
2025.02.10 - 2025.02.16,612.0,2.0,5.0,305.71,-3.23,39.49,39.49,0.0,10.29,77.55
2025.02.17 - 2025.02.23,612.0,2.0,3.0,305.71,-1.28,9.43,9.43,0.0,8.54,71.56
2025.02.24 - 2025.03.02,612.0,2.0,5.0,305.71,-7.0,43.22,43.22,0.0,15.49,74.37
2025.03.03 - 2025.03.09,612.0,2.0,4.5,305.71,-3.83,11.71,11.71,0.0,8.13,72.0
2025.03.10 - 2025.03.16,0.0,0.0,,305.71,0.08,0.86,0.86,0.0,4.87,74.31
2025.03.17 - 2025.03.23,306.0,1.0,5.0,305.71,10.05,0.0,0.0,0.0,12.25,50.38
2025.03.24 - 2025.03.30,0.0,0.0,,305.71,-1.28,18.66,17.5,1.16,9.8,75.35
2025.03.31 - 2025.04.06,611.0,2.0,5.0,305.71,7.34,15.33,0.0,15.33,9.14,70.09
2025.04.07 - 2025.04.13,2445.0,8.0,4.62,305.71,5.69,31.91,0.0,31.91,10.53,77.7
