tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Kuzalan şelalesi Tabiat Parkı - Giresun_temp,Kuzalan şelalesi Tabiat Parkı - Giresun_prcp,Kuzalan şelalesi Tabiat Parkı - Giresun_snow,Kuzalan şelalesi Tabiat Parkı - Giresun_rain,Kuzalan şelalesi Tabiat Parkı - Giresun_wspd,Kuzalan şelalesi Tabiat Parkı - Giresun_rhum
2022.01.03 - 2022.01.09,0.0,0.0,,450.45,2.6,20.43,0.92,19.51,9.75,77.59
2022.01.10 - 2022.01.16,0.0,0.0,,450.45,4.95,6.63,0.0,6.63,11.81,63.91
2022.01.17 - 2022.01.23,0.0,0.0,,450.45,0.93,37.64,33.38,4.26,10.43,74.34
2022.01.24 - 2022.01.30,0.0,0.0,,450.45,-0.99,24.22,24.22,0.0,11.95,70.7
2022.01.31 - 2022.02.06,450.0,1.0,5.0,450.45,-1.1,28.36,28.06,0.3,9.06,71.76
2022.02.07 - 2022.02.13,0.0,0.0,,450.45,3.51,20.74,15.59,5.15,11.35,67.66
2022.02.14 - 2022.02.20,0.0,0.0,,450.45,3.34,19.11,7.5,11.61,10.02,71.39
2022.02.21 - 2022.02.27,0.0,0.0,,450.45,2.92,10.08,7.58,2.5,7.14,72.68
2022.02.28 - 2022.03.06,900.0,2.0,4.5,450.45,5.53,11.29,0.0,11.29,9.69,78.21
2022.03.07 - 2022.03.13,450.0,1.0,5.0,450.45,2.33,36.42,23.98,12.44,8.83,78.4
2022.03.14 - 2022.03.20,0.0,0.0,,450.45,-1.92,67.31,59.43,7.88,9.82,83.62
2022.03.21 - 2022.03.27,0.0,0.0,,450.45,-2.41,50.15,50.15,0.0,9.31,81.24
2022.03.28 - 2022.04.03,0.0,0.0,,450.45,1.89,5.49,4.53,0.96,7.13,74.27
2022.04.04 - 2022.04.10,450.0,1.0,5.0,450.45,10.29,0.51,0.0,0.51,11.96,57.44
2022.04.11 - 2022.04.17,1801.0,4.0,5.0,450.45,8.5,14.89,0.0,14.89,9.11,75.45
2022.04.18 - 2022.04.24,450.0,1.0,5.0,450.45,6.36,23.8,0.0,23.8,9.77,70.17
2022.04.25 - 2022.05.01,0.0,0.0,,450.45,7.99,3.83,0.0,3.83,7.16,79.2
2022.05.02 - 2022.05.08,0.0,0.0,,450.45,9.64,16.97,0.0,16.97,5.95,83.03
2022.05.09 - 2022.05.15,900.0,2.0,5.0,450.45,7.51,32.33,0.0,32.33,8.66,88.85
2022.05.16 - 2022.05.22,901.0,2.0,4.0,450.45,10.93,3.76,0.0,3.76,6.16,73.64
2022.05.23 - 2022.05.29,450.0,1.0,5.0,450.45,11.57,18.03,0.0,18.03,8.65,72.21
2022.05.30 - 2022.06.05,3602.0,8.0,4.65,450.45,13.25,8.9,0.0,8.9,6.15,78.04
2022.06.06 - 2022.06.12,900.0,2.0,4.5,450.45,18.27,1.71,0.0,1.71,6.31,81.0
2022.06.13 - 2022.06.19,1350.0,3.0,3.33,450.45,17.69,15.05,0.0,15.05,6.45,85.1
2022.06.20 - 2022.06.26,2251.0,5.0,4.62,450.45,17.98,8.36,0.0,8.36,6.24,80.12
2022.06.27 - 2022.07.03,2702.0,6.0,4.89,450.45,16.76,17.49,0.0,17.49,8.18,76.4
2022.07.04 - 2022.07.10,1350.0,3.0,5.0,450.45,17.85,13.36,0.0,13.36,8.41,78.47
2022.07.11 - 2022.07.17,4954.0,11.0,4.9,450.45,20.21,5.31,0.0,5.31,6.88,77.89
2022.07.18 - 2022.07.24,10810.0,24.0,4.46,450.45,18.62,49.58,0.0,49.58,8.97,79.89
2022.07.25 - 2022.07.31,4953.0,11.0,5.0,450.45,18.22,16.48,0.0,16.48,9.91,74.06
2022.08.01 - 2022.08.07,3603.0,8.0,5.0,450.45,21.12,0.06,0.0,0.06,6.54,73.14
2022.08.08 - 2022.08.14,10811.0,24.0,4.65,450.45,21.47,13.5,0.0,13.5,6.63,80.59
2022.08.15 - 2022.08.21,5855.0,13.0,4.88,450.45,22.38,3.88,0.0,3.88,6.22,78.83
2022.08.22 - 2022.08.28,6305.0,14.0,4.45,450.45,22.12,24.23,0.0,24.23,6.19,81.42
2022.08.29 - 2022.09.04,8557.0,19.0,4.27,450.45,23.66,2.92,0.0,2.92,6.16,75.34
2022.09.05 - 2022.09.11,8108.0,18.0,4.86,450.45,22.37,36.75,0.0,36.75,8.34,76.32
2022.09.12 - 2022.09.18,3602.0,8.0,5.0,450.45,18.06,21.64,0.0,21.64,8.61,69.16
2022.09.19 - 2022.09.25,4505.0,10.0,4.08,450.45,19.72,27.27,0.0,27.27,8.91,71.44
2022.09.26 - 2022.10.02,1351.0,3.0,4.5,450.45,14.68,51.44,0.0,51.44,8.29,77.75
2022.10.03 - 2022.10.09,1351.0,3.0,4.75,450.45,17.69,19.35,0.0,19.35,7.57,68.75
2022.10.10 - 2022.10.16,1351.0,3.0,4.5,450.45,14.13,71.46,0.0,71.46,7.06,81.9
2022.10.17 - 2022.10.23,900.0,2.0,3.0,450.45,13.04,12.62,0.0,12.62,5.88,81.3
2022.10.24 - 2022.10.30,450.0,1.0,5.0,450.45,10.78,41.87,0.0,41.87,8.06,80.67
2022.10.31 - 2022.11.06,1802.0,4.0,4.25,450.45,10.56,4.88,0.0,4.88,7.33,74.42
2022.11.07 - 2022.11.13,901.0,2.0,5.0,450.45,9.7,12.92,0.0,12.92,7.41,76.86
2022.11.14 - 2022.11.20,0.0,0.0,,450.45,8.42,11.62,0.0,11.62,6.12,81.69
2022.11.21 - 2022.11.27,450.0,1.0,5.0,450.45,11.83,1.39,0.0,1.39,11.87,62.4
2022.11.28 - 2022.12.04,450.0,1.0,5.0,450.45,10.07,42.78,0.0,42.78,9.32,71.59
2022.12.05 - 2022.12.11,0.0,0.0,,450.45,7.21,8.55,0.0,8.55,5.77,81.3
2022.12.12 - 2022.12.18,0.0,0.0,,450.45,8.48,1.01,0.0,1.01,10.89,64.97
2022.12.19 - 2022.12.25,0.0,0.0,,450.45,7.74,22.34,0.0,22.34,8.71,76.45
2022.12.26 - 2023.01.01,0.0,0.0,,450.45,2.82,6.69,4.09,2.6,7.16,72.65
2023.01.02 - 2023.01.08,0.0,0.0,,431.26,3.21,13.78,0.0,13.78,7.66,63.08
2023.01.09 - 2023.01.15,383.0,1.0,5.0,383.28,2.79,19.87,7.15,12.72,7.33,73.45
2023.01.16 - 2023.01.22,383.0,1.0,5.0,383.28,3.21,0.0,0.0,0.0,10.72,62.0
2023.01.23 - 2023.01.29,383.0,1.0,3.0,383.28,5.93,0.0,0.0,0.0,11.72,62.17
2023.01.30 - 2023.02.05,0.0,0.0,,383.28,4.03,10.74,0.0,10.74,11.89,70.13
2023.02.06 - 2023.02.12,0.0,0.0,,383.28,1.14,35.24,25.69,9.55,13.23,74.0
2023.02.13 - 2023.02.19,0.0,0.0,,383.28,-0.86,30.0,30.0,0.0,17.82,74.81
2023.02.20 - 2023.02.26,0.0,0.0,,383.28,1.02,32.67,16.58,16.09,17.09,69.07
2023.02.27 - 2023.03.05,0.0,0.0,,383.28,5.94,9.6,0.0,9.6,16.59,63.04
2023.03.06 - 2023.03.12,0.0,0.0,,383.28,6.59,26.96,0.0,26.96,11.56,82.61
2023.03.13 - 2023.03.19,383.0,1.0,5.0,383.28,8.72,17.06,0.0,17.06,15.2,66.57
2023.03.20 - 2023.03.26,0.0,0.0,,383.28,5.61,30.44,0.0,30.44,11.45,88.34
2023.03.27 - 2023.04.02,383.0,1.0,5.0,383.28,5.65,16.21,0.0,16.21,9.75,85.38
2023.04.03 - 2023.04.09,0.0,0.0,,383.28,3.91,57.33,4.11,53.22,15.38,74.59
2023.04.10 - 2023.04.16,383.0,1.0,5.0,383.28,7.07,34.88,0.0,34.88,11.95,80.89
2023.04.17 - 2023.04.23,383.0,1.0,5.0,383.28,8.67,33.39,0.0,33.39,10.75,78.93
2023.04.24 - 2023.04.30,766.0,2.0,5.0,383.28,9.58,37.64,0.0,37.64,12.88,80.86
2023.05.01 - 2023.05.07,0.0,0.0,,383.28,8.64,29.22,0.0,29.22,10.87,79.63
2023.05.08 - 2023.05.14,766.0,2.0,5.0,383.28,9.43,9.93,0.0,9.93,10.77,79.9
2023.05.15 - 2023.05.21,766.0,2.0,4.5,383.28,10.14,39.57,0.0,39.57,11.85,84.09
2023.05.22 - 2023.05.28,1533.0,4.0,4.17,383.28,12.64,6.66,0.0,6.66,9.28,80.9
2023.05.29 - 2023.06.04,1149.0,3.0,5.0,383.28,13.38,8.32,0.0,8.32,10.12,86.65
2023.06.05 - 2023.06.11,383.0,1.0,4.0,383.28,14.84,17.04,0.0,17.04,10.98,85.57
2023.06.12 - 2023.06.18,0.0,0.0,,383.28,15.55,10.23,0.0,10.23,9.2,85.82
2023.06.19 - 2023.06.25,767.0,2.0,5.0,383.28,16.13,33.55,0.0,33.55,9.21,86.25
2023.06.26 - 2023.07.02,3833.0,10.0,4.6,383.28,17.01,34.82,0.0,34.82,13.02,80.63
2023.07.03 - 2023.07.09,9198.0,24.0,4.62,383.28,18.49,11.46,0.0,11.46,10.5,75.84
2023.07.10 - 2023.07.16,6517.0,17.0,4.69,383.28,19.69,48.79,0.0,48.79,11.35,78.45
2023.07.17 - 2023.07.23,6515.0,17.0,3.74,383.28,18.08,10.37,0.0,10.37,11.69,70.61
2023.07.24 - 2023.07.30,6516.0,17.0,4.76,383.28,19.59,8.29,0.0,8.29,10.06,71.53
2023.07.31 - 2023.08.06,6516.0,17.0,4.61,383.28,19.4,7.32,0.0,7.32,11.64,73.9
2023.08.07 - 2023.08.13,6131.0,16.0,4.22,383.28,21.97,0.7,0.0,0.7,9.67,74.57
2023.08.14 - 2023.08.20,8433.0,22.0,4.75,383.28,22.64,34.86,0.0,34.86,11.02,79.78
2023.08.21 - 2023.08.27,6516.0,17.0,4.24,383.28,21.74,1.0,0.0,1.0,8.19,74.3
2023.08.28 - 2023.09.03,7282.0,19.0,4.68,383.28,21.19,2.73,0.0,2.73,10.76,71.65
2023.09.04 - 2023.09.10,8817.0,23.0,4.43,383.28,21.76,9.12,0.0,9.12,14.19,74.47
2023.09.11 - 2023.09.17,4983.0,13.0,4.5,383.28,18.73,11.86,0.0,11.86,14.3,72.41
2023.09.18 - 2023.09.24,4983.0,13.0,3.74,383.28,15.9,1.74,0.0,1.74,12.75,70.26
2023.09.25 - 2023.10.01,3449.0,9.0,4.4,383.28,17.04,0.51,0.0,0.51,8.61,73.51
2023.10.02 - 2023.10.08,3066.0,8.0,4.67,383.28,16.92,52.29,0.0,52.29,10.19,75.37
2023.10.09 - 2023.10.15,2682.0,7.0,5.0,383.28,13.82,23.08,0.0,23.08,13.36,72.65
2023.10.16 - 2023.10.22,383.0,1.0,1.0,383.28,12.47,12.79,0.0,12.79,10.27,72.43
2023.10.23 - 2023.10.29,383.0,1.0,5.0,383.28,12.37,40.02,0.0,40.02,10.95,73.16
2023.10.30 - 2023.11.05,383.0,1.0,5.0,383.28,16.31,0.1,0.0,0.1,12.29,68.12
2023.11.06 - 2023.11.12,766.0,2.0,4.5,383.28,15.3,3.69,0.0,3.69,13.57,68.77
2023.11.13 - 2023.11.19,1917.0,5.0,4.58,383.28,13.44,20.96,0.0,20.96,14.6,68.25
2023.11.20 - 2023.11.26,0.0,0.0,,383.28,10.27,74.27,0.0,74.27,17.9,75.15
2023.11.27 - 2023.12.03,383.0,1.0,5.0,383.28,9.95,51.3,0.0,51.3,20.48,68.85
2023.12.04 - 2023.12.10,383.0,1.0,4.0,383.28,8.98,1.96,0.0,1.96,17.01,58.91
2023.12.11 - 2023.12.17,383.0,1.0,5.0,383.28,8.1,12.05,0.0,12.05,10.99,81.61
2023.12.18 - 2023.12.24,383.0,1.0,2.0,383.28,6.07,31.62,0.0,31.62,12.56,77.27
2023.12.25 - 2023.12.31,0.0,0.0,,383.28,5.36,28.71,16.77,11.94,16.04,68.35
2024.01.01 - 2024.01.07,383.0,1.0,1.0,392.73,6.51,1.16,0.0,1.16,12.07,65.57
2024.01.08 - 2024.01.14,0.0,0.0,,449.44,7.43,35.79,0.0,35.79,17.03,69.49
2024.01.15 - 2024.01.21,0.0,0.0,,449.44,1.72,37.66,15.71,21.95,14.03,78.1
2024.01.22 - 2024.01.28,0.0,0.0,,449.44,5.77,34.69,6.52,28.17,18.88,72.45
2024.01.29 - 2024.02.04,0.0,0.0,,449.44,-0.36,23.64,23.64,0.0,11.98,74.67
2024.02.05 - 2024.02.11,449.0,1.0,5.0,449.44,1.8,2.68,2.55,0.13,9.76,70.88
2024.02.12 - 2024.02.18,0.0,0.0,,449.44,9.19,8.74,0.0,8.74,18.2,61.75
2024.02.19 - 2024.02.25,449.0,1.0,3.0,449.44,6.27,13.95,0.0,13.95,11.97,80.78
2024.02.26 - 2024.03.03,0.0,0.0,,449.44,4.21,10.31,0.0,10.31,10.51,73.12
2024.03.04 - 2024.03.10,449.0,1.0,3.0,449.44,5.79,0.17,0.0,0.17,9.45,65.94
2024.03.11 - 2024.03.17,0.0,0.0,,449.44,4.97,20.63,0.0,20.63,12.16,78.25
2024.03.18 - 2024.03.24,0.0,0.0,,449.44,6.88,16.96,0.0,16.96,11.42,78.23
2024.03.25 - 2024.03.31,0.0,0.0,,449.44,4.12,31.23,13.08,18.15,12.19,79.54
2024.04.01 - 2024.04.07,0.0,0.0,,449.44,8.53,14.75,0.0,14.75,12.7,70.38
2024.04.08 - 2024.04.14,0.0,0.0,,449.44,9.1,5.57,0.0,5.57,11.18,73.48
2024.04.15 - 2024.04.21,4044.0,9.0,4.7,449.44,8.76,9.32,0.0,9.32,8.77,85.03
2024.04.22 - 2024.04.28,898.0,2.0,4.0,449.44,13.99,1.62,0.0,1.62,13.28,65.84
2024.04.29 - 2024.05.05,898.0,2.0,4.0,449.44,15.56,7.44,0.0,7.44,11.53,72.49
2024.05.06 - 2024.05.12,449.0,1.0,5.0,449.44,10.51,54.22,0.0,54.22,12.27,85.08
2024.05.13 - 2024.05.19,449.0,1.0,3.0,449.44,10.94,16.11,0.0,16.11,12.53,77.3
2024.05.20 - 2024.05.26,0.0,0.0,,449.44,10.21,9.29,0.0,9.29,10.28,78.34
2024.05.27 - 2024.06.02,898.0,2.0,5.0,449.44,13.36,27.86,0.0,27.86,8.67,81.57
2024.06.03 - 2024.06.09,449.0,1.0,5.0,449.44,15.32,10.66,0.0,10.66,9.42,78.55
2024.06.10 - 2024.06.16,2246.0,5.0,4.5,449.44,18.08,9.85,0.0,9.85,8.5,74.86
2024.06.17 - 2024.06.23,449.0,1.0,5.0,449.44,20.33,2.14,0.0,2.14,10.28,69.24
2024.06.24 - 2024.06.30,7641.0,17.0,4.75,449.44,19.69,7.11,0.0,7.11,9.1,75.44
2024.07.01 - 2024.07.07,3145.0,7.0,4.25,449.44,18.71,34.91,0.0,34.91,12.42,73.14
2024.07.08 - 2024.07.14,5843.0,13.0,4.33,449.44,20.65,25.53,0.0,25.53,13.51,78.15
2024.07.15 - 2024.07.21,5842.0,13.0,4.14,449.44,21.53,22.43,0.0,22.43,9.23,81.28
2024.07.22 - 2024.07.28,4044.0,9.0,4.73,449.44,21.64,31.35,0.0,31.35,10.76,79.31
2024.07.29 - 2024.08.04,9437.0,21.0,4.88,449.44,21.09,37.6,0.0,37.6,13.3,75.4
2024.08.05 - 2024.08.11,11686.0,26.0,4.62,449.44,19.44,6.86,0.0,6.86,10.85,72.62
2024.08.12 - 2024.08.18,8539.0,19.0,4.77,449.44,20.15,8.97,0.0,8.97,11.11,73.99
2024.08.19 - 2024.08.25,9437.0,21.0,4.37,449.44,21.03,1.43,0.0,1.43,10.19,65.99
2024.08.26 - 2024.09.01,6740.0,15.0,3.9,449.44,22.22,29.6,0.0,29.6,12.59,76.14
2024.09.02 - 2024.09.08,8987.0,20.0,4.19,449.44,21.62,0.17,0.0,0.17,9.27,78.31
2024.09.09 - 2024.09.15,6741.0,15.0,4.83,449.44,19.75,20.42,0.0,20.42,9.72,80.76
2024.09.16 - 2024.09.22,3145.0,7.0,4.2,449.44,20.04,7.53,0.0,7.53,11.54,74.55
2024.09.23 - 2024.09.29,3145.0,7.0,4.56,449.44,16.26,52.24,0.0,52.24,12.27,78.94
2024.09.30 - 2024.10.06,4493.0,10.0,4.45,449.44,16.4,4.85,0.0,4.85,10.52,73.45
2024.10.07 - 2024.10.13,2247.0,5.0,4.5,449.44,15.59,24.25,0.0,24.25,10.91,70.82
2024.10.14 - 2024.10.20,1797.0,4.0,4.67,449.44,16.37,19.4,0.0,19.4,10.41,77.84
2024.10.21 - 2024.10.27,449.0,1.0,5.0,449.44,9.55,62.66,0.0,62.66,21.95,77.09
2024.10.28 - 2024.11.03,0.0,0.0,,449.44,8.76,30.86,0.0,30.86,12.28,77.76
2024.11.04 - 2024.11.10,1797.0,4.0,4.83,449.44,8.64,9.84,0.0,9.84,10.2,71.39
2024.11.11 - 2024.11.17,898.0,2.0,5.0,449.44,6.13,20.93,0.0,20.93,11.5,71.43
2024.11.18 - 2024.11.24,898.0,2.0,4.5,449.44,7.59,20.74,0.0,20.74,10.46,76.65
2024.11.25 - 2024.12.01,449.0,1.0,5.0,449.44,8.39,66.62,11.34,55.28,20.62,74.47
