tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2024.01.01 - 2024.01.07,593.0,1.0,1.0,593.22,-0.43,0.0,0.0,0.0,10.15,65.59
2024.01.08 - 2024.01.14,593.0,1.0,5.0,593.22,1.63,34.7,26.26,8.44,16.39,69.92
2024.01.15 - 2024.01.21,1186.0,2.0,4.5,593.22,-3.97,36.11,36.11,0.0,13.53,78.39
2024.01.22 - 2024.01.28,1186.0,2.0,4.5,593.22,-0.09,33.32,30.91,2.41,18.26,73.01
2024.01.29 - 2024.02.04,593.0,1.0,5.0,593.22,-6.3,22.77,22.77,0.0,11.64,74.93
2024.02.05 - 2024.02.11,2372.0,4.0,5.0,593.22,-3.97,2.49,2.49,0.0,9.59,70.6
2024.02.12 - 2024.02.18,1186.0,2.0,3.0,593.22,3.43,8.61,7.51,1.1,17.45,62.43
2024.02.19 - 2024.02.25,593.0,1.0,5.0,593.22,0.62,13.26,12.56,0.7,11.7,80.65
2024.02.26 - 2024.03.03,1186.0,2.0,5.0,593.22,-1.43,10.35,10.35,0.0,10.24,72.65
2024.03.04 - 2024.03.10,593.0,1.0,5.0,593.22,0.18,0.16,0.16,0.0,9.25,65.11
2024.03.11 - 2024.03.17,1186.0,2.0,5.0,593.22,-0.67,20.12,14.29,5.83,11.75,78.1
2024.03.18 - 2024.03.24,593.0,1.0,5.0,593.22,1.27,18.55,18.55,0.0,11.18,77.85
2024.03.25 - 2024.03.31,593.0,1.0,3.0,593.22,-1.51,30.64,30.64,0.0,11.82,79.51
2024.04.01 - 2024.04.07,593.0,1.0,5.0,593.22,2.72,14.49,12.56,1.93,12.35,70.01
2024.04.08 - 2024.04.14,593.0,1.0,5.0,593.22,3.5,6.22,6.22,0.0,10.92,73.11
2024.04.15 - 2024.04.21,6524.0,11.0,4.5,593.22,3.14,9.2,0.0,9.2,8.71,84.57
2024.04.22 - 2024.04.28,3559.0,6.0,4.92,593.22,8.38,1.62,0.0,1.62,13.03,64.83
2024.04.29 - 2024.05.05,2965.0,5.0,4.75,593.22,10.18,8.23,0.0,8.23,11.22,71.2
2024.05.06 - 2024.05.12,2372.0,4.0,5.0,593.22,4.96,53.48,4.39,49.09,11.86,84.54
2024.05.13 - 2024.05.19,1779.0,3.0,4.5,593.22,5.39,16.25,0.0,16.25,12.34,76.69
2024.05.20 - 2024.05.26,2965.0,5.0,5.0,593.22,4.75,9.09,0.0,9.09,10.16,77.62
2024.05.27 - 2024.06.02,2965.0,5.0,4.38,593.22,7.88,26.43,0.0,26.43,8.55,80.61
2024.06.03 - 2024.06.09,2373.0,4.0,4.83,593.22,9.74,10.54,0.0,10.54,9.42,77.55
