tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2024.01.01 - 2024.01.07,0.0,0.0,,2050.11,-0.24,0.0,0.0,0.0,8.0,74.31
2024.01.08 - 2024.01.14,8200.0,4.0,5.0,2050.11,2.76,23.61,1.89,21.72,13.19,70.13
2024.01.15 - 2024.01.21,6150.0,3.0,5.0,2050.11,-3.22,19.37,10.78,8.59,12.19,74.99
2024.01.22 - 2024.01.28,2050.0,1.0,5.0,2050.11,1.7,36.08,28.2,7.88,15.24,72.41
2024.01.29 - 2024.02.04,4100.0,2.0,5.0,2050.11,-4.16,14.95,14.95,0.0,9.79,73.75
2024.02.05 - 2024.02.11,4100.0,2.0,4.5,2050.11,-2.75,4.26,4.26,0.0,8.95,72.48
2024.02.12 - 2024.02.18,4100.0,2.0,5.0,2050.11,4.98,3.24,0.0,3.24,13.83,57.36
2024.02.19 - 2024.02.25,8200.0,4.0,4.5,2050.11,2.36,14.62,9.88,4.74,11.14,75.76
2024.02.26 - 2024.03.03,8200.0,4.0,5.0,2050.11,-0.08,5.86,5.86,0.0,8.44,72.0
2024.03.04 - 2024.03.10,8200.0,4.0,4.5,2050.11,1.49,2.42,0.19,2.23,8.47,66.76
2024.03.11 - 2024.03.17,2050.0,1.0,5.0,2050.11,0.41,14.99,9.52,5.47,10.13,76.2
2024.03.18 - 2024.03.24,2050.0,1.0,2.0,2050.11,2.72,9.12,3.01,6.11,9.19,75.32
2024.03.25 - 2024.03.31,2050.0,1.0,5.0,2050.11,-0.25,27.97,27.66,0.31,11.34,77.13
2024.04.01 - 2024.04.07,2050.0,1.0,5.0,2050.11,5.42,11.53,0.0,11.53,10.36,67.57
2024.04.08 - 2024.04.14,8200.0,4.0,4.75,2050.11,5.58,1.99,0.0,1.99,10.76,67.78
2024.04.15 - 2024.04.21,43052.0,21.0,4.36,2050.11,5.96,7.46,0.0,7.46,8.59,79.03
2024.04.22 - 2024.04.28,14350.0,7.0,4.4,2050.11,10.87,1.63,0.0,1.63,11.86,59.53
2024.04.29 - 2024.05.05,22550.0,11.0,4.9,2050.11,11.72,3.69,0.0,3.69,10.25,67.95
2024.05.06 - 2024.05.12,10250.0,5.0,4.88,2050.11,6.19,38.6,0.0,38.6,11.95,82.86
2024.05.13 - 2024.05.19,6150.0,3.0,4.67,2050.11,7.63,24.36,0.0,24.36,11.29,71.5
2024.05.20 - 2024.05.26,20500.0,10.0,4.8,2050.11,6.29,6.36,0.0,6.36,8.89,72.89
2024.05.27 - 2024.06.02,16400.0,8.0,4.71,2050.11,9.75,21.27,0.0,21.27,9.45,76.84
2024.06.03 - 2024.06.09,20500.0,10.0,4.5,2050.11,12.53,12.86,0.0,12.86,8.12,74.13
2024.06.10 - 2024.06.16,45103.0,22.0,4.52,2050.11,15.09,2.68,0.0,2.68,8.26,68.85
2024.06.17 - 2024.06.23,34851.0,17.0,4.84,2050.11,16.57,3.19,0.0,3.19,9.22,65.23
2024.06.24 - 2024.06.30,139407.0,68.0,4.66,2050.11,15.42,2.76,0.0,2.76,9.91,72.85
2024.07.01 - 2024.07.07,92255.0,45.0,4.7,2050.11,14.7,18.18,0.0,18.18,13.67,71.08
2024.07.08 - 2024.07.14,73805.0,36.0,4.93,2050.11,16.27,19.94,0.0,19.94,14.16,73.06
2024.07.15 - 2024.07.21,88155.0,43.0,4.37,2050.11,17.34,4.89,0.0,4.89,10.48,76.28
2024.07.22 - 2024.07.28,100454.0,49.0,4.49,2050.11,18.28,10.23,0.0,10.23,10.53,73.11
2024.07.29 - 2024.08.04,125057.0,61.0,4.46,2050.11,17.41,30.92,0.0,30.92,11.6,72.09
2024.08.05 - 2024.08.11,127107.0,62.0,4.3,2050.11,15.97,4.19,0.0,4.19,10.42,67.86
2024.08.12 - 2024.08.18,118906.0,58.0,4.62,2050.11,16.99,5.24,0.0,5.24,11.61,70.97
2024.08.19 - 2024.08.25,90204.0,44.0,4.53,2050.11,16.06,1.65,0.0,1.65,9.69,64.87
2024.08.26 - 2024.09.01,94306.0,46.0,4.44,2050.11,17.36,36.42,0.0,36.42,12.32,73.66
2024.09.02 - 2024.09.08,112756.0,55.0,4.15,2050.11,9.25,0.52,0.0,0.52,10.62,81.02
2024.09.09 - 2024.09.15,86106.0,42.0,4.41,2050.11,15.56,11.56,0.0,11.56,8.88,76.71
2024.09.16 - 2024.09.22,49202.0,24.0,4.37,2050.11,16.6,2.99,0.0,2.99,10.25,68.33
2024.09.23 - 2024.09.29,36901.0,18.0,4.47,2050.11,11.76,52.96,0.0,52.96,10.39,78.98
2024.09.30 - 2024.10.06,30750.0,15.0,4.74,2050.11,12.07,13.42,0.0,13.42,8.88,72.39
2024.10.07 - 2024.10.13,20500.0,10.0,4.63,2050.11,11.18,19.99,0.0,19.99,8.9,69.7
2024.10.14 - 2024.10.20,20500.0,10.0,3.71,2050.11,11.75,21.23,0.0,21.23,8.29,76.18
2024.10.21 - 2024.10.27,8200.0,4.0,5.0,2050.11,5.19,53.53,0.0,53.53,17.3,75.6
2024.10.28 - 2024.11.03,6150.0,3.0,4.75,2050.11,3.85,26.43,0.0,26.43,8.41,79.49
2024.11.04 - 2024.11.10,16400.0,8.0,4.75,2050.11,3.74,7.95,0.27,7.68,8.09,77.29
2024.11.11 - 2024.11.17,8200.0,4.0,5.0,2050.11,0.86,10.44,10.44,0.0,7.91,76.51
2024.11.18 - 2024.11.24,10250.0,5.0,4.88,2050.11,2.54,14.31,0.18,14.13,7.63,82.5
2024.11.25 - 2024.12.01,12300.0,6.0,4.25,2050.11,3.42,70.15,58.04,12.11,16.9,75.43
2024.12.02 - 2024.12.08,12300.0,6.0,4.0,2050.11,-3.58,14.5,14.5,0.0,10.23,72.58
2024.12.09 - 2024.12.15,6150.0,3.0,4.67,2050.11,-0.65,2.68,1.68,1.0,8.19,74.64
2024.12.16 - 2024.12.22,2050.0,1.0,5.0,2050.11,-1.08,13.82,13.82,0.0,13.22,70.21
2024.12.23 - 2024.12.29,2050.0,1.0,4.0,2050.11,0.26,1.44,0.32,1.12,9.39,71.26
2024.12.30 - 2025.01.05,6150.0,3.0,5.0,2050.11,1.75,16.11,13.49,2.62,11.96,72.52
2025.01.06 - 2025.01.12,1514.0,1.0,5.0,1590.26,-1.37,17.2,16.75,0.45,9.44,72.91
2025.01.13 - 2025.01.19,4542.0,3.0,4.33,1513.62,0.1,3.06,0.15,2.91,8.45,71.45
2025.01.20 - 2025.01.26,4541.0,3.0,5.0,1513.62,-1.36,23.5,23.5,0.0,10.82,81.97
2025.01.27 - 2025.02.02,3028.0,2.0,5.0,1513.62,-0.79,5.93,5.93,0.0,8.08,74.6
2025.02.03 - 2025.02.09,7569.0,5.0,4.75,1513.62,-0.89,0.12,0.12,0.0,7.52,66.35
2025.02.10 - 2025.02.16,1514.0,1.0,5.0,1513.62,-4.28,38.66,38.66,0.0,13.71,80.68
2025.02.17 - 2025.02.23,3028.0,2.0,5.0,1513.62,-1.85,16.77,16.77,0.0,11.09,73.74
2025.02.24 - 2025.03.02,1514.0,1.0,5.0,1513.62,-8.22,49.28,49.28,0.0,15.84,77.52
2025.03.03 - 2025.03.09,1514.0,1.0,5.0,1513.62,-4.12,10.46,10.46,0.0,9.66,71.91
2025.03.10 - 2025.03.16,4541.0,3.0,5.0,1513.62,0.14,0.92,0.92,0.0,7.6,67.73
2025.03.17 - 2025.03.23,3028.0,2.0,5.0,1513.62,9.39,0.0,0.0,0.0,11.79,49.12
2025.03.24 - 2025.03.30,0.0,0.0,,1513.62,-0.99,5.21,4.04,1.17,15.19,72.7
2025.03.31 - 2025.04.06,4542.0,3.0,5.0,1513.62,7.33,7.51,0.0,7.51,9.35,67.98
2025.04.07 - 2025.04.13,15136.0,10.0,4.81,1513.62,5.01,21.81,0.0,21.81,9.51,76.29
2025.04.14 - 2025.04.20,6055.0,4.0,3.67,1513.62,-1.8,54.89,54.89,0.0,13.45,76.29
2025.04.21 - 2025.04.27,12109.0,8.0,4.9,1513.62,3.6,12.29,4.78,7.51,9.53,78.56
2025.04.28 - 2025.05.04,12109.0,8.0,4.56,1513.62,5.09,20.1,0.0,20.1,8.99,79.26
2025.05.05 - 2025.05.11,15137.0,10.0,4.0,1513.62,4.05,32.36,0.16,32.2,9.34,77.11
2025.05.12 - 2025.05.18,21192.0,14.0,4.72,1513.62,8.73,25.43,0.0,25.43,9.75,77.21
2025.05.19 - 2025.05.25,25732.0,17.0,4.6,1513.62,7.93,18.19,0.0,18.19,10.37,70.33
2025.05.26 - 2025.06.01,24218.0,16.0,4.38,1513.62,11.51,0.0,0.0,0.0,8.41,63.62
2025.06.02 - 2025.06.08,24218.0,16.0,4.0,1513.62,10.13,18.26,0.0,18.26,9.82,73.64
2025.06.09 - 2025.06.15,49950.0,33.0,4.63,1513.62,12.03,12.27,0.0,12.27,7.81,68.19
2025.06.16 - 2025.06.22,60544.0,40.0,4.71,1513.62,13.38,3.65,0.0,3.65,10.52,69.04
2025.06.23 - 2025.06.29,30272.0,20.0,4.66,1513.62,12.63,1.43,0.0,1.43,9.23,62.62
2025.06.30 - 2025.07.06,36326.0,24.0,4.69,1513.62,13.53,16.88,0.0,16.88,9.69,61.96
2025.07.07 - 2025.07.13,52977.0,35.0,4.58,1513.62,13.24,24.09,0.0,24.09,11.21,69.61
2025.07.14 - 2025.07.20,90816.0,60.0,4.72,1513.62,17.94,0.8,0.0,0.8,10.15,66.91
2025.07.21 - 2025.07.27,90817.0,60.0,4.71,1513.62,17.84,2.91,0.0,2.91,11.08,65.23
2025.07.28 - 2025.08.03,112008.0,74.0,4.66,1513.62,18.9,0.97,0.0,0.97,9.66,65.79
2025.08.04 - 2025.08.10,113521.0,75.0,4.58,1513.62,19.43,14.85,0.0,14.85,14.22,70.34
2025.08.11 - 2025.08.17,96872.0,64.0,4.48,1513.62,18.61,6.65,0.0,6.65,12.4,67.63
2025.08.18 - 2025.08.24,98387.0,65.0,4.68,1513.62,16.81,0.28,0.0,0.28,9.17,62.17
2025.08.25 - 2025.08.31,95358.0,63.0,4.66,1513.62,16.9,18.58,0.0,18.58,12.93,67.23
2025.09.01 - 2025.09.07,68113.0,45.0,4.42,1513.62,15.0,1.6,0.0,1.6,9.88,71.84
2025.09.08 - 2025.09.14,69627.0,46.0,4.86,1513.62,15.07,22.94,0.0,22.94,11.32,77.53
2025.09.15 - 2025.09.21,42380.0,28.0,4.74,1513.62,12.81,4.76,0.0,4.76,10.01,72.64
2025.09.22 - 2025.09.28,36328.0,24.0,4.78,1513.62,10.39,30.05,0.0,30.05,14.8,73.97
2025.09.29 - 2025.10.05,19677.0,13.0,4.92,1513.62,9.72,4.31,0.0,4.31,10.51,71.63
2025.10.06 - 2025.10.12,25730.0,17.0,4.86,1513.62,9.78,23.66,0.0,23.66,9.28,78.43
2025.10.13 - 2025.10.19,18164.0,12.0,4.79,1513.62,8.17,25.9,0.0,25.9,10.4,73.88
2025.10.20 - 2025.10.26,18163.0,12.0,4.86,1513.62,6.34,19.5,0.0,19.5,8.71,78.18
2025.10.27 - 2025.11.02,13622.0,9.0,4.7,1513.62,7.77,8.74,0.0,8.74,9.79,76.69
2025.11.03 - 2025.11.09,9082.0,6.0,4.88,1513.62,5.29,20.45,0.0,20.45,9.12,75.42
2025.11.10 - 2025.11.16,12110.0,8.0,5.0,1513.62,6.11,0.08,0.0,0.08,6.77,77.37
2025.11.17 - 2025.11.23,7569.0,5.0,5.0,1513.62,4.19,67.62,0.0,67.62,11.31,81.59
2025.11.24 - 2025.11.30,10596.0,7.0,5.0,1513.62,5.97,0.18,0.0,0.18,11.36,60.67
2025.12.01 - 2025.12.07,10596.0,7.0,4.8,1513.62,4.0,5.88,0.0,5.88,9.27,71.87
2025.12.08 - 2025.12.14,3028.0,2.0,5.0,1513.62,2.29,6.48,0.12,6.36,9.71,76.21
2025.12.15 - 2025.12.21,1514.0,1.0,5.0,1513.62,1.23,49.43,27.28,22.15,11.18,84.48
2025.12.22 - 2025.12.28,6055.0,4.0,4.83,1513.62,-2.08,17.75,17.75,0.0,8.33,78.14
2025.12.29 - 2026.01.04,1514.0,1.0,5.0,1513.62,-1.88,19.85,19.85,0.0,11.7,80.76
2026.01.05 - 2026.01.11,1514.0,1.0,5.0,1513.62,-3.08,16.5,16.5,0.0,20.48,62.58
