tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Sülüklü Göl Tabiat Parkı - Bolu_temp,Sülüklü Göl Tabiat Parkı - Bolu_prcp,Sülüklü Göl Tabiat Parkı - Bolu_snow,Sülüklü Göl Tabiat Parkı - Bolu_rain,Sülüklü Göl Tabiat Parkı - Bolu_wspd,Sülüklü Göl Tabiat Parkı - Bolu_rhum
2024.01.01 - 2024.01.07,9.0,1.0,5.0,8.94,6.06,0.0,0.0,0.0,5.11,77.61
2024.01.08 - 2024.01.14,9.0,1.0,5.0,8.94,5.87,21.3,0.0,21.3,7.19,77.19
2024.01.15 - 2024.01.21,0.0,0.0,,8.94,-2.22,41.1,41.1,0.0,6.92,78.98
2024.01.22 - 2024.01.28,9.0,1.0,5.0,8.94,2.66,42.57,20.03,22.54,8.8,79.35
2024.01.29 - 2024.02.04,9.0,1.0,4.0,8.94,-2.25,26.47,26.47,0.0,6.03,84.29
2024.02.05 - 2024.02.11,0.0,0.0,,8.94,-0.46,4.27,3.72,0.55,6.5,78.69
2024.02.12 - 2024.02.18,9.0,1.0,5.0,8.94,7.54,1.27,0.0,1.27,6.8,67.04
2024.02.19 - 2024.02.25,18.0,2.0,5.0,8.94,2.12,44.35,33.19,11.16,5.73,85.05
2024.02.26 - 2024.03.03,9.0,1.0,5.0,8.94,3.66,0.0,0.0,0.0,4.1,70.15
2024.03.04 - 2024.03.10,0.0,0.0,,8.94,4.75,6.02,0.0,6.02,5.12,80.27
2024.03.11 - 2024.03.17,18.0,2.0,4.5,8.94,2.65,22.02,9.9,12.12,5.15,80.92
2024.03.18 - 2024.03.24,9.0,1.0,4.0,8.94,4.29,14.5,0.0,14.5,5.1,77.38
2024.03.25 - 2024.03.31,0.0,0.0,,8.94,2.16,41.11,27.48,13.63,5.14,75.15
2024.04.01 - 2024.04.07,0.0,0.0,,8.94,9.54,2.79,0.0,2.79,5.6,67.53
2024.04.08 - 2024.04.14,0.0,0.0,,8.94,9.17,0.0,0.0,0.0,6.36,63.33
2024.04.15 - 2024.04.21,9.0,1.0,5.0,8.94,9.67,0.03,0.0,0.03,5.44,73.78
2024.04.22 - 2024.04.28,9.0,1.0,5.0,8.94,12.08,16.56,0.0,16.56,8.12,67.27
2024.04.29 - 2024.05.05,9.0,1.0,5.0,8.94,12.35,10.22,0.0,10.22,7.24,71.93
2024.05.06 - 2024.05.12,9.0,1.0,5.0,8.94,8.91,25.69,0.0,25.69,6.7,80.39
2024.05.13 - 2024.05.19,9.0,1.0,5.0,8.94,9.49,12.79,0.0,12.79,6.04,76.04
2024.05.20 - 2024.05.26,27.0,3.0,5.0,8.94,10.56,7.63,0.0,7.63,6.59,72.89
2024.05.27 - 2024.06.02,36.0,4.0,3.25,8.94,13.09,40.09,0.0,40.09,7.12,77.0
2024.06.03 - 2024.06.09,27.0,3.0,3.75,8.94,16.93,1.8,0.0,1.8,4.64,67.09
2024.06.10 - 2024.06.16,9.0,1.0,5.0,8.94,19.97,2.64,0.0,2.64,6.44,69.09
2024.06.17 - 2024.06.23,18.0,2.0,5.0,8.94,21.27,3.87,0.0,3.87,7.36,63.95
2024.06.24 - 2024.06.30,45.0,5.0,4.88,8.94,19.84,0.0,0.0,0.0,9.01,68.71
2024.07.01 - 2024.07.07,54.0,6.0,3.75,8.94,19.79,0.23,0.0,0.23,10.45,65.33
2024.07.08 - 2024.07.14,9.0,1.0,5.0,8.94,19.97,15.68,0.0,15.68,7.15,70.58
2024.07.15 - 2024.07.21,27.0,3.0,2.75,8.94,21.4,11.82,0.0,11.82,6.8,73.52
2024.07.22 - 2024.07.28,27.0,3.0,5.0,8.94,23.0,3.08,0.0,3.08,7.54,68.12
2024.07.29 - 2024.08.04,72.0,8.0,4.08,8.94,20.36,26.09,0.0,26.09,8.45,70.92
2024.08.05 - 2024.08.11,9.0,1.0,4.0,8.94,19.88,1.76,0.0,1.76,8.05,67.39
2024.08.12 - 2024.08.18,54.0,6.0,4.0,8.94,20.02,4.99,0.0,4.99,7.83,70.31
2024.08.19 - 2024.08.25,45.0,5.0,3.38,8.94,20.95,0.0,0.0,0.0,9.1,62.88
2024.08.26 - 2024.09.01,63.0,7.0,3.0,8.94,20.92,0.6,0.0,0.6,7.23,69.25
2024.09.02 - 2024.09.08,81.0,9.0,4.0,8.94,19.55,4.0,0.0,4.0,7.13,73.2
2024.09.09 - 2024.09.15,54.0,6.0,4.33,8.94,17.92,14.22,0.0,14.22,5.68,74.43
2024.09.16 - 2024.09.22,54.0,6.0,4.75,8.94,18.98,6.61,0.0,6.61,5.94,67.97
2024.09.23 - 2024.09.29,36.0,4.0,3.5,8.94,14.34,9.35,0.0,9.35,6.38,75.99
2024.09.30 - 2024.10.06,0.0,0.0,,8.94,15.12,26.27,0.0,26.27,5.36,76.12
2024.10.07 - 2024.10.13,45.0,5.0,3.17,8.94,13.99,24.58,0.0,24.58,5.92,76.37
2024.10.14 - 2024.10.20,27.0,3.0,3.67,8.94,13.63,12.77,0.0,12.77,4.81,78.72
2024.10.21 - 2024.10.27,27.0,3.0,4.75,8.94,6.92,18.98,0.0,18.98,5.26,82.16
2024.10.28 - 2024.11.03,9.0,1.0,5.0,8.94,7.14,0.26,0.0,0.26,4.54,81.52
2024.11.04 - 2024.11.10,18.0,2.0,4.0,8.94,6.45,8.81,0.0,8.81,4.79,81.55
2024.11.11 - 2024.11.17,18.0,2.0,4.0,8.94,2.97,0.21,0.0,0.21,4.92,80.41
2024.11.18 - 2024.11.24,9.0,1.0,5.0,8.94,5.35,35.84,0.0,35.84,5.58,87.24
2024.11.25 - 2024.12.01,18.0,2.0,2.5,8.94,3.38,64.32,40.14,24.18,8.13,78.69
2024.12.02 - 2024.12.08,0.0,0.0,,8.94,0.38,4.99,4.99,0.0,4.48,85.56
2024.12.09 - 2024.12.15,9.0,1.0,5.0,8.94,4.42,6.61,0.93,5.68,5.54,81.9
2024.12.16 - 2024.12.22,9.0,1.0,1.0,8.94,2.01,27.88,21.67,6.21,6.21,81.85
2024.12.23 - 2024.12.29,9.0,1.0,5.0,8.94,1.54,15.1,10.06,5.04,5.77,81.93
2024.12.30 - 2025.01.05,18.0,2.0,4.5,8.94,3.02,40.28,37.35,2.93,8.19,82.82
2025.01.06 - 2025.01.12,24.0,3.0,5.0,7.84,0.98,9.14,6.95,2.19,5.32,79.98
2025.01.13 - 2025.01.19,8.0,1.0,3.0,7.65,3.23,20.47,15.13,5.34,5.7,81.95
2025.01.20 - 2025.01.26,0.0,0.0,,7.65,-0.42,26.19,26.19,0.0,5.42,84.83
2025.01.27 - 2025.02.02,8.0,1.0,5.0,7.65,2.09,37.29,16.21,21.08,4.16,84.36
2025.02.03 - 2025.02.09,8.0,1.0,5.0,7.65,3.06,0.94,0.91,0.03,4.84,78.66
2025.02.10 - 2025.02.16,0.0,0.0,,7.65,-3.46,45.31,45.31,0.0,6.87,84.56
2025.02.17 - 2025.02.23,46.0,6.0,4.75,7.65,-0.91,17.3,16.42,0.88,6.06,83.19
2025.02.24 - 2025.03.02,8.0,1.0,1.0,7.65,-5.84,31.53,31.53,0.0,6.98,80.48
2025.03.03 - 2025.03.09,0.0,0.0,,7.65,-0.03,5.45,4.82,0.63,5.61,75.69
2025.03.10 - 2025.03.16,8.0,1.0,5.0,7.65,1.52,0.08,0.08,0.0,5.92,71.78
2025.03.17 - 2025.03.23,8.0,1.0,5.0,7.65,11.92,0.06,0.0,0.06,5.29,57.65
2025.03.24 - 2025.03.30,8.0,1.0,5.0,7.65,1.63,5.97,5.8,0.17,5.55,70.69
2025.03.31 - 2025.04.06,16.0,2.0,4.0,7.65,9.62,12.64,0.0,12.64,5.63,71.87
2025.04.07 - 2025.04.13,8.0,1.0,4.0,7.65,5.42,21.18,0.0,21.18,6.84,79.93
2025.04.14 - 2025.04.20,0.0,0.0,,7.65,-0.46,25.04,25.04,0.0,7.71,73.87
2025.04.21 - 2025.04.27,8.0,1.0,5.0,7.65,7.19,0.26,0.0,0.26,6.48,73.41
2025.04.28 - 2025.05.04,23.0,3.0,5.0,7.65,6.62,14.37,0.0,14.37,8.4,78.5
2025.05.05 - 2025.05.11,8.0,1.0,5.0,7.65,6.63,9.88,0.0,9.88,7.02,74.36
2025.05.12 - 2025.05.18,39.0,5.0,4.89,7.65,11.35,22.52,0.0,22.52,7.15,74.58
2025.05.19 - 2025.05.25,61.0,8.0,4.67,7.65,8.42,12.48,0.0,12.48,6.74,71.21
2025.05.26 - 2025.06.01,47.0,6.0,2.58,7.65,14.13,10.47,0.0,10.47,6.47,68.47
2025.06.02 - 2025.06.08,31.0,4.0,4.33,7.65,12.08,17.23,0.0,17.23,6.5,75.23
2025.06.09 - 2025.06.15,16.0,2.0,5.0,7.65,15.59,0.0,0.0,0.0,6.28,70.12
2025.06.16 - 2025.06.22,46.0,6.0,3.22,7.65,15.52,1.13,0.0,1.13,7.83,70.98
2025.06.23 - 2025.06.29,23.0,3.0,4.5,7.65,15.6,1.46,0.0,1.46,7.54,62.14
2025.06.30 - 2025.07.06,16.0,2.0,5.0,7.65,17.22,5.75,0.0,5.75,7.07,57.26
2025.07.07 - 2025.07.13,0.0,0.0,,7.65,16.99,3.58,0.0,3.58,7.53,63.97
2025.07.14 - 2025.07.20,40.0,5.0,4.6,7.65,19.05,0.68,0.0,0.68,8.31,66.47
2025.07.21 - 2025.07.27,70.0,9.0,4.71,7.65,19.49,2.06,0.0,2.06,8.17,64.18
2025.07.28 - 2025.08.03,38.0,5.0,4.17,7.65,21.63,0.0,0.0,0.0,7.27,55.38
2025.08.04 - 2025.08.10,0.0,0.0,,7.65,20.3,15.82,0.0,15.82,9.99,70.03
2025.08.11 - 2025.08.17,30.0,4.0,4.75,7.65,20.25,3.68,0.0,3.68,9.92,69.32
2025.08.18 - 2025.08.24,16.0,2.0,5.0,7.65,18.49,0.54,0.0,0.54,10.7,65.15
2025.08.25 - 2025.08.31,63.0,8.0,3.75,7.65,17.4,4.27,0.0,4.27,7.54,66.41
2025.09.01 - 2025.09.07,55.0,7.0,4.67,7.65,17.59,0.0,0.0,0.0,8.05,65.58
2025.09.08 - 2025.09.14,47.0,6.0,4.3,7.65,16.83,38.76,0.0,38.76,7.75,73.62
2025.09.15 - 2025.09.21,39.0,5.0,4.0,7.65,15.63,1.54,0.0,1.54,6.75,73.11
2025.09.22 - 2025.09.28,23.0,3.0,5.0,7.65,12.56,17.24,0.0,17.24,6.76,72.61
2025.09.29 - 2025.10.05,39.0,5.0,4.56,7.65,12.58,13.79,0.0,13.79,7.44,74.87
2025.10.06 - 2025.10.12,31.0,4.0,5.0,7.65,10.89,9.94,0.0,9.94,5.99,75.56
2025.10.13 - 2025.10.19,31.0,4.0,4.67,7.65,7.88,42.62,0.0,42.62,5.87,84.75
2025.10.20 - 2025.10.26,24.0,3.0,5.0,7.65,8.55,19.24,0.0,19.24,5.14,82.37
2025.10.27 - 2025.11.02,24.0,3.0,5.0,7.65,9.93,27.43,0.0,27.43,5.13,81.08
2025.11.03 - 2025.11.09,16.0,2.0,5.0,7.65,6.59,27.43,0.0,27.43,3.91,77.58
2025.11.10 - 2025.11.16,23.0,3.0,4.75,7.65,9.23,1.07,0.0,1.07,3.85,81.44
2025.11.17 - 2025.11.23,23.0,3.0,4.5,7.65,5.26,19.56,0.0,19.56,4.61,81.72
2025.11.24 - 2025.11.30,23.0,3.0,4.0,7.65,8.83,12.67,0.0,12.67,5.16,72.67
2025.12.01 - 2025.12.07,23.0,3.0,3.5,7.65,5.63,12.59,0.0,12.59,4.43,81.53
2025.12.08 - 2025.12.14,23.0,3.0,2.0,7.65,4.43,26.16,0.0,26.16,5.4,80.65
2025.12.15 - 2025.12.21,16.0,2.0,3.0,7.65,2.59,11.91,3.11,8.8,4.47,86.09
2025.12.22 - 2025.12.28,16.0,2.0,1.0,7.65,-0.24,9.2,9.2,0.0,3.01,82.33
2025.12.29 - 2026.01.04,0.0,0.0,,7.65,0.03,36.78,33.76,3.02,7.82,86.07
2026.01.05 - 2026.01.11,15.0,2.0,2.5,7.65,-3.83,10.35,10.35,0.0,7.48,79.93
