tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2024.01.01 - 2024.01.07,0.0,0.0,,1166.67,1.09,0.0,0.0,0.0,9.68,73.23
2024.01.08 - 2024.01.14,0.0,0.0,,1166.67,3.77,30.36,0.0,30.36,16.7,74.25
2024.01.15 - 2024.01.21,2334.0,2.0,5.0,1166.67,-1.63,24.18,13.95,10.23,12.63,79.43
2024.01.22 - 2024.01.28,2334.0,2.0,3.0,1166.67,2.84,39.91,31.6,8.31,16.8,78.6
2024.01.29 - 2024.02.04,3500.0,3.0,5.0,1166.67,-3.59,13.41,13.41,0.0,10.21,77.53
2024.02.05 - 2024.02.11,1167.0,1.0,5.0,1166.67,-2.17,1.62,1.62,0.0,9.77,73.24
2024.02.12 - 2024.02.18,3500.0,3.0,3.0,1166.67,5.77,4.21,0.0,4.21,17.21,62.86
2024.02.19 - 2024.02.25,1167.0,1.0,5.0,1166.67,3.5,16.38,0.94,15.44,12.59,78.15
2024.02.26 - 2024.03.03,0.0,0.0,,1166.67,1.56,7.11,7.11,0.0,9.49,70.78
2024.03.04 - 2024.03.10,1167.0,1.0,3.0,1166.67,3.43,1.71,0.0,1.71,9.53,59.46
2024.03.11 - 2024.03.17,1167.0,1.0,4.0,1166.67,1.6,15.71,8.27,7.44,11.46,78.15
2024.03.18 - 2024.03.24,1167.0,1.0,4.0,1166.67,4.34,8.29,0.0,8.29,11.29,75.16
2024.03.25 - 2024.03.31,0.0,0.0,,1166.67,0.91,26.5,22.68,3.82,12.52,79.17
2024.04.01 - 2024.04.07,1167.0,1.0,5.0,1166.67,7.25,12.93,0.31,12.62,11.72,67.69
2024.04.08 - 2024.04.14,1167.0,1.0,5.0,1166.67,7.79,2.74,0.0,2.74,12.19,65.33
2024.04.15 - 2024.04.21,4667.0,4.0,4.67,1166.67,7.73,6.3,0.0,6.3,10.7,79.44
2024.04.22 - 2024.04.28,4667.0,4.0,5.0,1166.67,12.96,3.66,0.0,3.66,14.39,56.27
2024.04.29 - 2024.05.05,4667.0,4.0,4.83,1166.67,14.53,5.94,0.0,5.94,12.2,62.27
2024.05.06 - 2024.05.12,2333.0,2.0,5.0,1166.67,8.09,44.25,0.0,44.25,12.38,84.28
2024.05.13 - 2024.05.19,0.0,0.0,,1166.67,9.41,22.4,0.0,22.4,13.09,70.46
2024.05.20 - 2024.05.26,3501.0,3.0,5.0,1166.67,8.25,5.83,0.0,5.83,9.75,73.59
2024.05.27 - 2024.06.02,3501.0,3.0,4.67,1166.67,11.77,33.64,0.0,33.64,10.4,75.61
2024.06.03 - 2024.06.09,4668.0,4.0,3.0,1166.67,14.3,14.12,0.0,14.12,9.61,73.21
2024.06.10 - 2024.06.16,4667.0,4.0,5.0,1166.67,17.12,5.1,0.0,5.1,9.82,66.04
2024.06.17 - 2024.06.23,3501.0,3.0,3.67,1166.67,18.64,3.87,0.0,3.87,10.67,62.33
2024.06.24 - 2024.06.30,17499.0,15.0,4.47,1166.67,17.55,3.27,0.0,3.27,11.49,69.92
2024.07.01 - 2024.07.07,12834.0,11.0,4.73,1166.67,16.07,19.12,0.0,19.12,14.57,68.03
2024.07.08 - 2024.07.14,8167.0,7.0,4.7,1166.67,18.09,16.55,0.0,16.55,15.41,69.55
2024.07.15 - 2024.07.21,11667.0,10.0,4.93,1166.67,18.99,7.07,0.0,7.07,11.51,75.34
2024.07.22 - 2024.07.28,9333.0,8.0,5.0,1166.67,19.82,13.2,0.0,13.2,12.43,69.88
2024.07.29 - 2024.08.04,11667.0,10.0,4.06,1166.67,18.92,24.43,0.0,24.43,13.0,69.62
2024.08.05 - 2024.08.11,11667.0,10.0,4.71,1166.67,17.61,3.18,0.0,3.18,11.83,63.68
2024.08.12 - 2024.08.18,14000.0,12.0,4.58,1166.67,18.57,5.1,0.0,5.1,13.05,66.6
2024.08.19 - 2024.08.25,14000.0,12.0,4.57,1166.67,17.9,0.99,0.0,0.99,11.63,60.12
2024.08.26 - 2024.09.01,10501.0,9.0,4.83,1166.67,19.4,19.41,0.0,19.41,12.93,68.87
2024.09.02 - 2024.09.08,7001.0,6.0,5.0,1166.67,9.59,0.43,0.0,0.43,13.4,76.34
2024.09.09 - 2024.09.15,13999.0,12.0,4.93,1166.67,15.99,10.18,0.0,10.18,10.74,74.93
2024.09.16 - 2024.09.22,7000.0,6.0,4.72,1166.67,18.49,3.23,0.0,3.23,11.17,60.94
2024.09.23 - 2024.09.29,5835.0,5.0,4.2,1166.67,13.24,32.65,0.0,32.65,11.09,78.85
2024.09.30 - 2024.10.06,5834.0,5.0,5.0,1166.67,14.18,8.54,0.0,8.54,9.95,64.81
