tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Valla Kanyonu - Kastamonu_temp,Valla Kanyonu - Kastamonu_prcp,Valla Kanyonu - Kastamonu_snow,Valla Kanyonu - Kastamonu_rain,Valla Kanyonu - Kastamonu_wspd,Valla Kanyonu - Kastamonu_rhum
2024.01.01 - 2024.01.07,342.0,1.0,5.0,342.47,8.62,0.0,0.0,0.0,8.8,77.14
2024.01.08 - 2024.01.14,0.0,0.0,,342.47,9.29,34.74,0.0,34.74,12.68,72.04
2024.01.15 - 2024.01.21,342.0,1.0,5.0,342.47,1.81,18.71,13.98,4.73,12.6,78.17
2024.01.22 - 2024.01.28,342.0,1.0,5.0,342.47,6.19,20.11,1.99,18.12,12.84,78.68
2024.01.29 - 2024.02.04,0.0,0.0,,342.47,1.4,30.72,22.23,8.49,11.59,81.97
2024.02.05 - 2024.02.11,342.0,1.0,5.0,342.47,3.33,6.97,3.06,3.91,12.26,76.93
2024.02.12 - 2024.02.18,0.0,0.0,,342.47,12.36,0.62,0.0,0.62,13.31,57.87
2024.02.19 - 2024.02.25,0.0,0.0,,342.47,6.61,20.81,0.0,20.81,9.73,86.88
2024.02.26 - 2024.03.03,342.0,1.0,5.0,342.47,7.57,3.14,0.0,3.14,7.69,74.04
2024.03.04 - 2024.03.10,0.0,0.0,,342.47,8.39,0.88,0.0,0.88,6.78,81.93
2024.03.11 - 2024.03.17,1027.0,3.0,3.75,342.47,6.08,37.6,0.0,37.6,9.29,83.99
2024.03.18 - 2024.03.24,0.0,0.0,,342.47,8.12,21.53,0.0,21.53,7.72,82.53
2024.03.25 - 2024.03.31,684.0,2.0,4.5,342.47,5.65,37.26,0.0,37.26,11.64,80.89
2024.04.01 - 2024.04.07,342.0,1.0,5.0,342.47,12.93,4.0,0.0,4.0,11.61,62.8
2024.04.08 - 2024.04.14,1026.0,3.0,4.0,342.47,12.45,1.78,0.0,1.78,10.79,65.72
2024.04.15 - 2024.04.21,5821.0,17.0,4.56,342.47,13.13,0.0,0.0,0.0,10.55,77.43
2024.04.22 - 2024.04.28,3766.0,11.0,4.47,342.47,15.99,4.35,0.0,4.35,13.02,63.18
2024.04.29 - 2024.05.05,2395.0,7.0,5.0,342.47,15.92,7.1,0.0,7.1,9.5,75.01
2024.05.06 - 2024.05.12,1368.0,4.0,4.25,342.47,11.39,32.57,0.0,32.57,8.79,87.36
