tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Yedigöller Milli Parkı - Bolu_temp,Yedigöller Milli Parkı - Bolu_prcp,Yedigöller Milli Parkı - Bolu_snow,Yedigöller Milli Parkı - Bolu_rain,Yedigöller Milli Parkı - Bolu_wspd,Yedigöller Milli Parkı - Bolu_rhum
2024.01.01 - 2024.01.07,774.0,4.0,2.75,193.45,8.05,0.0,0.0,0.0,3.75,72.14
2024.01.08 - 2024.01.14,966.0,5.0,4.5,193.45,7.73,32.77,0.0,32.77,5.78,71.25
2024.01.15 - 2024.01.21,1739.0,9.0,4.83,193.45,-0.7,24.61,20.78,3.83,5.68,78.42
2024.01.22 - 2024.01.28,1353.0,7.0,3.92,193.45,4.51,19.57,13.58,5.99,6.48,76.66
2024.01.29 - 2024.02.04,1546.0,8.0,4.37,193.45,-0.96,31.98,31.98,0.0,4.85,84.59
2024.02.05 - 2024.02.11,1547.0,8.0,4.0,193.45,1.05,2.7,1.22,1.48,4.84,75.76
2024.02.12 - 2024.02.18,1739.0,9.0,4.67,193.45,10.32,0.08,0.0,0.08,5.12,57.57
2024.02.19 - 2024.02.25,2127.0,11.0,4.44,193.45,3.94,22.4,0.0,22.4,4.09,82.64
2024.02.26 - 2024.03.03,967.0,5.0,5.0,193.45,5.81,0.08,0.0,0.08,3.25,65.91
2024.03.04 - 2024.03.10,1159.0,6.0,4.75,193.45,7.39,1.97,0.0,1.97,3.32,75.44
2024.03.11 - 2024.03.17,966.0,5.0,3.75,193.45,4.84,22.89,0.0,22.89,4.12,78.42
2024.03.18 - 2024.03.24,579.0,3.0,5.0,193.45,6.71,7.31,0.0,7.31,3.4,73.33
2024.03.25 - 2024.03.31,1740.0,9.0,4.25,193.45,3.97,34.56,10.14,24.42,3.51,73.14
2024.04.01 - 2024.04.07,966.0,5.0,4.75,193.45,12.23,4.28,0.0,4.28,4.15,58.16
2024.04.08 - 2024.04.14,1353.0,7.0,5.0,193.45,11.85,0.0,0.0,0.0,5.13,57.09
2024.04.15 - 2024.04.21,8899.0,46.0,4.24,193.45,12.2,0.0,0.0,0.0,4.57,72.29
2024.04.22 - 2024.04.28,4835.0,25.0,4.29,193.45,15.22,9.48,0.0,9.48,6.7,58.89
2024.04.29 - 2024.05.05,3288.0,17.0,4.16,193.45,14.94,11.46,0.0,11.46,5.28,68.67
2024.05.06 - 2024.05.12,4255.0,22.0,4.83,193.45,10.57,26.6,0.0,26.6,5.09,80.81
2024.05.13 - 2024.05.19,2900.0,15.0,4.88,193.45,11.76,8.42,0.0,8.42,5.05,72.63
