tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Şahinkaya Kanyonu - Samsun_temp,Şahinkaya Kanyonu - Samsun_prcp,Şahinkaya Kanyonu - Samsun_snow,Şahinkaya Kanyonu - Samsun_rain,Şahinkaya Kanyonu - Samsun_wspd,Şahinkaya Kanyonu - Samsun_rhum
2022.01.03 - 2022.01.09,0.0,0.0,,635.59,7.5,12.27,0.0,12.27,7.27,77.24
2022.01.10 - 2022.01.16,636.0,1.0,5.0,635.59,10.43,2.46,0.0,2.46,6.4,68.89
2022.01.17 - 2022.01.23,1272.0,2.0,5.0,635.59,4.02,38.11,15.71,22.4,10.06,75.58
2022.01.24 - 2022.01.30,0.0,0.0,,635.59,2.49,60.12,48.18,11.94,11.17,70.57
2022.01.31 - 2022.02.06,636.0,1.0,5.0,635.59,0.44,9.71,8.68,1.03,6.78,73.42
2022.02.07 - 2022.02.13,636.0,1.0,5.0,635.59,5.63,4.92,0.0,4.92,8.39,67.43
2022.02.14 - 2022.02.20,636.0,1.0,5.0,635.59,6.32,8.47,0.0,8.47,9.41,71.88
2022.02.21 - 2022.02.27,0.0,0.0,,635.59,7.41,9.89,0.0,9.89,6.82,69.04
2022.02.28 - 2022.03.06,1908.0,3.0,4.67,635.59,9.45,28.37,0.0,28.37,6.13,81.74
2022.03.07 - 2022.03.13,636.0,1.0,5.0,635.59,5.85,51.29,0.0,51.29,7.67,78.26
2022.03.14 - 2022.03.20,0.0,0.0,,635.59,2.35,19.95,5.6,14.35,11.51,72.93
2022.03.21 - 2022.03.27,636.0,1.0,5.0,635.59,2.32,20.54,15.33,5.21,10.32,72.59
2022.03.28 - 2022.04.03,0.0,0.0,,635.59,6.67,2.33,0.0,2.33,7.01,67.02
2022.04.04 - 2022.04.10,1271.0,2.0,5.0,635.59,15.08,0.4,0.0,0.4,9.53,50.47
2022.04.11 - 2022.04.17,636.0,1.0,5.0,635.59,12.64,19.59,0.0,19.59,9.4,74.76
2022.04.18 - 2022.04.24,636.0,1.0,5.0,635.59,10.58,11.69,0.0,11.69,7.34,71.32
2022.04.25 - 2022.05.01,1272.0,2.0,5.0,635.59,12.29,11.82,0.0,11.82,8.59,77.59
2022.05.02 - 2022.05.08,1271.0,2.0,4.5,635.59,14.3,0.97,0.0,0.97,9.41,75.83
2022.05.09 - 2022.05.15,1272.0,2.0,4.5,635.59,11.54,27.5,0.0,27.5,8.62,82.22
2022.05.16 - 2022.05.22,1272.0,2.0,5.0,635.59,15.17,0.13,0.0,0.13,7.56,62.21
2022.05.23 - 2022.05.29,636.0,1.0,5.0,635.59,16.08,12.4,0.0,12.4,8.22,65.8
2022.05.30 - 2022.06.05,1908.0,3.0,5.0,635.59,18.18,2.72,0.0,2.72,8.25,71.7
2022.06.06 - 2022.06.12,636.0,1.0,4.0,635.59,21.5,1.39,0.0,1.39,11.91,73.28
2022.06.13 - 2022.06.19,1272.0,2.0,5.0,635.59,21.63,11.11,0.0,11.11,10.36,79.63
2022.06.20 - 2022.06.26,0.0,0.0,,635.59,22.13,1.03,0.0,1.03,10.22,68.55
2022.06.27 - 2022.07.03,2543.0,4.0,4.67,635.59,20.31,61.36,0.0,61.36,7.9,73.53
2022.07.04 - 2022.07.10,3180.0,5.0,4.4,635.59,21.47,11.66,0.0,11.66,9.11,72.94
2022.07.11 - 2022.07.17,6992.0,11.0,4.75,635.59,23.3,4.32,0.0,4.32,10.36,69.78
2022.07.18 - 2022.07.24,11440.0,18.0,4.67,635.59,22.93,10.63,0.0,10.63,11.4,68.3
