tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Şaşvat karagöl - Artvin_temp,Şaşvat karagöl - Artvin_prcp,Şaşvat karagöl - Artvin_snow,Şaşvat karagöl - Artvin_rain,Şaşvat karagöl - Artvin_wspd,Şaşvat karagöl - Artvin_rhum
2024.01.01 - 2024.01.07,0.0,0.0,,1440.33,-3.0,0.0,0.0,0.0,12.25,57.24
2024.01.08 - 2024.01.14,0.0,0.0,,1440.33,-1.47,68.35,68.35,0.0,15.22,68.71
2024.01.15 - 2024.01.21,0.0,0.0,,1440.33,-5.59,47.34,47.34,0.0,10.57,81.49
2024.01.22 - 2024.01.28,1440.0,1.0,5.0,1440.33,-2.04,30.09,30.09,0.0,13.92,74.03
2024.01.29 - 2024.02.04,0.0,0.0,,1440.33,-6.77,23.39,23.39,0.0,8.55,77.78
2024.02.05 - 2024.02.11,0.0,0.0,,1440.33,-7.06,11.37,11.37,0.0,10.28,66.73
2024.02.12 - 2024.02.18,0.0,0.0,,1440.33,-0.03,97.01,97.01,0.0,15.61,66.87
2024.02.19 - 2024.02.25,1440.0,1.0,5.0,1440.33,-0.19,11.32,11.32,0.0,9.29,78.73
2024.02.26 - 2024.03.03,0.0,0.0,,1440.33,-2.36,4.12,4.12,0.0,9.13,67.18
2024.03.04 - 2024.03.10,1440.0,1.0,5.0,1440.33,-1.11,0.6,0.6,0.0,9.59,49.13
2024.03.11 - 2024.03.17,0.0,0.0,,1440.33,-1.56,24.68,24.68,0.0,9.17,77.16
2024.03.18 - 2024.03.24,0.0,0.0,,1440.33,0.92,21.55,21.42,0.13,9.95,67.24
2024.03.25 - 2024.03.31,1440.0,1.0,3.0,1440.33,-1.12,32.16,32.16,0.0,9.08,78.87
2024.04.01 - 2024.04.07,1440.0,1.0,5.0,1440.33,3.34,12.19,10.54,1.65,12.67,57.09
2024.04.08 - 2024.04.14,1440.0,1.0,5.0,1440.33,4.48,12.78,2.4,10.38,10.18,65.94
2024.04.15 - 2024.04.21,5761.0,4.0,5.0,1440.33,4.1,3.7,0.0,3.7,7.66,78.97
