time,Abant Gölü Tabiat Parkı - Bolu_temp,Abant Gölü Tabiat Parkı - Bolu_prcp,Abant Gölü Tabiat Parkı - Bolu_snow,Abant Gölü Tabiat Parkı - Bolu_rain,Abant Gölü Tabiat Parkı - Bolu_tmin,Abant Gölü Tabiat Parkı - Bolu_tmax,Abant Gölü Tabiat Parkı - Bolu_wspd,Abant Gölü Tabiat Parkı - Bolu_rhum
2021-01-03,2.84,0.44,0.37,0.07,-6.0,9.16,2.34,81.4
2021-01-10,4.44,10.44,0.31,10.13,-5.27,12.78,3.61,76.13
2021-01-17,-0.53,47.25,33.05,14.2,-11.94,15.33,4.85,86.38
2021-01-24,-3.84,6.24,6.19,0.05,-19.43,7.63,4.23,72.56
2021-01-31,0.85,19.23,9.83,9.41,-8.36,8.68,6.8,71.91
2021-02-07,6.2,0.9,0.0,0.9,-4.23,13.53,4.24,65.65
2021-02-14,2.33,11.77,11.41,0.36,-8.64,14.68,6.0,65.78
2021-02-21,-7.62,42.31,42.31,0.0,-15.33,1.41,3.94,82.17
2021-02-28,-0.53,2.05,2.05,0.0,-13.02,10.86,3.25,79.24
2021-03-07,-0.05,11.37,11.37,0.0,-8.06,13.71,3.95,75.34
2021-03-14,1.04,16.75,16.38,0.38,-9.46,11.6,3.69,71.64
2021-03-21,1.63,21.53,16.59,4.94,-4.59,13.04,4.98,78.62
2021-03-28,-1.02,48.18,42.96,5.22,-7.65,13.37,5.16,84.77
2021-04-04,2.1,8.24,5.2,3.04,-6.34,12.9,4.79,79.03
2021-04-11,2.35,42.19,22.43,19.77,-7.53,17.34,6.13,76.77
2021-04-18,5.44,16.54,7.31,9.23,-3.8,14.94,4.48,78.78
2021-04-25,7.46,27.54,0.0,27.54,-3.29,17.35,5.21,74.84
2021-05-02,12.66,2.77,0.0,2.77,-4.36,25.68,3.98,65.79
2021-05-09,11.78,6.24,0.0,6.24,1.48,23.01,5.04,70.68
2021-05-16,11.61,2.95,0.0,2.95,-3.77,22.73,4.78,63.29
2021-05-23,12.29,31.31,0.0,31.31,-0.43,24.99,5.35,69.84
2021-05-30,13.38,21.81,0.0,21.81,1.4,22.81,4.81,69.22
2021-06-06,8.27,21.67,0.0,21.67,0.55,17.53,4.46,81.51
2021-06-13,13.44,12.79,0.0,12.79,2.56,21.11,3.46,71.97
2021-06-20,12.44,55.4,0.0,55.4,3.78,20.7,4.47,81.99
2021-06-27,16.76,26.1,0.0,26.1,8.82,24.4,3.45,78.21
2021-07-04,17.97,27.99,0.0,27.99,8.67,28.0,4.17,73.28
2021-07-11,16.44,25.86,0.0,25.86,6.4,22.5,5.08,78.58
2021-07-18,20.19,0.53,0.0,0.53,8.73,29.19,3.66,69.89
2021-07-25,18.25,5.83,0.0,5.83,7.9,27.25,4.97,70.58
2021-08-01,20.72,0.42,0.0,0.42,8.54,27.73,4.1,61.57
2021-08-08,21.23,31.99,0.0,31.99,7.71,32.03,4.47,61.52
2021-08-15,16.57,6.12,0.0,6.12,6.18,22.43,4.34,71.49
2021-08-22,16.65,2.59,0.0,2.59,6.63,26.0,4.55,71.92
2021-08-29,19.84,0.0,0.0,0.0,8.62,29.42,4.39,70.2
2021-09-05,15.46,9.22,0.0,9.22,4.74,24.47,5.13,72.49
2021-09-12,12.67,22.39,0.0,22.39,3.03,20.01,4.81,75.36
2021-09-19,13.26,18.92,0.0,18.92,3.01,23.56,3.1,77.33
2021-09-26,10.15,19.41,0.0,19.41,0.82,24.24,3.56,80.08
2021-10-03,9.5,3.31,0.0,3.31,0.54,17.1,4.2,75.76
2021-10-10,9.09,3.26,0.0,3.26,1.13,15.96,3.62,79.2
2021-10-17,10.14,19.6,0.0,19.6,1.55,21.07,3.39,79.33
2021-10-24,6.39,22.93,0.0,22.93,-2.85,17.11,2.92,80.86
2021-10-31,4.77,0.72,0.0,0.72,-5.49,11.84,3.12,79.04
2021-11-07,9.59,10.82,0.0,10.82,-0.29,18.73,2.07,81.38
2021-11-14,3.89,10.79,9.78,1.02,-7.82,19.88,3.31,73.92
2021-11-21,2.26,1.62,1.52,0.11,-4.59,10.03,2.65,83.35
2021-11-28,5.21,19.26,9.61,9.65,-5.27,13.93,4.33,75.8
2021-12-05,5.45,19.65,6.38,13.27,-4.12,18.44,6.73,68.46
2021-12-12,6.84,8.6,0.0,8.6,-3.54,12.74,5.38,68.21
2021-12-19,-0.79,59.85,42.94,16.91,-4.14,9.08,5.59,90.61
2021-12-26,-3.65,9.81,9.81,0.0,-13.48,6.59,5.17,77.27
2022-01-02,2.72,8.25,7.03,1.22,-4.06,9.98,4.06,79.17
2022-01-09,2.76,2.91,1.18,1.73,-7.2,12.45,3.16,79.42
2022-01-16,-3.12,38.58,37.78,0.79,-10.0,6.23,5.23,82.67
2022-01-23,-6.45,55.55,55.55,0.0,-13.93,1.97,5.41,83.38
2022-01-30,-6.88,11.17,11.17,0.0,-13.84,0.54,3.61,83.61
2022-02-06,-2.65,18.56,18.08,0.49,-14.91,5.76,4.64,77.46
2022-02-13,-0.97,36.24,36.24,0.0,-9.85,8.38,4.56,79.81
2022-02-20,0.37,11.45,11.45,0.0,-8.26,9.48,3.27,76.22
2022-02-27,1.42,44.76,42.55,2.21,-4.81,11.95,4.11,82.7
2022-03-06,-1.84,16.9,16.9,0.0,-6.69,3.98,5.24,80.95
2022-03-13,-5.57,34.77,34.77,0.0,-14.95,1.67,5.41,83.47
2022-03-20,-5.77,16.0,16.0,0.0,-13.47,3.09,4.33,78.72
2022-03-27,-2.44,5.94,5.94,0.0,-10.71,9.54,5.02,75.96
2022-04-03,8.73,0.89,0.0,0.89,-5.2,20.16,5.58,50.77
2022-04-10,6.51,16.72,0.0,16.72,-4.62,19.67,4.58,71.21
2022-04-17,3.37,13.96,10.46,3.5,-6.13,16.28,4.91,68.73
2022-04-24,7.4,5.68,2.66,3.02,-5.08,19.84,4.54,71.14
2022-05-01,9.38,9.02,0.0,9.02,1.36,21.05,4.65,73.48
2022-05-08,5.65,11.11,0.0,11.11,-2.95,13.59,5.4,79.4
2022-05-15,10.15,1.44,0.0,1.44,-3.15,21.49,4.55,61.5
2022-05-22,11.65,15.16,0.0,15.16,-3.22,21.37,5.06,65.02
2022-05-29,15.41,7.25,0.0,7.25,1.72,27.16,4.95,64.42
2022-06-05,16.12,2.53,0.0,2.53,7.27,25.88,5.51,71.62
2022-06-12,14.04,47.67,0.0,47.67,6.31,24.01,4.46,76.79
2022-06-19,15.25,18.28,0.0,18.28,7.77,21.63,5.46,76.6
2022-06-26,14.45,40.13,0.0,40.13,6.73,22.45,5.21,77.46
2022-07-03,14.73,57.82,0.0,57.82,8.08,22.03,5.08,79.59
2022-07-10,15.86,17.85,0.0,17.85,5.45,22.7,4.86,75.43
2022-07-17,15.27,2.56,0.0,2.56,6.39,22.99,5.02,72.24
2022-07-24,16.35,0.49,0.0,0.49,5.27,22.98,5.69,63.73
2022-07-31,18.61,0.68,0.0,0.68,6.02,25.45,5.01,68.96
2022-08-07,18.53,1.41,0.0,1.41,9.1,22.73,5.77,72.23
2022-08-14,17.59,35.17,0.0,35.17,9.69,24.15,4.77,76.68
2022-08-21,18.02,10.9,0.0,10.9,8.46,25.1,3.87,73.35
2022-08-28,18.93,12.4,0.0,12.4,9.89,26.73,3.7,76.52
2022-09-04,18.22,6.06,0.0,6.06,11.58,25.63,4.14,79.39
2022-09-11,14.44,5.25,0.0,5.25,3.45,24.93,4.76,68.83
2022-09-18,14.37,6.39,0.0,6.39,1.96,28.83,3.84,66.09
2022-09-25,7.97,10.4,0.0,10.4,-0.58,18.63,4.65,73.07
2022-10-02,12.57,9.71,0.0,9.71,-0.19,23.6,3.4,68.06
2022-10-09,7.96,28.88,0.0,28.88,1.86,15.9,4.67,84.71
2022-10-16,8.27,21.86,0.0,21.86,1.94,14.83,3.78,85.9
2022-10-23,6.95,14.53,0.0,14.53,-4.87,15.81,4.44,79.05
2022-10-30,6.14,0.0,0.0,0.0,-3.4,16.48,2.82,78.59
2022-11-06,5.85,0.47,0.0,0.47,-4.34,18.57,2.18,74.17
2022-11-13,3.98,1.24,0.0,1.24,-6.73,11.4,2.8,78.89
2022-11-20,7.23,4.04,0.0,4.04,-5.54,15.24,4.24,71.18
2022-11-27,4.79,29.21,23.35,5.86,-1.45,16.16,5.18,77.26
2022-12-04,2.68,11.2,0.04,11.16,-4.36,9.88,2.62,87.89
2022-12-11,4.62,7.52,0.0,7.52,-5.12,12.7,3.5,78.17
2022-12-18,5.58,18.82,9.96,8.86,-2.47,15.26,3.82,81.31
2022-12-25,-1.03,12.35,12.35,0.0,-9.56,5.95,3.77,78.59
2023-01-01,0.37,13.69,13.69,0.0,-7.13,8.3,2.49,83.91
2023-01-08,-1.23,2.57,2.57,0.0,-9.01,7.29,2.37,79.32
2023-01-15,1.73,2.46,0.22,2.24,-7.88,9.19,4.37,73.37
2023-01-22,5.17,0.0,0.0,0.0,-7.53,14.42,5.98,61.42
2023-01-29,0.89,13.07,11.93,1.14,-8.49,9.4,5.44,75.43
2023-02-05,-3.9,13.73,13.73,0.0,-8.73,0.73,5.32,81.04
2023-02-12,-5.51,32.58,32.58,0.0,-11.06,-0.84,5.23,83.78
2023-02-19,-0.72,7.4,7.4,0.0,-10.45,12.15,6.42,70.69
2023-02-26,3.87,7.49,5.73,1.75,-5.43,12.89,5.94,70.72
2023-03-05,4.39,14.4,0.0,14.4,-1.03,14.75,4.7,79.78
2023-03-12,5.06,37.14,35.34,1.8,-3.48,13.47,6.05,72.1
2023-03-19,1.32,49.61,44.04,5.58,-6.13,13.4,5.83,84.12
2023-03-26,3.52,5.66,0.92,4.74,-5.33,14.64,4.21,80.72
2023-04-02,2.81,36.69,15.38,21.31,-11.06,16.22,6.61,73.19
2023-04-09,5.36,21.91,4.67,17.23,-2.17,15.87,5.9,75.15
2023-04-16,6.62,22.39,0.0,22.39,-3.02,18.77,6.23,74.12
2023-04-23,7.46,17.31,0.0,17.31,-0.52,16.36,5.37,76.75
2023-04-30,5.56,44.82,0.97,43.85,-2.04,16.43,5.87,75.76
2023-05-07,7.71,10.52,0.0,10.52,-2.88,20.7,5.42,70.87
2023-05-14,7.01,6.69,0.0,6.69,-0.39,14.99,6.51,80.68
2023-05-21,11.07,27.78,0.0,27.78,2.85,23.67,5.51,77.86
2023-05-28,10.64,11.49,0.0,11.49,6.23,17.25,4.81,84.2
2023-06-04,11.7,62.78,0.0,62.78,3.99,20.89,4.97,81.41
2023-06-11,13.79,6.81,0.0,6.81,7.54,21.87,5.33,78.52
2023-06-18,13.96,31.19,0.0,31.19,6.9,24.39,5.58,79.53
2023-06-25,15.11,60.72,0.0,60.72,7.14,24.11,5.39,76.9
2023-07-02,15.73,8.93,0.0,8.93,4.46,25.39,5.12,72.41
2023-07-09,17.44,55.29,0.0,55.29,8.93,26.33,5.72,76.99
2023-07-16,17.81,19.48,0.0,19.48,5.87,28.73,5.26,67.57
2023-07-23,19.95,0.0,0.0,0.0,7.78,28.93,5.41,67.0
2023-07-30,17.18,6.47,0.0,6.47,6.44,31.59,5.67,67.51
2023-08-06,20.38,0.05,0.0,0.05,9.01,31.77,5.37,66.99
2023-08-13,17.49,13.79,0.0,13.79,10.87,26.21,7.19,75.73
2023-08-20,21.97,0.32,0.0,0.32,11.78,32.88,5.96,71.14
2023-08-27,19.82,0.0,0.0,0.0,9.13,28.14,5.34,66.17
2023-09-03,18.38,6.75,0.0,6.75,9.43,29.97,4.87,69.0
2023-09-10,15.86,1.81,0.0,1.81,3.24,23.79,6.6,73.12
2023-09-17,13.69,0.0,0.0,0.0,1.74,23.25,4.93,65.62
2023-09-24,14.6,0.0,0.0,0.0,3.28,25.58,4.5,66.06
2023-10-01,14.15,24.55,0.0,24.55,5.63,23.98,4.24,79.74
2023-10-08,10.01,36.57,0.0,36.57,1.74,19.58,3.94,79.08
2023-10-15,8.57,8.51,0.0,8.51,0.62,18.76,3.81,78.11
2023-10-22,9.8,13.15,0.0,13.15,-0.02,23.05,4.21,76.13
2023-10-29,12.7,1.51,0.0,1.51,2.04,22.59,3.25,70.53
2023-11-05,11.98,7.28,0.0,7.28,3.01,22.46,3.78,74.11
2023-11-12,9.49,19.66,0.0,19.66,0.08,19.48,4.28,76.02
2023-11-19,4.29,72.08,32.24,39.84,-4.18,15.03,6.08,82.48
2023-11-26,4.74,42.61,23.72,18.88,-4.49,13.77,6.4,79.22
2023-12-03,4.4,28.37,5.57,22.8,-9.83,15.31,6.19,71.87
2023-12-10,3.09,44.16,26.93,17.22,-2.68,8.16,4.08,88.87
2023-12-17,2.47,10.72,2.17,8.56,-5.95,13.2,4.36,81.03
2023-12-24,0.54,32.39,22.41,9.98,-7.45,10.39,4.74,81.22
2023-12-31,3.41,1.35,0.0,1.35,-6.26,12.7,3.21,77.57
2024-01-07,4.45,19.23,0.0,19.23,-4.94,11.53,4.99,75.54
2024-01-14,-3.04,38.49,34.22,4.27,-13.02,7.16,5.15,80.67
2024-01-21,1.8,30.1,18.91,11.19,-10.09,11.13,6.06,78.29
2024-01-28,-3.92,21.97,21.97,0.0,-11.32,1.47,5.11,83.03
2024-02-04,-3.05,6.35,6.35,0.0,-10.06,2.98,4.26,78.94
2024-02-11,5.52,1.15,0.0,1.15,-4.89,14.06,5.15,67.12
2024-02-18,2.38,33.08,31.0,2.08,-3.01,12.85,4.67,79.44
2024-02-25,1.5,0.0,0.0,0.0,-7.47,14.22,2.92,70.62
2024-03-03,4.83,2.94,0.0,2.94,-3.96,14.34,3.76,73.06
2024-03-10,1.58,17.64,13.18,4.46,-5.79,10.32,3.93,81.16
