time,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_tmin,Erfelek Tatlıca Şelaleleri - Sinop_tmax,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2021-01-03,7.56,0.0,0.0,0.0,2.68,11.71,14.54,77.17
2021-01-10,9.66,6.43,0.0,6.43,4.49,17.71,10.52,70.84
2021-01-17,5.25,30.88,0.0,30.88,-1.94,14.73,15.41,85.07
2021-01-24,3.21,8.18,8.18,0.0,-4.15,14.39,12.42,66.08
2021-01-31,8.01,2.27,0.0,2.27,-1.2,15.47,14.98,58.64
2021-02-07,9.63,1.62,0.0,1.62,3.9,17.04,12.06,69.58
2021-02-14,7.59,4.07,3.38,0.69,-1.14,17.64,16.06,67.48
2021-02-21,-0.77,21.55,21.55,0.0,-3.34,5.29,14.97,74.17
2021-02-28,3.38,4.02,0.0,4.02,-1.39,9.73,10.35,77.81
2021-03-07,4.57,8.92,3.33,5.59,-0.57,18.26,12.02,76.81
2021-03-14,3.24,4.81,0.05,4.76,-1.6,10.16,12.6,73.62
2021-03-21,5.74,7.72,0.0,7.72,2.27,12.84,11.45,78.38
2021-03-28,4.14,20.07,4.53,15.53,-0.28,11.24,15.35,76.42
2021-04-04,6.13,3.84,0.0,3.84,2.15,14.42,10.79,79.8
2021-04-11,6.37,23.58,0.0,23.58,1.69,15.12,16.89,80.41
2021-04-18,7.72,9.66,0.0,9.66,3.29,12.93,10.98,84.41
2021-04-25,9.23,3.65,0.0,3.65,5.81,14.28,11.28,81.93
2021-05-02,10.45,1.53,0.0,1.53,3.67,19.09,11.7,79.53
2021-05-09,12.57,7.07,0.0,7.07,7.05,22.42,15.87,71.44
2021-05-16,11.92,0.0,0.0,0.0,4.76,19.6,10.44,69.1
2021-05-23,14.03,14.66,0.0,14.66,10.63,20.88,16.06,76.73
2021-05-30,14.04,10.13,0.0,10.13,9.54,19.47,11.99,80.93
2021-06-06,13.62,6.75,0.0,6.75,10.8,18.35,12.75,80.38
2021-06-13,16.24,0.0,0.0,0.0,10.05,21.83,6.44,74.32
2021-06-20,17.03,10.31,0.0,10.31,13.46,22.32,9.96,83.11
