time,Gölcük Tabiat Parkı - Bolu_temp,Gölcük Tabiat Parkı - Bolu_prcp,Gölcük Tabiat Parkı - Bolu_snow,Gölcük Tabiat Parkı - Bolu_rain,Gölcük Tabiat Parkı - Bolu_tmin,Gölcük Tabiat Parkı - Bolu_tmax,Gölcük Tabiat Parkı - Bolu_wspd,Gölcük Tabiat Parkı - Bolu_rhum
2021-01-03,3.49,0.47,0.0,0.47,-5.37,11.18,2.29,79.02
2021-01-10,5.05,3.43,0.54,2.89,-5.4,12.11,2.69,75.1
2021-01-17,0.45,29.95,15.02,14.93,-12.02,14.8,4.64,84.89
2021-01-24,-3.11,5.4,5.36,0.04,-18.76,7.42,3.57,72.72
2021-01-31,1.39,13.05,7.61,5.44,-7.01,8.96,5.43,72.24
2021-02-07,7.41,0.0,0.0,0.0,-3.73,14.63,3.36,61.45
2021-02-14,3.58,3.64,2.86,0.78,-7.71,14.16,5.18,63.1
2021-02-21,-6.69,29.56,29.56,0.0,-15.43,2.19,3.56,79.77
2021-02-28,1.08,1.09,1.09,0.0,-12.39,12.57,2.75,76.03
2021-03-07,1.15,5.27,4.85,0.42,-7.46,14.64,3.63,71.79
2021-03-14,2.53,8.11,8.1,0.01,-7.69,11.81,3.04,67.31
2021-03-21,2.71,16.55,11.34,5.21,-3.24,13.22,4.54,77.44
2021-03-28,0.16,37.21,32.53,4.68,-6.54,14.47,4.92,84.61
2021-04-04,3.24,5.31,2.11,3.2,-5.25,12.78,4.22,77.37
2021-04-11,4.16,24.67,10.08,14.59,-6.06,18.75,6.28,73.72
2021-04-18,7.46,13.62,6.48,7.15,-3.37,15.6,3.69,76.54
2021-04-25,9.55,25.26,0.0,25.26,-1.67,18.6,4.34,71.51
2021-05-02,15.24,2.83,0.0,2.83,-2.63,26.58,3.78,60.08
2021-05-09,13.63,6.0,0.0,6.0,2.9,25.19,4.61,67.12
2021-05-16,14.44,2.57,0.0,2.57,-2.86,24.41,4.45,58.22
2021-05-23,14.46,20.6,0.0,20.6,1.43,27.05,5.3,65.54
2021-05-30,15.88,28.98,0.0,28.98,2.96,25.66,4.05,64.48
2021-06-06,9.58,10.97,0.0,10.97,1.5,18.09,4.82,80.09
2021-06-13,14.88,17.84,0.0,17.84,3.28,21.88,3.15,70.24
2021-06-20,14.52,43.42,0.0,43.42,5.03,21.87,4.41,79.64
2021-06-27,18.4,33.69,0.0,33.69,9.5,25.27,3.63,76.19
2021-07-04,19.97,15.64,0.0,15.64,9.83,28.76,3.82,69.28
2021-07-11,17.95,7.5,0.0,7.5,7.06,23.47,4.47,74.68
2021-07-18,21.94,0.0,0.0,0.0,9.19,32.19,3.48,62.84
2021-07-25,19.63,0.89,0.0,0.89,8.92,29.21,4.71,66.59
2021-08-01,22.46,0.0,0.0,0.0,9.78,29.06,4.03,55.73
2021-08-08,23.01,11.81,0.0,11.81,8.66,33.0,4.01,55.09
2021-08-15,17.89,6.85,0.0,6.85,7.09,23.35,4.44,69.22
2021-08-22,18.45,0.43,0.0,0.43,7.79,28.4,4.11,68.54
2021-08-29,21.92,0.0,0.0,0.0,9.91,30.61,4.05,66.11
2021-09-05,17.13,7.18,0.0,7.18,6.57,25.99,4.74,70.82
2021-09-12,14.78,20.09,0.0,20.09,4.19,22.38,4.02,74.17
2021-09-19,14.78,12.96,0.0,12.96,3.23,23.98,3.32,76.69
2021-09-26,11.39,12.81,0.0,12.81,1.39,24.47,3.82,79.09
