time,Güzellere Şelalesi Tabiat Parkı - Düzce_temp,Güzellere Şelalesi Tabiat Parkı - Düzce_prcp,Güzellere Şelalesi Tabiat Parkı - Düzce_snow,Güzellere Şelalesi Tabiat Parkı - Düzce_rain,Güzellere Şelalesi Tabiat Parkı - Düzce_tmin,Güzellere Şelalesi Tabiat Parkı - Düzce_tmax,Güzellere Şelalesi Tabiat Parkı - Düzce_wspd,Güzellere Şelalesi Tabiat Parkı - Düzce_rhum
2021-01-03,7.49,0.42,0.0,0.42,-1.04,13.04,2.62,81.14
2021-01-10,9.0,13.26,0.0,13.26,-0.19,17.79,4.21,76.15
2021-01-17,3.86,57.16,27.54,29.63,-6.79,20.43,5.22,86.92
2021-01-24,0.64,7.99,7.9,0.09,-14.46,12.51,4.96,72.1
2021-01-31,5.41,23.01,3.54,19.47,-4.05,13.61,7.78,71.65
2021-02-07,10.34,1.22,0.0,1.22,0.46,17.57,4.82,67.75
2021-02-14,6.61,15.09,8.9,6.18,-4.11,19.69,6.69,66.63
2021-02-21,-3.14,47.03,47.03,0.0,-10.43,5.81,4.64,82.34
2021-02-28,3.46,2.62,0.0,2.62,-8.25,14.55,3.71,80.24
2021-03-07,4.19,15.06,6.37,8.69,-3.66,17.97,4.38,76.24
2021-03-14,5.07,20.57,0.0,20.57,-5.46,16.08,4.23,73.07
2021-03-21,5.92,24.57,0.0,24.57,-0.34,17.59,5.45,79.05
2021-03-28,3.26,53.29,29.88,23.41,-3.17,17.31,5.66,84.24
2021-04-04,6.41,9.26,0.0,9.26,-1.88,17.66,5.43,79.29
2021-04-11,6.38,49.29,14.88,34.42,-3.17,21.48,6.54,77.8
2021-04-18,9.2,16.91,0.0,16.91,0.25,19.46,5.01,79.54
2021-04-25,11.21,26.77,0.0,26.77,1.06,21.45,5.8,76.0
2021-05-02,16.06,2.64,0.0,2.64,-0.06,29.98,4.31,68.32
2021-05-09,15.62,6.33,0.0,6.33,5.8,26.86,5.5,71.65
2021-05-16,14.9,2.84,0.0,2.84,0.86,26.61,5.19,65.03
2021-05-23,16.04,35.7,0.0,35.7,3.93,28.7,5.83,70.83
2021-05-30,16.89,17.5,0.0,17.5,5.81,26.27,5.44,70.99
2021-06-06,12.53,25.62,0.0,25.62,5.01,22.07,4.68,81.34
2021-06-13,17.53,9.7,0.0,9.7,7.37,25.4,3.88,72.54
2021-06-20,16.32,57.49,0.0,57.49,8.39,24.92,4.87,82.34
2021-06-27,20.72,22.5,0.0,22.5,13.19,28.71,3.71,78.79
2021-07-04,21.74,32.93,0.0,32.93,13.09,32.19,4.69,74.81
2021-07-11,20.54,32.75,0.0,32.75,11.03,26.85,5.76,79.9
2021-07-18,24.11,0.7,0.0,0.7,13.33,32.38,4.12,72.84
2021-07-25,22.49,7.81,0.0,7.81,12.35,31.2,5.52,71.75
2021-08-01,24.59,0.56,0.0,0.56,12.92,31.72,4.56,63.95
2021-08-08,25.12,39.73,0.0,39.73,12.38,36.03,5.04,63.98
2021-08-15,20.8,5.18,0.0,5.18,10.9,27.14,4.8,71.88
2021-08-22,20.66,3.36,0.0,3.36,11.08,29.49,5.16,72.62
2021-08-29,23.59,0.0,0.0,0.0,13.02,33.46,4.81,71.27
2021-09-05,19.49,9.56,0.0,9.56,8.69,28.63,5.76,72.45
2021-09-12,16.45,21.72,0.0,21.72,7.4,23.57,5.62,74.75
2021-09-19,17.33,21.77,0.0,21.77,7.57,28.08,3.4,76.97
2021-09-26,14.43,23.55,0.0,23.55,5.55,28.75,3.89,79.54
2021-10-03,13.71,4.44,0.0,4.44,4.53,21.23,4.79,76.01
2021-10-10,13.11,4.44,0.0,4.44,5.14,19.91,4.17,80.12
2021-10-17,14.02,20.87,0.0,20.87,6.4,25.2,3.77,80.69
2021-10-24,10.31,24.64,0.0,24.64,1.37,20.89,3.28,81.04
2021-10-31,8.83,0.96,0.0,0.96,-0.99,15.73,3.6,79.27
2021-11-07,13.63,11.41,0.0,11.41,4.36,23.16,2.34,82.68
2021-11-14,7.69,14.23,0.0,14.23,-3.4,24.03,3.86,75.12
2021-11-21,6.47,2.28,0.0,2.28,-0.07,13.92,3.13,83.37
2021-11-28,9.33,21.67,0.0,21.67,-0.7,18.59,4.88,76.52
2021-12-05,9.92,19.71,0.0,19.71,0.18,23.32,7.46,69.05
2021-12-12,11.12,9.68,0.0,9.68,1.32,17.76,6.04,69.78
2021-12-19,3.63,69.82,11.51,58.32,0.37,12.36,6.32,90.18
2021-12-26,1.05,8.14,8.14,0.0,-8.53,11.72,5.86,75.3
2022-01-02,7.29,9.22,0.0,9.22,0.79,14.87,4.78,78.78
2022-01-09,7.24,3.12,0.0,3.12,-2.59,17.4,3.64,79.73
2022-01-16,1.19,43.45,40.48,2.97,-5.4,10.89,6.06,82.3
2022-01-23,-1.92,52.64,52.64,0.0,-8.72,7.09,6.14,81.28
2022-01-30,-2.32,11.73,11.73,0.0,-9.44,5.14,4.08,82.3
2022-02-06,2.13,21.65,12.33,9.32,-9.34,10.86,5.39,76.54
2022-02-13,3.57,43.2,27.11,16.09,-5.07,12.85,5.43,79.11
2022-02-20,4.65,13.29,0.0,13.29,-3.84,14.02,3.61,76.09
2022-02-27,5.67,50.33,0.0,50.33,-0.62,16.34,4.94,82.47
2022-03-06,2.41,15.83,8.49,7.35,-2.35,8.06,5.93,79.88
2022-03-13,-1.31,36.32,22.55,13.77,-9.95,5.68,6.3,82.55
2022-03-20,-1.47,19.03,19.03,0.0,-8.75,7.06,4.77,79.13
2022-03-27,1.9,6.79,6.04,0.75,-5.7,14.24,5.6,76.07
2022-04-03,12.97,1.19,0.0,1.19,-0.89,24.99,6.25,52.92
2022-04-10,10.49,15.97,0.0,15.97,-0.66,24.29,5.14,71.97
2022-04-17,7.52,18.87,0.0,18.87,-1.98,20.45,5.38,69.91
2022-04-24,10.98,7.42,0.0,7.42,-0.89,23.94,4.9,72.85
2022-05-01,13.04,8.82,0.0,8.82,5.39,24.83,5.43,74.88
2022-05-08,9.65,11.64,0.0,11.64,1.35,17.19,6.06,79.5
2022-05-15,13.84,1.17,0.0,1.17,1.08,25.77,5.11,63.43
2022-05-22,15.45,14.79,0.0,14.79,1.17,25.6,5.62,65.67
2022-05-29,19.18,9.91,0.0,9.91,6.24,31.26,5.18,65.96
2022-06-05,20.07,1.85,0.0,1.85,11.74,30.01,6.21,72.19
2022-06-12,18.16,46.07,0.0,46.07,10.44,28.47,4.82,76.92
2022-06-19,19.36,15.92,0.0,15.92,12.01,26.1,6.37,76.86
2022-06-26,18.91,34.89,0.0,34.89,11.21,26.14,5.63,76.9
2022-07-03,19.16,62.6,0.0,62.6,12.25,26.52,5.83,79.61
2022-07-10,20.11,18.68,0.0,18.68,9.97,26.9,5.42,76.45
2022-07-17,19.79,2.28,0.0,2.28,10.72,27.22,5.73,72.77
2022-07-24,20.59,0.59,0.0,0.59,9.64,27.36,6.38,64.4
2022-07-31,22.55,0.53,0.0,0.53,10.82,29.18,5.67,69.83
2022-08-07,22.77,2.0,0.0,2.0,13.09,27.12,6.71,72.25
2022-08-14,21.73,35.71,0.0,35.71,14.25,28.31,5.35,76.97
2022-08-21,21.89,11.94,0.0,11.94,12.85,29.63,4.16,73.83
2022-08-28,22.79,10.74,0.0,10.74,14.49,30.32,4.06,77.53
2022-09-04,22.29,8.0,0.0,8.0,16.01,29.49,4.46,80.21
2022-09-11,18.55,7.14,0.0,7.14,7.88,29.18,5.45,69.79
2022-09-18,18.33,8.32,0.0,8.32,6.58,33.03,4.22,67.07
2022-09-25,12.27,12.46,0.0,12.46,3.73,22.49,5.07,72.98
2022-10-02,16.99,8.24,0.0,8.24,3.97,28.14,3.89,68.23
2022-10-09,12.3,34.57,0.0,34.57,5.86,20.57,5.29,83.67
2022-10-16,12.37,26.61,0.0,26.61,6.15,18.97,4.63,85.34
2022-10-23,11.19,15.46,0.0,15.46,-0.46,20.0,5.26,78.53
2022-10-30,10.3,0.0,0.0,0.0,0.96,20.91,3.27,79.04
2022-11-06,10.29,0.63,0.0,0.63,0.21,23.26,2.56,75.32
2022-11-13,8.17,1.68,0.0,1.68,-2.15,15.71,3.23,79.97
2022-11-20,11.78,3.54,0.0,3.54,-0.96,20.14,4.86,71.57
2022-11-27,9.32,27.77,0.0,27.77,3.23,21.37,5.81,76.77
2022-12-04,7.12,13.33,0.0,13.33,0.15,14.14,3.12,87.49
2022-12-11,9.12,5.5,0.0,5.5,-0.5,17.61,4.18,77.85
2022-12-18,9.8,21.31,0.0,21.31,1.35,19.69,4.38,81.37
2022-12-25,3.25,13.73,0.76,12.97,-5.22,10.54,4.27,78.4
2023-01-01,4.55,10.49,0.0,10.49,-2.6,12.38,2.76,82.98
2023-01-08,3.08,2.4,0.0,2.4,-4.59,11.56,2.71,79.93
2023-01-15,6.16,3.33,0.0,3.33,-3.18,13.68,5.32,74.79
2023-01-22,9.34,0.0,0.0,0.0,-2.77,18.46,7.61,62.74
2023-01-29,4.96,15.3,7.02,8.28,-4.0,13.41,6.48,76.96
2023-02-05,0.31,16.98,16.98,0.0,-4.37,5.45,6.39,81.63
2023-02-12,-1.2,39.76,39.76,0.0,-6.55,3.77,6.59,84.26
2023-02-19,3.57,7.29,7.29,0.0,-6.3,16.59,7.59,70.9
2023-02-26,7.82,7.63,0.0,7.63,-1.56,17.61,7.27,72.01
2023-03-05,8.17,15.18,0.0,15.18,2.68,19.38,5.83,80.43
2023-03-12,9.34,37.27,0.0,37.27,0.98,18.04,7.31,72.51
2023-03-19,5.46,51.44,0.0,51.44,-2.06,17.62,7.37,83.74
2023-03-26,7.32,6.04,0.0,6.04,-1.23,18.58,4.92,82.04
2023-04-02,6.98,42.48,17.69,24.79,-6.47,21.01,7.75,73.72
2023-04-09,9.15,24.61,0.0,24.61,1.65,19.97,6.89,77.02
2023-04-16,10.72,19.31,0.0,19.31,1.74,23.01,7.39,74.09
2023-04-23,11.29,16.09,0.0,16.09,3.58,20.31,6.25,78.07
2023-04-30,9.7,50.71,0.0,50.71,2.39,21.03,6.68,76.22
2023-05-07,11.5,11.12,0.0,11.12,1.54,24.51,6.54,72.23
2023-05-14,10.81,6.85,0.0,6.85,3.32,18.82,7.65,80.4
2023-05-21,14.81,28.33,0.0,28.33,7.39,27.2,6.39,78.27
2023-05-28,14.6,10.08,0.0,10.08,10.34,21.62,5.87,84.02
2023-06-04,15.83,57.21,0.0,57.21,8.39,24.79,6.07,81.4
2023-06-11,17.58,6.48,0.0,6.48,10.91,25.03,6.22,79.03
2023-06-18,17.82,37.31,0.0,37.31,11.34,27.84,6.46,80.54
2023-06-25,19.32,58.84,0.0,58.84,11.55,28.21,6.19,78.02
2023-07-02,19.76,10.55,0.0,10.55,8.62,29.54,5.69,73.41
2023-07-09,21.31,57.81,0.0,57.81,13.27,30.0,6.75,78.12
2023-07-16,21.81,14.74,0.0,14.74,10.44,32.81,6.01,68.85
2023-07-23,23.82,0.0,0.0,0.0,11.98,32.88,6.02,68.59
2023-07-30,21.15,6.97,0.0,6.97,11.1,35.69,6.51,68.37
2023-08-06,23.9,0.07,0.0,0.07,12.75,35.2,5.91,68.04
2023-08-13,21.35,19.74,0.0,19.74,15.15,30.44,8.31,75.78
2023-08-20,25.26,0.47,0.0,0.47,16.17,34.78,7.09,73.63
2023-08-27,23.69,0.0,0.0,0.0,13.54,32.0,6.5,68.87
2023-09-03,22.33,7.47,0.0,7.47,14.03,33.87,5.9,69.98
2023-09-10,19.98,2.19,0.0,2.19,8.03,27.55,8.38,72.39
2023-09-17,17.74,0.0,0.0,0.0,6.16,27.02,6.06,67.05
2023-09-24,18.45,0.0,0.0,0.0,7.3,29.84,5.33,67.4
2023-10-01,18.22,27.81,0.0,27.81,10.38,27.36,5.14,80.86
2023-10-08,14.14,39.59,0.0,39.59,6.16,23.41,4.72,79.28
2023-10-15,12.74,10.67,0.0,10.67,4.89,22.56,4.61,79.0
2023-10-22,13.88,14.67,0.0,14.67,4.34,27.0,5.19,77.09
2023-10-29,16.54,1.36,0.0,1.36,6.57,26.6,3.92,72.7
2023-11-05,15.94,8.65,0.0,8.65,7.55,26.66,4.61,76.59
2023-11-12,13.45,22.26,0.0,22.26,3.98,23.5,4.96,78.01
2023-11-19,8.55,84.28,35.78,48.5,0.3,19.3,7.28,83.3
2023-11-26,9.18,37.09,0.0,37.09,-0.21,18.32,7.78,78.74
2023-12-03,8.63,32.47,2.95,29.52,-5.48,19.97,7.55,73.36
2023-12-10,7.08,52.88,0.0,52.88,1.32,12.09,5.16,89.5
2023-12-17,6.49,13.15,0.0,13.15,-1.65,17.68,5.54,81.94
2023-12-24,4.88,28.78,0.0,28.78,-3.5,14.54,5.63,81.09
2023-12-31,7.69,0.95,0.0,0.95,-1.84,17.01,4.1,78.65
2024-01-07,8.75,18.87,0.0,18.87,-0.31,16.17,6.04,76.81
2024-01-14,1.42,41.47,26.8,14.68,-8.36,11.78,6.47,80.24
2024-01-21,5.98,36.78,17.4,19.38,-5.48,15.86,7.56,78.68
2024-01-28,0.65,22.02,16.12,5.91,-6.75,5.81,6.2,82.39
