time,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_tmin,Horma Kanyonu - Kastamonu_tmax,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2021-01-03,5.95,0.17,0.0,0.17,-0.47,13.06,9.04,71.43
2021-01-10,8.09,3.61,0.0,3.61,2.61,16.08,8.39,74.12
2021-01-17,4.64,33.67,17.53,16.14,-4.24,17.3,9.69,86.85
2021-01-24,1.55,8.13,7.98,0.15,-8.25,13.44,12.19,72.16
2021-01-31,6.49,11.34,8.03,3.31,-2.95,15.8,13.45,68.21
2021-02-07,9.98,0.53,0.0,0.53,3.03,19.02,10.13,69.14
2021-02-14,7.18,3.32,2.04,1.28,-3.69,17.54,13.99,65.71
2021-02-21,-2.79,19.24,19.24,0.0,-7.72,3.87,9.53,80.61
2021-02-28,2.78,2.49,0.0,2.49,-5.94,12.07,7.15,75.82
2021-03-07,4.37,12.34,5.88,6.45,-1.64,20.78,9.09,72.75
2021-03-14,3.59,5.2,3.6,1.6,-3.45,13.19,7.44,70.4
2021-03-21,5.7,10.84,0.0,10.84,0.62,14.1,8.88,79.38
2021-03-28,3.34,24.34,20.18,4.16,-2.3,12.69,10.24,82.84
2021-04-04,6.54,2.1,0.0,2.1,0.88,15.68,9.42,81.42
2021-04-11,7.06,16.06,4.93,11.13,-0.89,20.07,9.89,79.95
2021-04-18,8.65,6.32,0.0,6.32,1.41,15.62,7.29,83.54
2021-04-25,10.94,5.4,0.0,5.4,4.42,19.51,8.6,76.95
2021-05-02,14.63,3.41,0.0,3.41,2.81,24.79,6.82,70.68
2021-05-09,14.49,9.49,0.0,9.49,5.29,27.11,9.58,69.19
2021-05-16,13.96,0.99,0.0,0.99,2.2,25.37,7.92,63.74
2021-05-23,15.7,10.63,0.0,10.63,9.29,27.41,10.51,72.36
2021-05-30,16.09,14.59,0.0,14.59,7.41,23.25,7.33,72.98
2021-06-06,13.32,7.66,0.0,7.66,7.88,21.04,10.76,83.53
2021-06-13,17.39,4.06,0.0,4.06,9.33,24.7,7.11,71.87
2021-06-20,17.56,10.43,0.0,10.43,11.81,25.12,8.86,82.89
2021-06-27,20.3,20.95,0.0,20.95,14.25,27.45,7.99,82.16
2021-07-04,21.75,13.79,0.0,13.79,13.4,29.93,8.52,76.16
2021-07-11,21.07,5.54,0.0,5.54,14.49,27.65,9.85,77.54
2021-07-18,23.44,0.0,0.0,0.0,14.73,32.51,8.98,69.34
2021-07-25,22.8,0.97,0.0,0.97,12.8,32.92,10.16,71.85
2021-08-01,23.36,0.57,0.0,0.57,13.3,30.57,9.21,64.75
2021-08-08,24.64,2.42,0.0,2.42,14.5,33.45,8.14,65.41
2021-08-15,19.45,32.43,0.0,32.43,12.73,26.58,12.77,77.8
2021-08-22,19.58,2.55,0.0,2.55,12.8,28.03,9.17,74.41
2021-08-29,21.35,0.0,0.0,0.0,13.34,29.69,7.53,71.24
2021-09-05,17.71,6.4,0.0,6.4,10.04,28.65,10.71,76.59
2021-09-12,15.03,0.45,0.0,0.45,6.4,22.77,9.56,76.54
