time,Hıdırnebi yaylası - Trabzon_temp,Hıdırnebi yaylası - Trabzon_prcp,Hıdırnebi yaylası - Trabzon_snow,Hıdırnebi yaylası - Trabzon_rain,Hıdırnebi yaylası - Trabzon_tmin,Hıdırnebi yaylası - Trabzon_tmax,Hıdırnebi yaylası - Trabzon_wspd,Hıdırnebi yaylası - Trabzon_rhum
2021-01-03,3.31,0.0,0.0,0.0,-1.81,8.91,6.42,72.69
2021-01-10,4.55,0.49,0.0,0.49,-2.99,12.15,10.52,57.0
2021-01-17,3.56,11.19,9.29,1.9,-3.0,16.17,11.94,79.19
2021-01-24,-2.94,9.8,9.8,0.0,-8.15,5.0,10.6,60.41
2021-01-31,3.48,6.89,4.95,1.94,-4.48,10.89,12.77,58.2
2021-02-07,3.3,4.24,0.0,4.24,-1.66,9.9,9.56,64.23
2021-02-14,3.48,5.08,3.31,1.77,-4.4,14.02,11.31,64.99
2021-02-21,-5.29,15.64,15.64,0.0,-11.42,3.08,10.98,73.68
2021-02-28,-0.64,2.59,2.59,0.0,-7.24,5.26,8.91,70.1
2021-03-07,0.24,4.62,4.56,0.07,-6.04,13.21,9.13,70.31
2021-03-14,-0.56,6.36,6.36,0.0,-8.23,5.6,11.63,70.81
2021-03-21,2.35,8.49,4.97,3.52,-2.63,9.93,9.82,76.16
2021-03-28,-0.54,20.76,18.45,2.32,-5.75,6.97,10.9,80.26
2021-04-04,2.94,4.75,3.53,1.22,-3.83,11.09,6.58,75.97
2021-04-11,5.17,3.24,1.43,1.81,-1.58,22.13,12.82,74.05
2021-04-18,5.07,2.41,1.05,1.36,-2.0,15.23,8.0,77.92
2021-04-25,7.83,2.72,0.0,2.72,1.04,14.71,7.91,74.51
2021-05-02,6.98,10.23,0.0,10.23,1.36,16.81,8.36,81.77
2021-05-09,9.51,7.78,0.0,7.78,1.03,20.03,9.2,72.18
2021-05-16,9.6,0.85,0.0,0.85,-0.44,16.49,8.5,65.14
2021-05-23,11.39,5.38,0.0,5.38,5.67,23.21,10.88,70.31
2021-05-30,11.17,3.46,0.0,3.46,4.93,15.5,7.9,78.19
2021-06-06,10.92,9.12,0.0,9.12,4.96,17.47,8.35,77.53
