time,Kuzalan şelalesi Tabiat Parkı - Giresun_temp,Kuzalan şelalesi Tabiat Parkı - Giresun_prcp,Kuzalan şelalesi Tabiat Parkı - Giresun_snow,Kuzalan şelalesi Tabiat Parkı - Giresun_rain,Kuzalan şelalesi Tabiat Parkı - Giresun_tmin,Kuzalan şelalesi Tabiat Parkı - Giresun_tmax,Kuzalan şelalesi Tabiat Parkı - Giresun_wspd,Kuzalan şelalesi Tabiat Parkı - Giresun_rhum
2021-01-03,7.19,0.0,0.0,0.0,2.51,13.95,6.39,75.82
2021-01-10,8.4,1.86,0.0,1.86,1.26,15.9,12.35,55.63
2021-01-17,6.8,33.83,0.0,33.83,0.58,17.7,10.64,80.5
2021-01-24,1.44,32.22,32.22,0.0,-4.69,9.56,10.79,59.49
2021-01-31,7.06,13.3,5.09,8.22,-2.71,15.83,13.24,59.47
2021-02-07,7.24,7.2,0.0,7.2,2.46,14.41,11.85,65.01
2021-02-14,7.23,15.97,8.88,7.09,-0.97,18.43,12.88,63.98
2021-02-21,-2.25,50.72,39.66,11.06,-9.95,5.98,10.31,76.14
2021-02-28,3.14,9.81,0.0,9.81,-2.87,8.34,8.13,71.32
2021-03-07,3.96,13.95,10.95,2.99,-1.5,15.36,8.42,72.82
2021-03-14,3.07,21.06,12.57,8.49,-6.62,9.63,9.84,72.63
2021-03-21,6.24,16.58,0.0,16.58,1.3,15.71,9.02,76.44
2021-03-28,3.22,51.04,32.84,18.19,-2.29,9.86,9.08,81.98
2021-04-04,6.57,11.2,0.0,11.2,0.63,15.98,6.42,78.3
2021-04-11,8.52,11.52,0.0,11.52,1.59,26.0,12.69,75.68
2021-04-18,8.9,4.06,0.0,4.06,1.74,21.37,7.75,77.81
2021-04-25,11.09,7.46,0.0,7.46,4.6,17.81,7.58,76.61
2021-05-02,10.68,15.45,0.0,15.45,4.77,19.85,6.68,80.83
2021-05-09,13.43,24.19,0.0,24.19,3.75,25.73,8.29,75.27
2021-05-16,13.27,2.84,0.0,2.84,3.34,21.44,6.54,68.05
2021-05-23,14.93,15.02,0.0,15.02,9.34,23.98,10.24,71.41
2021-05-30,14.76,7.46,0.0,7.46,8.54,19.8,6.67,81.07
2021-06-06,14.29,25.18,0.0,25.18,8.83,20.84,6.94,80.62
2021-06-13,16.54,4.37,0.0,4.37,9.11,21.06,6.13,81.03
2021-06-20,19.19,3.35,0.0,3.35,12.92,24.74,6.99,78.94
2021-06-27,19.91,2.28,0.0,2.28,15.62,24.95,5.78,78.36
2021-07-04,20.86,5.84,0.0,5.84,15.27,26.78,7.64,79.65
2021-07-11,20.82,12.45,0.0,12.45,14.88,25.88,6.87,76.11
2021-07-18,22.59,17.23,0.0,17.23,16.64,28.2,6.31,79.23
2021-07-25,22.83,41.99,0.0,41.99,16.05,29.5,8.93,76.6
2021-08-01,21.72,18.11,0.0,18.11,16.73,27.07,9.56,78.48
2021-08-08,22.52,7.12,0.0,7.12,18.27,27.45,6.66,77.33
2021-08-15,19.13,128.71,0.0,128.71,14.46,24.06,8.24,81.57
2021-08-22,20.27,12.17,0.0,12.17,15.3,25.44,6.76,82.27
