time,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_tmin,Kümbet yaylası - Giresun_tmax,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2021-01-03,1.38,0.0,0.0,0.0,-3.52,8.0,6.31,75.87
2021-01-10,2.57,1.67,0.0,1.67,-4.78,9.97,11.97,56.19
2021-01-17,1.17,31.05,24.59,6.45,-5.13,12.06,10.67,80.56
2021-01-24,-4.47,29.29,29.29,0.0,-10.6,3.66,10.54,60.05
2021-01-31,1.22,13.03,13.03,0.0,-8.35,9.78,12.98,60.12
2021-02-07,1.31,7.22,7.22,0.0,-3.6,8.43,11.44,65.64
2021-02-14,1.31,14.59,9.68,4.91,-6.77,12.22,12.51,64.59
2021-02-21,-7.97,46.18,46.18,0.0,-15.72,0.81,10.12,76.06
2021-02-28,-2.53,8.79,8.79,0.0,-8.95,2.84,8.02,71.1
2021-03-07,-1.69,12.8,12.58,0.22,-7.46,9.75,8.3,72.5
2021-03-14,-2.5,19.14,19.14,0.0,-12.46,4.22,9.8,72.31
2021-03-21,0.53,16.21,10.5,5.71,-4.7,9.78,9.06,76.39
2021-03-28,-2.49,48.13,48.13,0.0,-8.2,4.35,9.11,81.91
2021-04-04,1.07,10.62,9.52,1.1,-5.28,10.24,6.43,77.56
2021-04-11,3.03,10.38,4.84,5.54,-4.1,20.2,12.53,75.45
2021-04-18,3.41,4.08,3.03,1.05,-4.11,15.48,7.72,77.44
2021-04-25,5.79,6.93,0.0,6.93,-1.16,12.5,7.64,75.62
2021-05-02,5.29,15.87,0.0,15.87,-0.79,14.43,6.8,80.13
2021-05-09,7.91,22.13,0.0,22.13,-1.96,19.97,8.28,74.44
2021-05-16,8.0,2.58,0.0,2.58,-2.53,16.11,6.73,66.62
2021-05-23,9.56,13.92,0.0,13.92,3.58,18.91,10.25,70.21
2021-05-30,9.38,7.18,0.0,7.18,2.77,14.3,6.77,79.92
2021-06-06,8.83,23.37,0.0,23.37,2.99,15.59,7.06,79.55
2021-06-13,10.98,4.75,0.0,4.75,3.18,15.55,6.12,80.11
2021-06-20,13.87,3.0,0.0,3.0,7.14,19.6,7.03,77.6
2021-06-27,14.38,2.24,0.0,2.24,10.01,19.27,5.92,77.3
2021-07-04,15.23,5.69,0.0,5.69,9.57,21.34,7.64,78.62
2021-07-11,15.09,11.63,0.0,11.63,9.03,20.4,6.91,75.31
2021-07-18,17.08,16.04,0.0,16.04,11.03,22.88,6.4,78.5
2021-07-25,17.33,37.62,0.0,37.62,10.44,24.32,8.95,75.45
2021-08-01,16.05,16.39,0.0,16.39,11.01,21.57,9.48,77.76
2021-08-08,16.83,6.73,0.0,6.73,12.51,22.01,6.69,76.36
2021-08-15,13.42,117.24,0.0,117.24,8.74,18.38,8.23,81.2
2021-08-22,14.74,11.03,0.0,11.03,9.56,20.09,6.88,81.66
2021-08-29,17.14,3.89,0.0,3.89,11.06,22.61,6.12,78.27
2021-09-05,13.69,53.13,0.0,53.13,6.4,22.06,8.64,77.76
2021-09-12,11.83,7.51,0.0,7.51,7.31,18.6,7.63,76.79
2021-09-19,12.06,35.49,0.0,35.49,6.09,17.77,7.79,78.39
2021-09-26,9.14,46.81,0.0,46.81,2.67,19.43,9.89,77.41
2021-10-03,7.54,21.11,0.0,21.11,3.89,12.59,6.85,80.26
2021-10-10,7.61,17.64,0.0,17.64,2.47,13.09,7.33,77.01
2021-10-17,9.71,7.29,0.0,7.29,4.56,15.46,6.82,75.72
2021-10-24,5.71,51.08,0.0,51.08,-0.4,12.3,7.66,75.79
2021-10-31,3.4,28.49,20.05,8.43,-2.19,8.83,7.38,75.3
2021-11-07,6.11,2.41,0.0,2.41,1.65,11.69,6.58,75.74
2021-11-14,2.04,21.67,21.61,0.06,-3.75,12.79,8.54,71.46
2021-11-21,1.37,15.32,15.2,0.11,-2.66,6.93,7.43,75.34
2021-11-28,2.05,37.85,28.6,9.24,-4.18,9.66,10.79,74.66
2021-12-05,2.02,24.85,23.01,1.84,-5.39,15.76,13.26,64.46
2021-12-12,2.94,9.71,9.71,0.0,-2.29,11.08,10.54,61.04
2021-12-19,0.71,30.27,30.06,0.21,-4.26,9.21,7.81,74.83
2021-12-26,-5.39,20.38,20.38,0.0,-12.85,4.52,9.91,67.83
2022-01-02,-0.3,18.08,18.08,0.0,-5.66,5.12,11.81,63.29
2022-01-09,-2.09,6.9,6.9,0.0,-7.37,4.97,10.88,66.12
2022-01-16,-3.49,27.93,27.57,0.36,-12.01,5.49,10.99,73.16
2022-01-23,-7.02,25.31,25.31,0.0,-11.98,-1.44,11.72,69.03
2022-01-30,-7.69,32.51,32.51,0.0,-11.86,-3.25,9.0,72.81
2022-02-06,-2.37,18.71,18.58,0.13,-10.36,5.93,11.08,69.49
2022-02-13,-2.68,18.28,18.28,0.0,-8.92,5.49,10.42,68.98
2022-02-20,-3.58,9.15,9.15,0.0,-10.07,2.65,7.02,73.74
2022-02-27,-0.09,10.53,10.51,0.03,-3.89,7.53,9.53,77.15
2022-03-06,-3.32,34.61,34.61,0.0,-8.31,1.27,8.84,79.14
2022-03-13,-6.84,57.5,57.5,0.0,-13.32,0.22,9.29,82.38
2022-03-20,-8.64,45.28,45.28,0.0,-11.72,-3.3,9.23,81.6
2022-03-27,-4.57,10.73,10.73,0.0,-8.23,0.89,6.91,76.35
2022-04-03,3.65,1.37,0.82,0.55,-6.6,19.81,11.79,58.34
2022-04-10,2.1,13.5,2.33,11.17,-2.93,12.62,8.69,75.56
2022-04-17,0.11,23.57,22.58,1.0,-7.75,16.28,9.32,72.41
2022-04-24,3.05,4.07,4.02,0.05,-2.71,21.78,8.54,74.48
2022-05-01,4.45,7.29,0.0,7.29,0.7,11.6,5.63,80.25
2022-05-08,1.9,39.11,27.59,11.52,-0.51,5.68,8.97,88.97
2022-05-15,4.56,3.08,0.0,3.08,-1.67,14.79,6.17,74.31
2022-05-22,5.9,11.8,0.0,11.8,-0.52,15.03,8.34,70.61
2022-05-29,6.84,14.76,0.0,14.76,0.44,13.91,6.63,78.48
2022-06-05,12.77,1.49,0.0,1.49,6.27,18.34,6.28,77.28
2022-06-12,12.15,10.59,0.0,10.59,8.27,16.96,6.48,84.98
2022-06-19,12.06,14.51,0.0,14.51,6.95,15.78,6.38,80.64
2022-06-26,11.37,18.8,0.0,18.8,5.04,18.89,8.09,76.23
2022-07-03,11.89,12.7,0.0,12.7,6.42,16.92,8.09,78.86
2022-07-10,14.29,5.41,0.0,5.41,7.34,19.94,6.85,75.68
2022-07-17,13.13,30.13,0.0,30.13,9.31,17.49,8.63,78.44
2022-07-24,12.39,27.81,0.0,27.81,7.67,16.96,10.53,75.84
2022-07-31,15.31,2.69,0.0,2.69,8.12,21.82,6.81,71.55
2022-08-07,15.85,12.25,0.0,12.25,11.52,21.42,6.67,78.93
2022-08-14,16.56,3.89,0.0,3.89,12.4,21.77,6.41,78.27
2022-08-21,16.75,22.37,0.0,22.37,12.23,21.69,6.4,81.14
2022-08-28,18.37,2.59,0.0,2.59,12.65,23.25,6.15,72.28
2022-09-04,17.29,2.68,0.0,2.68,11.74,22.52,7.95,73.69
2022-09-11,12.09,52.22,0.0,52.22,5.99,19.18,8.82,70.78
2022-09-18,14.71,16.68,0.0,16.68,6.14,23.96,8.71,68.85
2022-09-25,9.5,58.9,0.0,58.9,2.4,16.13,8.64,79.01
2022-10-02,12.39,1.02,0.0,1.02,2.37,18.11,7.19,65.28
2022-10-09,8.77,83.74,0.0,83.74,5.82,13.07,7.09,81.88
2022-10-16,7.47,9.9,0.0,9.9,3.37,10.95,6.43,79.75
2022-10-23,5.33,41.79,12.39,29.4,-1.4,10.75,7.55,82.02
2022-10-30,5.18,5.55,0.0,5.55,-0.27,11.14,7.51,73.74
2022-11-06,4.17,12.37,0.0,12.37,-1.62,9.23,7.73,75.75
2022-11-13,3.02,10.86,0.0,10.86,-1.09,7.86,6.2,80.77
2022-11-20,5.2,1.76,0.0,1.76,-1.85,12.76,10.54,66.17
2022-11-27,5.45,39.83,6.91,32.91,-1.18,12.27,9.99,68.83
2022-12-04,1.66,7.89,6.41,1.47,-3.13,6.53,6.19,79.81
2022-12-11,1.9,0.39,0.39,0.0,-3.62,7.84,8.87,69.19
2022-12-18,2.72,8.65,3.05,5.6,-2.07,8.12,9.21,73.01
2022-12-25,-2.6,17.18,17.18,0.0,-6.56,3.32,7.67,73.91
