time,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_tmin,Perşembe Yaylası - Ordu_tmax,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2021-01-03,-0.45,0.0,0.0,0.0,-5.66,6.15,8.05,78.19
2021-01-10,2.51,1.44,0.0,1.44,-6.05,11.43,9.45,63.97
2021-01-17,1.44,32.69,21.98,10.72,-6.73,12.67,9.88,78.5
2021-01-24,-4.3,16.29,16.29,0.0,-12.04,4.41,9.97,58.57
2021-01-31,1.68,12.02,12.02,0.0,-9.18,10.67,12.46,53.61
2021-02-07,3.8,2.27,0.0,2.27,-3.21,11.86,10.49,59.86
2021-02-14,3.13,9.51,5.53,3.98,-5.59,14.93,12.44,59.48
2021-02-21,-7.69,34.91,34.91,0.0,-15.04,-0.59,11.34,72.44
2021-02-28,-2.83,6.38,6.38,0.0,-10.85,5.3,8.61,69.26
2021-03-07,-1.04,8.28,8.08,0.2,-8.57,12.32,8.56,68.75
2021-03-14,-1.96,13.18,13.18,0.0,-10.05,7.73,9.03,67.02
2021-03-21,1.44,17.91,14.29,3.62,-3.69,9.51,8.19,73.5
2021-03-28,-1.51,35.77,30.51,5.26,-7.42,6.74,9.13,79.13
2021-04-04,1.98,8.88,8.28,0.6,-5.79,13.72,8.51,75.63
2021-04-11,3.78,15.89,12.19,3.7,-4.23,18.88,14.92,68.87
2021-04-18,4.73,2.75,1.41,1.34,-3.69,13.76,7.48,72.01
2021-04-25,6.93,5.89,0.0,5.89,-1.22,14.68,8.79,69.68
2021-05-02,7.77,5.84,0.0,5.84,-1.37,17.85,7.27,70.69
2021-05-09,9.01,19.07,0.0,19.07,-0.91,22.2,8.97,69.93
2021-05-16,9.21,1.41,0.0,1.41,-3.16,20.11,7.34,62.16
2021-05-23,11.23,18.43,0.0,18.43,3.74,23.1,10.93,66.15
2021-05-30,10.6,10.68,0.0,10.68,2.99,17.57,6.75,74.45
