time,Sülüklü Göl Tabiat Parkı - Bolu_temp,Sülüklü Göl Tabiat Parkı - Bolu_prcp,Sülüklü Göl Tabiat Parkı - Bolu_snow,Sülüklü Göl Tabiat Parkı - Bolu_rain,Sülüklü Göl Tabiat Parkı - Bolu_tmin,Sülüklü Göl Tabiat Parkı - Bolu_tmax,Sülüklü Göl Tabiat Parkı - Bolu_wspd,Sülüklü Göl Tabiat Parkı - Bolu_rhum
2021-01-03,4.75,0.4,0.0,0.4,-3.59,10.11,2.81,81.1
2021-01-10,6.22,15.12,0.0,15.12,-2.8,15.31,4.58,76.24
2021-01-17,1.0,62.97,31.12,31.85,-9.23,18.02,5.41,87.33
2021-01-24,-2.19,8.84,8.76,0.08,-16.99,9.97,5.37,71.98
2021-01-31,2.67,25.39,13.11,12.29,-6.98,11.11,8.39,71.52
2021-02-07,7.32,1.46,0.0,1.46,-2.39,14.55,5.2,69.08
2021-02-14,3.7,17.4,17.0,0.4,-6.95,17.25,7.11,67.26
2021-02-21,-5.92,49.69,49.69,0.0,-13.11,2.98,5.02,82.61
2021-02-28,0.36,3.04,3.04,0.0,-10.88,11.27,3.97,80.91
2021-03-07,1.23,17.51,13.67,3.84,-6.54,15.03,4.62,76.86
2021-03-14,1.98,22.96,22.33,0.63,-8.54,13.3,4.55,73.98
2021-03-21,3.02,26.64,15.27,11.37,-3.3,14.85,5.75,79.38
2021-03-28,0.34,56.43,48.92,7.51,-6.03,14.22,5.96,83.97
2021-04-04,3.51,10.06,7.35,2.71,-4.7,15.04,5.8,79.54
2021-04-11,3.32,53.47,26.98,26.48,-6.03,18.47,6.77,78.5
2021-04-18,5.99,17.19,7.11,10.08,-2.82,16.69,5.35,80.0
2021-04-25,7.99,26.31,0.0,26.31,-1.82,18.42,6.17,76.74
2021-05-02,12.62,2.59,0.0,2.59,-2.99,27.09,4.52,69.86
2021-05-09,12.44,6.43,0.0,6.43,2.91,23.66,5.78,72.27
2021-05-16,11.4,2.84,0.0,2.84,-1.86,23.45,5.45,66.11
2021-05-23,12.8,38.12,0.0,38.12,1.03,25.42,6.11,71.56
2021-05-30,13.52,14.85,0.0,14.85,2.94,23.23,5.83,72.18
