time,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_tmin,Ulugöl Tabiat Parkı - Ordu_tmax,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2021-01-03,2.6,0.0,0.0,0.0,-2.38,10.45,6.15,73.2
2021-01-10,3.7,1.76,0.0,1.76,-4.32,12.46,9.7,62.64
2021-01-17,3.27,50.2,39.4,10.8,-5.44,16.49,9.92,78.17
2021-01-24,-4.75,21.09,21.09,0.0,-12.59,4.93,8.64,65.56
2021-01-31,1.61,17.27,17.27,0.0,-9.46,10.74,12.65,60.96
2021-02-07,3.62,2.95,0.0,2.95,-2.45,11.15,10.37,65.53
2021-02-14,4.71,11.35,6.9,4.45,-3.72,16.86,12.6,59.58
2021-02-21,-7.05,43.93,43.93,0.0,-14.78,5.34,9.84,74.49
2021-02-28,-1.8,8.39,8.39,0.0,-10.62,6.88,7.43,69.54
2021-03-07,-0.11,11.72,11.5,0.22,-6.8,12.5,8.0,67.72
2021-03-14,-0.05,15.94,15.86,0.08,-9.24,10.39,8.37,65.54
2021-03-21,2.68,28.04,20.08,7.96,-2.95,12.08,8.49,76.77
2021-03-28,0.02,46.09,31.88,14.21,-6.16,10.1,8.78,79.42
2021-04-04,4.06,10.07,0.0,10.07,-3.28,15.47,8.2,74.07
2021-04-11,6.13,17.4,12.83,4.56,-3.14,23.71,14.0,63.92
2021-04-18,6.92,3.67,0.0,3.67,-2.0,17.85,7.4,69.08
2021-04-25,9.87,6.5,0.0,6.5,1.22,18.84,8.39,63.96
2021-05-02,10.42,8.01,0.0,8.01,1.45,21.21,6.87,66.67
2021-05-09,11.18,22.6,0.0,22.6,-0.69,25.77,8.04,68.4
2021-05-16,12.22,1.79,0.0,1.79,-1.69,24.58,6.98,54.46
2021-05-23,13.52,22.6,0.0,22.6,5.96,26.72,10.24,60.97
2021-05-30,12.91,10.88,0.0,10.88,4.42,22.3,6.72,70.27
2021-06-06,11.15,35.14,0.0,35.14,4.87,20.49,6.92,74.94
2021-06-13,14.02,8.29,0.0,8.29,5.89,22.06,6.58,72.52
2021-06-20,15.87,9.07,0.0,9.07,8.71,25.47,7.16,71.65
2021-06-27,17.82,2.3,0.0,2.3,11.44,25.4,7.38,72.0
2021-07-04,18.97,6.83,0.0,6.83,11.82,29.0,8.09,69.71
2021-07-11,18.59,7.43,0.0,7.43,10.46,25.32,7.74,69.36
2021-07-18,20.32,10.02,0.0,10.02,12.08,30.77,8.05,68.01
2021-07-25,20.32,26.8,0.0,26.8,11.25,32.58,9.02,66.51
2021-08-01,19.11,12.82,0.0,12.82,12.96,26.51,10.27,72.01
2021-08-08,20.42,5.2,0.0,5.2,12.39,29.54,7.59,68.96
2021-08-15,16.36,82.18,0.0,82.18,10.85,22.06,8.22,78.83
2021-08-22,17.03,7.4,0.0,7.4,10.63,25.68,7.2,72.65
2021-08-29,20.56,3.56,0.0,3.56,12.42,30.22,6.48,65.05
2021-09-05,16.42,37.6,0.0,37.6,7.1,29.39,8.04,69.81
2021-09-12,14.17,5.33,0.0,5.33,7.11,22.81,7.97,70.56
2021-09-19,14.49,26.13,0.0,26.13,6.18,22.25,8.92,74.58
2021-09-26,11.25,33.1,0.0,33.1,3.4,23.82,9.11,75.88
2021-10-03,9.45,13.12,0.0,13.12,3.35,17.48,7.53,77.99
2021-10-10,9.26,11.33,0.0,11.33,2.49,18.24,7.94,74.04
2021-10-17,12.03,6.31,0.0,6.31,5.0,19.16,8.01,67.02
2021-10-24,7.33,38.61,0.0,38.61,-0.5,15.2,7.96,71.48
2021-10-31,5.68,20.6,0.0,20.6,-2.11,12.53,9.03,73.94
2021-11-07,8.19,2.2,0.0,2.2,2.05,15.96,7.89,77.31
2021-11-14,4.05,18.38,4.14,14.24,-5.0,16.3,8.77,71.37
2021-11-21,3.48,10.96,0.0,10.96,-3.11,9.67,7.34,75.36
2021-11-28,4.35,44.99,14.65,30.34,-2.38,11.89,10.65,80.05
2021-12-05,4.89,16.96,15.36,1.6,-4.34,18.49,14.34,66.05
2021-12-12,5.37,8.06,0.0,8.06,-2.04,11.94,13.38,65.89
2021-12-19,3.41,32.22,23.07,9.15,-3.63,11.43,10.74,77.03
2021-12-26,-4.34,17.66,17.66,0.0,-12.85,3.35,9.79,74.69
2022-01-02,0.54,13.55,13.55,0.0,-5.71,6.51,11.81,73.16
2022-01-09,0.93,3.63,3.63,0.0,-6.29,7.86,11.86,70.78
2022-01-16,-1.38,42.17,34.39,7.77,-9.53,7.26,13.33,75.51
2022-01-23,-4.7,24.77,24.77,0.0,-11.64,0.64,14.16,72.17
2022-01-30,-7.34,33.71,33.71,0.0,-14.06,-2.88,8.83,80.35
2022-02-06,-0.61,19.17,19.14,0.03,-9.01,7.24,13.18,74.98
2022-02-13,-0.8,13.79,6.29,7.51,-8.23,7.82,13.12,71.57
2022-02-20,-1.21,6.83,6.83,0.0,-8.4,5.23,7.67,75.02
2022-02-27,3.18,22.31,15.24,7.06,-0.57,10.56,11.23,79.12
2022-03-06,-0.04,33.81,33.48,0.33,-6.52,7.29,10.97,78.3
2022-03-13,-3.77,46.65,46.65,0.0,-13.34,5.38,11.78,79.28
2022-03-20,-5.76,59.06,59.06,0.0,-10.24,1.49,11.9,77.93
2022-03-27,-1.94,10.7,10.7,0.0,-6.79,5.69,8.58,74.01
2022-04-03,8.47,1.22,0.0,1.22,-3.0,24.62,13.98,51.93
2022-04-10,7.7,10.7,0.0,10.7,0.98,15.34,11.7,61.73
2022-04-17,3.99,23.83,21.34,2.49,-4.35,19.89,10.9,69.88
2022-04-24,8.69,6.8,0.0,6.8,0.63,24.17,11.45,63.03
2022-05-01,10.55,4.98,0.0,4.98,4.66,20.22,9.48,65.1
2022-05-08,5.68,44.89,0.0,44.89,2.24,11.84,11.16,83.69
2022-05-15,8.82,0.7,0.0,0.7,0.87,21.04,8.47,65.51
2022-05-22,9.68,11.43,0.0,11.43,0.38,20.99,10.21,65.06
2022-05-29,11.71,16.3,0.0,16.3,2.87,21.88,8.53,69.62
2022-06-05,16.93,2.22,0.0,2.22,9.77,24.06,10.12,67.06
