time,Valla Kanyonu - Kastamonu_temp,Valla Kanyonu - Kastamonu_prcp,Valla Kanyonu - Kastamonu_snow,Valla Kanyonu - Kastamonu_rain,Valla Kanyonu - Kastamonu_tmin,Valla Kanyonu - Kastamonu_tmax,Valla Kanyonu - Kastamonu_wspd,Valla Kanyonu - Kastamonu_rhum
2021-01-03,8.88,0.18,0.0,0.18,4.18,15.92,8.67,71.22
2021-01-10,9.19,3.31,0.0,3.31,3.78,17.28,8.69,72.75
2021-01-17,5.48,33.69,18.07,15.62,-3.22,18.04,9.92,86.62
2021-01-24,2.65,8.73,8.58,0.14,-7.06,14.63,12.67,71.04
2021-01-31,7.5,11.67,0.0,11.67,-1.94,16.76,13.9,67.16
2021-02-07,10.95,0.48,0.0,0.48,4.11,20.09,10.37,68.4
2021-02-14,8.13,3.35,2.01,1.34,-2.82,18.64,14.26,65.24
2021-02-21,-1.81,18.21,18.21,0.0,-6.48,4.81,9.78,80.19
2021-02-28,3.66,2.57,0.0,2.57,-4.71,12.58,7.27,75.88
2021-03-07,5.23,12.77,0.0,12.77,-0.69,21.64,9.33,72.7
2021-03-14,4.42,5.36,3.88,1.48,-2.5,13.78,7.58,70.43
2021-03-21,6.53,10.73,0.0,10.73,1.58,14.7,9.01,79.12
2021-03-28,4.23,24.24,16.42,7.83,-1.32,13.33,10.49,82.4
2021-04-04,7.35,1.99,0.0,1.99,1.86,16.36,9.64,80.92
2021-04-11,7.83,15.4,0.0,15.4,0.04,20.65,10.01,80.0
2021-04-18,9.38,5.71,0.0,5.71,2.29,16.29,7.41,83.46
2021-04-25,11.63,4.89,0.0,4.89,5.34,20.08,8.69,76.95
2021-05-02,15.25,3.08,0.0,3.08,3.73,25.67,6.93,70.66
2021-05-09,15.19,8.81,0.0,8.81,6.16,27.74,9.78,69.14
2021-05-16,14.6,0.89,0.0,0.89,3.2,25.78,8.03,64.06
2021-05-23,16.44,10.6,0.0,10.6,10.26,27.87,10.71,72.29
2021-05-30,16.72,13.46,0.0,13.46,8.34,23.76,7.41,73.59
2021-06-06,14.15,6.94,0.0,6.94,8.92,21.78,11.0,83.25
2021-06-13,18.15,3.67,0.0,3.67,10.38,25.26,7.24,71.87
2021-06-20,18.32,9.42,0.0,9.42,12.63,25.65,9.06,82.88
2021-06-27,21.09,20.84,0.0,20.84,15.17,28.2,8.17,81.91
2021-07-04,22.46,12.46,0.0,12.46,14.44,30.37,8.66,76.54
2021-07-11,21.87,5.01,0.0,5.01,15.37,28.28,10.06,77.75
2021-07-18,24.15,0.0,0.0,0.0,15.71,32.91,9.12,70.1
