time,Yedigöller Milli Parkı - Bolu_temp,Yedigöller Milli Parkı - Bolu_prcp,Yedigöller Milli Parkı - Bolu_snow,Yedigöller Milli Parkı - Bolu_rain,Yedigöller Milli Parkı - Bolu_tmin,Yedigöller Milli Parkı - Bolu_tmax,Yedigöller Milli Parkı - Bolu_wspd,Yedigöller Milli Parkı - Bolu_rhum
2021-01-03,6.79,0.54,0.0,0.54,-0.48,12.71,3.31,72.88
2021-01-10,7.91,4.48,0.0,4.48,-0.44,14.86,3.7,70.36
2021-01-17,2.54,48.25,24.73,23.52,-8.07,17.84,5.33,85.14
2021-01-24,0.01,13.43,13.35,0.08,-14.24,10.65,5.76,69.33
2021-01-31,3.97,19.42,10.17,9.26,-4.32,11.62,7.28,68.87
2021-02-07,9.73,0.05,0.0,0.05,0.42,16.13,4.35,60.92
2021-02-14,5.79,6.07,3.38,2.7,-5.33,17.34,6.32,61.96
2021-02-21,-4.31,33.21,33.21,0.0,-11.01,3.76,4.92,79.6
2021-02-28,2.7,2.71,2.53,0.17,-8.43,12.51,2.96,77.87
2021-03-07,3.14,14.46,11.65,2.81,-4.35,16.16,3.88,72.91
2021-03-14,4.11,12.61,12.51,0.09,-5.21,12.94,3.63,68.71
2021-03-21,4.55,17.74,4.77,12.97,-0.93,14.73,4.73,77.3
2021-03-28,2.01,45.16,37.05,8.12,-3.62,15.0,5.37,83.9
2021-04-04,5.12,4.58,0.0,4.58,-2.26,14.46,4.97,77.28
2021-04-11,5.57,30.89,11.25,19.63,-3.67,20.18,6.02,76.75
2021-04-18,8.18,11.44,5.5,5.94,-1.0,16.79,4.21,79.09
2021-04-25,10.32,20.89,0.0,20.89,1.04,19.47,4.65,73.69
2021-05-02,15.61,2.04,0.0,2.04,-0.09,28.1,3.82,63.23
2021-05-09,14.56,5.86,0.0,5.86,4.92,26.38,4.77,67.95
2021-05-16,14.45,1.86,0.0,1.86,0.02,24.36,4.74,61.57
2021-05-23,15.42,26.89,0.0,26.89,4.08,27.19,5.45,67.34
2021-05-30,15.93,22.17,0.0,22.17,5.96,23.45,4.38,69.5
2021-06-06,11.31,11.42,0.0,11.42,4.84,19.55,5.0,81.2
2021-06-13,16.31,12.09,0.0,12.09,6.8,22.62,3.6,70.89
2021-06-20,15.62,37.64,0.0,37.64,7.51,22.15,4.88,81.71
2021-06-27,19.61,35.47,0.0,35.47,12.17,26.22,3.77,77.83
2021-07-04,20.62,17.49,0.0,17.49,12.01,28.89,4.17,74.05
2021-07-11,19.36,10.39,0.0,10.39,9.96,24.46,5.02,78.26
2021-07-18,22.77,0.0,0.0,0.0,11.85,31.08,3.66,70.07
2021-07-25,21.01,2.15,0.0,2.15,11.07,29.3,5.01,70.68
2021-08-01,23.28,0.0,0.0,0.0,11.91,29.11,4.06,61.53
2021-08-08,23.86,15.72,0.0,15.72,11.05,32.95,4.34,60.42
2021-08-15,19.51,4.95,0.0,4.95,10.0,24.53,4.77,71.17
2021-08-22,19.57,0.61,0.0,0.61,9.84,28.01,4.55,71.21
2021-08-29,22.51,0.0,0.0,0.0,11.99,30.81,4.38,70.96
2021-09-05,18.39,5.81,0.0,5.81,8.17,26.45,5.38,72.19
2021-09-12,15.59,16.57,0.0,16.57,5.69,21.74,4.86,75.51
2021-09-19,16.31,12.4,0.0,12.4,6.25,25.82,3.69,76.58
2021-09-26,13.21,25.28,0.0,25.28,4.65,25.49,4.6,79.14
2021-10-03,12.38,0.07,0.0,0.07,3.71,19.25,4.56,75.25
2021-10-10,12.05,0.55,0.0,0.55,4.35,18.16,3.87,79.03
2021-10-17,13.29,19.34,0.0,19.34,4.7,22.7,3.68,78.5
2021-10-24,9.8,23.85,0.0,23.85,0.79,19.32,3.59,79.06
2021-10-31,7.89,0.0,0.0,0.0,-2.18,14.23,3.44,77.95
2021-11-07,12.84,6.71,0.0,6.71,3.71,20.9,2.37,78.96
2021-11-14,7.38,4.35,0.0,4.35,-4.3,20.89,3.4,72.57
2021-11-21,5.45,1.96,0.0,1.96,-2.05,12.79,2.86,82.72
2021-11-28,8.53,11.74,0.0,11.74,-1.76,17.01,4.55,72.28
2021-12-05,8.5,24.03,0.0,24.03,-0.41,21.79,7.11,66.18
2021-12-12,10.0,4.31,0.0,4.31,-0.42,15.58,5.6,64.18
2021-12-19,2.28,30.43,9.31,21.12,-1.3,12.31,6.13,90.35
2021-12-26,-0.97,11.52,11.52,0.0,-10.54,9.36,6.12,77.39
2022-01-02,5.71,5.26,0.0,5.26,-0.83,12.81,4.24,76.88
2022-01-09,6.1,2.02,0.0,2.02,-3.99,14.65,3.37,75.77
2022-01-16,0.12,21.33,20.95,0.38,-6.52,9.74,6.17,81.22
2022-01-23,-3.12,50.08,50.08,0.0,-9.76,5.45,6.31,82.07
2022-01-30,-3.65,7.7,7.7,0.0,-10.0,3.1,4.2,84.02
2022-02-06,0.35,11.25,8.9,2.35,-11.14,8.18,5.12,74.83
2022-02-13,2.21,21.08,16.99,4.09,-6.03,10.66,4.62,77.78
2022-02-20,3.62,6.64,0.11,6.53,-4.55,11.99,3.52,73.74
2022-02-27,4.55,26.29,23.37,2.92,-0.92,13.69,3.91,81.99
2022-03-06,1.14,12.26,10.75,1.51,-3.57,7.17,5.14,82.35
2022-03-13,-2.38,24.81,24.81,0.0,-11.43,4.02,5.32,83.27
2022-03-20,-2.59,15.19,15.19,0.0,-9.87,5.85,4.78,78.38
2022-03-27,0.82,2.85,2.0,0.86,-7.34,11.81,5.02,75.37
2022-04-03,12.08,1.63,0.0,1.63,-1.97,22.82,5.54,46.43
2022-04-10,9.53,16.78,0.0,16.78,-0.17,21.37,4.28,70.33
2022-04-17,6.44,4.64,0.0,4.64,-1.52,18.01,5.01,66.61
2022-04-24,10.39,2.08,0.0,2.08,-0.91,22.43,4.61,69.65
2022-05-01,12.06,5.67,0.0,5.67,4.85,22.35,3.87,75.16
2022-05-08,8.46,6.92,0.0,6.92,1.24,15.86,4.82,81.52
2022-05-15,13.13,1.19,0.0,1.19,0.7,22.59,4.24,60.56
2022-05-22,14.57,10.42,0.0,10.42,0.76,23.22,4.88,64.28
2022-05-29,17.85,3.29,0.0,3.29,5.47,28.64,4.69,63.75
2022-06-05,18.67,2.45,0.0,2.45,10.88,28.44,4.9,73.86
2022-06-12,17.01,39.82,0.0,39.82,10.29,25.56,4.7,78.18
2022-06-19,17.98,17.29,0.0,17.29,11.08,23.4,5.05,78.85
2022-06-26,17.06,55.58,0.0,55.58,10.56,24.82,5.6,79.55
2022-07-03,17.33,70.42,0.0,70.42,11.44,23.91,4.78,82.21
2022-07-10,18.62,13.66,0.0,13.66,8.76,24.49,4.63,76.58
2022-07-17,18.01,2.09,0.0,2.09,9.66,24.85,4.72,72.96
2022-07-24,18.97,0.45,0.0,0.45,8.69,24.64,5.37,65.19
2022-07-31,21.17,0.6,0.0,0.6,9.13,27.12,4.7,70.89
2022-08-07,21.18,1.26,0.0,1.26,13.62,24.93,5.01,74.88
2022-08-14,20.47,28.16,0.0,28.16,13.17,26.28,4.68,78.56
2022-08-21,21.02,15.87,0.0,15.87,12.67,26.68,4.04,74.5
2022-08-28,21.85,11.34,0.0,11.34,13.4,28.57,3.87,78.32
2022-09-04,21.09,2.96,0.0,2.96,14.55,28.58,4.35,80.54
2022-09-11,17.3,1.41,0.0,1.41,7.61,25.84,5.03,69.12
2022-09-18,17.94,14.03,0.0,14.03,6.63,30.85,4.36,64.59
2022-09-25,11.1,16.19,0.0,16.19,3.51,20.33,4.97,74.45
2022-10-02,16.0,15.15,0.0,15.15,3.77,25.54,3.87,66.68
2022-10-09,11.08,46.34,0.0,46.34,6.02,17.86,5.1,85.4
2022-10-16,11.16,10.98,0.0,10.98,5.91,16.67,3.34,87.52
2022-10-23,9.93,10.59,0.0,10.59,-0.92,17.97,4.26,79.81
2022-10-30,9.51,0.08,0.0,0.08,-0.03,17.78,2.98,79.14
2022-11-06,9.35,0.08,0.0,0.08,-0.66,20.62,2.56,73.08
2022-11-13,7.18,2.37,0.0,2.37,-3.15,13.36,2.99,78.71
2022-11-20,10.24,5.23,0.0,5.23,-2.53,18.0,4.7,67.79
2022-11-27,7.76,35.89,0.0,35.89,1.41,18.73,5.65,75.1
2022-12-04,5.68,8.69,0.0,8.69,-1.18,11.91,2.39,87.0
2022-12-11,7.52,7.67,0.0,7.67,-2.04,15.51,3.98,75.29
2022-12-18,8.73,18.39,0.0,18.39,1.26,18.24,4.23,78.5
2022-12-25,2.31,8.72,0.45,8.28,-5.87,8.21,4.31,76.29
2023-01-01,3.89,16.22,0.0,16.22,-3.23,10.36,3.1,80.5
2023-01-08,2.51,3.89,0.0,3.89,-5.99,9.72,2.6,76.82
2023-01-15,4.63,0.35,0.0,0.35,-4.65,12.01,4.01,71.42
2023-01-22,8.54,0.0,0.0,0.0,-4.59,16.53,5.53,57.1
2023-01-29,4.0,14.0,8.28,5.72,-5.01,12.97,5.05,74.75
2023-02-05,-0.65,16.77,16.77,0.0,-4.8,3.05,5.27,79.4
2023-02-12,-2.47,27.01,27.01,0.0,-7.0,1.43,5.19,82.59
2023-02-19,2.45,10.62,10.62,0.0,-6.46,13.99,6.04,68.4
2023-02-26,7.2,6.29,0.0,6.29,-2.25,14.49,5.37,66.48
2023-03-05,7.27,13.12,0.0,13.12,2.22,17.68,3.95,79.48
2023-03-12,8.16,35.74,0.0,35.74,0.65,15.29,5.87,69.09
2023-03-19,4.06,39.64,5.18,34.45,-2.1,14.15,4.99,84.58
2023-03-26,6.23,4.67,0.0,4.67,-1.44,14.79,3.68,81.79
2023-04-02,5.84,37.39,15.65,21.74,-6.79,17.78,6.32,70.47
2023-04-09,8.14,17.24,0.0,17.24,0.13,19.48,5.3,74.5
2023-04-16,9.56,23.8,0.0,23.8,1.56,20.93,5.54,72.21
2023-04-23,10.06,14.65,0.0,14.65,2.75,18.95,4.74,76.65
2023-04-30,8.28,46.11,0.0,46.11,1.62,18.08,5.85,75.38
2023-05-07,10.72,12.04,0.0,12.04,0.77,21.3,4.76,69.0
2023-05-14,9.82,4.63,0.0,4.63,3.43,17.42,5.74,82.05
2023-05-21,13.9,23.21,0.0,23.21,4.8,26.05,5.09,78.07
