time,Şahinkaya Kanyonu - Samsun_temp,Şahinkaya Kanyonu - Samsun_prcp,Şahinkaya Kanyonu - Samsun_snow,Şahinkaya Kanyonu - Samsun_rain,Şahinkaya Kanyonu - Samsun_tmin,Şahinkaya Kanyonu - Samsun_tmax,Şahinkaya Kanyonu - Samsun_wspd,Şahinkaya Kanyonu - Samsun_rhum
2021-01-03,8.84,0.0,0.0,0.0,3.65,17.73,5.02,69.72
2021-01-10,10.69,3.48,0.0,3.48,2.94,19.12,6.51,69.03
2021-01-17,8.47,15.75,0.0,15.75,1.16,18.81,7.16,79.56
2021-01-24,2.9,5.18,5.18,0.0,-6.2,13.78,7.35,66.89
2021-01-31,9.46,3.27,0.0,3.27,0.54,18.13,9.58,56.86
2021-02-07,11.42,0.62,0.0,0.62,5.63,19.59,7.19,60.65
2021-02-14,10.44,3.16,0.0,3.16,0.7,21.06,11.17,59.28
2021-02-21,0.44,32.8,32.8,0.0,-6.31,7.13,11.9,70.1
2021-02-28,5.16,1.35,0.0,1.35,-1.83,13.79,7.51,70.76
2021-03-07,6.58,2.68,0.0,2.68,-0.08,19.13,8.9,66.74
2021-03-14,6.0,5.11,0.0,5.11,-0.5,15.32,7.02,64.54
2021-03-21,8.89,15.11,0.0,15.11,3.63,17.12,8.44,73.16
2021-03-28,6.34,35.74,0.0,35.74,1.1,15.23,9.27,75.39
2021-04-04,9.08,5.64,0.0,5.64,2.85,20.62,9.25,74.77
2021-04-11,10.55,22.29,0.0,22.29,3.83,22.27,14.15,70.39
2021-04-18,11.51,0.99,0.0,0.99,3.57,19.02,6.53,74.54
2021-04-25,13.45,0.67,0.0,0.67,6.03,21.06,10.87,70.38
2021-05-02,14.83,6.83,0.0,6.83,5.29,25.56,8.19,67.03
2021-05-09,16.08,14.59,0.0,14.59,8.75,27.71,9.01,64.77
2021-05-16,16.12,0.58,0.0,0.58,5.24,27.6,8.06,57.41
2021-05-23,18.1,18.57,0.0,18.57,11.18,30.32,10.73,65.78
2021-05-30,18.04,21.24,0.0,21.24,10.75,25.27,7.88,72.06
2021-06-06,16.93,29.15,0.0,29.15,12.39,22.75,6.24,76.27
2021-06-13,19.35,6.67,0.0,6.67,11.96,25.83,8.15,65.64
2021-06-20,20.19,9.34,0.0,9.34,14.79,27.63,8.5,75.38
2021-06-27,22.7,2.11,0.0,2.11,17.18,29.17,9.2,74.76
2021-07-04,24.35,5.21,0.0,5.21,17.12,33.82,9.83,70.99
2021-07-11,24.07,5.45,0.0,5.45,17.36,29.98,10.23,69.77
2021-07-18,25.93,0.0,0.0,0.0,19.1,34.34,10.31,68.67
2021-07-25,25.94,0.49,0.0,0.49,17.52,35.77,11.75,65.26
2021-08-01,24.77,4.61,0.0,4.61,18.32,31.26,10.42,64.94
2021-08-08,26.55,1.26,0.0,1.26,20.06,34.55,9.71,65.85
2021-08-15,23.22,42.55,0.0,42.55,17.36,29.65,9.14,72.68
2021-08-22,23.72,0.04,0.0,0.04,17.09,30.26,10.55,66.93
2021-08-29,25.59,0.29,0.0,0.29,18.68,33.68,9.26,67.5
2021-09-05,22.15,2.15,0.0,2.15,14.11,31.61,11.25,67.91
2021-09-12,19.87,2.18,0.0,2.18,11.44,26.35,11.41,64.61
2021-09-19,20.43,20.91,0.0,20.91,13.66,27.75,8.56,71.96
2021-09-26,17.22,10.24,0.0,10.24,9.8,28.14,8.79,72.6
2021-10-03,15.9,0.53,0.0,0.53,10.29,22.56,9.46,69.72
2021-10-10,15.52,2.2,0.0,2.2,9.87,22.7,8.28,72.31
2021-10-17,17.37,12.32,0.0,12.32,11.4,24.16,7.56,75.3
2021-10-24,13.91,13.35,0.0,13.35,7.11,22.5,7.0,70.45
2021-10-31,11.86,10.06,0.0,10.06,5.57,17.94,7.69,72.43
2021-11-07,14.66,3.17,0.0,3.17,10.59,22.08,3.93,84.28
2021-11-14,10.11,18.62,0.0,18.62,2.85,19.74,7.18,76.32
2021-11-21,9.39,0.8,0.0,0.8,2.38,15.04,5.12,76.62
2021-11-28,11.45,16.68,0.0,16.68,5.75,19.71,8.13,71.95
2021-12-05,12.22,5.49,0.0,5.49,4.82,23.96,8.77,62.27
2021-12-12,12.83,7.43,0.0,7.43,5.85,20.68,7.28,63.96
2021-12-19,8.58,20.76,0.0,20.76,4.36,17.1,5.91,82.68
2021-12-26,3.6,4.59,2.59,2.0,-4.56,12.01,8.66,70.29
2022-01-02,8.77,8.82,0.0,8.82,3.33,15.14,6.51,70.99
2022-01-09,9.6,4.61,0.0,4.61,1.19,18.49,6.37,68.94
2022-01-16,5.15,35.7,15.7,20.0,-1.98,15.3,9.71,75.68
2022-01-23,3.01,51.86,36.21,15.64,-2.12,9.07,11.11,68.28
2022-01-30,-0.03,20.64,20.64,0.0,-5.64,5.55,7.24,74.05
2022-02-06,5.28,5.53,0.0,5.53,-0.43,14.31,7.97,69.4
2022-02-13,6.45,7.65,0.0,7.65,0.47,15.37,10.06,69.47
2022-02-20,6.78,11.13,0.0,11.13,1.17,14.27,6.76,70.52
2022-02-27,9.52,20.22,0.0,20.22,5.11,18.8,5.89,79.24
2022-03-06,6.16,54.84,0.0,54.84,0.58,14.39,7.77,79.24
2022-03-13,3.17,22.85,3.89,18.96,-3.63,12.17,10.98,74.03
2022-03-20,1.96,21.24,17.04,4.2,-4.49,9.43,10.24,73.3
2022-03-27,5.98,3.35,0.0,3.35,1.52,16.13,7.52,68.4
2022-04-03,14.76,0.22,0.0,0.22,2.82,25.93,9.42,49.21
2022-04-10,12.13,16.19,0.0,16.19,5.96,21.98,8.48,75.02
2022-04-17,10.45,14.79,0.0,14.79,3.81,23.3,7.97,70.7
2022-04-24,12.18,12.32,0.0,12.32,6.86,24.03,9.22,77.64
2022-05-01,14.79,0.97,0.0,0.97,8.86,23.36,9.13,74.59
2022-05-08,11.72,27.5,0.0,27.5,8.18,17.48,8.59,82.08
2022-05-15,14.35,0.13,0.0,0.13,5.93,24.62,7.43,64.85
2022-05-22,16.21,8.81,0.0,8.81,8.36,26.59,8.18,64.24
2022-05-29,17.37,6.13,0.0,6.13,9.53,26.4,8.24,71.69
2022-06-05,21.58,1.07,0.0,1.07,14.1,29.96,11.59,72.64
2022-06-12,21.6,8.78,0.0,8.78,16.38,27.9,10.46,78.77
2022-06-19,21.99,3.86,0.0,3.86,16.25,27.74,10.7,70.84
2022-06-26,20.74,29.35,0.0,29.35,14.64,29.46,8.04,70.72
2022-07-03,21.28,43.67,0.0,43.67,15.72,28.2,8.35,75.81
2022-07-10,22.97,3.63,0.0,3.63,14.49,29.31,10.47,68.7
2022-07-17,23.03,3.4,0.0,3.4,16.19,28.48,11.03,68.68
2022-07-24,22.5,8.04,0.0,8.04,15.56,28.6,11.19,64.67
2022-07-31,23.98,0.0,0.0,0.0,16.4,30.64,10.04,67.31
2022-08-07,25.48,0.29,0.0,0.29,20.13,31.38,11.57,70.19
2022-08-14,25.67,0.84,0.0,0.84,19.44,31.89,9.9,70.11
2022-08-21,25.95,0.63,0.0,0.63,18.79,32.02,9.44,69.44
2022-08-28,26.96,14.89,0.0,14.89,20.47,33.58,9.03,68.06
