time,Şaşvat karagöl - Artvin_temp,Şaşvat karagöl - Artvin_prcp,Şaşvat karagöl - Artvin_snow,Şaşvat karagöl - Artvin_rain,Şaşvat karagöl - Artvin_tmin,Şaşvat karagöl - Artvin_tmax,Şaşvat karagöl - Artvin_wspd,Şaşvat karagöl - Artvin_rhum
2021-01-03,-2.27,0.0,0.0,0.0,-6.94,3.25,9.49,54.38
2021-01-10,-0.16,0.88,0.88,0.0,-6.03,6.79,11.99,39.87
2021-01-17,0.1,42.42,41.94,0.48,-7.13,8.65,10.42,76.02
2021-01-24,-8.31,37.04,37.04,0.0,-14.76,2.25,11.25,62.52
2021-01-31,-1.36,5.15,5.15,0.0,-7.71,6.98,11.74,55.76
2021-02-07,0.16,27.9,27.9,0.0,-5.56,6.78,10.03,60.32
2021-02-14,1.37,9.0,8.03,0.96,-6.62,10.71,9.62,62.97
2021-02-21,-7.07,33.44,33.44,0.0,-12.55,4.5,8.09,78.41
2021-02-28,-4.55,14.23,14.23,0.0,-11.67,3.03,7.54,71.34
2021-03-07,-3.88,21.54,21.54,0.0,-11.04,7.78,8.21,68.12
2021-03-14,-3.76,29.75,29.75,0.0,-12.61,5.52,8.47,68.54
2021-03-21,0.04,30.96,27.52,3.45,-6.85,9.86,9.7,71.49
2021-03-28,-2.73,65.52,61.57,3.94,-8.31,11.22,9.02,80.21
2021-04-04,0.77,5.54,2.66,2.88,-9.79,10.19,7.06,69.75
2021-04-11,3.8,23.36,10.73,12.63,-3.43,16.28,10.07,72.03
2021-04-18,4.4,7.16,6.09,1.07,-3.67,16.9,6.99,69.86
2021-04-25,7.1,10.68,0.0,10.68,-1.47,17.25,8.11,71.8
2021-05-02,7.23,15.8,0.0,15.8,-0.95,14.64,6.92,73.14
2021-05-09,8.52,25.47,0.0,25.47,-0.95,17.56,8.69,68.68
2021-05-16,8.66,6.7,6.27,0.42,-5.93,20.74,7.92,62.76
2021-05-23,11.71,11.95,0.0,11.95,2.75,25.44,8.89,63.71
2021-05-30,9.37,9.9,0.0,9.9,1.39,17.69,6.8,76.01
2021-06-06,9.33,14.43,0.0,14.43,2.85,19.26,8.27,73.28
2021-06-13,9.5,15.8,0.0,15.8,1.52,14.69,6.39,74.98
2021-06-20,13.56,1.82,0.0,1.82,5.86,20.59,7.33,72.02
2021-06-27,14.6,12.71,0.0,12.71,8.86,21.2,7.07,72.72
2021-07-04,15.82,18.84,0.0,18.84,9.82,23.51,6.78,76.2
2021-07-11,14.28,17.46,0.0,17.46,7.42,20.05,6.91,74.75
2021-07-18,16.24,28.56,0.0,28.56,9.55,24.98,6.16,74.69
2021-07-25,16.31,99.87,0.0,99.87,8.82,26.61,7.56,75.1
2021-08-01,14.4,34.14,0.0,34.14,8.99,20.98,7.22,82.15
2021-08-08,17.37,14.07,0.0,14.07,10.95,26.15,7.14,71.48
2021-08-15,14.01,66.01,0.0,66.01,9.12,21.49,7.06,82.6
2021-08-22,14.06,23.86,0.0,23.86,8.93,21.81,6.6,80.81
2021-08-29,16.52,5.75,0.0,5.75,9.49,26.17,6.84,72.13
2021-09-05,12.88,65.98,0.0,65.98,3.34,26.46,7.94,79.18
2021-09-12,10.88,35.5,0.0,35.5,6.45,19.46,6.36,84.48
2021-09-19,11.58,23.2,0.0,23.2,5.78,18.94,6.86,81.04
2021-09-26,8.07,127.95,0.0,127.95,0.2,19.12,8.34,78.79
2021-10-03,6.27,52.61,0.0,52.61,0.32,13.13,6.55,84.34
2021-10-10,5.37,42.87,0.0,42.87,-0.27,13.69,7.22,78.26
2021-10-17,9.14,3.44,0.0,3.44,2.34,17.64,7.07,69.28
2021-10-24,4.27,44.18,12.23,31.95,-2.04,12.4,7.57,74.22
2021-10-31,1.71,27.11,24.08,3.03,-5.86,10.44,8.12,72.49
2021-11-07,6.57,2.32,0.0,2.32,-0.65,14.02,7.51,76.16
2021-11-14,1.59,18.58,18.58,0.0,-5.44,11.91,8.13,69.08
2021-11-21,0.53,14.32,14.32,0.0,-4.09,6.72,7.01,74.0
2021-11-28,0.75,25.45,25.33,0.12,-4.55,7.85,9.74,73.54
2021-12-05,-0.1,41.78,41.3,0.48,-7.82,10.47,12.17,65.79
2021-12-12,1.43,11.95,9.97,1.97,-3.73,9.27,12.17,58.09
2021-12-19,0.06,19.17,19.17,0.0,-5.74,7.07,8.81,65.61
2021-12-26,-6.84,66.19,66.19,0.0,-14.45,3.78,10.54,70.71
2022-01-02,-4.74,20.68,20.68,0.0,-9.61,1.29,11.94,56.23
2022-01-09,-3.45,28.5,28.5,0.0,-9.09,4.24,10.94,62.51
2022-01-16,-5.14,55.36,55.36,0.0,-13.25,4.67,10.94,73.53
2022-01-23,-8.43,51.5,51.5,0.0,-14.03,-1.55,11.22,65.7
2022-01-30,-7.41,25.24,25.24,0.0,-13.0,-2.5,8.9,68.6
2022-02-06,-3.84,22.83,22.83,0.0,-10.88,3.53,11.92,65.33
2022-02-13,-3.67,19.25,19.25,0.0,-10.21,3.9,9.73,67.96
2022-02-20,-3.62,0.59,0.59,0.0,-9.57,3.17,6.31,68.21
2022-02-27,0.82,11.33,9.8,1.53,-5.41,9.73,9.23,68.65
2022-03-06,-2.07,44.06,44.06,0.0,-9.47,10.24,9.43,76.39
2022-03-13,-6.02,47.37,47.37,0.0,-11.99,3.13,8.65,77.47
2022-03-20,-8.61,45.86,45.86,0.0,-11.73,-5.06,7.13,80.79
2022-03-27,-4.89,5.44,5.44,0.0,-10.45,0.95,6.56,77.81
2022-04-03,3.92,11.0,11.0,0.0,-9.46,17.0,11.52,53.14
2022-04-10,3.19,26.05,0.9,25.15,-3.47,14.64,8.87,71.59
2022-04-17,1.45,29.65,29.62,0.03,-9.7,16.88,9.04,69.08
2022-04-24,6.56,4.35,3.24,1.12,-2.81,17.85,8.29,66.73
2022-05-01,7.44,6.44,0.0,6.44,0.92,15.82,6.0,72.67
2022-05-08,3.0,58.53,12.49,46.04,-1.9,12.19,6.9,86.79
2022-05-15,5.13,0.92,0.44,0.49,-3.41,16.97,7.04,73.07
2022-05-22,6.4,20.14,6.51,13.63,-1.25,16.79,9.03,70.2
2022-05-29,7.55,15.51,0.0,15.51,-0.57,16.72,7.5,74.06
2022-06-05,14.29,2.82,0.0,2.82,5.35,22.64,6.36,65.3
2022-06-12,12.89,17.44,0.0,17.44,7.04,21.55,6.69,76.94
2022-06-19,11.33,24.6,0.0,24.6,5.78,15.46,6.24,82.22
2022-06-26,10.41,58.39,0.0,58.39,3.67,17.33,7.49,82.84
2022-07-03,11.32,18.92,0.0,18.92,5.76,17.61,6.61,83.1
2022-07-10,13.71,1.84,0.0,1.84,4.32,23.99,7.15,73.93
2022-07-17,12.67,19.87,0.0,19.87,7.75,20.46,7.83,81.44
2022-07-24,11.84,17.32,0.0,17.32,5.65,19.31,9.05,79.33
2022-07-31,13.75,3.42,0.0,3.42,5.65,21.78,6.6,77.01
2022-08-07,15.8,12.12,0.0,12.12,9.47,21.54,6.55,78.79
2022-08-14,16.0,17.0,0.0,17.0,9.41,22.85,7.2,75.73
2022-08-21,16.73,5.83,0.0,5.83,9.42,24.87,7.31,71.5
2022-08-28,18.77,0.9,0.0,0.9,11.49,26.43,7.51,59.11
2022-09-04,18.71,22.61,0.0,22.61,11.08,27.73,7.01,60.32
2022-09-11,10.26,22.65,0.0,22.65,2.77,19.5,8.37,73.96
2022-09-18,13.55,34.19,0.0,34.19,3.45,26.81,9.23,64.59
2022-09-25,10.49,52.99,0.0,52.99,1.31,18.87,8.06,78.13
2022-10-02,11.69,0.0,0.0,0.0,1.14,19.81,8.64,60.0
2022-10-09,10.14,36.61,0.0,36.61,6.15,15.52,7.37,78.91
2022-10-16,6.23,40.19,0.0,40.19,0.16,12.47,7.26,79.77
2022-10-23,5.59,63.09,0.0,63.09,-3.7,13.54,7.37,79.12
2022-10-30,3.13,43.0,2.77,40.24,-2.5,11.0,8.03,77.96
2022-11-06,1.68,51.36,48.69,2.68,-2.57,7.57,8.13,77.69
2022-11-13,2.04,9.61,1.9,7.71,-2.74,9.11,6.57,80.28
2022-11-20,2.81,9.17,6.45,2.72,-2.89,10.92,9.67,71.01
2022-11-27,4.25,17.97,9.9,8.07,-1.73,10.93,9.85,64.1
2022-12-04,1.33,23.75,21.59,2.16,-4.16,7.5,7.68,75.99
2022-12-11,-0.86,4.38,4.38,0.0,-5.56,5.23,9.39,67.26
2022-12-18,1.06,5.15,2.97,2.19,-2.76,6.0,9.81,71.39
2022-12-25,-2.86,16.57,16.57,0.0,-7.22,2.59,7.36,68.5
2023-01-01,-4.58,20.0,20.0,0.0,-8.84,1.09,9.61,57.98
2023-01-08,-4.01,45.67,45.67,0.0,-8.92,3.63,8.38,64.95
2023-01-15,-5.05,3.69,3.69,0.0,-11.06,0.93,14.27,47.06
2023-01-22,-0.86,0.0,0.0,0.0,-7.76,6.58,13.59,50.19
2023-01-29,-3.93,7.48,7.48,0.0,-10.2,2.41,11.56,50.51
2023-02-05,-5.11,20.18,20.18,0.0,-12.18,0.64,10.38,67.77
2023-02-12,-6.59,15.98,15.98,0.0,-11.63,0.55,9.13,73.25
2023-02-19,-8.71,98.56,98.56,0.0,-14.21,-1.89,12.49,70.79
2023-02-26,-3.96,56.54,56.54,0.0,-9.94,5.98,13.27,72.01
2023-03-05,0.11,31.45,31.45,0.0,-5.02,8.23,11.79,69.6
2023-03-12,2.11,18.16,18.16,0.0,-6.89,13.02,13.54,61.8
2023-03-19,2.86,10.12,1.62,8.5,-2.79,9.33,8.41,78.78
2023-03-26,1.29,22.15,15.98,6.17,-4.23,9.24,7.26,82.48
