time,Ayder yaylası - Rize_temp,Ayder yaylası - Rize_prcp,Ayder yaylası - Rize_snow,Ayder yaylası - Rize_rain,Ayder yaylası - Rize_tmin,Ayder yaylası - Rize_tmax,Ayder yaylası - Rize_wspd,Ayder yaylası - Rize_rhum
2021-12-31,-0.36,0.13,0.13,0.0,-4.72,5.34,10.31,52.49
2022-01-01,-0.95,1.58,1.58,0.0,-3.62,1.71,8.9,68.49
2022-01-02,-0.94,17.69,17.69,0.0,-2.95,0.7,11.49,85.09
2022-01-03,-2.98,28.14,28.14,0.0,-6.27,-0.41,8.73,81.62
2022-01-04,-1.49,2.64,2.64,0.0,-4.45,1.67,9.5,71.14
2022-01-05,0.41,9.88,9.88,0.0,-4.44,3.16,10.51,68.29
2022-01-06,1.08,0.0,0.0,0.0,-2.76,6.48,13.15,54.48
2022-01-07,1.49,0.0,0.0,0.0,-2.91,6.62,11.6,53.16
2022-01-08,1.07,0.0,0.0,0.0,-1.98,4.05,7.84,63.65
2022-01-09,2.85,0.3,0.0,0.3,-4.23,7.41,10.34,57.0
2022-01-10,4.01,0.23,0.0,0.23,0.84,7.99,11.98,53.87
2022-01-11,4.28,0.0,0.0,0.0,0.38,8.7,11.9,55.93
2022-01-12,2.85,0.89,0.0,0.89,0.42,5.75,8.42,66.76
2022-01-13,-4.24,33.28,33.28,0.0,-6.57,0.08,10.41,92.72
2022-01-14,-6.27,15.38,15.38,0.0,-8.26,-3.49,5.83,86.82
2022-01-15,-5.61,8.65,8.65,0.0,-8.21,-1.49,13.48,79.1
2022-01-16,-7.3,24.6,24.6,0.0,-9.68,-5.19,10.0,82.17
2022-01-17,-6.37,22.48,22.48,0.0,-8.82,-3.66,7.45,76.74
2022-01-18,-4.35,1.81,1.81,0.0,-10.2,-0.65,12.18,62.06
2022-01-19,-7.02,26.72,26.72,0.0,-8.37,-5.56,8.65,87.5
2022-01-20,-7.63,16.06,16.06,0.0,-9.36,-5.51,10.56,82.45
2022-01-21,-6.29,2.13,2.13,0.0,-10.04,-2.97,9.96,66.3
2022-01-22,-1.48,0.0,0.0,0.0,-6.58,0.81,13.05,55.09
2022-01-23,-0.45,0.3,0.3,0.0,-3.62,0.57,11.68,62.39
2022-01-24,-4.52,5.14,5.14,0.0,-6.23,-1.52,8.62,80.17
2022-01-25,-5.01,22.6,22.6,0.0,-7.25,-2.77,7.6,77.03
2022-01-26,-4.02,1.1,1.1,0.0,-6.91,-2.06,8.15,75.22
2022-01-27,-5.25,17.44,17.44,0.0,-6.51,-3.64,8.45,89.86
2022-01-28,-4.82,3.65,3.65,0.0,-8.59,-2.53,6.51,72.5
2022-01-29,-4.38,0.0,0.0,0.0,-9.55,-2.08,9.72,59.78
2022-01-30,-2.87,0.0,0.0,0.0,-7.45,-1.27,9.51,58.2
2022-01-31,0.03,0.0,0.0,0.0,-4.62,2.02,11.65,64.35
2022-02-01,-1.28,1.97,1.97,0.0,-3.92,1.39,8.14,72.12
2022-02-02,3.1,0.13,0.0,0.13,-3.11,6.94,13.56,55.98
2022-02-03,4.27,0.0,0.0,0.0,0.4,6.43,11.45,51.65
2022-02-04,-1.46,16.65,16.65,0.0,-4.36,1.37,13.13,77.96
2022-02-05,-5.93,20.87,20.87,0.0,-7.79,-2.25,11.36,85.19
2022-02-06,-4.21,1.75,1.75,0.0,-8.9,-1.36,9.61,71.19
2022-02-07,-1.75,3.36,3.36,0.0,-7.02,1.24,8.73,73.58
2022-02-08,1.16,0.0,0.0,0.0,-5.03,4.97,15.23,52.75
2022-02-09,2.65,1.91,0.0,1.91,-1.06,7.41,12.7,67.57
2022-02-10,-3.06,19.29,19.29,0.0,-4.1,-1.47,8.28,93.33
2022-02-11,-2.21,2.66,2.66,0.0,-5.69,0.78,5.49,78.97
2022-02-12,-0.86,0.0,0.0,0.0,-5.98,5.73,7.93,54.94
2022-02-13,-1.6,1.41,1.41,0.0,-5.39,1.28,7.85,73.74
2022-02-14,-1.19,0.32,0.32,0.0,-5.06,2.25,7.53,77.54
2022-02-15,-1.26,0.95,0.95,0.0,-3.33,1.56,4.79,86.28
2022-02-16,-1.72,0.0,0.0,0.0,-3.9,1.27,4.93,83.48
2022-02-17,-1.75,0.0,0.0,0.0,-6.67,2.51,6.29,69.71
2022-02-18,0.64,0.0,0.0,0.0,-5.49,4.8,7.43,56.7
2022-02-19,-0.55,2.19,2.19,0.0,-3.91,2.26,7.0,72.69
2022-02-20,0.32,2.48,2.48,0.0,-4.79,4.15,5.31,76.57
2022-02-21,0.8,0.6,0.6,0.0,-3.51,5.25,6.87,62.64
2022-02-22,4.19,0.0,0.0,0.0,-2.28,9.63,10.83,63.51
2022-02-23,5.74,0.0,0.0,0.0,0.75,11.0,10.0,57.56
2022-02-24,4.85,0.0,0.0,0.0,-0.87,12.47,11.05,61.24
2022-02-25,2.93,1.28,0.0,1.28,1.59,7.3,9.86,76.43
2022-02-26,-0.03,12.27,12.27,0.0,-1.04,1.65,8.59,92.09
2022-02-27,0.35,9.73,9.73,0.0,-3.06,3.87,5.19,84.82
2022-02-28,2.81,0.0,0.0,0.0,-3.01,6.58,5.21,74.71
2022-03-01,0.72,4.24,4.24,0.0,-1.26,3.8,9.38,81.72
2022-03-02,1.93,4.62,4.62,0.0,-2.72,3.67,5.8,83.83
2022-03-03,0.22,9.01,9.01,0.0,-3.82,8.88,10.26,85.73
2022-03-04,-3.53,34.74,34.74,0.0,-5.56,-1.22,12.82,85.61
2022-03-05,-1.67,1.12,1.12,0.0,-6.45,1.01,7.83,70.71
2022-03-06,-2.35,0.53,0.53,0.0,-6.35,-0.75,7.71,73.14
2022-03-07,0.19,0.33,0.33,0.0,-6.56,4.23,8.03,62.05
2022-03-08,-1.03,5.82,5.82,0.0,-2.88,0.89,10.53,76.59
2022-03-09,-2.72,12.86,12.86,0.0,-4.13,-0.7,7.53,88.63
2022-03-10,-4.33,14.47,14.47,0.0,-6.28,-2.13,5.7,88.72
2022-03-11,-6.23,12.13,12.13,0.0,-7.07,-4.79,10.24,88.3
2022-03-12,-7.01,21.26,21.26,0.0,-8.74,-4.86,9.4,83.5
2022-03-13,-6.62,9.34,9.34,0.0,-8.94,-4.25,8.67,80.08
2022-03-14,-6.34,13.6,13.6,0.0,-8.8,-4.08,7.58,84.36
2022-03-15,-7.01,20.99,20.99,0.0,-9.05,-5.48,10.02,86.4
2022-03-16,-5.83,9.94,9.94,0.0,-8.53,-4.29,9.34,80.35
2022-03-17,-6.07,22.01,22.01,0.0,-7.78,-4.27,5.01,89.24
2022-03-18,-7.44,11.51,11.51,0.0,-8.9,-5.34,5.99,89.76
2022-03-19,-7.88,12.42,12.42,0.0,-9.37,-6.28,7.85,86.16
2022-03-20,-4.98,8.64,8.64,0.0,-8.62,-2.7,6.74,82.29
2022-03-21,-3.56,0.17,0.17,0.0,-8.16,-0.67,7.34,82.41
2022-03-22,-2.85,1.84,1.84,0.0,-6.21,-0.44,5.26,81.99
2022-03-23,-1.19,0.34,0.34,0.0,-6.19,1.67,8.12,78.88
2022-03-24,-2.43,4.0,4.0,0.0,-5.3,-1.33,5.49,88.04
2022-03-25,-1.41,0.24,0.24,0.0,-4.76,1.16,5.67,84.05
2022-03-26,-2.13,0.98,0.98,0.0,-4.9,0.25,7.54,80.47
2022-03-27,-1.14,0.05,0.05,0.0,-6.09,1.71,6.34,72.67
2022-03-28,-2.26,8.42,8.42,0.0,-5.32,0.39,10.87,79.51
2022-03-29,3.77,0.0,0.0,0.0,-5.78,9.59,10.37,61.27
2022-03-30,6.09,0.0,0.0,0.0,0.77,11.0,8.94,56.0
2022-03-31,7.72,0.0,0.0,0.0,-0.19,12.51,9.9,55.19
2022-04-01,9.97,0.0,0.0,0.0,3.83,15.27,13.86,48.5
2022-04-02,13.68,0.0,0.0,0.0,4.33,20.55,14.48,45.12
2022-04-03,7.74,0.0,0.0,0.0,3.27,11.74,8.0,63.07
2022-04-04,4.54,0.43,0.0,0.43,1.67,7.85,8.68,70.61
2022-04-05,2.03,0.14,0.0,0.14,-0.84,5.22,11.77,73.24
2022-04-06,3.56,1.13,0.0,1.13,0.51,6.9,6.53,83.44
2022-04-07,2.56,0.0,0.0,0.0,-0.19,5.31,4.65,83.66
2022-04-08,5.89,8.24,0.0,8.24,0.94,10.23,10.96,73.13
2022-04-09,4.94,16.7,0.0,16.7,1.09,8.02,6.76,80.59
2022-04-10,10.68,0.0,0.0,0.0,1.78,16.43,10.09,53.47
2022-04-11,13.23,0.67,0.0,0.67,5.07,18.83,12.97,50.13
2022-04-12,0.63,26.29,26.29,0.0,-1.57,4.89,12.33,88.43
2022-04-13,-2.08,11.54,11.54,0.0,-4.7,0.44,9.25,80.34
2022-04-14,1.21,0.96,0.96,0.0,-6.18,4.47,9.62,62.33
2022-04-15,1.86,0.1,0.1,0.0,-1.82,4.21,5.2,73.53
2022-04-16,3.58,0.0,0.0,0.0,-3.35,6.51,5.94,80.06
2022-04-17,8.35,0.0,0.0,0.0,-0.81,13.25,7.22,64.41
2022-04-18,14.7,0.0,0.0,0.0,5.96,20.21,16.15,40.87
2022-04-19,6.62,0.25,0.0,0.25,3.13,13.96,8.45,77.92
2022-04-20,1.28,8.79,8.79,0.0,-0.34,3.08,8.15,89.16
2022-04-21,4.38,0.07,0.0,0.07,-1.3,7.81,6.41,82.93
2022-04-22,4.81,0.27,0.0,0.27,-0.42,7.33,5.76,81.51
2022-04-23,6.55,0.0,0.0,0.0,0.03,10.37,4.91,72.14
2022-04-24,9.52,0.0,0.0,0.0,2.77,15.28,7.15,64.13
2022-04-25,9.4,0.0,0.0,0.0,1.88,13.48,5.13,67.23
2022-04-26,9.97,0.0,0.0,0.0,4.71,14.36,7.55,65.89
2022-04-27,7.04,0.0,0.0,0.0,1.91,9.64,5.39,74.52
2022-04-28,6.63,0.0,0.0,0.0,2.15,8.91,6.23,77.03
2022-04-29,6.25,0.0,0.0,0.0,3.34,8.54,5.19,82.56
2022-04-30,5.48,0.13,0.0,0.13,2.05,7.79,4.97,83.9
2022-05-01,3.35,1.67,0.0,1.67,1.93,4.63,5.9,90.97
2022-05-02,4.43,22.5,0.0,22.5,3.17,6.39,6.38,91.11
2022-05-03,5.52,0.23,0.0,0.23,-0.24,7.92,5.96,84.98
2022-05-04,6.17,4.6,0.0,4.6,3.79,9.79,7.45,86.93
2022-05-05,3.19,23.34,0.0,23.34,1.9,4.58,8.6,92.1
2022-05-06,3.75,4.08,0.0,4.08,0.57,6.07,5.03,85.68
2022-05-07,3.07,11.13,0.0,11.13,1.32,4.56,7.46,89.97
2022-05-08,3.59,2.28,0.0,2.28,0.67,5.71,5.83,85.19
2022-05-09,3.66,0.24,0.0,0.24,1.09,5.7,5.59,85.87
2022-05-10,4.57,0.07,0.0,0.07,1.3,6.73,5.51,82.77
2022-05-11,6.36,0.0,0.0,0.0,-0.17,8.94,7.79,77.11
2022-05-12,5.86,0.0,0.0,0.0,1.06,8.82,6.6,79.92
2022-05-13,7.77,0.0,0.0,0.0,-0.41,11.28,7.57,71.25
2022-05-14,11.77,0.0,0.0,0.0,2.19,15.94,6.51,65.61
2022-05-15,10.82,0.0,0.0,0.0,4.96,14.25,6.91,66.16
2022-05-16,7.52,0.8,0.0,0.8,3.78,9.72,6.58,73.9
2022-05-17,8.84,0.0,0.0,0.0,1.83,11.3,8.42,66.72
2022-05-18,11.17,0.0,0.0,0.0,2.55,14.09,7.52,61.26
2022-05-19,5.84,9.7,0.0,9.7,2.3,9.32,13.3,82.12
2022-05-20,4.16,17.73,0.0,17.73,0.44,6.55,7.79,82.0
2022-05-21,8.62,0.05,0.0,0.05,0.57,11.72,8.49,69.58
2022-05-22,12.02,0.0,0.0,0.0,3.61,15.23,7.45,65.59
2022-05-23,7.21,5.06,0.0,5.06,4.92,9.83,8.42,84.0
2022-05-24,5.02,12.65,0.0,12.65,2.53,7.65,7.2,84.11
2022-05-25,7.88,1.97,0.0,1.97,1.61,10.28,6.98,78.2
2022-05-26,9.31,0.0,0.0,0.0,1.82,11.63,7.22,70.78
2022-05-27,10.51,0.0,0.0,0.0,3.26,13.31,6.78,64.08
2022-05-28,11.86,0.0,0.0,0.0,5.09,14.16,6.63,76.92
2022-05-29,13.3,0.0,0.0,0.0,7.38,16.02,5.17,76.08
2022-05-30,14.92,0.0,0.0,0.0,7.14,18.16,5.18,71.43
2022-05-31,14.95,0.0,0.0,0.0,8.7,19.91,6.27,70.24
2022-06-01,13.57,0.0,0.0,0.0,8.76,15.78,5.9,79.36
2022-06-02,13.78,0.21,0.0,0.21,9.69,16.32,4.72,74.82
2022-06-03,15.75,0.0,0.0,0.0,11.38,19.8,6.85,68.35
2022-06-04,15.47,0.56,0.0,0.56,11.8,19.42,7.71,75.31
2022-06-05,14.08,1.48,0.0,1.48,9.14,16.9,6.06,76.94
2022-06-06,12.69,1.07,0.0,1.07,9.79,14.91,6.82,85.54
2022-06-07,13.08,1.89,0.0,1.89,10.25,15.46,6.02,87.82
2022-06-08,13.49,3.05,0.0,3.05,10.01,16.18,5.01,83.37
2022-06-09,14.48,5.74,0.0,5.74,11.59,18.05,6.3,85.64
2022-06-10,15.32,0.13,0.0,0.13,9.3,18.14,5.93,80.97
2022-06-11,16.07,0.0,0.0,0.0,10.29,18.6,6.26,77.98
2022-06-12,16.47,2.31,0.0,2.31,11.57,22.04,10.53,72.93
2022-06-13,12.99,5.79,0.0,5.79,9.85,15.7,8.32,80.54
2022-06-14,13.97,8.67,0.0,8.67,9.7,16.8,5.92,83.29
2022-06-15,13.34,3.21,0.0,3.21,10.34,16.53,5.27,83.82
2022-06-16,14.11,1.08,0.0,1.08,8.91,16.64,7.88,80.2
2022-06-17,13.26,0.98,0.0,0.98,9.5,15.94,5.84,86.2
2022-06-18,13.58,3.03,0.0,3.03,9.33,15.46,4.95,85.0
2022-06-19,12.9,0.43,0.0,0.43,10.51,14.84,6.01,84.09
2022-06-20,14.68,0.05,0.0,0.05,10.22,17.08,6.14,81.76
2022-06-21,14.09,2.86,0.0,2.86,10.04,17.42,6.91,83.05
2022-06-22,11.74,23.79,0.0,23.79,8.79,14.29,9.02,86.52
2022-06-23,12.14,12.26,0.0,12.26,8.87,14.69,7.65,76.77
2022-06-24,12.01,1.37,0.0,1.37,5.98,16.39,10.64,70.15
2022-06-25,10.86,4.71,0.0,4.71,7.39,13.6,5.78,84.81
2022-06-26,9.78,19.21,0.0,19.21,9.5,11.44,6.13,90.77
2022-06-27,10.92,12.64,0.0,12.64,7.16,13.53,5.3,85.11
2022-06-28,13.5,2.1,0.0,2.1,7.35,17.6,6.39,83.24
2022-06-29,13.94,0.05,0.0,0.05,9.07,18.03,5.49,87.52
2022-06-30,14.12,0.26,0.0,0.26,10.78,17.48,4.82,87.62
2022-07-01,13.86,3.48,0.0,3.48,11.09,17.33,5.23,89.1
2022-07-02,14.25,9.61,0.0,9.61,10.88,17.81,9.78,84.34
