time,Elevit Yaylası - Rize_temp,Elevit Yaylası - Rize_prcp,Elevit Yaylası - Rize_snow,Elevit Yaylası - Rize_rain,Elevit Yaylası - Rize_tmin,Elevit Yaylası - Rize_tmax,Elevit Yaylası - Rize_wspd,Elevit Yaylası - Rize_rhum
2021-12-31,-4.37,0.15,0.15,0.0,-8.78,1.4,9.93,53.44
2022-01-01,-4.95,1.49,1.49,0.0,-7.57,-2.34,8.69,69.66
2022-01-02,-5.04,16.48,16.48,0.0,-7.14,-3.37,11.33,85.08
2022-01-03,-6.97,28.34,28.34,0.0,-10.35,-4.48,8.64,81.47
2022-01-04,-5.4,2.41,2.41,0.0,-8.49,-2.35,9.29,70.92
2022-01-05,-3.63,10.1,10.1,0.0,-8.5,-0.85,10.39,68.28
2022-01-06,-2.98,0.0,0.0,0.0,-6.92,2.45,12.42,55.22
2022-01-07,-2.49,0.0,0.0,0.0,-6.96,2.48,11.03,54.25
2022-01-08,-2.98,0.0,0.0,0.0,-5.93,-0.11,7.56,64.52
2022-01-09,-1.21,0.34,0.34,0.0,-8.4,3.34,9.91,57.78
2022-01-10,-0.04,0.21,0.21,0.0,-3.21,3.88,11.43,54.21
2022-01-11,0.33,0.0,0.0,0.0,-3.6,4.7,11.54,56.27
2022-01-12,-1.25,0.83,0.83,0.0,-3.63,1.52,8.04,67.17
2022-01-13,-8.51,34.87,34.87,0.0,-10.67,-4.5,10.27,93.05
2022-01-14,-10.3,16.56,16.56,0.0,-12.32,-7.49,5.72,86.68
2022-01-15,-9.62,7.98,7.98,0.0,-12.34,-5.53,13.43,79.19
2022-01-16,-11.38,23.89,23.89,0.0,-13.82,-9.25,9.73,82.19
2022-01-17,-10.38,23.25,23.25,0.0,-12.88,-7.65,7.39,76.71
2022-01-18,-8.12,1.63,1.63,0.0,-14.21,-4.48,11.61,62.95
2022-01-19,-11.24,26.03,26.03,0.0,-12.53,-9.83,8.74,87.49
2022-01-20,-11.69,16.37,16.37,0.0,-13.42,-9.6,10.41,82.26
2022-01-21,-10.5,1.92,1.92,0.0,-14.22,-6.98,9.71,66.5
2022-01-22,-5.46,0.0,0.0,0.0,-10.65,-3.05,12.59,55.97
2022-01-23,-4.64,0.27,0.27,0.0,-7.75,-3.59,11.32,63.75
2022-01-24,-8.76,4.71,4.71,0.0,-10.45,-5.77,8.52,80.8
2022-01-25,-9.1,24.34,24.34,0.0,-11.41,-6.93,7.49,77.38
2022-01-26,-8.19,1.1,1.1,0.0,-10.99,-6.28,7.91,76.15
2022-01-27,-9.43,18.08,18.08,0.0,-10.73,-7.86,8.38,89.97
2022-01-28,-8.84,3.93,3.93,0.0,-12.65,-6.5,6.46,72.1
2022-01-29,-8.4,0.0,0.0,0.0,-13.65,-6.0,9.42,60.22
2022-01-30,-6.96,0.0,0.0,0.0,-11.55,-5.2,9.28,59.1
2022-01-31,-4.08,0.0,0.0,0.0,-8.82,-2.02,11.29,65.13
2022-02-01,-5.42,2.14,2.14,0.0,-7.97,-2.8,8.04,73.24
2022-02-02,-0.96,0.15,0.15,0.0,-7.28,2.93,13.03,56.34
2022-02-03,0.09,0.0,0.0,0.0,-3.7,2.41,10.96,52.04
2022-02-04,-5.68,17.09,17.09,0.0,-8.58,-2.88,13.16,78.77
2022-02-05,-9.86,21.73,21.73,0.0,-11.82,-6.27,11.22,84.99
