,Güzeldere selalesi Tabiat Parkı - Düzce_temp,Güzeldere selalesi Tabiat Parkı - Düzce_prcp,Güzeldere selalesi Tabiat Parkı - Düzce_snow,Güzeldere selalesi Tabiat Parkı - Düzce_rain,Güzeldere selalesi Tabiat Parkı - Düzce_tmin,Güzeldere selalesi Tabiat Parkı - Düzce_tmax,Güzeldere selalesi Tabiat Parkı - Düzce_wspd,Güzeldere selalesi Tabiat Parkı - Düzce_rhum
2021-12-31,4.77,0.94,0.0,0.94,1.81,7.01,3.75,90.06
2022-01-01,4.98,1.27,0.0,1.27,1.72,6.94,3.08,95.17
2022-01-02,4.77,5.34,0.0,5.34,0.79,6.67,5.06,90.05
2022-01-03,4.21,0.92,0.0,0.92,-2.59,9.73,3.53,78.05
2022-01-04,6.66,0.0,0.0,0.0,1.51,11.38,4.17,74.58
2022-01-05,7.89,0.0,0.0,0.0,-0.07,15.28,3.27,77.04
2022-01-06,10.28,0.0,0.0,0.0,2.26,17.4,4.53,72.0
2022-01-07,6.91,0.85,0.0,0.85,2.95,11.52,3.54,88.7
2022-01-08,7.05,1.29,0.0,1.29,3.55,10.96,3.0,90.59
2022-01-09,7.7,0.07,0.0,0.07,3.77,13.43,3.43,77.12
2022-01-10,7.04,1.01,0.0,1.01,2.63,10.89,3.84,78.47
2022-01-11,5.59,1.97,0.0,1.97,2.58,7.87,4.8,87.52
2022-01-12,1.55,19.86,19.86,0.0,-1.25,5.36,9.86,94.06
2022-01-13,-1.93,7.73,7.73,0.0,-2.99,-0.6,9.32,74.57
2022-01-14,-1.41,0.12,0.12,0.0,-5.4,2.83,3.4,72.75
2022-01-15,-0.97,1.21,1.21,0.0,-5.11,3.69,5.94,81.28
2022-01-16,-1.54,11.55,11.55,0.0,-4.43,2.49,5.27,87.45
2022-01-17,-1.12,0.38,0.38,0.0,-8.72,4.81,4.76,73.76
2022-01-18,-0.7,7.68,7.68,0.0,-4.12,2.04,8.31,80.15
2022-01-19,-3.36,18.93,18.93,0.0,-5.02,-1.45,7.36,87.62
2022-01-20,-2.01,3.89,3.89,0.0,-7.46,2.74,5.5,69.57
2022-01-21,0.74,1.73,1.73,0.0,-6.99,7.09,6.66,73.28
2022-01-22,-2.98,12.87,12.87,0.0,-4.29,-1.98,4.88,95.34
2022-01-23,-4.01,7.15,7.15,0.0,-5.87,-2.49,5.52,89.21
2022-01-24,-3.76,6.64,6.64,0.0,-7.84,-0.95,4.41,85.98
2022-01-25,-5.65,1.59,1.59,0.0,-9.44,-3.08,2.65,86.11
2022-01-26,-3.15,1.49,1.49,0.0,-5.4,-1.1,4.77,82.82
2022-01-27,-1.82,1.25,1.25,0.0,-5.12,-0.13,5.36,88.81
2022-01-28,-1.84,0.62,0.62,0.0,-7.03,2.75,4.46,77.35
2022-01-29,0.01,0.14,0.14,0.0,-3.39,3.67,2.93,75.86
2022-01-30,-0.05,0.0,0.0,0.0,-6.89,5.14,3.98,79.15
2022-01-31,2.01,0.85,0.0,0.85,-3.37,5.77,5.87,74.41
2022-02-01,1.62,0.66,0.66,0.0,-5.69,7.37,5.03,72.11
2022-02-02,8.53,0.67,0.0,0.67,3.59,10.86,7.66,65.74
2022-02-03,3.21,7.81,0.0,7.81,0.56,5.52,7.43,86.36
2022-02-04,-0.72,11.55,11.55,0.0,-3.86,1.59,5.93,79.86
2022-02-05,-1.39,0.12,0.12,0.0,-9.34,5.86,2.85,75.46
2022-02-06,1.63,0.0,0.0,0.0,-4.68,7.17,2.92,81.86
2022-02-07,5.5,0.33,0.0,0.33,-4.73,12.07,5.44,68.88
2022-02-08,4.99,15.29,0.0,15.29,0.81,9.03,7.28,80.99
2022-02-09,0.67,25.66,25.66,0.0,-0.72,2.26,8.38,85.75
2022-02-10,1.34,1.45,1.45,0.0,-1.85,5.33,3.64,81.05
2022-02-11,3.72,0.0,0.0,0.0,-5.07,11.65,2.38,77.87
2022-02-12,5.17,0.0,0.0,0.0,-4.07,12.85,4.15,73.87
2022-02-13,3.58,0.47,0.0,0.47,1.24,6.24,6.77,85.35
2022-02-14,2.34,1.15,0.0,1.15,1.18,3.92,4.17,89.21
2022-02-15,3.28,0.13,0.0,0.13,-1.45,8.42,2.89,80.94
2022-02-16,4.62,0.0,0.0,0.0,-3.84,12.37,2.5,71.7
2022-02-17,6.93,0.0,0.0,0.0,-0.44,13.8,3.78,62.64
2022-02-18,3.65,10.98,0.0,10.98,0.06,7.24,5.59,80.4
2022-02-19,4.28,1.03,0.0,1.03,-2.23,10.07,3.12,78.17
2022-02-20,7.42,0.0,0.0,0.0,-0.62,14.02,3.19,69.58
2022-02-21,8.99,0.0,0.0,0.0,1.82,16.34,3.27,67.65
2022-02-22,7.99,0.55,0.0,0.55,0.74,13.63,3.4,75.88
2022-02-23,7.94,2.32,0.0,2.32,3.98,11.41,4.84,83.35
2022-02-24,2.59,16.75,0.0,16.75,1.58,4.41,7.23,95.4
2022-02-25,2.39,27.79,0.0,27.79,0.92,3.21,7.31,94.34
2022-02-26,4.03,2.83,0.0,2.83,-0.62,8.09,3.85,79.87
