,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_tmin,Horma Kanyonu - Kastamonu_tmax,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2021-12-31,6.04,0.19,0.0,0.19,1.28,9.22,9.68,88.26
2022-01-01,5.65,0.4,0.0,0.4,2.91,7.53,9.07,93.54
2022-01-02,4.38,0.74,0.0,0.74,1.21,7.09,16.03,84.88
2022-01-03,4.19,0.28,0.0,0.28,-2.41,11.32,9.66,65.26
2022-01-04,7.21,0.0,0.0,0.0,3.63,11.08,15.06,69.72
2022-01-05,7.94,0.0,0.0,0.0,1.85,14.05,10.36,63.79
2022-01-06,9.02,0.0,0.0,0.0,4.29,15.81,11.56,62.53
2022-01-07,7.13,0.32,0.0,0.32,3.48,11.02,8.22,84.35
2022-01-08,6.15,0.0,0.0,0.0,2.86,9.69,5.05,93.87
2022-01-09,8.34,0.0,0.0,0.0,4.36,12.56,8.4,78.39
2022-01-10,7.56,0.0,0.0,0.0,3.61,13.13,9.01,69.43
2022-01-11,5.21,0.12,0.0,0.12,1.46,7.77,6.7,85.29
2022-01-12,2.72,0.82,0.0,0.82,-0.71,5.87,9.46,95.66
2022-01-13,-2.45,3.12,3.12,0.0,-4.04,-0.47,11.99,83.79
2022-01-14,-1.64,4.06,4.06,0.0,-5.01,2.52,11.53,76.62
2022-01-15,0.54,0.12,0.12,0.0,-1.15,3.71,22.65,77.88
2022-01-16,-0.89,3.81,3.81,0.0,-2.76,1.52,12.67,86.11
2022-01-17,0.81,2.65,2.65,0.0,-3.11,4.98,10.26,67.94
2022-01-18,-0.28,3.02,3.02,0.0,-3.71,3.26,21.46,72.95
2022-01-19,-3.11,1.46,1.46,0.0,-5.18,-0.55,15.05,85.67
2022-01-20,-1.36,0.42,0.42,0.0,-5.55,3.77,12.4,68.29
2022-01-21,0.44,0.08,0.08,0.0,-3.84,6.05,14.01,67.68
2022-01-22,-1.66,1.23,1.23,0.0,-3.45,0.75,7.84,95.49
2022-01-23,-3.31,4.06,4.06,0.0,-4.77,-1.64,6.47,93.41
2022-01-24,-3.48,1.77,1.77,0.0,-6.98,0.05,8.88,87.9
2022-01-25,-4.17,0.0,0.0,0.0,-8.4,-0.18,9.97,86.32
2022-01-26,-3.77,0.0,0.0,0.0,-6.36,-0.56,10.94,87.7
2022-01-27,-1.92,0.12,0.12,0.0,-4.8,1.61,12.67,84.33
2022-01-28,-0.06,0.0,0.0,0.0,-6.09,4.65,11.03,70.28
2022-01-29,0.34,0.0,0.0,0.0,-2.98,2.7,10.84,72.8
2022-01-30,-0.38,0.04,0.04,0.0,-5.13,2.9,8.1,80.64
2022-01-31,2.37,0.21,0.0,0.21,-1.1,7.12,12.26,71.57
2022-02-01,-0.12,0.0,0.0,0.0,-5.63,4.27,9.35,70.01
2022-02-02,7.04,0.51,0.0,0.51,1.79,9.92,13.06,65.3
2022-02-03,6.39,0.0,0.0,0.0,1.23,10.29,10.03,78.84
2022-02-04,-0.27,1.23,1.23,0.0,-2.65,1.94,13.49,82.5
2022-02-05,0.22,0.0,0.0,0.0,-4.08,4.72,8.52,70.34
2022-02-06,2.26,0.0,0.0,0.0,-2.14,5.85,11.2,77.48
2022-02-07,3.97,0.0,0.0,0.0,-1.51,10.25,12.81,65.55
2022-02-08,5.42,2.15,0.0,2.15,2.05,8.34,9.13,80.41
2022-02-09,2.05,1.56,0.0,1.56,-0.04,4.05,11.45,89.13
2022-02-10,1.4,0.21,0.21,0.0,-1.48,5.27,9.11,79.85
2022-02-11,2.29,0.0,0.0,0.0,-3.38,7.63,6.52,73.6
2022-02-12,5.34,0.0,0.0,0.0,-1.52,11.75,9.87,66.34
2022-02-13,2.8,0.0,0.0,0.0,0.24,5.53,13.86,87.88
2022-02-14,1.89,0.08,0.08,0.0,-0.21,4.23,5.32,88.56
2022-02-15,2.59,0.0,0.0,0.0,-0.01,6.37,5.45,80.74
2022-02-16,3.57,0.0,0.0,0.0,-2.18,9.24,7.0,72.74
2022-02-17,5.94,0.0,0.0,0.0,-0.92,11.5,7.73,55.76
2022-02-18,5.22,1.17,0.0,1.17,1.36,8.63,11.92,71.49
2022-02-19,3.8,0.16,0.0,0.16,-0.44,8.54,7.85,79.37
2022-02-20,6.78,0.0,0.0,0.0,-0.69,12.35,7.29,57.5
2022-02-21,7.68,0.04,0.0,0.04,4.3,11.87,7.43,69.87
2022-02-22,9.28,0.3,0.0,0.3,2.46,15.18,6.95,70.16
2022-02-23,8.89,0.04,0.0,0.04,3.72,14.17,7.69,77.74
2022-02-24,5.39,0.41,0.0,0.41,3.81,7.11,5.33,96.68
2022-02-25,4.2,6.4,0.0,6.4,2.85,5.58,10.45,97.25
2022-02-26,3.7,4.8,0.0,4.8,1.31,6.28,12.95,86.44
2022-02-27,4.43,0.0,0.0,0.0,1.24,7.17,4.87,90.23
2022-02-28,4.74,2.79,0.0,2.79,2.28,7.57,6.61,93.72
2022-03-01,3.27,0.45,0.0,0.45,-0.29,8.25,12.39,82.51
2022-03-02,1.36,1.35,1.35,0.0,-0.28,3.48,6.62,90.97
2022-03-03,0.38,6.36,6.36,0.0,-1.83,3.25,10.45,91.01
2022-03-04,1.14,2.09,2.09,0.0,-1.95,5.44,12.18,79.68
2022-03-05,2.93,0.0,0.0,0.0,-1.2,7.12,7.67,75.25
2022-03-06,3.16,0.0,0.0,0.0,-0.78,6.68,6.6,85.89
2022-03-07,3.27,1.65,0.0,1.65,0.38,6.51,7.26,94.05
2022-03-08,2.26,1.15,0.0,1.15,-0.15,5.64,7.99,86.1
2022-03-09,-0.55,4.06,4.06,0.0,-2.05,2.05,8.81,86.89
2022-03-10,-1.76,0.21,0.21,0.0,-4.49,1.89,10.49,81.84
2022-03-11,-3.46,0.77,0.77,0.0,-5.1,-0.42,9.38,83.81
2022-03-12,-3.61,0.0,0.0,0.0,-8.63,1.49,9.94,72.28
2022-03-13,-2.76,0.12,0.12,0.0,-7.52,1.59,12.44,75.25
2022-03-14,-2.04,0.0,0.0,0.0,-6.56,1.91,8.8,77.02
2022-03-15,-0.42,0.0,0.0,0.0,-3.64,4.05,10.36,75.32
2022-03-16,1.85,0.0,0.0,0.0,-4.37,7.79,8.05,67.15
2022-03-17,0.34,0.25,0.25,0.0,-2.76,4.19,7.68,76.26
2022-03-18,-3.69,1.12,1.12,0.0,-5.57,-1.52,9.38,83.38
2022-03-19,-3.61,6.11,6.11,0.0,-6.82,-0.05,9.64,83.33
2022-03-20,-0.98,0.12,0.12,0.0,-3.87,1.87,12.21,78.62
2022-03-21,-0.48,0.12,0.12,0.0,-3.89,3.44,7.53,77.19
2022-03-22,1.42,0.0,0.0,0.0,-3.18,5.73,7.8,73.71
2022-03-23,2.26,0.0,0.0,0.0,-2.71,6.95,8.92,79.91
2022-03-24,1.4,1.15,1.15,0.0,-0.18,4.05,9.34,87.71
2022-03-25,4.19,1.23,0.0,1.23,-1.11,10.41,14.09,66.35
2022-03-26,2.67,0.0,0.0,0.0,-0.35,5.84,13.0,78.47
2022-03-27,6.93,0.0,0.0,0.0,-1.57,13.4,16.46,59.13
2022-03-28,7.08,0.0,0.0,0.0,0.66,12.89,8.08,62.28
2022-03-29,8.92,0.0,0.0,0.0,2.75,14.43,7.45,57.4
2022-03-30,11.69,0.29,0.0,0.29,6.07,16.78,8.14,56.85
2022-03-31,14.92,0.0,0.0,0.0,5.54,19.14,9.64,45.32
2022-04-01,19.34,0.16,0.0,0.16,12.28,24.55,14.14,36.39
2022-04-02,17.46,0.0,0.0,0.0,10.11,21.04,13.47,35.86
2022-04-03,11.41,1.77,0.0,1.77,4.74,17.92,16.26,62.17
2022-04-04,8.07,0.45,0.0,0.45,2.93,12.08,11.08,69.94
2022-04-05,5.15,6.59,0.0,6.59,3.11,7.42,4.6,93.76
2022-04-06,8.29,1.23,0.0,1.23,3.5,12.53,5.06,85.76
2022-04-07,9.96,0.0,0.0,0.0,3.17,16.29,6.58,79.98
2022-04-08,10.14,8.25,0.0,8.25,7.35,13.85,15.16,78.68
2022-04-09,15.35,0.12,0.0,0.12,5.63,20.27,8.78,56.49
2022-04-10,16.0,0.0,0.0,0.0,8.75,20.98,7.07,55.78
2022-04-11,8.87,1.15,0.0,1.15,5.02,14.51,15.18,79.83
2022-04-12,4.23,0.0,0.0,0.0,1.07,7.45,18.87,73.62
2022-04-13,4.06,0.74,0.0,0.74,1.1,8.32,16.61,69.65
2022-04-14,7.2,0.0,0.0,0.0,3.01,11.54,15.41,55.96
2022-04-15,9.62,0.0,0.0,0.0,4.58,13.82,5.16,62.26
2022-04-16,11.76,0.0,0.0,0.0,3.46,16.98,5.21,67.48
2022-04-17,9.9,0.21,0.0,0.21,5.6,12.53,4.47,79.79
2022-04-18,11.93,0.0,0.0,0.0,6.45,15.8,11.76,80.34
2022-04-19,7.22,0.33,0.0,0.33,4.72,9.79,7.44,90.01
2022-04-20,7.88,0.0,0.0,0.0,3.39,12.6,8.38,72.96
2022-04-21,8.02,0.0,0.0,0.0,3.22,12.12,16.11,75.64
2022-04-22,10.3,0.0,0.0,0.0,2.92,15.84,6.43,71.19
2022-04-23,15.17,0.0,0.0,0.0,7.35,19.58,6.17,64.7
2022-04-24,16.15,0.0,0.0,0.0,9.16,20.73,6.3,62.14
2022-04-25,16.14,0.0,0.0,0.0,8.32,21.53,6.39,65.28
2022-04-26,15.22,0.0,0.0,0.0,8.45,20.52,7.05,63.3
2022-04-27,14.07,0.0,0.0,0.0,7.19,18.98,6.69,65.11
2022-04-28,13.05,0.0,0.0,0.0,7.46,17.94,6.14,77.47
2022-04-29,12.94,1.35,0.0,1.35,7.04,17.54,6.03,81.56
2022-04-30,10.54,6.16,0.0,6.16,7.97,13.63,5.06,92.58
2022-05-01,10.09,1.03,0.0,1.03,6.61,12.61,6.61,91.42
2022-05-02,10.8,0.0,0.0,0.0,4.33,15.0,7.56,80.15
2022-05-03,10.9,0.41,0.0,0.41,6.1,14.51,4.56,87.07
2022-05-04,8.61,0.82,0.0,0.82,7.12,10.51,6.76,94.63
2022-05-05,8.81,2.5,0.0,2.5,6.62,12.98,10.86,84.63
2022-05-06,7.91,0.41,0.0,0.41,6.16,10.16,10.5,91.42
2022-05-07,7.43,0.41,0.0,0.41,5.53,9.38,7.16,89.55
2022-05-08,10.15,0.0,0.0,0.0,5.86,14.64,7.85,74.03
2022-05-09,10.75,0.0,0.0,0.0,2.39,15.62,6.9,74.5
2022-05-10,11.69,0.0,0.0,0.0,3.79,16.9,7.4,68.38
2022-05-11,11.94,0.0,0.0,0.0,4.62,15.96,7.32,68.18
2022-05-12,12.89,0.0,0.0,0.0,6.01,17.99,7.35,60.76
2022-05-13,16.18,0.0,0.0,0.0,7.88,22.14,7.46,56.9
2022-05-14,16.68,0.41,0.0,0.41,9.96,22.49,8.33,60.19
2022-05-15,16.79,0.0,0.0,0.0,9.26,21.33,7.72,60.77
2022-05-16,16.31,0.0,0.0,0.0,10.96,20.57,7.32,58.57
2022-05-17,16.35,0.0,0.0,0.0,9.59,21.1,7.07,59.3
2022-05-18,16.97,0.0,0.0,0.0,7.97,23.63,16.0,61.82
2022-05-19,10.03,0.21,0.0,0.21,6.6,13.48,14.19,75.35
2022-05-20,12.21,0.0,0.0,0.0,5.3,17.21,9.96,67.51
2022-05-21,16.56,0.0,0.0,0.0,8.14,21.67,7.59,57.42
2022-05-22,19.13,0.0,0.0,0.0,10.48,24.46,10.32,55.13
2022-05-23,12.75,0.21,0.0,0.21,10.01,16.46,6.35,83.7
2022-05-24,13.13,0.74,0.0,0.74,7.83,17.61,9.51,75.76
2022-05-25,15.15,0.0,0.0,0.0,6.18,20.17,6.38,69.16
2022-05-26,18.45,0.0,0.0,0.0,8.17,24.22,6.0,60.72
2022-05-27,17.77,0.0,0.0,0.0,11.62,21.75,6.44,67.82
2022-05-28,18.64,0.0,0.0,0.0,10.9,22.95,5.97,62.87
2022-05-29,21.42,0.0,0.0,0.0,13.27,25.7,6.81,59.36
2022-05-30,21.1,2.3,0.0,2.3,15.37,28.51,9.13,62.47
2022-05-31,18.45,0.62,0.0,0.62,13.47,23.47,7.24,73.52
2022-06-01,18.96,1.77,0.0,1.77,11.86,23.73,4.24,75.38
2022-06-02,19.52,0.0,0.0,0.0,12.09,23.45,5.75,74.91
2022-06-03,19.69,0.33,0.0,0.33,14.56,23.35,5.16,77.0
2022-06-04,20.29,0.12,0.0,0.12,13.8,24.34,8.96,74.66
2022-06-05,20.34,0.0,0.0,0.0,14.09,23.92,8.19,68.0
2022-06-06,19.25,2.09,0.0,2.09,12.79,24.28,7.74,73.93
2022-06-07,17.07,7.0,0.0,7.0,13.95,21.63,5.73,85.88
2022-06-08,18.14,1.62,0.0,1.62,14.48,22.31,5.87,85.26
2022-06-09,19.07,0.53,0.0,0.53,13.98,22.49,8.88,81.64
