time,Hıdırnebi yaylası - Trabzon_temp,Hıdırnebi yaylası - Trabzon_prcp,Hıdırnebi yaylası - Trabzon_snow,Hıdırnebi yaylası - Trabzon_rain,Hıdırnebi yaylası - Trabzon_tmin,Hıdırnebi yaylası - Trabzon_tmax,Hıdırnebi yaylası - Trabzon_wspd,Hıdırnebi yaylası - Trabzon_rhum
2021-12-31,1.51,0.0,0.0,0.0,-1.96,4.9,12.78,57.52
2022-01-01,-0.0,1.14,1.14,0.0,-2.07,2.51,5.58,77.0
2022-01-02,-0.81,5.84,5.84,0.0,-3.37,0.92,11.47,85.92
2022-01-03,-2.67,0.46,0.46,0.0,-4.92,-0.7,8.92,72.87
2022-01-04,-0.7,2.74,2.74,0.0,-3.37,2.02,8.9,68.95
2022-01-05,-0.42,0.0,0.0,0.0,-3.52,3.16,10.47,66.47
2022-01-06,1.62,0.0,0.0,0.0,-1.96,5.77,8.35,51.48
2022-01-07,2.13,0.0,0.0,0.0,-1.23,6.37,8.38,58.8
2022-01-08,-0.19,0.0,0.0,0.0,-3.15,3.12,7.81,83.86
2022-01-09,2.14,0.15,0.0,0.15,-3.61,8.1,11.06,64.02
2022-01-10,5.36,0.16,0.0,0.16,1.69,8.9,12.08,52.27
2022-01-11,6.5,0.0,0.0,0.0,3.94,8.99,10.58,52.83
2022-01-12,3.41,1.68,0.0,1.68,0.94,6.98,9.15,79.03
2022-01-13,-4.18,7.67,7.67,0.0,-7.26,-1.21,15.92,87.91
2022-01-14,-5.17,0.27,0.27,0.0,-9.04,-3.07,7.36,76.52
2022-01-15,-4.7,0.0,0.0,0.0,-8.61,-0.95,15.25,72.89
2022-01-16,-7.29,2.58,2.58,0.0,-9.44,-5.3,12.13,77.7
2022-01-17,-6.51,2.66,2.66,0.0,-9.99,-3.62,9.4,73.2
2022-01-18,-3.83,1.54,1.54,0.0,-9.39,0.95,15.41,57.63
2022-01-19,-6.95,3.94,3.94,0.0,-8.13,-5.38,13.29,76.1
2022-01-20,-7.11,1.58,1.58,0.0,-9.85,-5.33,9.72,75.95
2022-01-21,-5.13,0.0,0.0,0.0,-9.12,0.54,11.51,56.38
2022-01-22,-1.09,0.03,0.03,0.0,-4.61,1.81,14.71,54.53
2022-01-23,-2.79,2.06,2.06,0.0,-4.36,-0.2,13.63,77.39
2022-01-24,-4.87,3.94,3.94,0.0,-6.51,-3.1,11.3,81.24
2022-01-25,-5.92,2.77,2.77,0.0,-8.66,-4.23,8.91,74.5
2022-01-26,-4.97,3.06,3.06,0.0,-6.13,-3.33,8.02,80.65
2022-01-27,-5.14,4.09,4.09,0.0,-6.93,-3.26,10.02,80.1
2022-01-28,-6.0,0.29,0.29,0.0,-8.14,-3.01,11.44,61.46
2022-01-29,-5.81,0.0,0.0,0.0,-9.53,-2.12,8.25,56.72
2022-01-30,-4.45,0.26,0.26,0.0,-8.61,0.22,9.62,58.22
2022-01-31,-0.75,0.35,0.35,0.0,-2.86,2.48,10.83,72.51
2022-02-01,-1.75,1.63,1.63,0.0,-4.15,0.7,9.28,86.16
2022-02-02,4.77,0.03,0.0,0.03,-2.09,8.63,13.65,51.43
2022-02-03,6.33,0.1,0.0,0.1,4.38,8.39,18.1,40.75
2022-02-04,-1.06,3.54,3.54,0.0,-4.75,5.0,22.99,76.67
2022-02-05,-5.22,1.69,1.69,0.0,-8.41,-2.48,12.0,72.52
2022-02-06,-3.21,0.08,0.08,0.0,-6.98,0.2,7.32,64.37
2022-02-07,-2.77,0.25,0.25,0.0,-6.05,0.17,9.57,67.96
2022-02-08,3.44,0.0,0.0,0.0,-4.66,7.64,19.05,46.69
2022-02-09,2.81,2.81,0.0,2.81,-1.58,7.79,16.04,68.12
2022-02-10,-3.03,2.84,2.84,0.0,-4.46,-1.54,10.86,81.92
2022-02-11,-2.76,0.33,0.33,0.0,-5.71,-0.39,7.03,74.74
2022-02-12,-1.12,0.0,0.0,0.0,-5.03,3.98,5.16,59.62
2022-02-13,-1.76,0.52,0.52,0.0,-3.92,0.85,6.3,71.11
2022-02-14,-1.5,0.05,0.05,0.0,-3.75,0.48,8.9,77.48
2022-02-15,-1.81,2.0,2.0,0.0,-3.29,-0.34,5.14,77.54
2022-02-16,-1.94,0.0,0.0,0.0,-4.67,0.27,4.05,76.96
2022-02-17,-3.27,0.0,0.0,0.0,-7.02,0.64,8.22,68.74
2022-02-18,-1.35,0.1,0.1,0.0,-4.77,3.33,7.56,66.45
2022-02-19,-0.72,0.57,0.57,0.0,-2.96,1.79,11.07,82.32
2022-02-20,-0.6,0.0,0.0,0.0,-3.9,2.34,7.34,74.39
2022-02-21,1.04,0.08,0.08,0.0,-1.3,4.2,5.98,74.34
2022-02-22,1.79,0.11,0.11,0.0,-2.26,5.64,7.68,68.73
2022-02-23,4.93,0.03,0.0,0.03,1.59,9.11,8.63,60.33
2022-02-24,3.14,0.1,0.0,0.1,-1.0,8.16,10.84,71.59
2022-02-25,1.22,0.46,0.46,0.0,-0.06,2.96,11.06,91.11
2022-02-26,0.08,2.58,2.58,0.0,-0.88,1.27,14.04,88.68
2022-02-27,-0.03,0.75,0.75,0.0,-1.56,1.65,8.4,84.75
2022-02-28,0.08,0.03,0.03,0.0,-2.96,3.03,7.84,84.0
2022-03-01,-0.26,3.68,3.68,0.0,-2.26,2.56,11.51,89.27
2022-03-02,-0.14,1.72,1.72,0.0,-2.3,1.79,8.48,86.74
2022-03-03,-1.41,5.37,5.37,0.0,-4.24,1.2,13.38,88.49
2022-03-04,-2.56,4.68,4.68,0.0,-6.36,0.17,11.86,69.14
