,Kuzalan şelalesi Tabiat Parkı - Giresun_temp,Kuzalan şelalesi Tabiat Parkı - Giresun_prcp,Kuzalan şelalesi Tabiat Parkı - Giresun_snow,Kuzalan şelalesi Tabiat Parkı - Giresun_rain,Kuzalan şelalesi Tabiat Parkı - Giresun_tmin,Kuzalan şelalesi Tabiat Parkı - Giresun_tmax,Kuzalan şelalesi Tabiat Parkı - Giresun_wspd,Kuzalan şelalesi Tabiat Parkı - Giresun_rhum
2021-12-31,4.77,0.0,0.0,0.0,0.9,7.82,11.66,63.59
2022-01-01,3.62,2.75,0.0,2.75,1.34,6.01,6.43,78.29
2022-01-02,3.05,16.76,0.0,16.76,0.16,4.64,13.24,86.26
2022-01-03,1.13,0.92,0.92,0.0,-1.5,3.65,9.59,68.22
2022-01-04,2.79,6.13,0.0,6.13,-0.18,5.65,9.67,70.26
2022-01-05,3.37,0.0,0.0,0.0,-0.95,8.78,13.2,64.96
2022-01-06,6.01,0.0,0.0,0.0,2.88,11.11,14.0,52.4
2022-01-07,5.44,0.0,0.0,0.0,1.78,9.67,10.77,64.52
2022-01-08,3.06,0.0,0.0,0.0,-0.07,6.73,7.77,78.07
2022-01-09,5.93,0.13,0.0,0.13,1.18,10.38,13.81,59.38
2022-01-10,8.07,0.37,0.0,0.37,5.18,11.42,13.42,57.77
2022-01-11,8.77,0.0,0.0,0.0,6.9,10.8,8.52,61.96
2022-01-12,6.37,4.26,0.0,4.26,3.07,9.13,8.17,81.15
2022-01-13,-0.91,16.76,16.76,0.0,-3.51,1.76,13.97,88.41
2022-01-14,-2.07,0.42,0.42,0.0,-6.07,-0.22,7.38,74.99
2022-01-15,-0.62,0.0,0.0,0.0,-3.56,3.34,14.77,70.51
2022-01-16,-3.28,7.68,7.68,0.0,-5.88,-1.17,11.96,73.89
2022-01-17,-1.77,8.52,8.52,0.0,-5.82,1.44,8.22,69.46
2022-01-18,-0.09,1.3,1.3,0.0,-4.67,4.64,13.96,59.17
2022-01-19,-3.25,7.48,7.48,0.0,-4.64,-1.5,10.15,78.03
2022-01-20,-2.53,3.07,3.07,0.0,-5.43,-0.55,11.5,73.39
2022-01-21,-0.46,0.0,0.0,0.0,-4.5,4.34,14.57,57.95
2022-01-22,1.98,0.02,0.02,0.0,-1.26,3.9,12.84,61.74
2022-01-23,-0.71,6.08,6.08,0.0,-2.37,2.2,11.7,82.0
2022-01-24,-1.84,6.27,6.27,0.0,-4.6,-0.07,8.94,82.65
2022-01-25,-2.18,7.6,7.6,0.0,-4.69,0.02,8.88,75.72
2022-01-26,-1.86,5.77,5.77,0.0,-3.45,0.31,6.92,85.07
2022-01-27,-1.49,13.25,13.25,0.0,-3.56,1.17,8.83,80.74
2022-01-28,-2.02,1.12,1.12,0.0,-4.42,1.79,10.36,63.84
2022-01-29,-1.35,0.0,0.0,0.0,-4.65,2.99,10.6,59.05
2022-01-30,-1.3,0.32,0.32,0.0,-5.89,2.63,8.9,61.77
2022-01-31,2.47,0.3,0.0,0.3,-0.11,5.42,8.91,76.16
2022-02-01,2.55,5.04,0.0,5.04,-0.36,5.27,6.65,82.89
2022-02-02,8.88,0.02,0.0,0.02,2.21,11.89,12.86,56.1
2022-02-03,8.98,0.09,0.0,0.09,5.47,11.97,13.37,51.51
2022-02-04,1.8,8.88,8.88,0.0,-1.74,6.72,18.2,82.07
2022-02-05,-0.72,5.72,5.72,0.0,-4.29,2.47,9.42,70.99
2022-02-06,1.29,0.06,0.06,0.0,-4.04,4.47,8.21,64.81
2022-02-07,1.77,0.93,0.93,0.0,-1.82,5.35,10.72,65.25
2022-02-08,8.55,0.0,0.0,0.0,0.42,11.67,22.36,48.73
2022-02-09,5.71,9.62,0.0,9.62,1.06,9.92,15.43,72.32
2022-02-10,0.37,6.07,6.07,0.0,-1.11,1.66,8.01,86.14
2022-02-11,1.27,1.24,1.24,0.0,-3.04,4.1,5.92,73.64
2022-02-12,3.39,0.0,0.0,0.0,-0.58,9.14,5.89,60.63
2022-02-13,2.18,1.99,0.0,1.99,-0.71,4.78,6.13,76.07
2022-02-14,1.91,0.19,0.19,0.0,-0.02,3.54,6.39,82.2
2022-02-15,1.96,7.58,7.58,0.0,0.57,3.76,3.94,78.89
2022-02-16,2.0,0.0,0.0,0.0,-0.71,4.62,5.37,76.14
2022-02-17,0.46,0.0,0.0,0.0,-4.15,5.15,8.68,65.06
2022-02-18,3.47,0.37,0.0,0.37,-0.49,8.73,10.36,61.38
2022-02-19,2.96,2.07,0.0,2.07,0.24,5.48,7.87,83.39
2022-02-20,3.74,0.0,0.0,0.0,0.23,7.44,6.96,71.4
2022-02-21,5.83,0.06,0.0,0.06,3.33,8.81,6.77,72.52
2022-02-22,6.74,0.43,0.0,0.43,2.23,10.94,11.59,64.6
2022-02-23,9.7,0.02,0.0,0.02,6.59,13.58,11.93,60.64
2022-02-24,5.96,0.23,0.0,0.23,2.87,9.07,9.78,74.89
2022-02-25,4.84,0.77,0.0,0.77,3.66,6.19,8.84,92.2
2022-02-26,3.57,6.96,0.0,6.96,2.67,4.8,12.3,88.9
2022-02-27,3.89,2.86,0.0,2.86,2.19,6.01,6.67,84.79
2022-02-28,3.99,0.02,0.0,0.02,0.85,6.97,6.69,81.42
2022-03-01,3.13,7.31,0.0,7.31,1.63,6.24,9.0,89.07
2022-03-02,3.15,5.02,0.0,5.02,0.83,5.64,6.1,88.08
2022-03-03,1.28,8.64,8.64,0.0,-1.17,3.66,13.7,89.86
2022-03-04,1.74,15.34,15.34,0.0,-2.24,4.59,12.35,65.43
2022-03-05,1.74,0.0,0.0,0.0,-1.73,5.63,6.35,65.48
2022-03-06,2.45,0.11,0.0,0.11,-0.21,5.33,7.72,73.27
2022-03-07,2.81,0.0,0.0,0.0,-0.34,6.05,6.61,77.58
2022-03-08,2.35,7.88,0.0,7.88,1.17,3.77,12.16,84.42
2022-03-09,0.16,12.13,12.13,0.0,-1.32,1.77,9.77,88.42
2022-03-10,-1.47,11.69,11.69,0.0,-2.92,0.5,5.25,89.29
2022-03-11,-3.49,16.37,16.37,0.0,-4.05,-2.18,10.96,89.77
2022-03-12,-3.33,10.04,10.04,0.0,-5.73,-0.08,10.73,70.21
2022-03-13,-4.3,4.04,4.04,0.0,-7.59,-1.69,9.76,79.1
2022-03-14,-3.36,5.16,5.16,0.0,-4.78,-1.49,10.13,84.16
2022-03-15,-2.42,9.23,9.23,0.0,-4.3,1.18,10.76,81.59
2022-03-16,-0.24,5.2,5.2,0.0,-3.53,2.78,9.57,77.59
2022-03-17,-2.69,6.51,6.51,0.0,-5.25,-0.43,7.88,86.88
2022-03-18,-4.31,10.77,10.77,0.0,-5.65,-3.02,6.63,83.76
2022-03-19,-4.52,9.78,9.78,0.0,-5.85,-2.54,10.44,77.91
2022-03-20,-1.71,1.98,1.98,0.0,-4.97,2.29,9.55,79.27
2022-03-21,-0.95,6.68,6.68,0.0,-2.14,0.38,10.35,81.65
2022-03-22,0.27,2.24,2.24,0.0,-2.23,3.18,3.91,79.56
2022-03-23,1.49,0.56,0.56,0.0,-1.1,4.08,5.18,75.71
2022-03-24,1.69,1.54,1.54,0.0,0.05,4.12,5.6,80.75
2022-03-25,1.99,0.19,0.19,0.0,-1.22,5.07,6.82,76.4
2022-03-26,2.09,0.0,0.0,0.0,-1.62,5.18,8.24,72.39
2022-03-27,2.85,0.09,0.0,0.09,-1.54,6.83,9.08,66.83
