,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_tmin,Kümbet yaylası - Giresun_tmax,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2021-12-31,-1.27,0.0,0.0,0.0,-5.14,2.02,11.45,63.47
2022-01-01,-2.3,2.6,2.6,0.0,-4.69,0.18,6.37,78.18
2022-01-02,-2.82,15.48,15.48,0.0,-5.66,-1.21,12.78,86.33
2022-01-03,-4.76,0.89,0.89,0.0,-7.37,-2.28,9.3,68.95
2022-01-04,-3.12,5.86,5.86,0.0,-6.06,-0.27,9.36,70.56
2022-01-05,-2.72,0.0,0.0,0.0,-7.02,2.64,12.7,65.73
2022-01-06,-0.18,0.0,0.0,0.0,-3.41,4.97,13.3,53.12
2022-01-07,-0.65,0.0,0.0,0.0,-4.33,3.71,10.38,64.78
2022-01-08,-2.97,0.0,0.0,0.0,-6.17,0.83,7.77,78.74
2022-01-09,-0.21,0.15,0.15,0.0,-5.05,4.45,13.38,60.96
2022-01-10,2.11,0.36,0.0,0.36,-0.89,5.49,13.17,58.69
2022-01-11,3.07,0.0,0.0,0.0,1.1,5.09,8.65,62.4
2022-01-12,0.62,4.0,4.0,0.0,-2.56,3.35,8.2,81.44
2022-01-13,-6.62,16.08,16.08,0.0,-9.35,-4.01,13.76,88.3
2022-01-14,-7.8,0.43,0.43,0.0,-12.01,-5.91,7.23,75.36
2022-01-15,-6.52,0.0,0.0,0.0,-9.56,-2.7,14.34,71.36
2022-01-16,-9.32,7.06,7.06,0.0,-11.99,-7.16,11.54,74.57
2022-01-17,-7.9,7.77,7.77,0.0,-11.98,-4.7,8.13,70.06
2022-01-18,-6.18,1.56,1.56,0.0,-10.95,-1.44,13.81,59.65
2022-01-19,-9.16,7.35,7.35,0.0,-10.54,-7.44,10.19,78.09
2022-01-20,-8.58,3.0,3.0,0.0,-11.48,-6.6,10.99,74.01
2022-01-21,-6.73,0.0,0.0,0.0,-10.76,-1.82,14.05,58.4
2022-01-22,-4.16,0.03,0.03,0.0,-7.49,-2.03,12.84,61.68
2022-01-23,-6.42,5.6,5.6,0.0,-8.15,-3.51,12.03,81.31
2022-01-24,-7.63,6.37,6.37,0.0,-10.25,-5.82,9.0,82.41
2022-01-25,-8.14,7.07,7.07,0.0,-10.76,-5.93,8.83,75.69
2022-01-26,-7.61,5.67,5.67,0.0,-9.21,-5.41,6.95,84.59
2022-01-27,-7.35,12.07,12.07,0.0,-9.42,-4.81,8.79,80.91
2022-01-28,-8.19,1.0,1.0,0.0,-10.65,-4.41,10.2,64.28
2022-01-29,-7.61,0.0,0.0,0.0,-11.03,-3.25,10.3,59.53
2022-01-30,-7.3,0.34,0.34,0.0,-11.86,-3.31,8.91,62.23
2022-01-31,-3.44,0.36,0.36,0.0,-5.98,-0.45,9.05,76.08
2022-02-01,-3.32,4.61,4.61,0.0,-6.2,-0.6,6.92,82.99
2022-02-02,2.78,0.03,0.0,0.03,-3.71,5.85,12.77,57.07
2022-02-03,3.0,0.1,0.0,0.1,-0.33,5.93,13.5,51.91
2022-02-04,-3.98,8.35,8.35,0.0,-7.51,0.89,17.92,81.82
2022-02-05,-6.77,5.18,5.18,0.0,-10.36,-3.63,9.42,71.36
2022-02-06,-4.84,0.08,0.08,0.0,-10.07,-1.55,7.98,65.19
2022-02-07,-4.36,0.83,0.83,0.0,-8.0,-0.74,10.46,66.04
2022-02-08,2.19,0.0,0.0,0.0,-5.87,5.49,21.45,49.96
2022-02-09,-0.11,8.71,8.71,0.0,-4.61,4.11,15.1,72.5
2022-02-10,-5.39,5.84,5.84,0.0,-6.91,-4.06,8.21,85.87
2022-02-11,-4.66,1.11,1.11,0.0,-8.92,-1.76,5.88,73.54
2022-02-12,-2.63,0.0,0.0,0.0,-6.66,3.2,5.83,59.97
2022-02-13,-3.78,1.78,1.78,0.0,-6.65,-1.08,6.01,75.0
2022-02-14,-3.9,0.17,0.17,0.0,-5.93,-2.07,6.52,80.53
2022-02-15,-3.95,6.79,6.79,0.0,-5.44,-2.07,3.99,78.29
2022-02-16,-3.96,0.0,0.0,0.0,-6.9,-1.31,5.19,75.74
2022-02-17,-5.49,0.0,0.0,0.0,-10.07,-0.74,8.57,65.17
2022-02-18,-2.63,0.33,0.33,0.0,-6.6,2.65,10.04,62.14
2022-02-19,-2.93,1.86,1.86,0.0,-5.74,-0.29,7.98,83.09
2022-02-20,-2.18,0.0,0.0,0.0,-5.72,1.56,6.86,71.19
2022-02-21,-0.18,0.08,0.08,0.0,-2.69,2.85,6.64,72.77
2022-02-22,0.68,0.39,0.39,0.0,-3.89,4.93,11.1,65.62
2022-02-23,3.62,0.03,0.0,0.03,0.47,7.53,11.46,61.59
2022-02-24,0.19,0.22,0.22,0.0,-3.1,3.55,9.81,74.76
2022-02-25,-0.86,0.78,0.78,0.0,-2.15,0.61,9.01,91.46
2022-02-26,-2.16,6.48,6.48,0.0,-3.09,-0.93,12.03,89.09
2022-02-27,-1.91,2.56,2.56,0.0,-3.69,0.28,6.69,84.74
2022-02-28,-1.85,0.03,0.03,0.0,-5.1,1.27,6.86,81.64
2022-03-01,-2.54,7.12,7.12,0.0,-4.1,0.52,9.01,89.28
2022-03-02,-2.5,4.63,4.63,0.0,-4.9,0.03,6.36,87.93
2022-03-03,-4.23,8.75,8.75,0.0,-6.88,-1.73,13.53,89.67
2022-03-04,-4.26,13.95,13.95,0.0,-8.31,-1.46,12.07,66.44
2022-03-05,-4.32,0.0,0.0,0.0,-7.84,-0.35,6.43,65.81
2022-03-06,-3.53,0.13,0.13,0.0,-6.32,-0.54,7.61,73.2
2022-03-07,-3.19,0.0,0.0,0.0,-6.52,0.22,6.73,77.36
2022-03-08,-3.47,7.15,7.15,0.0,-4.7,-2.0,11.98,84.18
2022-03-09,-5.53,11.23,11.23,0.0,-7.08,-3.81,9.76,88.18
2022-03-10,-7.2,10.75,10.75,0.0,-8.72,-5.19,5.42,88.49
2022-03-11,-9.21,15.37,15.37,0.0,-9.87,-7.88,10.91,89.18
2022-03-12,-9.22,9.18,9.18,0.0,-11.63,-6.05,10.58,70.61
2022-03-13,-10.09,3.83,3.83,0.0,-13.32,-7.41,9.68,78.68
2022-03-14,-9.21,4.89,4.89,0.0,-10.69,-7.28,10.06,84.31
2022-03-15,-8.31,8.43,8.43,0.0,-10.14,-4.91,10.72,81.24
2022-03-16,-6.28,4.9,4.9,0.0,-9.57,-3.3,9.47,77.93
2022-03-17,-8.54,5.97,5.97,0.0,-11.31,-6.14,7.85,86.65
2022-03-18,-10.11,9.9,9.9,0.0,-11.47,-8.79,6.67,83.65
2022-03-19,-10.39,9.24,9.24,0.0,-11.72,-8.42,10.46,78.2
2022-03-20,-7.63,1.95,1.95,0.0,-10.83,-3.76,9.37,79.2
2022-03-21,-6.78,6.09,6.09,0.0,-8.01,-5.37,9.96,81.65
2022-03-22,-5.66,2.0,2.0,0.0,-8.23,-2.73,4.04,79.38
2022-03-23,-4.31,0.67,0.67,0.0,-7.05,-1.58,5.24,75.82
2022-03-24,-4.16,1.7,1.7,0.0,-5.81,-1.74,5.6,81.24
2022-03-25,-4.0,0.17,0.17,0.0,-7.38,-0.87,6.62,76.66
2022-03-26,-3.86,0.0,0.0,0.0,-7.57,-0.77,8.1,72.55
2022-03-27,-3.19,0.1,0.1,0.0,-7.68,0.89,8.8,67.17
2022-03-28,-3.03,0.82,0.82,0.0,-6.21,0.22,11.0,68.68
2022-03-29,-0.91,0.0,0.0,0.0,-6.6,4.82,8.5,64.27
