,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_tmin,Ulugöl Tabiat Parkı - Ordu_tmax,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2021-12-31,-0.71,0.0,0.0,0.0,-5.71,2.92,10.09,74.93
2022-01-01,0.78,1.59,1.59,0.0,-1.85,3.5,7.83,81.83
2022-01-02,0.52,11.96,11.96,0.0,-3.09,3.18,13.22,86.25
2022-01-03,-2.47,0.59,0.59,0.0,-6.29,0.65,9.89,72.65
2022-01-04,-1.66,3.04,3.04,0.0,-4.65,2.33,8.32,71.81
2022-01-05,-0.92,0.0,0.0,0.0,-5.66,4.46,11.96,76.02
2022-01-06,2.05,0.0,0.0,0.0,-2.5,7.8,14.13,65.93
2022-01-07,3.28,0.0,0.0,0.0,0.97,6.07,10.84,72.65
2022-01-08,1.65,0.0,0.0,0.0,-2.5,5.74,9.92,76.39
2022-01-09,4.59,0.0,0.0,0.0,0.55,7.86,17.95,60.0
2022-01-10,5.38,1.43,0.0,1.43,3.84,7.26,19.4,60.43
2022-01-11,4.8,0.53,0.0,0.53,2.89,7.03,13.58,66.82
2022-01-12,2.69,5.81,0.0,5.81,-0.81,5.42,12.45,85.56
2022-01-13,-4.29,11.33,11.33,0.0,-7.04,-1.1,17.49,84.83
2022-01-14,-6.6,0.15,0.15,0.0,-9.53,-3.33,6.92,73.83
2022-01-15,-5.12,18.12,18.12,0.0,-8.39,-1.79,12.55,76.94
2022-01-16,-6.51,4.79,4.79,0.0,-8.87,-4.74,10.93,80.15
2022-01-17,-5.1,5.22,5.22,0.0,-8.92,-1.4,8.72,71.91
2022-01-18,-3.57,2.87,2.87,0.0,-8.0,-0.18,13.32,67.6
2022-01-19,-7.47,6.21,6.21,0.0,-9.4,-5.71,12.57,80.43
