,Şahinkaya Kanyonu - Samsun_temp,Şahinkaya Kanyonu - Samsun_prcp,Şahinkaya Kanyonu - Samsun_snow,Şahinkaya Kanyonu - Samsun_rain,Şahinkaya Kanyonu - Samsun_tmin,Şahinkaya Kanyonu - Samsun_tmax,Şahinkaya Kanyonu - Samsun_wspd,Şahinkaya Kanyonu - Samsun_rhum
2021-12-31,7.29,0.0,0.0,0.0,3.33,11.71,5.23,75.5
2022-01-01,8.45,1.91,0.0,1.91,6.46,10.79,2.53,85.27
2022-01-02,7.76,6.91,0.0,6.91,5.18,10.45,12.78,81.05
2022-01-03,6.28,3.45,0.0,3.45,1.19,10.33,6.51,65.39
2022-01-04,8.02,0.44,0.0,0.44,5.89,11.73,7.49,66.16
2022-01-05,10.02,0.46,0.0,0.46,3.31,16.63,6.76,63.23
2022-01-06,13.05,0.0,0.0,0.0,7.94,18.49,8.87,57.33
2022-01-07,10.86,0.17,0.0,0.17,8.56,14.52,5.19,74.37
2022-01-08,8.81,0.09,0.0,0.09,6.38,12.49,4.75,88.71
2022-01-09,10.15,0.0,0.0,0.0,4.05,17.17,5.04,67.38
2022-01-10,12.12,1.3,0.0,1.3,8.51,15.3,6.73,65.06
2022-01-11,9.63,0.57,0.0,0.57,7.26,12.79,3.84,75.09
2022-01-12,6.57,7.38,0.0,7.38,3.44,9.28,10.66,92.9
2022-01-13,2.52,10.75,0.0,10.75,0.51,3.86,17.61,75.65
2022-01-14,2.32,0.0,0.0,0.0,-0.88,5.22,7.51,63.17
2022-01-15,1.59,2.7,2.7,0.0,-0.47,4.82,13.46,77.53
2022-01-16,1.31,13.01,13.01,0.0,-1.98,3.86,8.13,80.36
2022-01-17,4.18,3.7,0.0,3.7,-0.08,7.69,9.19,64.33
2022-01-18,3.81,0.13,0.0,0.13,1.4,6.53,15.96,58.17
2022-01-19,0.87,5.59,5.59,0.0,-2.12,3.75,7.5,68.79
2022-01-20,2.29,1.4,0.0,1.4,-0.85,5.74,12.3,61.31
2022-01-21,4.85,0.72,0.0,0.72,-1.39,9.07,12.81,50.22
2022-01-22,3.57,9.69,0.0,9.69,1.81,6.55,9.17,83.44
2022-01-23,1.49,30.62,30.62,0.0,0.03,2.59,10.87,91.67
2022-01-24,0.57,11.97,11.97,0.0,-3.11,3.2,9.56,80.41
2022-01-25,-2.09,0.79,0.79,0.0,-5.64,0.34,5.39,75.21
2022-01-26,-0.44,4.33,4.33,0.0,-2.75,1.38,5.21,87.12
2022-01-27,-0.34,1.58,1.58,0.0,-3.84,3.65,6.35,77.19
2022-01-28,0.33,1.77,1.77,0.0,-4.71,5.55,6.9,67.36
2022-01-29,0.49,0.0,0.0,0.0,-2.42,3.37,10.4,64.8
2022-01-30,1.27,0.21,0.21,0.0,-2.16,4.78,6.87,66.27
2022-01-31,3.85,1.03,0.0,1.03,1.18,6.7,6.37,76.02
2022-02-01,4.37,0.0,0.0,0.0,0.84,7.23,5.25,73.2
2022-02-02,8.5,0.0,0.0,0.0,4.49,11.92,8.02,62.42
2022-02-03,9.09,0.0,0.0,0.0,5.78,14.31,7.86,62.06
2022-02-04,4.02,3.52,0.0,3.52,2.27,6.16,12.55,79.97
2022-02-05,3.63,0.98,0.0,0.98,-0.43,6.12,8.94,64.09
2022-02-06,3.47,0.0,0.0,0.0,1.06,7.25,6.81,68.07
2022-02-07,6.36,0.42,0.0,0.42,0.65,10.98,9.28,62.23
2022-02-08,10.66,0.27,0.0,0.27,6.37,15.37,9.1,56.26
2022-02-09,6.28,5.96,0.0,5.96,3.72,10.13,11.57,82.79
2022-02-10,5.14,0.55,0.0,0.55,3.07,7.98,12.69,72.27
2022-02-11,5.29,0.08,0.0,0.08,0.47,10.12,7.05,68.37
2022-02-12,6.87,0.0,0.0,0.0,2.05,13.11,9.48,63.67
2022-02-13,4.57,0.37,0.0,0.37,2.06,7.01,11.26,80.71
2022-02-14,5.44,1.24,0.0,1.24,3.86,6.74,4.75,79.06
2022-02-15,5.87,0.0,0.0,0.0,4.37,7.43,2.87,77.74
2022-02-16,6.06,0.0,0.0,0.0,2.36,9.77,5.99,69.4
2022-02-17,6.86,0.0,0.0,0.0,1.17,12.29,8.78,61.32
2022-02-18,7.5,2.78,0.0,2.78,3.27,12.6,10.39,62.53
2022-02-19,6.62,7.03,0.0,7.03,3.95,10.07,7.02,80.68
2022-02-20,9.12,0.08,0.0,0.08,2.86,14.27,7.49,62.89
2022-02-21,9.84,0.0,0.0,0.0,7.08,14.1,5.18,68.7
2022-02-22,10.7,0.31,0.0,0.31,5.11,15.03,5.3,69.64
2022-02-23,12.29,0.0,0.0,0.0,7.69,18.8,5.71,65.79
2022-02-24,9.17,0.69,0.0,0.69,5.99,13.1,5.89,83.28
2022-02-25,8.67,7.29,0.0,7.29,7.59,9.72,7.48,94.67
2022-02-26,7.6,11.63,0.0,11.63,6.42,9.04,9.4,87.38
2022-02-27,8.34,0.29,0.0,0.29,6.71,10.17,2.3,85.25
2022-02-28,9.39,8.16,0.0,8.16,6.88,14.39,6.8,86.18
2022-03-01,7.67,11.84,0.0,11.84,5.63,9.86,8.68,79.09
2022-03-02,5.15,10.5,0.0,10.5,4.21,6.21,6.98,87.19
2022-03-03,3.8,20.66,0.0,20.66,1.5,5.4,12.19,86.1
2022-03-04,4.48,3.35,0.0,3.35,0.58,8.76,7.2,72.03
2022-03-05,6.0,0.33,0.0,0.33,1.99,9.88,5.96,69.81
2022-03-06,6.65,0.0,0.0,0.0,4.34,9.53,6.57,74.29
2022-03-07,7.18,4.61,0.0,4.61,2.5,12.17,6.14,79.34
2022-03-08,5.89,6.56,0.0,6.56,4.14,8.52,11.66,80.83
2022-03-09,3.23,6.01,0.0,6.01,1.67,5.06,12.72,79.49
2022-03-10,2.75,1.78,0.0,1.78,1.3,4.26,10.75,75.28
2022-03-11,1.32,2.42,2.42,0.0,-0.25,2.74,16.64,73.11
2022-03-12,0.36,0.95,0.95,0.0,-3.63,3.79,8.89,62.5
2022-03-13,1.46,0.52,0.52,0.0,-2.56,5.35,10.02,67.65
2022-03-14,1.41,1.71,1.71,0.0,-2.1,5.37,9.9,71.63
2022-03-15,2.6,0.88,0.0,0.88,-0.84,6.18,9.16,72.9
2022-03-16,4.86,0.26,0.0,0.26,1.01,9.43,7.55,66.52
2022-03-17,2.5,3.06,0.0,3.06,0.75,4.99,11.85,78.93
2022-03-18,0.42,7.2,7.2,0.0,-1.15,3.04,13.02,72.2
2022-03-19,0.19,3.48,3.48,0.0,-4.49,4.49,8.58,69.88
2022-03-20,1.76,4.65,4.65,0.0,-2.0,3.96,11.63,81.07
2022-03-21,3.91,1.01,0.0,1.01,1.72,6.59,10.48,66.65
2022-03-22,4.91,0.27,0.0,0.27,2.47,7.98,9.43,73.85
2022-03-23,5.08,0.48,0.0,0.48,3.01,7.75,5.74,76.31
2022-03-24,5.44,0.47,0.0,0.47,2.45,8.72,5.61,75.52
2022-03-25,7.24,0.39,0.0,0.39,3.92,11.19,4.99,60.07
2022-03-26,6.78,0.72,0.0,0.72,2.69,10.13,9.39,66.09
2022-03-27,8.48,0.0,0.0,0.0,1.52,16.13,6.98,60.31
2022-03-28,8.74,0.0,0.0,0.0,2.82,13.95,6.95,56.96
2022-03-29,10.62,0.0,0.0,0.0,3.23,16.68,6.5,59.85
2022-03-30,13.9,0.22,0.0,0.22,9.0,17.85,6.44,56.47
2022-03-31,16.74,0.0,0.0,0.0,7.77,23.94,9.39,47.29
2022-04-01,18.84,0.0,0.0,0.0,11.94,25.16,9.12,38.6
2022-04-02,19.79,0.0,0.0,0.0,13.54,25.93,12.32,35.66
2022-04-03,14.69,0.0,0.0,0.0,7.88,24.27,15.21,49.65
2022-04-04,10.95,0.18,0.0,0.18,7.04,15.76,7.71,65.75
2022-04-05,9.47,1.01,0.0,1.01,6.18,12.66,9.75,77.62
2022-04-06,10.45,5.45,0.0,5.45,6.75,14.29,12.08,83.5
2022-04-07,11.79,0.76,0.0,0.76,5.96,17.07,9.38,80.37
2022-04-08,13.4,7.28,0.0,7.28,10.0,17.47,7.33,81.39
2022-04-09,14.56,1.5,0.0,1.5,7.03,21.98,7.58,69.98
2022-04-10,14.29,0.0,0.0,0.0,9.5,19.74,5.5,66.5
2022-04-11,14.55,3.59,0.0,3.59,8.85,23.3,14.15,63.97
2022-04-12,8.13,9.56,0.0,9.56,5.95,10.23,11.98,77.41
2022-04-13,7.65,0.69,0.0,0.69,3.81,11.37,7.41,64.1
2022-04-14,8.64,0.78,0.0,0.78,4.83,11.96,7.03,68.14
2022-04-15,10.66,0.08,0.0,0.08,7.92,14.41,4.57,72.13
2022-04-16,11.41,0.0,0.0,0.0,5.04,17.71,7.06,73.21
2022-04-17,12.11,0.08,0.0,0.08,7.04,16.62,3.58,75.93
2022-04-18,15.45,0.5,0.0,0.5,10.6,24.03,9.73,68.33
2022-04-19,10.38,8.02,0.0,8.02,8.73,13.83,12.36,85.99
2022-04-20,9.61,3.62,0.0,3.62,7.5,12.44,10.97,82.98
2022-04-21,10.52,0.09,0.0,0.09,7.16,17.01,10.73,78.94
2022-04-22,10.92,0.0,0.0,0.0,6.86,15.34,6.0,79.17
2022-04-23,12.81,0.0,0.0,0.0,7.15,18.26,5.36,78.21
2022-04-24,15.56,0.09,0.0,0.09,9.98,21.7,9.41,69.85
2022-04-25,16.2,0.0,0.0,0.0,8.86,23.36,5.27,67.98
2022-04-26,16.3,0.0,0.0,0.0,11.2,22.05,9.73,66.4
2022-04-27,15.12,0.0,0.0,0.0,10.31,20.67,10.45,67.95
2022-04-28,14.99,0.0,0.0,0.0,10.69,20.55,9.65,71.18
2022-04-29,14.56,0.0,0.0,0.0,9.45,19.22,7.67,77.95
2022-04-30,13.14,0.09,0.0,0.09,9.6,16.62,11.23,85.04
2022-05-01,13.19,0.88,0.0,0.88,11.19,15.42,9.93,85.62
2022-05-02,12.79,0.0,0.0,0.0,8.18,17.17,7.18,76.64
2022-05-03,12.67,0.0,0.0,0.0,8.6,17.48,4.17,77.11
2022-05-04,11.85,6.67,0.0,6.67,10.13,13.59,10.78,88.41
2022-05-05,11.7,8.42,0.0,8.42,9.68,14.27,9.32,81.6
2022-05-06,10.98,5.71,0.0,5.71,8.78,13.03,10.37,86.86
2022-05-07,10.86,5.76,0.0,5.76,9.35,12.74,10.02,82.31
2022-05-08,11.22,0.94,0.0,0.94,8.89,13.91,8.26,81.62
2022-05-09,11.51,0.0,0.0,0.0,6.63,15.75,7.45,77.6
2022-05-10,12.77,0.0,0.0,0.0,6.02,18.32,6.49,69.88
2022-05-11,12.62,0.13,0.0,0.13,5.93,18.16,8.72,70.73
2022-05-12,13.88,0.0,0.0,0.0,6.59,19.23,7.36,60.68
2022-05-13,15.5,0.0,0.0,0.0,7.86,22.02,6.5,57.44
2022-05-14,17.12,0.0,0.0,0.0,9.39,24.62,6.64,59.67
2022-05-15,17.06,0.0,0.0,0.0,11.05,22.19,8.86,57.96
2022-05-16,17.26,0.0,0.0,0.0,11.56,22.59,8.34,59.09
2022-05-17,16.96,0.0,0.0,0.0,10.3,22.57,6.73,59.01
2022-05-18,18.27,0.0,0.0,0.0,10.63,26.59,10.61,58.05
2022-05-19,12.32,7.68,0.0,7.68,9.45,15.32,13.8,77.94
2022-05-20,13.64,1.14,0.0,1.14,8.52,18.56,5.47,71.13
2022-05-21,16.44,0.0,0.0,0.0,8.36,22.91,5.65,63.75
2022-05-22,18.56,0.0,0.0,0.0,10.36,25.74,6.64,60.74
