time,Borçka Karagöl Tabiat Parkı - Artvin_temp,Borçka Karagöl Tabiat Parkı - Artvin_prcp,Borçka Karagöl Tabiat Parkı - Artvin_snow,Borçka Karagöl Tabiat Parkı - Artvin_rain,Borçka Karagöl Tabiat Parkı - Artvin_tmin,Borçka Karagöl Tabiat Parkı - Artvin_tmax,Borçka Karagöl Tabiat Parkı - Artvin_wspd,Borçka Karagöl Tabiat Parkı - Artvin_rhum
2024-01-01,-1.75,0.0,0.0,0.0,-5.86,1.99,13.96,54.41
2024-01-02,-0.08,0.0,0.0,0.0,-3.23,2.45,14.15,51.93
2024-01-03,-1.75,16.21,16.21,0.0,-3.96,1.47,12.94,81.93
2024-01-04,-2.23,8.23,8.23,0.0,-4.49,-0.4,17.49,84.27
2024-01-05,-0.13,29.3,29.3,0.0,-1.72,1.26,17.41,87.18
2024-01-06,-0.53,33.91,33.91,0.0,-3.6,3.05,12.7,73.77
2024-01-07,0.66,0.0,0.0,0.0,-4.15,4.73,25.41,46.28
2024-01-08,1.86,0.0,0.0,0.0,-1.28,5.3,19.16,48.94
2024-01-09,-0.13,15.3,15.3,0.0,-1.57,2.75,11.12,88.95
2024-01-10,-1.28,6.7,6.7,0.0,-3.01,0.52,8.74,93.04
2024-01-11,-3.62,2.3,2.3,0.0,-4.88,-1.97,5.63,89.98
2024-01-12,-4.46,6.25,6.25,0.0,-6.32,-2.48,7.05,86.86
2024-01-13,-6.97,23.07,23.07,0.0,-9.59,-3.85,12.77,86.53
2024-01-14,-8.81,3.95,3.95,0.0,-12.73,-4.12,11.93,73.2
2024-01-15,-6.71,0.0,0.0,0.0,-11.07,-2.46,22.77,57.04
2024-01-16,-2.48,0.63,0.63,0.0,-7.1,1.29,24.03,57.03
2024-01-17,-3.15,10.98,10.98,0.0,-4.56,-1.48,10.2,92.5
2024-01-18,-0.29,0.68,0.68,0.0,-5.01,5.21,16.5,73.1
2024-01-19,1.52,0.0,0.0,0.0,-2.9,5.75,19.81,53.76
2024-01-20,2.45,0.22,0.0,0.22,-0.68,5.9,15.55,61.79
2024-01-21,-0.0,8.75,8.75,0.0,-3.04,3.69,13.44,83.48
2024-01-22,-4.86,14.44,14.44,0.0,-5.92,-2.92,9.59,91.9
2024-01-23,-5.96,1.94,1.94,0.0,-7.83,-4.02,5.77,84.19
2024-01-24,-5.88,0.07,0.07,0.0,-7.9,-3.44,7.5,81.27
2024-01-25,-5.29,0.0,0.0,0.0,-8.7,-1.54,12.1,63.78
2024-01-26,-4.07,0.18,0.18,0.0,-7.21,-0.34,8.54,65.18
2024-01-27,-6.19,16.65,16.65,0.0,-7.03,-4.78,10.93,92.15
2024-01-28,-6.01,8.91,8.91,0.0,-8.73,-3.79,8.73,84.64
2024-01-29,-6.09,0.04,0.04,0.0,-9.12,-1.89,10.34,77.45
