time,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_tmin,Erfelek Tatlıca Şelaleleri - Sinop_tmax,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2024-01-01,9.29,0.0,0.0,0.0,5.61,13.71,11.89,75.53
2024-01-02,9.68,1.98,0.0,1.98,6.6,13.14,10.17,70.1
2024-01-03,8.18,2.64,0.0,2.64,6.41,9.92,14.52,84.1
2024-01-04,10.07,3.13,0.0,3.13,7.82,13.16,13.3,75.21
2024-01-05,8.65,9.01,0.0,9.01,6.49,10.44,22.54,78.22
2024-01-06,8.54,0.0,0.0,0.0,3.17,12.72,13.57,60.49
2024-01-07,11.62,0.63,0.0,0.63,6.04,17.0,12.46,49.92
2024-01-08,10.71,1.68,0.0,1.68,6.72,15.91,11.44,70.18
2024-01-09,5.66,1.56,0.0,1.56,3.01,8.49,19.63,84.34
2024-01-10,2.58,0.5,0.0,0.5,1.49,3.42,13.75,73.41
2024-01-11,3.08,0.39,0.0,0.39,0.81,5.13,13.95,72.46
2024-01-12,2.45,5.36,0.0,5.36,-0.12,4.72,24.41,75.43
2024-01-13,-1.38,7.59,7.59,0.0,-2.86,0.25,18.81,80.49
2024-01-14,-0.5,4.31,4.31,0.0,-4.39,4.98,10.29,66.93
2024-01-15,3.33,0.0,0.0,0.0,-3.05,9.16,11.33,61.22
2024-01-16,7.37,2.57,0.0,2.57,3.92,10.99,15.64,71.65
2024-01-17,5.91,0.24,0.0,0.24,3.71,7.95,14.8,76.03
2024-01-18,9.62,0.0,0.0,0.0,3.44,14.39,15.08,66.21
2024-01-19,11.74,0.74,0.0,0.74,8.33,14.05,14.38,65.52
2024-01-20,9.23,5.97,0.0,5.97,4.51,14.08,15.32,78.47
2024-01-21,2.93,21.88,0.0,21.88,1.05,4.15,18.09,78.89
2024-01-22,1.0,3.11,3.11,0.0,-0.78,2.56,10.56,78.53
2024-01-23,1.48,0.85,0.85,0.0,-1.65,4.35,9.32,70.9
2024-01-24,2.31,0.0,0.0,0.0,-2.15,6.71,10.41,70.65
2024-01-25,3.13,0.02,0.0,0.02,-1.42,6.82,12.0,70.31
2024-01-26,4.34,3.24,0.0,3.24,1.68,7.22,15.08,76.69
2024-01-27,2.49,15.48,0.0,15.48,1.44,3.89,24.76,84.57
2024-01-28,1.51,13.63,13.63,0.0,-0.25,3.57,13.13,84.76
2024-01-29,1.43,15.51,15.51,0.0,-0.16,3.24,12.69,86.26
2024-01-30,1.94,3.92,3.92,0.0,0.07,4.02,10.34,78.94
2024-01-31,3.08,0.0,0.0,0.0,-0.39,6.77,8.64,78.39
2024-02-01,2.63,0.0,0.0,0.0,-1.16,5.58,6.89,78.03
2024-02-02,3.27,0.0,0.0,0.0,-1.25,6.07,13.45,77.08
2024-02-03,3.44,3.1,0.0,3.1,1.12,5.34,17.25,75.66
2024-02-04,5.26,1.42,0.0,1.42,1.7,8.3,14.06,69.87
2024-02-05,8.02,1.1,0.0,1.1,4.01,11.88,19.94,67.64
2024-02-06,9.64,0.77,0.0,0.77,7.72,11.73,24.91,64.32
2024-02-07,10.96,0.0,0.0,0.0,5.15,17.51,15.66,54.88
2024-02-08,9.69,0.0,0.0,0.0,6.57,14.14,10.99,66.76
2024-02-09,10.64,0.0,0.0,0.0,6.12,15.41,9.52,63.84
2024-02-10,10.59,0.0,0.0,0.0,5.63,16.18,9.97,61.92
2024-02-11,11.75,0.0,0.0,0.0,7.43,17.87,8.89,60.02
2024-02-12,13.55,0.0,0.0,0.0,8.24,19.77,10.76,50.9
2024-02-13,12.6,0.52,0.0,0.52,8.11,16.31,12.53,55.83
2024-02-14,7.5,0.08,0.0,0.08,6.26,9.45,15.07,85.14
2024-02-15,6.62,4.85,0.0,4.85,6.12,7.14,19.96,93.29
2024-02-16,6.22,3.54,0.0,3.54,5.53,6.95,16.37,89.91
2024-02-17,4.66,3.83,0.0,3.83,3.57,5.52,14.79,90.08
2024-02-18,3.9,3.04,0.0,3.04,3.09,4.88,17.04,85.78
2024-02-19,4.45,1.0,0.0,1.0,3.22,5.88,17.02,82.95
2024-02-20,4.82,0.8,0.0,0.8,3.28,6.5,12.3,82.14
2024-02-21,5.62,0.94,0.0,0.94,3.38,7.69,15.32,81.85
2024-02-22,4.83,1.47,0.0,1.47,2.37,7.4,9.81,81.25
2024-02-23,6.46,0.0,0.0,0.0,2.37,11.22,14.9,69.82
2024-02-24,7.8,0.0,0.0,0.0,4.38,11.31,14.14,76.42
2024-02-25,6.93,0.0,0.0,0.0,4.73,9.41,16.84,83.39
2024-02-26,6.97,0.0,0.0,0.0,5.02,9.43,17.19,83.51
2024-02-27,6.2,0.0,0.0,0.0,4.14,8.49,12.22,87.13
2024-02-28,5.87,0.0,0.0,0.0,4.02,8.62,7.81,84.56
2024-02-29,6.1,0.0,0.0,0.0,3.34,9.15,14.09,81.14
2024-03-01,6.5,0.0,0.0,0.0,5.15,9.11,17.19,84.73
2024-03-02,6.67,0.0,0.0,0.0,5.49,8.44,15.18,87.22
2024-03-03,6.33,0.09,0.0,0.09,4.41,7.71,16.69,88.56
2024-03-04,6.35,0.03,0.0,0.03,3.6,8.88,7.36,88.26
2024-03-05,7.64,0.02,0.0,0.02,4.96,10.21,13.84,87.14
2024-03-06,6.38,8.05,0.0,8.05,4.83,7.97,26.44,85.58
2024-03-07,5.48,3.9,0.0,3.9,4.25,6.82,23.38,83.2
2024-03-08,5.17,0.69,0.0,0.69,2.98,7.07,11.01,81.41
2024-03-09,4.71,3.24,0.0,3.24,3.55,6.46,10.84,78.29
2024-03-10,4.88,0.23,0.0,0.23,2.25,7.28,7.83,76.74
2024-03-11,5.76,0.0,0.0,0.0,1.82,8.98,13.68,81.51
2024-03-12,8.28,0.0,0.0,0.0,5.23,12.59,20.92,80.04
2024-03-13,8.52,0.67,0.0,0.67,6.1,11.25,12.24,78.19
2024-03-14,7.42,2.14,0.0,2.14,5.71,9.41,7.44,87.56
