time,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_tmin,Horma Kanyonu - Kastamonu_tmax,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2024-01-01,7.63,0.0,0.0,0.0,3.91,12.48,8.57,78.11
2024-01-02,7.52,7.04,0.0,7.04,3.59,10.47,9.7,79.85
2024-01-03,7.85,3.03,0.0,3.03,4.7,11.86,10.38,84.34
2024-01-04,9.39,4.28,0.0,4.28,6.2,14.21,13.99,74.09
2024-01-05,7.64,11.7,0.0,11.7,3.69,11.3,16.95,76.48
2024-01-06,6.96,0.0,0.0,0.0,2.36,12.15,10.42,59.25
2024-01-07,9.81,2.3,0.0,2.3,4.27,14.94,13.37,59.89
2024-01-08,9.18,5.21,0.0,5.21,5.65,13.68,12.89,74.89
2024-01-09,4.93,3.84,0.0,3.84,2.0,7.75,11.3,92.22
2024-01-10,2.12,0.94,0.0,0.94,-0.26,5.18,11.3,84.44
2024-01-11,0.78,0.04,0.04,0.0,-1.65,3.83,9.86,80.27
2024-01-12,0.14,6.85,6.85,0.0,-2.19,3.01,16.58,83.63
2024-01-13,-2.89,6.23,6.23,0.0,-4.65,-0.53,12.75,79.05
2024-01-14,-1.07,0.0,0.0,0.0,-5.96,4.22,11.58,66.95
2024-01-15,2.54,0.0,0.0,0.0,-4.7,8.27,13.01,60.36
2024-01-16,6.76,2.06,0.0,2.06,1.79,10.26,17.22,74.33
2024-01-17,3.56,0.93,0.0,0.93,0.74,6.85,7.46,89.72
2024-01-18,7.26,0.04,0.0,0.04,1.91,12.77,14.37,68.84
2024-01-19,10.92,0.84,0.0,0.84,6.68,14.33,16.59,68.75
2024-01-20,7.47,2.79,0.0,2.79,1.64,13.11,13.22,81.89
2024-01-21,1.39,10.93,10.93,0.0,-0.27,3.44,10.37,88.61
2024-01-22,-0.81,1.94,1.94,0.0,-3.44,3.0,8.83,82.76
2024-01-23,-1.27,0.0,0.0,0.0,-5.71,4.47,8.69,78.09
2024-01-24,-0.83,0.0,0.0,0.0,-5.68,4.92,8.41,74.34
2024-01-25,1.74,0.75,0.75,0.0,-2.53,5.61,12.89,72.34
2024-01-26,2.51,7.22,0.0,7.22,0.42,5.67,13.55,85.44
2024-01-27,1.12,9.43,9.43,0.0,-0.67,3.37,16.27,85.5
2024-01-28,0.54,5.65,5.65,0.0,-1.32,2.57,10.74,88.42
2024-01-29,-0.31,6.03,6.03,0.0,-2.88,3.46,8.88,89.5
2024-01-30,-0.05,2.9,2.9,0.0,-3.31,3.27,8.76,85.44
2024-01-31,0.91,0.0,0.0,0.0,-4.25,6.04,9.94,81.49
2024-02-01,0.74,0.0,0.0,0.0,-4.36,6.65,7.74,79.11
2024-02-02,2.45,0.0,0.0,0.0,-4.21,7.6,12.31,75.51
2024-02-03,2.11,2.42,0.0,2.42,-1.03,6.83,12.43,78.12
2024-02-04,3.92,0.52,0.0,0.52,0.25,7.43,14.08,70.03
2024-02-05,7.07,0.73,0.0,0.73,3.82,11.3,19.44,69.37
2024-02-06,9.76,0.52,0.0,0.52,7.43,14.24,20.4,61.46
2024-02-07,11.98,0.0,0.0,0.0,3.4,17.45,16.12,53.36
2024-02-08,10.74,0.0,0.0,0.0,5.67,15.05,12.03,64.03
2024-02-09,10.99,0.0,0.0,0.0,3.89,16.17,10.03,66.0
2024-02-10,11.11,0.0,0.0,0.0,3.47,16.27,11.29,60.24
2024-02-11,12.1,0.0,0.0,0.0,5.45,16.93,10.57,54.11
2024-02-12,13.8,0.06,0.0,0.06,7.56,18.88,11.92,50.43
2024-02-13,11.47,1.64,0.0,1.64,6.86,15.86,10.21,61.41
2024-02-14,7.33,1.42,0.0,1.42,5.17,10.04,7.72,90.69
2024-02-15,5.51,6.27,0.0,6.27,4.23,6.77,11.07,95.95
2024-02-16,5.43,3.11,0.0,3.11,3.64,7.9,9.88,91.23
2024-02-17,4.46,3.88,0.0,3.88,2.82,6.61,6.46,94.54
2024-02-18,3.37,3.74,0.0,3.74,2.26,5.47,12.27,87.74
2024-02-19,3.09,0.26,0.0,0.26,1.45,5.9,9.62,85.15
2024-02-20,4.22,0.06,0.0,0.06,1.48,7.52,5.93,85.6
2024-02-21,4.96,2.47,0.0,2.47,0.03,8.47,7.54,85.33
2024-02-22,3.38,0.64,0.0,0.64,-0.01,7.65,8.21,80.95
2024-02-23,6.8,0.0,0.0,0.0,-0.57,12.66,9.6,64.8
2024-02-24,9.61,0.0,0.0,0.0,2.51,14.75,9.19,62.4
2024-02-25,9.85,0.0,0.0,0.0,2.7,14.99,7.04,68.07
2024-02-26,8.69,0.0,0.0,0.0,3.43,13.63,5.3,71.18
2024-02-27,8.54,0.0,0.0,0.0,3.25,13.16,7.24,77.63
2024-02-28,7.9,0.0,0.0,0.0,1.54,13.64,5.93,80.58
2024-02-29,8.02,0.0,0.0,0.0,1.17,13.61,6.13,76.26
2024-03-01,7.74,0.0,0.0,0.0,3.23,12.98,5.16,74.85
2024-03-02,8.1,0.0,0.0,0.0,3.38,11.83,7.27,80.54
2024-03-03,7.64,0.0,0.0,0.0,4.81,10.67,10.01,86.98
2024-03-04,6.47,0.81,0.0,0.81,3.61,10.37,5.25,91.07
2024-03-05,7.09,5.22,0.0,5.22,2.55,13.29,6.91,85.34
2024-03-06,5.14,18.75,0.0,18.75,3.71,7.72,15.76,91.09
2024-03-07,4.29,3.12,0.0,3.12,1.75,6.94,11.49,83.59
2024-03-08,5.29,0.56,0.0,0.56,1.0,10.17,7.4,86.2
2024-03-09,3.08,8.51,0.0,8.51,1.07,5.22,6.78,89.19
2024-03-10,4.81,1.15,0.0,1.15,-0.06,9.22,7.4,79.49
2024-03-11,7.36,0.0,0.0,0.0,-0.07,12.72,8.41,72.81
2024-03-12,10.89,0.02,0.0,0.02,4.42,17.75,8.59,64.68
2024-03-13,10.0,0.58,0.0,0.58,5.45,13.21,8.86,72.53
2024-03-14,7.77,2.12,0.0,2.12,5.55,11.34,7.16,86.24
2024-03-15,6.15,2.99,0.0,2.99,3.24,10.39,8.66,90.16
2024-03-16,5.07,10.28,0.0,10.28,3.57,7.53,7.08,91.0
2024-03-17,6.06,1.89,0.0,1.89,2.65,10.75,5.91,87.01
2024-03-18,5.53,4.39,0.0,4.39,0.42,11.83,7.23,85.56
2024-03-19,6.88,0.0,0.0,0.0,0.79,12.47,8.48,77.08
2024-03-20,5.54,8.04,0.0,8.04,1.29,9.75,9.48,86.07
2024-03-21,2.41,6.25,0.0,6.25,-0.18,5.29,9.92,87.68
2024-03-22,1.99,8.66,8.66,0.0,-0.61,5.95,13.46,89.04
2024-03-23,2.28,5.85,0.0,5.85,0.34,5.96,14.09,86.57
2024-03-24,5.72,0.0,0.0,0.0,-0.51,12.43,9.78,72.28
2024-03-25,8.98,7.65,0.0,7.65,1.41,15.55,15.24,67.43
2024-03-26,5.88,2.3,0.0,2.3,2.19,10.35,21.94,70.53
2024-03-27,6.07,0.6,0.0,0.6,1.03,11.95,8.07,73.28
2024-03-28,13.19,1.05,0.0,1.05,6.52,20.3,10.53,62.02
2024-03-29,13.49,0.16,0.0,0.16,9.53,19.31,11.97,70.46
2024-03-30,13.29,0.0,0.0,0.0,7.24,19.13,8.86,61.1
2024-03-31,15.78,0.0,0.0,0.0,9.73,21.77,9.43,52.76
2024-04-01,16.35,0.0,0.0,0.0,9.29,23.28,9.48,52.6
2024-04-02,17.75,0.0,0.0,0.0,10.88,25.65,10.94,45.69
2024-04-03,13.29,0.0,0.0,0.0,8.53,18.51,14.89,59.16
2024-04-04,11.21,0.0,0.0,0.0,4.2,17.67,8.77,70.8
2024-04-05,10.4,1.97,0.0,1.97,4.68,15.86,10.94,71.33
2024-04-06,9.58,0.0,0.0,0.0,2.15,15.89,9.04,64.51
2024-04-07,9.65,0.0,0.0,0.0,2.61,14.82,10.31,71.1
2024-04-08,10.02,0.0,0.0,0.0,3.93,15.06,10.17,75.4
2024-04-09,12.04,0.0,0.0,0.0,4.46,17.17,7.99,79.82
2024-04-10,11.19,0.0,0.0,0.0,6.32,16.21,9.87,80.85
2024-04-11,11.6,0.0,0.0,0.0,7.18,15.89,11.4,81.33
2024-04-12,12.52,0.0,0.0,0.0,8.94,17.8,7.46,85.08
2024-04-13,12.4,0.0,0.0,0.0,7.28,17.36,14.3,80.29
2024-04-14,11.92,0.0,0.0,0.0,6.25,18.08,12.8,72.26
2024-04-15,15.67,0.0,0.0,0.0,6.36,22.86,9.41,59.04
2024-04-16,20.69,0.0,0.0,0.0,9.63,27.52,12.71,40.95
2024-04-17,19.84,0.0,0.0,0.0,12.23,26.95,10.84,42.31
2024-04-18,17.98,0.29,0.0,0.29,12.64,24.99,17.93,52.98
2024-04-19,12.87,1.23,0.0,1.23,9.71,17.51,8.75,80.54
2024-04-20,11.78,2.6,0.0,2.6,7.56,19.3,11.33,83.38
2024-04-21,11.55,0.11,0.0,0.11,7.45,15.93,16.63,69.05
2024-04-22,12.44,0.0,0.0,0.0,5.63,19.64,12.61,70.01
2024-04-23,13.37,0.04,0.0,0.04,7.67,18.76,6.97,76.77
2024-04-24,20.84,0.0,0.0,0.0,13.32,28.65,12.28,44.72
2024-04-25,19.18,0.51,0.0,0.51,12.96,25.17,13.34,49.68
2024-04-26,15.73,1.26,0.0,1.26,11.03,22.11,12.15,75.84
2024-04-27,13.2,0.0,0.0,0.0,8.94,18.11,7.05,86.49
2024-04-28,12.96,3.4,0.0,3.4,10.9,17.36,7.33,91.27
2024-04-29,11.91,1.76,0.0,1.76,10.32,15.51,7.32,95.96
2024-04-30,13.68,0.84,0.0,0.84,10.32,18.3,7.14,92.45
2024-05-01,12.29,3.25,0.0,3.25,9.86,15.69,7.2,89.45
2024-05-02,10.12,8.12,0.0,8.12,8.76,12.43,8.15,94.14
2024-05-03,10.18,9.84,0.0,9.84,8.85,12.6,12.43,94.65
2024-05-04,10.15,7.27,0.0,7.27,7.72,13.56,7.8,90.58
2024-05-05,9.28,3.87,0.0,3.87,4.65,13.41,9.49,77.7
2024-05-06,8.79,0.0,0.0,0.0,1.19,15.45,9.17,70.35
