time,Hıdırnebi yaylası - Trabzon_temp,Hıdırnebi yaylası - Trabzon_prcp,Hıdırnebi yaylası - Trabzon_snow,Hıdırnebi yaylası - Trabzon_rain,Hıdırnebi yaylası - Trabzon_tmin,Hıdırnebi yaylası - Trabzon_tmax,Hıdırnebi yaylası - Trabzon_wspd,Hıdırnebi yaylası - Trabzon_rhum
2024-01-01,2.05,0.0,0.0,0.0,-1.4,5.75,8.39,66.76
2024-01-02,3.49,1.45,0.0,1.45,-0.17,6.56,7.85,63.37
2024-01-03,2.67,8.49,0.0,8.49,0.99,4.4,10.52,82.84
2024-01-04,4.11,4.34,0.0,4.34,1.43,8.07,11.06,78.87
2024-01-05,3.04,15.56,0.0,15.56,0.84,5.09,14.56,78.12
2024-01-06,1.67,2.3,2.3,0.0,-1.15,4.44,13.27,66.62
2024-01-07,3.3,0.0,0.0,0.0,-1.19,6.68,10.51,53.37
2024-01-08,7.97,1.52,0.0,1.52,2.85,11.7,18.91,55.66
2024-01-09,3.21,16.34,0.0,16.34,-0.07,5.42,10.4,87.91
2024-01-10,0.27,4.77,4.77,0.0,-1.72,1.85,17.84,87.02
2024-01-11,-1.49,0.09,0.09,0.0,-3.46,-0.13,9.61,80.96
2024-01-12,-1.75,3.12,3.12,0.0,-3.47,0.15,8.24,80.7
2024-01-13,-5.46,16.55,16.55,0.0,-8.83,-2.08,14.79,84.98
2024-01-14,-5.8,0.99,0.99,0.0,-8.78,-2.79,8.78,73.2
2024-01-15,-1.59,0.0,0.0,0.0,-7.53,3.69,10.81,57.37
2024-01-16,6.37,1.31,0.0,1.31,2.15,9.13,20.24,49.59
2024-01-17,0.88,7.95,7.95,0.0,-0.58,3.2,11.65,84.77
2024-01-18,0.64,0.0,0.0,0.0,-2.65,3.79,9.8,77.4
2024-01-19,6.18,0.23,0.0,0.23,0.76,9.44,20.13,51.34
2024-01-20,5.97,0.41,0.0,0.41,3.48,9.23,13.77,61.68
2024-01-21,0.99,9.71,9.71,0.0,-2.89,8.08,24.34,84.76
2024-01-22,-3.62,4.64,4.64,0.0,-4.89,-2.48,14.7,77.36
2024-01-23,-5.12,0.58,0.58,0.0,-7.45,-3.0,7.19,81.21
2024-01-24,-3.94,1.75,1.75,0.0,-6.65,-1.59,10.81,76.13
2024-01-25,-4.24,0.0,0.0,0.0,-7.72,-0.5,9.6,64.87
2024-01-26,-2.34,1.55,1.55,0.0,-5.18,0.67,7.4,70.05
2024-01-27,-3.22,12.82,12.82,0.0,-4.68,-1.55,16.96,81.6
2024-01-28,-4.25,0.11,0.11,0.0,-7.3,-1.12,8.22,71.34
2024-01-29,-4.17,2.48,2.48,0.0,-6.48,-1.47,12.71,68.82
2024-01-30,-3.34,0.1,0.1,0.0,-5.44,-0.76,9.53,65.75
2024-01-31,-2.98,0.05,0.05,0.0,-6.21,0.72,10.24,59.46
2024-02-01,-2.47,0.0,0.0,0.0,-5.47,-0.2,8.18,64.56
2024-02-02,-1.89,0.0,0.0,0.0,-5.36,1.31,7.16,65.31
2024-02-03,-1.39,1.55,1.55,0.0,-3.54,0.28,9.11,75.07
2024-02-04,-0.01,0.0,0.0,0.0,-3.42,2.9,8.37,70.12
2024-02-05,1.47,0.25,0.25,0.0,-1.22,4.85,10.5,63.91
2024-02-06,2.87,7.37,0.0,7.37,0.64,5.31,16.58,72.65
2024-02-07,4.78,1.09,0.0,1.09,-0.21,9.52,9.7,58.72
2024-02-08,6.3,0.0,0.0,0.0,2.41,9.98,14.17,57.0
2024-02-09,5.73,0.0,0.0,0.0,2.0,9.96,9.47,65.66
2024-02-10,7.28,0.0,0.0,0.0,2.15,10.7,15.03,51.43
2024-02-11,7.54,0.0,0.0,0.0,3.16,10.82,16.22,49.49
2024-02-12,7.81,0.0,0.0,0.0,2.65,11.89,13.21,46.74
2024-02-13,9.31,0.0,0.0,0.0,4.06,12.3,15.11,43.58
2024-02-14,6.43,0.93,0.0,0.93,1.31,10.74,12.78,66.26
2024-02-15,2.11,1.99,0.0,1.99,0.1,3.58,7.67,88.65
2024-02-16,2.36,0.55,0.0,0.55,-0.32,4.19,6.89,88.14
2024-02-17,1.44,5.32,5.32,0.0,0.9,2.18,11.44,90.16
2024-02-18,0.74,2.04,2.04,0.0,-0.32,1.9,13.97,83.67
2024-02-19,0.11,1.05,1.05,0.0,-1.54,1.95,7.16,81.92
2024-02-20,-0.04,0.41,0.41,0.0,-2.28,1.64,6.02,85.05
2024-02-21,0.66,0.05,0.05,0.0,-3.05,4.19,7.97,78.38
2024-02-22,0.32,9.5,9.5,0.0,-2.68,3.24,8.75,81.24
2024-02-23,0.33,1.62,1.62,0.0,-2.7,3.51,8.86,77.39
