time,Kuzalan şelalesi Tabiat Parkı - Giresun_temp,Kuzalan şelalesi Tabiat Parkı - Giresun_prcp,Kuzalan şelalesi Tabiat Parkı - Giresun_snow,Kuzalan şelalesi Tabiat Parkı - Giresun_rain,Kuzalan şelalesi Tabiat Parkı - Giresun_tmin,Kuzalan şelalesi Tabiat Parkı - Giresun_tmax,Kuzalan şelalesi Tabiat Parkı - Giresun_wspd,Kuzalan şelalesi Tabiat Parkı - Giresun_rhum
2024-01-01,5.29,0.0,0.0,0.0,1.13,9.35,10.45,65.35
2024-01-02,7.43,1.22,0.0,1.22,4.01,10.67,14.1,62.52
2024-01-03,6.34,8.91,0.0,8.91,4.7,7.86,12.03,84.82
2024-01-04,7.78,3.35,0.0,3.35,5.92,10.33,13.75,80.53
2024-01-05,6.39,14.58,0.0,14.58,3.57,8.55,17.09,83.61
2024-01-06,4.75,1.95,0.0,1.95,1.89,8.48,15.41,68.31
2024-01-07,8.29,0.0,0.0,0.0,3.55,12.01,19.34,48.64
2024-01-08,11.03,5.78,0.0,5.78,6.18,14.08,27.5,58.02
2024-01-09,6.86,15.72,0.0,15.72,3.86,8.64,12.53,88.41
2024-01-10,3.48,6.23,0.0,6.23,1.28,5.29,18.52,88.0
2024-01-11,1.92,0.14,0.14,0.0,0.28,3.21,8.93,79.54
2024-01-12,1.45,2.84,2.84,0.0,-0.65,3.73,11.99,80.76
2024-01-13,-1.68,12.45,12.45,0.0,-4.22,0.69,17.95,84.0
2024-01-14,-2.21,0.28,0.28,0.0,-5.53,0.94,12.46,68.17
2024-01-15,2.24,0.0,0.0,0.0,-3.57,7.16,15.83,57.81
2024-01-16,8.69,2.08,0.0,2.08,5.46,11.69,22.57,58.6
2024-01-17,4.37,9.9,0.0,9.9,2.35,6.48,12.17,85.79
2024-01-18,5.2,0.0,0.0,0.0,1.21,9.24,14.15,72.35
2024-01-19,9.23,0.19,0.0,0.19,5.19,12.15,23.26,56.51
2024-01-20,9.5,0.22,0.0,0.22,6.81,12.88,18.25,63.88
2024-01-21,3.77,15.78,0.0,15.78,-0.3,8.84,25.24,89.66
2024-01-22,-0.35,6.52,6.52,0.0,-1.47,0.98,16.49,80.39
2024-01-23,-1.57,0.17,0.17,0.0,-4.72,0.81,8.62,78.6
2024-01-24,-0.39,0.5,0.5,0.0,-3.29,1.93,8.48,73.87
2024-01-25,-1.03,0.0,0.0,0.0,-4.79,2.81,10.52,63.94
2024-01-26,1.19,1.02,1.02,0.0,-1.77,4.53,8.32,70.71
2024-01-27,0.46,12.94,12.94,0.0,-1.34,2.42,23.13,84.75
2024-01-28,-1.09,0.43,0.43,0.0,-4.57,2.48,9.42,74.68
2024-01-29,-0.1,8.58,8.58,0.0,-2.19,3.04,15.37,76.12
2024-01-30,-0.22,0.37,0.37,0.0,-3.11,2.4,9.05,73.39
2024-01-31,0.9,0.19,0.19,0.0,-2.3,4.9,8.31,67.61
