time,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_tmin,Kümbet yaylası - Giresun_tmax,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2024-01-01,-0.43,0.0,0.0,0.0,-4.63,3.67,10.15,65.59
2024-01-02,1.64,1.17,1.17,0.0,-1.9,4.87,13.44,63.01
2024-01-03,0.58,8.49,8.49,0.0,-1.1,2.17,11.77,84.83
2024-01-04,2.07,3.26,0.0,3.26,0.1,4.68,13.42,80.88
2024-01-05,0.59,14.27,14.27,0.0,-2.2,2.77,16.63,83.69
2024-01-06,-1.05,2.33,2.33,0.0,-3.87,2.54,14.9,68.63
2024-01-07,2.31,0.0,0.0,0.0,-2.54,6.05,18.34,49.46
2024-01-08,5.25,5.18,0.0,5.18,0.32,8.35,26.25,58.91
2024-01-09,1.18,14.97,14.97,0.0,-2.04,2.99,12.24,88.3
2024-01-10,-2.16,5.85,5.85,0.0,-4.48,-0.34,17.83,88.23
2024-01-11,-3.76,0.13,0.13,0.0,-5.59,-2.4,8.76,80.22
2024-01-12,-4.22,2.72,2.72,0.0,-6.34,-1.93,11.46,81.12
2024-01-13,-7.42,12.12,12.12,0.0,-10.17,-4.99,17.2,83.77
2024-01-14,-7.92,0.32,0.32,0.0,-11.21,-4.84,11.96,68.88
2024-01-15,-3.51,0.0,0.0,0.0,-9.46,1.36,15.26,58.19
2024-01-16,2.93,1.93,0.0,1.93,-0.38,5.85,22.02,59.17
2024-01-17,-1.4,9.47,9.47,0.0,-3.38,0.72,11.91,85.98
2024-01-18,-0.79,0.0,0.0,0.0,-4.71,3.19,13.61,73.51
2024-01-19,3.2,0.23,0.0,0.23,-0.96,6.19,22.41,57.37
2024-01-20,3.51,0.25,0.0,0.25,0.87,6.85,17.53,64.94
2024-01-21,-1.92,15.11,15.11,0.0,-6.01,3.14,24.39,89.52
2024-01-22,-6.18,6.33,6.33,0.0,-7.34,-4.85,15.93,80.55
2024-01-23,-7.45,0.19,0.19,0.0,-10.62,-5.01,8.36,79.27
2024-01-24,-6.28,0.56,0.56,0.0,-9.22,-3.92,8.6,74.59
2024-01-25,-6.97,0.0,0.0,0.0,-10.82,-2.99,10.42,64.52
2024-01-26,-4.71,1.12,1.12,0.0,-7.75,-1.35,8.22,71.28
2024-01-27,-5.39,12.81,12.81,0.0,-7.17,-3.49,22.08,84.78
2024-01-28,-7.07,0.39,0.39,0.0,-10.64,-3.46,9.11,74.5
2024-01-29,-6.2,7.7,7.7,0.0,-8.44,-2.98,14.68,75.54
2024-01-30,-5.98,0.33,0.33,0.0,-8.83,-3.28,8.97,72.86
2024-01-31,-5.04,0.17,0.17,0.0,-8.44,-0.89,8.34,66.53
2024-02-01,-5.15,0.0,0.0,0.0,-8.57,-2.92,7.9,70.07
2024-02-02,-4.45,0.0,0.0,0.0,-8.18,-1.2,7.43,69.63
2024-02-03,-3.9,1.86,1.86,0.0,-6.7,-2.31,11.19,77.04
2024-02-04,-2.75,0.0,0.0,0.0,-6.49,0.28,10.03,72.14
2024-02-05,-0.53,0.13,0.13,0.0,-3.94,2.8,13.25,65.96
2024-02-06,0.26,7.51,7.51,0.0,-2.4,2.46,19.5,75.89
2024-02-07,2.38,1.1,0.0,1.1,-2.71,7.99,15.79,63.92
2024-02-08,4.05,0.0,0.0,0.0,0.86,7.14,17.58,61.05
2024-02-09,4.08,0.0,0.0,0.0,-0.01,7.96,15.61,66.52
2024-02-10,3.85,0.0,0.0,0.0,-0.89,7.99,18.35,59.43
2024-02-11,4.27,0.0,0.0,0.0,0.08,8.35,18.04,58.26
2024-02-12,5.13,0.0,0.0,0.0,0.43,9.45,17.25,51.95
2024-02-13,6.08,0.0,0.0,0.0,1.68,8.68,16.36,50.78
2024-02-14,3.13,0.7,0.0,0.7,-1.25,6.57,13.92,74.58
2024-02-15,-0.05,3.75,3.75,0.0,-2.2,1.59,8.07,89.02
2024-02-16,0.36,0.98,0.98,0.0,-2.17,2.36,6.81,87.32
