time,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_tmin,Perşembe Yaylası - Ordu_tmax,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2024-01-01,-0.24,0.0,0.0,0.0,-5.38,5.26,8.0,74.31
2024-01-02,1.41,1.89,1.89,0.0,-1.73,4.19,10.96,72.14
2024-01-03,2.49,4.71,0.0,4.71,-0.92,4.81,10.71,81.46
2024-01-04,4.29,1.63,0.0,1.63,1.41,6.52,11.13,72.87
2024-01-05,2.45,8.24,0.0,8.24,-1.61,6.01,13.45,81.35
2024-01-06,-0.67,0.0,0.0,0.0,-5.64,5.55,11.47,71.99
2024-01-07,2.66,0.0,0.0,0.0,-3.91,8.05,15.79,52.75
2024-01-08,6.68,7.14,0.0,7.14,1.71,10.53,18.8,58.37
2024-01-09,2.31,8.59,0.0,8.59,-0.71,4.31,12.93,87.43
2024-01-10,-1.76,3.37,3.37,0.0,-3.92,0.04,17.0,80.35
2024-01-11,-3.0,0.06,0.06,0.0,-4.54,-1.77,7.94,73.35
2024-01-12,-3.95,1.3,1.3,0.0,-6.02,-1.98,10.27,80.14
2024-01-13,-6.09,6.05,6.05,0.0,-8.19,-4.45,15.69,78.44
2024-01-14,-6.7,0.0,0.0,0.0,-11.14,-2.17,9.9,66.22
2024-01-15,-3.35,0.0,0.0,0.0,-10.52,3.97,11.61,58.99
2024-01-16,3.88,3.88,0.0,3.88,-2.45,8.02,18.87,61.22
2024-01-17,0.36,6.52,6.52,0.0,-3.52,2.72,9.32,85.47
2024-01-18,1.07,0.12,0.12,0.0,-4.64,8.02,11.66,75.02
2024-01-19,6.59,0.65,0.0,0.65,2.84,10.47,16.35,60.09
2024-01-20,5.82,3.35,0.0,3.35,2.05,10.11,13.44,65.31
2024-01-21,-1.14,18.11,18.11,0.0,-5.17,2.82,22.59,85.43
2024-01-22,-4.68,3.45,3.45,0.0,-6.46,-3.06,14.45,74.34
2024-01-23,-5.63,0.0,0.0,0.0,-8.99,-2.87,7.25,72.2
2024-01-24,-5.25,0.03,0.03,0.0,-7.95,-2.49,6.25,73.38
2024-01-25,-5.06,0.0,0.0,0.0,-9.71,-1.64,8.85,64.63
2024-01-26,-2.65,1.21,1.21,0.0,-4.95,0.4,7.22,69.88
2024-01-27,-3.25,6.29,6.29,0.0,-5.61,-0.8,17.04,79.34
2024-01-28,-3.74,1.73,1.73,0.0,-8.3,-0.31,8.86,76.74
2024-01-29,-3.53,5.69,5.69,0.0,-5.32,-1.13,13.09,80.09
2024-01-30,-4.35,2.24,2.24,0.0,-6.97,-1.56,10.35,75.95
2024-01-31,-3.05,0.3,0.3,0.0,-6.59,0.4,9.49,72.98
2024-02-01,-3.94,0.46,0.46,0.0,-7.31,-0.11,6.41,76.78
2024-02-02,-4.45,0.0,0.0,0.0,-9.41,0.55,6.77,76.77
2024-02-03,-2.93,0.85,0.85,0.0,-6.18,0.91,8.89,75.58
2024-02-04,-1.72,0.0,0.0,0.0,-6.6,2.06,7.96,69.84
2024-02-05,1.21,0.41,0.41,0.0,-2.8,5.06,12.8,59.46
2024-02-06,3.1,3.24,0.0,3.24,-1.81,6.93,15.57,63.2
2024-02-07,3.42,0.0,0.0,0.0,-4.72,12.08,14.21,59.17
2024-02-08,5.24,0.0,0.0,0.0,-3.19,10.43,13.91,58.67
2024-02-09,5.11,0.0,0.0,0.0,-1.09,10.61,10.89,62.84
2024-02-10,5.05,0.0,0.0,0.0,-3.36,11.74,15.68,56.65
2024-02-11,6.32,0.0,0.0,0.0,-1.31,12.31,12.67,52.82
2024-02-12,6.64,0.0,0.0,0.0,0.27,12.93,13.88,48.17
2024-02-13,7.8,0.12,0.0,0.12,3.5,11.79,15.5,47.39
2024-02-14,4.83,4.62,0.0,4.62,0.34,7.8,11.14,71.41
2024-02-15,1.86,5.34,5.34,0.0,-0.85,3.85,6.83,88.9
2024-02-16,1.89,1.07,1.07,0.0,-1.8,4.71,7.25,83.79
2024-02-17,1.17,2.42,2.42,0.0,-0.71,2.61,12.03,81.33
2024-02-18,-0.32,0.83,0.83,0.0,-1.77,0.82,14.13,81.56
2024-02-19,-0.72,0.22,0.22,0.0,-2.98,0.73,11.1,75.93
2024-02-20,-1.24,0.03,0.03,0.0,-5.53,2.66,6.72,78.07
2024-02-21,-0.14,0.09,0.09,0.0,-4.85,4.56,8.81,74.08
2024-02-22,-2.02,5.74,5.74,0.0,-5.42,0.17,11.47,83.35
2024-02-23,-0.7,0.0,0.0,0.0,-7.96,5.95,7.84,74.95
2024-02-24,0.32,0.0,0.0,0.0,-7.43,8.01,6.96,66.46
2024-02-25,1.02,0.0,0.0,0.0,-5.92,7.12,6.85,66.81
2024-02-26,2.23,0.0,0.0,0.0,-5.82,9.52,10.43,60.28
2024-02-27,2.17,0.0,0.0,0.0,-4.89,8.49,11.13,54.98
2024-02-28,0.38,0.0,0.0,0.0,-5.8,6.22,7.08,62.29
2024-02-29,0.26,0.0,0.0,0.0,-6.87,8.01,7.25,59.91
2024-03-01,0.98,0.0,0.0,0.0,-6.01,6.42,7.25,65.6
2024-03-02,2.84,0.2,0.0,0.2,-3.51,8.38,10.46,63.63
2024-03-03,2.63,2.03,0.0,2.03,-0.45,4.83,8.74,76.04
2024-03-04,1.14,0.19,0.19,0.0,-2.24,4.27,7.36,84.89
2024-03-05,2.26,0.0,0.0,0.0,-4.17,8.67,8.5,71.27
2024-03-06,3.0,5.47,0.0,5.47,0.44,6.15,14.22,73.83
2024-03-07,0.06,1.16,1.16,0.0,-1.18,1.38,13.97,81.29
2024-03-08,0.91,0.32,0.32,0.0,-2.32,4.14,7.76,77.38
2024-03-09,-1.68,6.5,6.5,0.0,-4.15,0.56,11.5,82.37
2024-03-10,-1.65,1.54,1.54,0.0,-4.5,0.85,6.29,78.75
2024-03-11,-0.05,0.0,0.0,0.0,-7.6,6.34,8.66,68.53
