time,Sülüklü Göl Tabiat Parkı - Bolu_temp,Sülüklü Göl Tabiat Parkı - Bolu_prcp,Sülüklü Göl Tabiat Parkı - Bolu_snow,Sülüklü Göl Tabiat Parkı - Bolu_rain,Sülüklü Göl Tabiat Parkı - Bolu_tmin,Sülüklü Göl Tabiat Parkı - Bolu_tmax,Sülüklü Göl Tabiat Parkı - Bolu_wspd,Sülüklü Göl Tabiat Parkı - Bolu_rhum
2024-01-01,6.06,0.0,0.0,0.0,0.39,12.44,5.11,77.61
2024-01-02,4.54,3.07,0.0,3.07,-1.09,9.54,4.73,83.82
2024-01-03,5.88,3.35,0.0,3.35,1.26,9.9,5.71,86.13
2024-01-04,7.28,0.33,0.0,0.33,1.95,12.05,5.57,78.05
2024-01-05,4.91,6.61,0.0,6.61,-1.12,10.05,9.87,76.48
2024-01-06,5.07,0.0,0.0,0.0,-3.09,12.75,5.46,68.88
2024-01-07,7.05,5.26,0.0,5.26,-0.37,13.48,9.82,72.09
2024-01-08,6.36,2.68,0.0,2.68,2.43,9.1,9.18,74.9
2024-01-09,0.38,12.9,12.9,0.0,-0.83,2.52,10.8,89.71
2024-01-10,-1.27,22.01,22.01,0.0,-2.22,-0.04,11.53,89.06
2024-01-11,-2.21,3.14,3.14,0.0,-3.54,-0.84,3.93,81.59
2024-01-12,-2.49,1.7,1.7,0.0,-4.65,0.52,6.6,79.5
2024-01-13,-5.34,1.26,1.26,0.0,-8.83,-2.13,4.83,72.0
2024-01-14,-5.11,0.09,0.09,0.0,-11.07,1.21,3.51,73.32
2024-01-15,0.48,0.0,0.0,0.0,-8.24,6.44,7.21,67.67
2024-01-16,3.12,9.26,0.0,9.26,-0.94,6.17,9.77,78.46
2024-01-17,2.32,4.14,0.0,4.14,-2.09,8.28,3.02,88.31
2024-01-18,3.89,0.06,0.0,0.06,-2.91,9.87,9.23,76.87
2024-01-19,9.71,1.0,0.0,1.0,5.6,13.25,9.56,69.24
2024-01-20,2.67,8.08,0.0,8.08,-0.59,7.69,8.44,87.02
2024-01-21,-1.07,18.32,18.32,0.0,-2.3,0.76,11.43,84.69
2024-01-22,-2.02,1.71,1.71,0.0,-5.36,1.19,10.15,70.84
2024-01-23,-3.52,0.0,0.0,0.0,-9.52,2.35,3.73,76.61
2024-01-24,-3.38,0.0,0.0,0.0,-9.19,3.15,3.08,81.87
2024-01-25,-1.76,1.6,1.6,0.0,-6.3,2.71,5.94,82.02
