time,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_tmin,Ulugöl Tabiat Parkı - Ordu_tmax,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2024-01-01,1.09,0.0,0.0,0.0,-3.83,6.18,9.68,73.23
2024-01-02,2.63,3.46,0.0,3.46,0.03,5.46,13.7,73.86
2024-01-03,3.81,6.05,0.0,6.05,1.25,6.01,12.51,85.02
2024-01-04,5.18,2.21,0.0,2.21,3.47,6.74,13.93,77.75
2024-01-05,3.53,11.96,0.0,11.96,-0.24,6.35,16.06,85.02
2024-01-06,0.69,0.0,0.0,0.0,-3.75,5.49,13.08,75.62
2024-01-07,3.09,0.0,0.0,0.0,-1.61,8.32,20.55,60.11
2024-01-08,7.43,6.68,0.0,6.68,3.28,10.76,27.05,62.37
2024-01-09,4.4,10.23,0.0,10.23,1.63,6.67,13.2,85.25
2024-01-10,0.76,5.36,5.36,0.0,-1.56,2.53,16.89,84.68
2024-01-11,-0.92,0.11,0.11,0.0,-2.16,0.4,9.08,80.4
2024-01-12,-2.12,2.35,2.35,0.0,-4.02,-0.74,11.31,86.79
2024-01-13,-4.96,6.13,6.13,0.0,-7.2,-3.46,13.98,82.73
2024-01-14,-6.24,0.0,0.0,0.0,-11.28,-2.03,9.75,71.24
2024-01-15,-2.34,0.0,0.0,0.0,-8.86,3.98,14.2,64.91
2024-01-16,4.97,3.14,0.0,3.14,0.69,7.72,22.26,67.6
2024-01-17,1.9,7.8,7.8,0.0,-0.67,3.71,10.1,90.33
2024-01-18,2.6,0.1,0.0,0.1,-1.33,7.55,13.58,79.77
2024-01-19,6.5,1.8,0.0,1.8,3.33,9.74,18.44,70.09
2024-01-20,6.55,3.27,0.0,3.27,2.94,10.4,15.8,72.17
2024-01-21,1.17,19.89,19.89,0.0,-4.1,5.44,21.98,90.07
2024-01-22,-3.83,3.91,3.91,0.0,-5.14,-2.31,15.46,80.14
2024-01-23,-4.56,0.0,0.0,0.0,-7.19,-2.67,8.72,76.04
2024-01-24,-4.83,0.0,0.0,0.0,-7.56,-2.21,8.1,75.34
2024-01-25,-4.66,0.0,0.0,0.0,-9.98,-1.08,8.73,70.04
