time,Valla Kanyonu - Kastamonu_temp,Valla Kanyonu - Kastamonu_prcp,Valla Kanyonu - Kastamonu_snow,Valla Kanyonu - Kastamonu_rain,Valla Kanyonu - Kastamonu_tmin,Valla Kanyonu - Kastamonu_tmax,Valla Kanyonu - Kastamonu_wspd,Valla Kanyonu - Kastamonu_rhum
2024-01-01,8.62,0.0,0.0,0.0,4.91,13.41,8.8,77.14
2024-01-02,8.54,7.29,0.0,7.29,4.67,11.55,9.94,78.9
2024-01-03,8.69,3.22,0.0,3.22,5.54,12.68,10.26,84.45
2024-01-04,10.32,4.47,0.0,4.47,7.11,15.03,13.99,73.64
2024-01-05,8.57,11.96,0.0,11.96,4.75,12.1,17.09,75.91
2024-01-06,8.01,0.0,0.0,0.0,3.43,13.14,10.72,58.2
2024-01-07,10.75,2.46,0.0,2.46,5.42,16.04,13.69,59.1
2024-01-08,10.13,5.34,0.0,5.34,6.63,14.72,13.04,74.1
2024-01-09,5.7,3.74,0.0,3.74,2.87,8.48,11.5,92.24
2024-01-10,2.97,0.99,0.0,0.99,0.58,5.87,11.38,84.5
2024-01-11,1.67,0.04,0.04,0.0,-0.72,4.65,10.17,80.09
2024-01-12,1.03,7.28,7.28,0.0,-1.31,3.85,16.9,83.61
2024-01-13,-2.01,6.66,6.66,0.0,-3.78,0.29,12.97,79.82
2024-01-14,-0.18,0.0,0.0,0.0,-4.86,5.09,11.94,66.95
2024-01-15,3.48,0.0,0.0,0.0,-3.66,9.11,13.35,59.95
2024-01-16,7.67,2.15,0.0,2.15,2.85,11.17,17.39,73.79
2024-01-17,4.5,0.86,0.0,0.86,1.63,7.81,7.64,89.44
2024-01-18,8.38,0.04,0.0,0.04,3.02,13.81,14.83,67.43
2024-01-19,11.98,0.89,0.0,0.89,7.78,15.34,16.78,67.6
2024-01-20,8.41,2.9,0.0,2.9,2.53,13.95,13.61,81.47
2024-01-21,2.27,11.28,0.0,11.28,0.6,4.32,10.53,88.54
2024-01-22,0.13,1.99,1.99,0.0,-2.51,3.85,9.09,82.47
2024-01-23,-0.32,0.0,0.0,0.0,-4.77,5.31,8.91,77.64
2024-01-24,0.15,0.0,0.0,0.0,-4.67,5.84,8.71,74.42
2024-01-25,2.66,0.8,0.0,0.8,-1.46,6.53,13.14,72.42
2024-01-26,3.43,7.69,0.0,7.69,1.34,6.56,13.88,85.1
2024-01-27,1.98,10.1,10.1,0.0,0.22,4.15,16.45,85.8
2024-01-28,1.39,5.98,5.98,0.0,-0.43,3.37,10.97,88.59
2024-01-29,0.54,6.15,6.15,0.0,-1.97,4.25,9.1,89.8
2024-01-30,0.82,3.06,3.06,0.0,-2.38,4.12,8.79,85.5
2024-01-31,1.8,0.0,0.0,0.0,-3.35,6.88,9.99,81.35
2024-02-01,1.63,0.0,0.0,0.0,-3.37,7.39,7.99,79.3
2024-02-02,3.23,0.0,0.0,0.0,-3.32,8.24,12.59,76.05
2024-02-03,2.99,2.57,0.0,2.57,-0.09,7.54,12.64,78.18
2024-02-04,4.82,0.56,0.0,0.56,1.13,8.33,14.28,69.53
2024-02-05,8.04,0.78,0.0,0.78,4.79,12.23,19.51,68.58
2024-02-06,10.68,0.55,0.0,0.55,8.43,15.0,20.57,60.81
2024-02-07,12.79,0.0,0.0,0.0,4.48,18.14,16.3,52.73
2024-02-08,11.61,0.0,0.0,0.0,6.68,15.81,12.09,63.56
2024-02-09,11.82,0.0,0.0,0.0,4.92,16.87,10.14,65.43
2024-02-10,11.94,0.0,0.0,0.0,4.51,16.99,11.39,59.55
2024-02-11,13.02,0.0,0.0,0.0,6.51,17.73,10.68,53.36
