time,Yedigöller Milli Parkı - Bolu_temp,Yedigöller Milli Parkı - Bolu_prcp,Yedigöller Milli Parkı - Bolu_snow,Yedigöller Milli Parkı - Bolu_rain,Yedigöller Milli Parkı - Bolu_tmin,Yedigöller Milli Parkı - Bolu_tmax,Yedigöller Milli Parkı - Bolu_wspd,Yedigöller Milli Parkı - Bolu_rhum
2024-01-01,8.05,0.0,0.0,0.0,1.99,13.36,3.75,72.14
2024-01-02,6.21,3.22,0.0,3.22,1.4,10.57,3.39,78.93
2024-01-03,7.85,4.69,0.0,4.69,3.45,11.69,4.61,80.82
2024-01-04,9.47,2.04,0.0,2.04,5.45,13.17,5.81,70.03
2024-01-05,6.88,13.48,0.0,13.48,3.21,10.55,8.31,71.01
2024-01-06,7.33,0.0,0.0,0.0,-0.59,14.23,4.37,57.93
2024-01-07,8.86,3.63,0.0,3.63,2.75,14.87,7.26,64.42
2024-01-08,7.48,5.71,0.0,5.71,5.18,10.72,6.69,75.59
2024-01-09,2.11,3.83,0.0,3.83,0.11,4.25,6.26,89.93
2024-01-10,0.03,10.46,10.46,0.0,-1.11,1.06,8.34,90.36
2024-01-11,-1.22,3.31,3.31,0.0,-2.69,0.03,3.25,81.06
2024-01-12,-1.32,2.85,2.85,0.0,-2.97,0.84,6.62,81.99
2024-01-13,-4.2,3.98,3.98,0.0,-6.88,-1.24,5.0,76.65
2024-01-14,-2.83,0.18,0.18,0.0,-8.54,2.53,4.0,66.4
2024-01-15,2.53,0.0,0.0,0.0,-6.37,7.08,6.32,62.53
2024-01-16,4.95,1.55,0.0,1.55,2.19,7.66,7.76,75.68
2024-01-17,4.27,2.1,0.0,2.1,0.68,9.35,3.03,86.02
2024-01-18,6.59,0.0,0.0,0.0,-0.12,11.58,7.27,72.12
2024-01-19,10.68,0.98,0.0,0.98,7.96,13.89,7.52,66.6
2024-01-20,5.84,1.36,0.0,1.36,1.74,11.47,6.59,81.48
2024-01-21,0.27,12.72,12.72,0.0,-1.21,2.19,7.59,85.31
2024-01-22,-1.03,0.86,0.86,0.0,-4.36,1.96,5.62,69.4
2024-01-23,-1.93,0.0,0.0,0.0,-7.92,2.92,2.92,73.92
2024-01-24,-1.58,0.0,0.0,0.0,-6.45,3.81,2.53,79.73
2024-01-25,-0.37,1.97,1.97,0.0,-3.7,4.36,5.19,79.92
2024-01-26,0.25,8.65,8.65,0.0,-1.0,2.75,6.9,92.11
2024-01-27,-0.37,13.65,13.65,0.0,-2.67,2.59,5.95,88.98
2024-01-28,-1.35,5.02,5.02,0.0,-3.29,0.32,6.48,91.78
2024-01-29,-1.38,2.69,2.69,0.0,-4.24,1.56,3.95,85.68
2024-01-30,-1.1,0.03,0.03,0.0,-5.06,2.2,5.48,77.87
2024-01-31,-0.91,0.04,0.04,0.0,-6.2,3.71,4.76,74.81
2024-02-01,-0.4,0.0,0.0,0.0,-4.58,4.22,3.36,77.29
2024-02-02,0.31,0.0,0.0,0.0,-6.7,5.54,4.13,78.41
2024-02-03,1.28,1.15,1.15,0.0,-1.17,4.88,3.81,75.34
2024-02-04,2.18,0.19,0.0,0.19,-2.57,5.66,4.86,73.86
2024-02-05,5.97,1.29,0.0,1.29,2.24,8.56,7.49,72.73
2024-02-06,9.61,0.0,0.0,0.0,4.77,13.9,8.73,59.08
2024-02-07,9.58,0.0,0.0,0.0,-0.51,16.76,4.36,55.55
2024-02-08,8.85,0.0,0.0,0.0,1.43,14.22,4.11,61.69
2024-02-09,8.87,0.0,0.0,0.0,0.23,15.46,3.65,66.01
2024-02-10,10.8,0.0,0.0,0.0,0.59,16.16,4.42,57.17
2024-02-11,11.61,0.0,0.0,0.0,4.91,15.3,4.45,54.75
