time,Şaşvat karagöl - Artvin_temp,Şaşvat karagöl - Artvin_prcp,Şaşvat karagöl - Artvin_snow,Şaşvat karagöl - Artvin_rain,Şaşvat karagöl - Artvin_tmin,Şaşvat karagöl - Artvin_tmax,Şaşvat karagöl - Artvin_wspd,Şaşvat karagöl - Artvin_rhum
2024-01-01,-3.0,0.0,0.0,0.0,-7.2,1.39,12.25,57.24
2024-01-02,-1.47,0.0,0.0,0.0,-4.6,1.95,12.68,54.61
2024-01-03,-2.84,12.59,12.59,0.0,-5.14,0.56,11.82,81.46
2024-01-04,-2.93,6.24,6.24,0.0,-5.44,-0.35,15.47,83.47
2024-01-05,-1.15,23.6,23.6,0.0,-2.76,0.63,15.31,87.85
2024-01-06,-1.96,25.92,25.92,0.0,-5.03,1.8,11.84,74.78
2024-01-07,-0.63,0.0,0.0,0.0,-5.5,4.29,21.94,47.65
2024-01-08,0.69,0.0,0.0,0.0,-2.66,4.74,17.5,51.12
2024-01-09,-1.0,13.99,13.99,0.0,-2.28,1.35,10.48,90.17
2024-01-10,-2.09,5.13,5.13,0.0,-4.03,-0.03,8.09,92.79
2024-01-11,-4.54,1.75,1.75,0.0,-6.03,-2.47,5.65,88.77
2024-01-12,-5.28,5.36,5.36,0.0,-7.26,-3.17,6.85,85.94
2024-01-13,-8.03,18.13,18.13,0.0,-10.71,-5.13,12.67,84.96
2024-01-14,-10.07,2.98,2.98,0.0,-14.17,-5.14,10.97,71.47
2024-01-15,-8.09,0.0,0.0,0.0,-12.61,-3.0,19.3,56.31
2024-01-16,-3.68,0.48,0.48,0.0,-8.46,1.17,21.12,58.21
2024-01-17,-3.53,8.84,8.84,0.0,-5.06,-1.71,9.22,91.16
2024-01-18,-1.53,0.51,0.51,0.0,-6.06,4.24,14.22,74.28
2024-01-19,0.11,0.0,0.0,0.0,-4.09,4.92,17.41,55.73
2024-01-20,0.83,0.17,0.17,0.0,-2.38,4.9,13.87,64.49
2024-01-21,-0.9,7.06,7.06,0.0,-4.03,3.1,12.26,83.13
2024-01-22,-5.56,13.03,13.03,0.0,-6.77,-3.43,9.31,91.2
2024-01-23,-6.72,1.5,1.5,0.0,-8.74,-4.51,5.66,83.42
2024-01-24,-7.1,0.06,0.06,0.0,-9.65,-3.94,7.41,80.0
2024-01-25,-6.61,0.0,0.0,0.0,-10.31,-1.97,11.21,63.37
2024-01-26,-5.3,0.18,0.18,0.0,-8.64,-0.96,8.37,65.88
2024-01-27,-6.73,14.67,14.67,0.0,-7.65,-5.37,9.87,91.63
2024-01-28,-7.01,6.95,6.95,0.0,-10.26,-4.62,8.2,83.76
2024-01-29,-7.92,0.03,0.03,0.0,-11.2,-3.5,9.16,76.39
2024-01-30,-8.84,0.0,0.0,0.0,-13.07,-3.1,10.03,66.93
2024-01-31,-8.47,0.0,0.0,0.0,-13.29,-2.84,10.98,54.85
2024-02-01,-7.63,0.0,0.0,0.0,-12.25,-2.63,9.74,56.05
2024-02-02,-6.96,0.0,0.0,0.0,-11.44,-1.55,9.01,57.02
2024-02-03,-7.52,4.01,4.01,0.0,-10.37,-3.96,9.44,72.6
2024-02-04,-5.69,0.18,0.18,0.0,-8.64,-2.93,10.81,77.45
2024-02-05,-4.29,7.18,7.18,0.0,-6.16,-1.64,11.93,82.22
2024-02-06,-2.47,62.19,62.19,0.0,-4.7,-1.04,17.0,92.81
2024-02-07,-0.72,34.82,34.82,0.0,-5.89,3.92,15.31,71.75
2024-02-08,-0.66,0.0,0.0,0.0,-5.39,5.34,16.67,64.59
2024-02-09,0.06,0.0,0.0,0.0,-3.97,5.22,14.47,66.14
2024-02-10,-0.26,0.0,0.0,0.0,-5.0,5.58,15.61,64.12
2024-02-11,1.82,0.0,0.0,0.0,-4.55,8.65,15.23,58.23
2024-02-12,2.04,0.0,0.0,0.0,-2.14,7.39,14.98,50.42
2024-02-13,2.82,0.0,0.0,0.0,-1.48,7.14,14.54,48.51
2024-02-14,2.87,0.0,0.0,0.0,-1.27,8.01,14.98,60.18
2024-02-15,0.34,2.2,2.2,0.0,-3.01,3.74,8.31,79.53
2024-02-16,-1.44,0.57,0.57,0.0,-5.4,2.05,6.31,85.6
2024-02-17,-1.53,2.41,2.41,0.0,-3.15,0.71,5.65,94.72
2024-02-18,-1.42,4.41,4.41,0.0,-2.5,0.02,8.87,93.52
2024-02-19,-3.0,1.73,1.73,0.0,-4.54,-1.34,6.39,89.05
2024-02-20,-3.59,0.4,0.4,0.0,-6.42,-0.39,5.26,84.22
2024-02-21,-2.96,0.0,0.0,0.0,-7.25,1.26,6.52,75.85
2024-02-22,-1.78,1.49,1.49,0.0,-5.88,2.26,7.51,75.24
2024-02-23,-2.38,2.23,2.23,0.0,-6.3,0.92,7.04,80.7
2024-02-24,-2.14,0.0,0.0,0.0,-7.64,4.55,9.5,62.86
2024-02-25,-2.43,0.0,0.0,0.0,-8.29,3.88,10.82,56.14
2024-02-26,-1.22,0.0,0.0,0.0,-7.06,4.9,17.29,35.28
2024-02-27,-1.87,0.0,0.0,0.0,-8.13,4.68,14.34,37.77
2024-02-28,-3.04,0.0,0.0,0.0,-9.05,3.07,9.15,40.8
2024-02-29,-2.48,0.0,0.0,0.0,-8.62,4.63,8.84,44.29
2024-03-01,-1.24,0.0,0.0,0.0,-8.42,5.05,9.12,39.28
2024-03-02,1.54,0.0,0.0,0.0,-4.6,7.41,10.75,39.04
2024-03-03,0.06,0.0,0.0,0.0,-3.46,5.06,9.73,60.72
2024-03-04,-0.72,0.6,0.6,0.0,-4.25,2.97,5.2,82.03
2024-03-05,0.95,0.0,0.0,0.0,-4.58,5.47,7.4,71.91
2024-03-06,1.77,1.85,1.85,0.0,-2.08,6.68,13.62,63.1
2024-03-07,-1.69,14.09,14.09,0.0,-2.57,-0.39,9.24,92.18
2024-03-08,-2.84,4.35,4.35,0.0,-6.22,1.09,8.05,82.53
2024-03-09,-2.44,0.62,0.62,0.0,-6.56,2.06,8.41,76.16
2024-03-10,-3.68,3.77,3.77,0.0,-5.94,-1.95,8.05,84.26
2024-03-11,-3.0,0.0,0.0,0.0,-7.5,1.39,9.44,69.95
2024-03-12,0.34,0.0,0.0,0.0,-7.52,6.41,11.84,46.04
2024-03-13,4.79,0.0,0.0,0.0,-2.35,10.89,16.06,43.97
2024-03-14,2.85,0.13,0.0,0.13,-1.04,7.84,12.53,58.32
2024-03-15,0.68,3.46,3.46,0.0,-2.7,5.01,9.17,72.32
2024-03-16,-1.35,15.93,15.93,0.0,-3.7,0.61,7.46,91.27
2024-03-17,-1.16,0.51,0.51,0.0,-4.05,2.04,6.04,79.59
2024-03-18,0.3,1.52,1.52,0.0,-3.31,3.87,6.56,79.15
2024-03-19,-0.12,6.11,6.11,0.0,-1.55,2.42,9.47,88.11
2024-03-20,-1.39,2.0,2.0,0.0,-4.2,1.2,7.72,84.08
2024-03-21,-0.68,2.04,2.04,0.0,-5.43,4.38,8.28,78.98
2024-03-22,-1.29,10.71,10.71,0.0,-3.65,1.48,10.57,87.37
2024-03-23,-2.94,6.88,6.88,0.0,-6.13,0.17,8.18,82.46
2024-03-24,-1.41,4.02,4.02,0.0,-5.73,3.26,8.43,74.04
2024-03-25,0.01,0.4,0.4,0.0,-5.85,4.38,10.9,57.02
2024-03-26,-2.11,9.42,9.42,0.0,-4.87,0.87,15.75,69.33
2024-03-27,-1.15,1.12,1.12,0.0,-7.36,3.76,11.93,56.69
2024-03-28,2.64,0.0,0.0,0.0,-4.61,10.14,13.2,48.84
2024-03-29,5.38,0.0,0.0,0.0,-0.65,12.6,14.12,57.65
2024-03-30,5.11,1.65,0.0,1.65,0.86,8.51,12.39,70.47
2024-03-31,6.18,0.0,0.0,0.0,-0.03,12.26,10.47,50.21
2024-04-01,7.36,0.0,0.0,0.0,1.66,13.43,10.82,46.42
2024-04-02,8.28,0.0,0.0,0.0,2.42,15.42,11.8,45.95
2024-04-03,8.02,0.08,0.0,0.08,1.97,17.31,16.03,50.46
2024-04-04,4.3,0.25,0.0,0.25,-0.04,8.44,7.79,63.67
2024-04-05,2.73,9.86,0.0,9.86,-0.3,7.61,11.52,75.96
2024-04-06,1.26,2.4,2.4,0.0,-2.37,5.46,7.7,79.95
2024-04-07,2.43,0.19,0.0,0.19,-3.51,8.03,8.21,76.59
2024-04-08,4.33,0.0,0.0,0.0,-0.98,9.16,8.19,68.97
2024-04-09,5.95,0.0,0.0,0.0,-0.26,12.08,9.77,68.41
2024-04-10,3.29,0.36,0.0,0.36,0.39,6.15,7.62,78.61
2024-04-11,3.61,0.55,0.0,0.55,-0.11,7.19,6.71,83.83
2024-04-12,5.11,0.0,0.0,0.0,0.06,10.3,7.61,76.76
2024-04-13,4.07,0.0,0.0,0.0,1.5,7.21,6.98,82.33
2024-04-14,2.44,2.79,0.0,2.79,0.67,4.57,7.35,87.13
2024-04-15,4.21,0.0,0.0,0.0,-1.13,8.7,7.56,75.73
2024-04-16,9.03,0.0,0.0,0.0,-0.12,16.23,10.2,52.87
2024-04-17,13.15,0.0,0.0,0.0,4.45,20.65,11.98,40.5
2024-04-18,14.09,0.0,0.0,0.0,7.44,21.69,12.86,41.61
2024-04-19,9.62,0.49,0.0,0.49,5.66,16.39,11.14,64.68
2024-04-20,10.77,0.0,0.0,0.0,3.79,16.01,10.26,60.43
2024-04-21,8.75,0.16,0.0,0.16,4.74,14.76,9.28,63.73
2024-04-22,8.91,0.0,0.0,0.0,1.1,13.63,9.13,65.88
2024-04-23,8.12,0.0,0.0,0.0,1.33,13.18,7.45,62.14
2024-04-24,11.82,0.0,0.0,0.0,2.38,18.62,10.8,45.55
2024-04-25,15.7,0.0,0.0,0.0,7.03,22.66,14.41,38.72
2024-04-26,14.67,0.0,0.0,0.0,8.2,22.84,10.02,50.31
2024-04-27,12.05,0.03,0.0,0.03,6.62,17.59,8.27,69.74
2024-04-28,12.21,0.0,0.0,0.0,5.03,18.1,9.44,63.07
2024-04-29,10.56,0.0,0.0,0.0,5.33,15.78,7.84,66.74
2024-04-30,9.11,0.16,0.0,0.16,5.01,13.56,7.48,72.92
2024-05-01,10.44,0.36,0.0,0.36,5.57,15.93,6.81,73.18
2024-05-02,6.75,7.93,0.0,7.93,4.02,10.23,6.25,84.03
2024-05-03,5.56,12.22,0.0,12.22,3.66,8.03,7.89,87.98
2024-05-04,6.12,4.09,0.0,4.09,3.08,9.68,5.61,82.41
2024-05-05,4.65,28.79,0.0,28.79,1.51,7.69,10.56,90.03
2024-05-06,1.44,11.05,11.05,0.0,-0.56,3.62,8.8,85.68
2024-05-07,2.5,1.61,0.0,1.61,0.06,6.06,7.44,83.5
2024-05-08,4.7,0.12,0.0,0.12,0.34,8.35,9.04,72.15
2024-05-09,7.08,0.0,0.0,0.0,-0.73,12.7,9.71,58.16
2024-05-10,8.4,1.15,0.0,1.15,2.42,13.03,8.62,70.03
2024-05-11,10.17,3.61,0.0,3.61,5.51,16.84,16.55,68.39
2024-05-12,6.11,9.03,0.0,9.03,3.72,9.56,11.09,86.09
2024-05-13,3.03,3.02,0.0,3.02,0.91,5.83,9.84,81.56
2024-05-14,0.5,8.41,8.41,0.0,-1.26,2.18,8.8,87.84
2024-05-15,3.77,0.29,0.0,0.29,-2.62,8.43,7.71,77.85
2024-05-16,3.39,5.34,0.0,5.34,-0.36,8.11,8.16,82.8
2024-05-17,3.59,3.68,0.0,3.68,-0.59,7.69,8.9,76.84
2024-05-18,4.22,0.0,0.0,0.0,-2.77,9.08,10.18,63.26
2024-05-19,4.46,0.03,0.0,0.03,-1.16,8.94,8.86,64.36
2024-05-20,5.78,0.0,0.0,0.0,-1.24,10.88,8.31,70.37
2024-05-21,7.2,0.29,0.0,0.29,-0.11,13.31,7.96,73.11
2024-05-22,8.6,1.92,0.0,1.92,2.35,13.25,8.17,74.02
2024-05-23,10.73,0.0,0.0,0.0,3.67,15.5,8.61,69.18
2024-05-24,10.74,2.48,0.0,2.48,6.89,15.22,10.43,73.12
2024-05-25,7.34,4.65,0.0,4.65,4.2,11.02,11.28,73.54
2024-05-26,7.28,4.7,0.0,4.7,3.24,11.18,8.56,79.8
2024-05-27,9.91,4.79,0.0,4.79,3.81,14.96,7.8,76.69
2024-05-28,12.09,1.03,0.0,1.03,6.11,17.35,9.6,70.03
2024-05-29,10.82,0.32,0.0,0.32,7.15,15.08,7.97,75.75
2024-05-30,12.22,0.81,0.0,0.81,6.07,17.55,10.23,68.93
2024-05-31,10.93,4.32,0.0,4.32,6.76,14.9,8.94,77.66
2024-06-01,9.33,4.5,0.0,4.5,6.49,11.93,8.51,83.69
2024-06-02,11.61,0.0,0.0,0.0,4.35,16.52,9.77,67.59
2024-06-03,12.97,0.0,0.0,0.0,5.38,18.0,8.56,61.88
2024-06-04,14.42,0.0,0.0,0.0,6.41,19.4,8.15,63.77
2024-06-05,16.05,0.0,0.0,0.0,8.68,21.41,8.58,63.03
2024-06-06,14.95,0.0,0.0,0.0,8.77,19.84,8.05,66.1
2024-06-07,13.38,0.03,0.0,0.03,7.87,17.3,8.18,75.56
2024-06-08,12.29,1.01,0.0,1.01,7.75,15.65,6.8,80.15
2024-06-09,11.2,6.92,0.0,6.92,8.04,15.79,7.72,85.63
2024-06-10,11.48,4.71,0.0,4.71,7.92,15.22,7.42,83.86
2024-06-11,13.52,0.88,0.0,0.88,7.64,17.21,8.5,76.42
2024-06-12,15.08,0.0,0.0,0.0,7.93,19.42,9.44,67.41
2024-06-13,14.99,0.0,0.0,0.0,8.56,19.62,10.28,57.79
2024-06-14,16.18,0.32,0.0,0.32,8.72,20.04,10.52,56.48
2024-06-15,15.19,0.0,0.0,0.0,10.16,21.32,12.56,61.1
2024-06-16,12.78,3.96,0.0,3.96,9.8,16.01,7.12,84.0
2024-06-17,13.71,0.19,0.0,0.19,9.93,17.54,6.75,82.4
2024-06-18,13.81,1.0,0.0,1.0,10.01,17.97,7.13,81.77
2024-06-19,14.65,0.0,0.0,0.0,9.94,18.58,6.21,81.08
2024-06-20,13.81,1.62,0.0,1.62,10.76,18.27,6.44,83.29
2024-06-21,13.61,3.32,0.0,3.32,9.92,17.66,10.45,81.5
2024-06-22,13.18,0.9,0.0,0.9,9.04,17.03,8.74,77.85
2024-06-23,13.68,0.0,0.0,0.0,5.85,19.34,8.58,71.97
2024-06-24,15.07,0.0,0.0,0.0,8.51,20.41,7.33,73.09
2024-06-25,14.43,0.08,0.0,0.08,9.62,19.23,8.76,74.26
2024-06-26,11.86,19.58,0.0,19.58,8.35,15.3,12.64,81.25
2024-06-27,10.64,7.64,0.0,7.64,5.4,14.71,10.32,71.15
2024-06-28,11.47,0.0,0.0,0.0,5.03,15.79,9.87,70.8
2024-06-29,12.14,0.26,0.0,0.26,6.02,16.28,9.46,75.59
2024-06-30,12.44,3.61,0.0,3.61,8.48,16.95,7.42,78.11
2024-07-01,11.93,9.43,0.0,9.43,8.89,15.89,8.77,79.73
2024-07-02,12.48,6.01,0.0,6.01,8.6,16.32,7.69,81.2
2024-07-03,14.36,1.88,0.0,1.88,8.61,18.49,8.88,76.6
2024-07-04,17.97,0.2,0.0,0.2,10.29,24.09,11.24,63.0
2024-07-05,17.56,0.03,0.0,0.03,12.66,23.71,10.97,68.28
2024-07-06,15.53,1.21,0.0,1.21,12.36,19.98,9.53,82.77
2024-07-07,14.62,3.25,0.0,3.25,10.02,17.9,8.76,82.77
2024-07-08,15.38,3.31,0.0,3.31,10.66,19.4,7.88,79.15
2024-07-09,15.03,2.78,0.0,2.78,10.8,19.35,6.93,76.3
2024-07-10,17.27,2.27,0.0,2.27,12.42,22.28,8.46,74.02
2024-07-11,16.9,4.82,0.0,4.82,10.81,21.7,8.66,70.7
2024-07-12,16.27,1.45,0.0,1.45,11.82,20.13,7.71,80.36
2024-07-13,16.4,1.58,0.0,1.58,11.64,20.52,7.69,81.09
