publishAt,publishedAtDate,stars
bir hafta önce,2026-03-31T13:43:07.761Z,5
2 hafta önce,2026-03-26T11:58:14.460Z,2
2 hafta önce,2026-03-25T10:36:22.790Z,4
2 hafta önce,2026-03-23T17:23:51.034Z,5
2 hafta önce,2026-03-22T17:35:30.719Z,5
3 hafta önce,2026-03-21T19:00:29.243Z,1
3 hafta önce,2026-03-19T12:41:59.849Z,5
3 hafta önce,2026-03-16T20:57:57.126Z,4
bir ay önce,2026-03-02T00:14:52.398Z,5
bir ay önce,2026-02-16T11:10:28.291Z,5
bir ay önce,2026-02-15T16:53:41.131Z,5
bir ay önce düzenlendi,2026-02-14T23:24:48.166Z,4
2 ay önce düzenlendi,2026-02-01T17:57:38.212Z,4
2 ay önce,2026-01-27T09:17:42.659Z,5
2 ay önce,2026-01-20T08:16:40.391Z,5
2 ay önce,2026-01-13T09:14:33.945Z,3
3 ay önce,2026-01-06T19:06:26.628Z,3
3 ay önce,2026-01-02T16:03:20.701Z,1
3 ay önce,2026-01-02T08:40:37.801Z,1
3 ay önce,2025-12-30T07:45:31.363Z,1
3 ay önce,2025-12-30T05:18:56.937Z,4
3 ay önce,2025-12-21T20:33:15.239Z,1
3 ay önce,2025-12-20T17:58:58.879Z,1
3 ay önce,2025-12-13T00:32:10.975Z,1
4 ay önce düzenlendi,2025-12-09T12:06:42.953Z,5
4 ay önce düzenlendi,2025-12-06T09:42:27.526Z,1
4 ay önce,2025-12-04T15:13:02.086Z,5
4 ay önce,2025-12-04T13:45:52.563Z,1
4 ay önce,2025-11-28T09:17:42.467Z,2
4 ay önce,2025-11-28T04:58:54.750Z,2
4 ay önce,2025-11-27T23:33:28.937Z,5
4 ay önce,2025-11-23T17:22:41.659Z,3
4 ay önce,2025-11-20T09:11:56.138Z,5
4 ay önce,2025-11-20T04:51:30.121Z,5
4 ay önce,2025-11-16T13:26:49.976Z,4
5 ay önce düzenlendi,2025-11-11T11:54:43.201Z,5
5 ay önce,2025-11-11T08:29:56.724Z,5
5 ay önce,2025-11-05T05:57:48.061Z,5
5 ay önce,2025-11-04T13:14:15.878Z,5
5 ay önce,2025-11-04T10:25:37.458Z,4
5 ay önce,2025-10-31T15:01:28.119Z,5
5 ay önce,2025-10-29T06:50:35.495Z,5
5 ay önce,2025-10-27T11:59:19.557Z,5
5 ay önce,2025-10-23T01:06:23.659Z,5
5 ay önce,2025-10-22T08:06:44.094Z,5
5 ay önce,2025-10-19T15:15:09.481Z,5
5 ay önce,2025-10-18T16:12:28.164Z,5
5 ay önce,2025-10-14T10:14:09.840Z,5
5 ay önce,2025-10-13T17:22:51.563Z,4
5 ay önce,2025-10-12T15:13:42.153Z,5
6 ay önce,2025-10-07T14:44:14.078Z,5
6 ay önce düzenlendi,2025-10-07T05:44:19.600Z,5
6 ay önce,2025-10-05T18:51:37.625Z,5
6 ay önce,2025-10-04T09:51:16.683Z,5
6 ay önce,2025-10-02T06:23:09.997Z,5
6 ay önce,2025-10-02T06:18:22.372Z,5
6 ay önce,2025-09-28T11:57:40.080Z,5
6 ay önce,2025-09-26T10:46:55.464Z,5
6 ay önce,2025-09-26T08:44:50.013Z,2
6 ay önce,2025-09-26T05:07:28.979Z,4
6 ay önce,2025-09-23T16:24:36.277Z,5
6 ay önce,2025-09-22T12:35:26.499Z,5
6 ay önce,2025-09-17T19:52:11.325Z,5
6 ay önce,2025-09-17T10:15:59.009Z,5
6 ay önce,2025-09-13T17:07:59.950Z,5
6 ay önce,2025-09-12T20:17:02.250Z,5
6 ay önce,2025-09-12T04:11:51.214Z,5
7 ay önce düzenlendi,2025-09-11T06:20:43.473Z,2
7 ay önce,2025-09-10T10:40:02.442Z,4
7 ay önce,2025-09-06T17:25:11.079Z,4
7 ay önce,2025-09-06T15:48:12.169Z,5
7 ay önce,2025-09-05T18:05:43.274Z,4
7 ay önce,2025-09-04T11:16:21.782Z,5
7 ay önce,2025-09-03T21:59:15.659Z,5
7 ay önce,2025-09-02T16:25:41.865Z,3
7 ay önce,2025-09-01T21:39:29.520Z,5
7 ay önce,2025-09-01T19:12:21.404Z,3
7 ay önce,2025-09-01T09:46:12.751Z,5
7 ay önce,2025-08-31T11:18:09.273Z,5
7 ay önce,2025-08-29T06:43:09.982Z,4
7 ay önce,2025-08-28T07:10:16.127Z,5
7 ay önce,2025-08-26T10:10:05.886Z,5
7 ay önce,2025-08-25T16:02:23.195Z,5
7 ay önce,2025-08-24T13:28:36.230Z,1
7 ay önce,2025-08-23T22:46:15.436Z,5
7 ay önce,2025-08-22T20:23:17.855Z,1
7 ay önce,2025-08-22T19:43:26.701Z,2
7 ay önce,2025-08-22T16:37:24.259Z,4
7 ay önce,2025-08-22T07:47:40.025Z,4
7 ay önce,2025-08-21T21:04:27.235Z,5
7 ay önce,2025-08-17T18:28:37.137Z,5
7 ay önce,2025-08-15T06:54:36.614Z,5
8 ay önce,2025-08-10T13:33:05.094Z,4
8 ay önce,2025-08-10T12:32:26.709Z,5
8 ay önce,2025-08-09T19:24:47.323Z,5
8 ay önce,2025-08-09T16:59:16.354Z,5
8 ay önce,2025-07-27T18:32:17.592Z,1
8 ay önce,2025-07-27T12:36:00.728Z,4
8 ay önce,2025-07-26T04:15:01.716Z,5
8 ay önce,2025-07-24T19:36:04.922Z,5
8 ay önce,2025-07-24T13:26:30.564Z,5
8 ay önce,2025-07-21T09:07:14.665Z,5
8 ay önce düzenlendi,2025-07-20T05:56:49.195Z,5
8 ay önce,2025-07-19T20:36:21.992Z,5
