publishAt,publishedAtDate,stars
9 saat önce,2026-04-11T09:59:31.431Z,5
4 gün önce,2026-04-07T16:45:38.278Z,5
bir hafta önce,2026-04-04T10:41:06.248Z,5
3 hafta önce,2026-03-20T13:06:37.588Z,3
3 hafta önce,2026-03-17T22:47:11.984Z,5
3 hafta önce,2026-03-17T14:51:15.099Z,5
3 hafta önce,2026-03-17T12:58:28.305Z,5
3 hafta önce,2026-03-17T12:57:35.769Z,5
4 hafta önce,2026-03-12T17:59:55.635Z,5
bir ay önce,2026-03-11T17:39:06.641Z,5
bir ay önce,2026-03-06T12:34:18.695Z,5
bir ay önce,2026-03-01T21:58:47.620Z,5
bir ay önce,2026-02-28T18:56:38.335Z,5
bir ay önce düzenlendi,2026-02-17T20:02:12.037Z,5
bir ay önce,2026-02-17T11:13:19.390Z,5
2 ay önce,2026-02-07T23:36:26.559Z,5
2 ay önce,2026-02-06T09:07:12.596Z,5
2 ay önce düzenlendi,2026-01-17T23:32:16.077Z,5
2 ay önce,2026-01-14T16:01:51.510Z,5
3 ay önce düzenlendi,2026-01-01T16:55:57.782Z,4
3 ay önce düzenlendi,2025-12-27T12:36:13.000Z,5
3 ay önce,2025-12-22T17:34:11.586Z,5
3 ay önce düzenlendi,2025-12-13T11:51:13.290Z,5
4 ay önce,2025-12-07T17:48:27.050Z,5
4 ay önce,2025-12-06T14:46:37.504Z,5
4 ay önce,2025-12-02T06:17:34.862Z,4
4 ay önce,2025-11-30T16:08:16.431Z,5
4 ay önce,2025-11-27T13:06:49.151Z,5
4 ay önce,2025-11-25T11:41:10.012Z,5
4 ay önce,2025-11-23T13:10:28.039Z,5
4 ay önce,2025-11-22T17:06:53.136Z,5
4 ay önce,2025-11-21T04:07:55.114Z,5
4 ay önce,2025-11-20T08:04:53.207Z,5
4 ay önce,2025-11-19T09:43:05.976Z,1
4 ay önce,2025-11-18T16:29:18.583Z,5
4 ay önce,2025-11-16T18:08:26.983Z,5
4 ay önce düzenlendi,2025-11-16T16:56:19.908Z,5
