publishAt,publishedAtDate,stars
2 gün önce,2026-04-09T09:44:00.989Z,5
4 gün önce,2026-04-07T18:32:33.657Z,5
bir hafta önce,2026-04-03T15:03:43.116Z,2
bir hafta önce,2026-04-03T09:48:53.189Z,5
bir hafta önce,2026-03-31T19:04:38.191Z,5
bir hafta önce düzenlendi,2026-03-31T11:25:28.357Z,5
bir hafta önce,2026-03-31T10:38:40.818Z,5
bir hafta önce,2026-03-29T08:59:05.563Z,3
2 hafta önce düzenlendi,2026-03-27T20:28:04.256Z,5
2 hafta önce,2026-03-26T10:04:18.084Z,5
2 hafta önce düzenlendi,2026-03-24T14:21:31.401Z,3
2 hafta önce,2026-03-23T14:59:56.589Z,4
2 hafta önce,2026-03-23T14:50:12.505Z,4
2 hafta önce,2026-03-22T13:39:57.934Z,5
3 hafta önce,2026-03-21T16:46:58.003Z,4
3 hafta önce,2026-03-19T13:46:04.540Z,5
3 hafta önce,2026-03-17T17:30:50.094Z,5
3 hafta önce,2026-03-16T12:03:10.518Z,5
3 hafta önce düzenlendi,2026-03-15T13:46:05.475Z,5
bir ay önce,2026-03-10T12:06:28.311Z,5
bir ay önce,2026-03-07T13:22:26.906Z,5
bir ay önce,2026-03-06T10:20:17.613Z,5
bir ay önce,2026-02-27T12:33:59.185Z,5
bir ay önce düzenlendi,2026-02-26T09:11:02.482Z,1
bir ay önce,2026-02-21T14:40:48.317Z,5
bir ay önce,2026-02-19T08:40:14.323Z,5
bir ay önce,2026-02-17T10:01:33.126Z,5
bir ay önce,2026-02-16T04:48:24.959Z,5
bir ay önce,2026-02-15T18:55:32.413Z,5
2 ay önce düzenlendi,2026-02-01T19:21:11.842Z,5
2 ay önce,2026-01-26T21:39:20.672Z,5
2 ay önce,2026-01-22T09:32:09.353Z,5
2 ay önce düzenlendi,2026-01-13T15:26:36.104Z,5
3 ay önce düzenlendi,2026-01-09T18:25:06.607Z,5
3 ay önce,2026-01-05T15:05:45.908Z,5
3 ay önce,2025-12-27T17:24:28.804Z,5
3 ay önce,2025-12-22T20:32:02.140Z,5
3 ay önce,2025-12-16T19:43:06.945Z,5
3 ay önce,2025-12-12T12:27:29.239Z,5
4 ay önce,2025-12-09T15:43:14.592Z,4
4 ay önce,2025-12-07T11:04:34.229Z,5
4 ay önce,2025-12-06T20:45:41.616Z,5
4 ay önce,2025-12-06T15:21:19.561Z,4
4 ay önce,2025-12-04T06:16:32.900Z,1
4 ay önce,2025-12-03T18:02:20.886Z,5
4 ay önce,2025-11-30T15:26:01.846Z,5
4 ay önce,2025-11-27T23:40:32.647Z,5
4 ay önce,2025-11-27T10:00:59.119Z,2
4 ay önce,2025-11-25T20:05:35.318Z,1
4 ay önce,2025-11-25T07:23:50.501Z,5
4 ay önce,2025-11-22T21:55:21.882Z,5
4 ay önce,2025-11-20T16:52:55.634Z,5
4 ay önce,2025-11-20T13:34:13.958Z,5
