"publishAt","publishedAtDate","stars"
"bir saat önce","2026-04-13T08:41:53.902Z","5"
"10 saat önce düzenlendi","2026-04-13T00:26:57.808Z","5"
"20 saat önce","2026-04-12T14:18:51.052Z","5"
"bir gün önce","2026-04-12T08:37:14.485Z","4"
"bir gün önce","2026-04-11T14:53:05.318Z","5"
"2 gün önce","2026-04-10T17:23:52.371Z","5"
"2 gün önce","2026-04-10T13:49:04.179Z","5"
"4 gün önce","2026-04-09T06:38:48.669Z","5"
"6 gün önce","2026-04-07T09:36:59.803Z","3"
"bir hafta önce","2026-04-05T21:19:10.487Z","5"
"bir hafta önce düzenlendi","2026-04-05T20:49:23.510Z","5"
"bir hafta önce","2026-04-05T16:02:13.835Z","5"
"bir hafta önce","2026-04-05T12:12:43.824Z","5"
"bir hafta önce","2026-04-02T01:58:06.411Z","5"
"bir hafta önce","2026-04-01T11:42:30.287Z","5"
"bir hafta önce","2026-03-31T17:56:32.609Z","5"
"bir hafta önce düzenlendi","2026-03-30T18:15:22.347Z","5"
"2 hafta önce","2026-03-30T09:32:32.975Z","5"
"2 hafta önce","2026-03-29T17:27:05.024Z","5"
"2 hafta önce","2026-03-29T11:34:11.327Z","5"
"2 hafta önce","2026-03-29T07:20:21.238Z","4"
"2 hafta önce","2026-03-27T19:39:18.029Z","3"
"2 hafta önce","2026-03-27T15:00:04.549Z","5"
"2 hafta önce düzenlendi","2026-03-26T22:32:29.239Z","5"
"2 hafta önce","2026-03-26T16:14:45.396Z","5"
"2 hafta önce","2026-03-25T14:59:04.987Z","2"
"2 hafta önce düzenlendi","2026-03-25T08:01:03.622Z","5"
"2 hafta önce","2026-03-24T19:34:21.398Z","5"
"2 hafta önce","2026-03-24T17:30:21.796Z","5"
"2 hafta önce","2026-03-24T06:08:55.143Z","5"
"2 hafta önce","2026-03-23T19:21:10.009Z","5"
"3 hafta önce","2026-03-22T20:08:31.691Z","4"
"3 hafta önce","2026-03-22T18:32:12.151Z","4"
"3 hafta önce","2026-03-22T14:52:48.570Z","5"
"3 hafta önce","2026-03-22T11:02:02.163Z","4"
"3 hafta önce","2026-03-22T09:45:05.334Z","5"
"3 hafta önce","2026-03-21T19:57:37.078Z","4"
"3 hafta önce","2026-03-21T18:28:31.936Z","5"
"3 hafta önce","2026-03-21T17:03:38.192Z","5"
"3 hafta önce","2026-03-21T15:51:09.830Z","5"
"3 hafta önce","2026-03-21T14:36:47.220Z","5"
"3 hafta önce","2026-03-21T07:46:55.522Z","4"
"3 hafta önce","2026-03-21T05:58:43.089Z","5"
"3 hafta önce","2026-03-20T10:40:52.802Z","5"
"3 hafta önce","2026-03-19T14:51:15.844Z","4"
"3 hafta önce düzenlendi","2026-03-18T15:47:00.119Z","5"
"3 hafta önce","2026-03-16T20:41:24.210Z","5"
"4 hafta önce","2026-03-16T05:44:19.363Z","5"
"4 hafta önce","2026-03-15T14:17:35.138Z","5"
"4 hafta önce","2026-03-15T11:02:08.914Z","5"
"bir ay önce","2026-03-13T08:24:13.394Z","5"
"bir ay önce","2026-03-13T02:58:05.832Z","5"
"bir ay önce","2026-03-12T18:09:38.486Z","5"
"bir ay önce","2026-03-11T20:05:09.594Z","5"
"bir ay önce","2026-03-08T23:03:56.961Z","5"
"bir ay önce","2026-03-08T13:35:29.162Z","4"
"bir ay önce","2026-03-08T10:14:57.319Z","5"
"bir ay önce","2026-03-07T05:59:18.582Z","5"
"bir ay önce","2026-03-06T10:02:24.277Z","5"
"bir ay önce","2026-03-05T16:34:13.845Z","5"
"bir ay önce","2026-03-05T08:26:21.286Z","5"
"bir ay önce","2026-03-03T11:59:03.057Z","5"
"bir ay önce","2026-03-03T05:16:03.806Z","4"
"bir ay önce düzenlendi","2026-03-02T23:31:05.450Z","5"
"bir ay önce","2026-03-02T10:40:26.238Z","5"
"bir ay önce","2026-03-01T18:17:33.469Z","4"
"bir ay önce","2026-03-01T16:01:45.514Z","5"
"bir ay önce düzenlendi","2026-02-28T19:31:33.177Z","5"
"bir ay önce","2026-02-28T14:42:09.667Z","5"
"bir ay önce","2026-02-27T16:04:35.872Z","5"
"bir ay önce","2026-02-26T14:44:54.992Z","5"
"bir ay önce","2026-02-25T17:00:02.579Z","5"
"bir ay önce","2026-02-23T23:41:14.679Z","5"
"bir ay önce","2026-02-23T14:22:23.413Z","5"
"bir ay önce","2026-02-23T09:36:56.037Z","5"
"bir ay önce","2026-02-22T23:59:00.320Z","5"
"bir ay önce","2026-02-22T01:47:29.383Z","5"
"bir ay önce","2026-02-21T13:14:23.185Z","3"
"bir ay önce","2026-02-20T09:46:34.550Z","5"
"bir ay önce","2026-02-19T20:07:56.796Z","5"
"bir ay önce","2026-02-18T11:02:15.301Z","5"
"bir ay önce","2026-02-18T01:39:32.379Z","5"
"bir ay önce düzenlendi","2026-02-16T21:46:18.424Z","4"
"bir ay önce","2026-02-16T15:23:11.732Z","5"
"bir ay önce","2026-02-16T10:37:52.234Z","5"
"bir ay önce","2026-02-15T18:56:52.179Z","5"
"bir ay önce","2026-02-15T14:36:20.301Z","5"
"bir ay önce","2026-02-15T11:09:44.508Z","5"
"bir ay önce","2026-02-15T10:16:32.768Z","5"
"bir ay önce","2026-02-15T08:00:29.209Z","5"
"bir ay önce düzenlendi","2026-02-15T04:29:04.009Z","4"
"bir ay önce","2026-02-14T16:02:36.948Z","4"
"bir ay önce","2026-02-14T12:16:14.283Z","5"
"bir ay önce","2026-02-14T11:17:12.450Z","5"
"2 ay önce","2026-02-12T16:00:34.495Z","5"
