publishAt,publishedAtDate,stars
8 saat önce,2026-04-11T08:47:35.280Z,1
6 gün önce,2026-04-05T12:22:32.952Z,1
2 hafta önce düzenlendi,2026-03-27T17:19:47.799Z,5
2 hafta önce,2026-03-26T11:53:29.517Z,5
2 hafta önce,2026-03-25T09:12:01.218Z,5
3 hafta önce,2026-03-21T11:50:23.837Z,1
3 hafta önce,2026-03-20T13:32:55.087Z,5
bir ay önce,2026-03-07T11:47:59.792Z,5
bir ay önce düzenlendi,2026-03-04T20:00:38.257Z,5
bir ay önce,2026-03-02T20:39:42.571Z,5
bir ay önce,2026-02-26T22:29:10.787Z,5
bir ay önce,2026-02-21T18:42:07.769Z,5
bir ay önce,2026-02-18T18:33:33.984Z,3
2 ay önce,2026-02-06T08:18:28.648Z,5
2 ay önce,2026-02-04T12:51:14.801Z,5
2 ay önce düzenlendi,2026-01-30T12:09:55.319Z,5
2 ay önce,2026-01-25T11:10:10.974Z,5
2 ay önce,2026-01-23T19:33:06.408Z,5
2 ay önce,2026-01-20T16:23:13.249Z,5
2 ay önce,2026-01-17T19:16:55.403Z,4
2 ay önce,2026-01-15T02:34:45.530Z,1
2 ay önce düzenlendi,2026-01-14T18:24:00.146Z,5
2 ay önce,2026-01-12T16:23:53.134Z,4
3 ay önce,2026-01-07T22:00:49.589Z,5
3 ay önce,2026-01-02T22:10:40.703Z,4
3 ay önce,2025-12-21T14:14:18.556Z,5
3 ay önce,2025-12-19T19:29:35.544Z,5
3 ay önce,2025-12-18T04:13:55.946Z,5
3 ay önce,2025-12-13T17:54:56.303Z,5
3 ay önce,2025-12-12T08:05:22.140Z,4
4 ay önce,2025-12-11T14:24:53.788Z,5
4 ay önce,2025-12-07T12:42:49.165Z,5
4 ay önce,2025-12-06T19:07:05.325Z,5
4 ay önce,2025-12-03T16:18:33.546Z,5
4 ay önce,2025-12-03T13:55:23.841Z,5
4 ay önce,2025-12-03T09:02:39.849Z,1
4 ay önce düzenlendi,2025-12-01T08:34:05.377Z,5
4 ay önce,2025-11-30T14:04:04.976Z,5
4 ay önce düzenlendi,2025-11-28T21:26:44.193Z,3
4 ay önce,2025-11-28T18:06:05.162Z,5
4 ay önce,2025-11-28T07:22:16.471Z,5
4 ay önce düzenlendi,2025-11-26T19:18:49.869Z,3
4 ay önce,2025-11-25T21:02:41.930Z,5
4 ay önce,2025-11-25T06:23:52.126Z,4
4 ay önce,2025-11-24T18:15:42.855Z,5
4 ay önce,2025-11-23T20:20:47.468Z,2
4 ay önce,2025-11-20T16:54:19.494Z,5
4 ay önce düzenlendi,2025-11-20T13:01:09.749Z,1
4 ay önce,2025-11-19T19:34:24.818Z,1
4 ay önce,2025-11-18T13:20:30.067Z,5
4 ay önce,2025-11-16T20:03:56.850Z,5
4 ay önce,2025-11-16T17:59:10.016Z,5
4 ay önce,2025-11-16T14:13:07.366Z,1
4 ay önce,2025-11-15T07:41:56.589Z,5
4 ay önce,2025-11-12T18:27:33.805Z,5
4 ay önce,2025-11-12T18:08:00.430Z,5
4 ay önce,2025-11-12T16:58:45.630Z,2
4 ay önce,2025-11-12T11:30:33.237Z,5
5 ay önce,2025-11-11T16:16:30.561Z,1
5 ay önce,2025-11-10T14:10:31.662Z,5
5 ay önce düzenlendi,2025-11-10T08:25:52.990Z,5
5 ay önce,2025-11-09T18:04:39.255Z,5
5 ay önce,2025-11-09T16:46:15.681Z,4
5 ay önce,2025-11-09T16:35:42.029Z,5
5 ay önce,2025-11-08T21:31:42.985Z,5
5 ay önce düzenlendi,2025-11-08T21:30:31.237Z,5
5 ay önce,2025-11-07T20:26:11.306Z,3
5 ay önce,2025-11-06T10:38:26.674Z,3
5 ay önce,2025-11-06T09:48:17.341Z,3
5 ay önce,2025-11-06T06:53:35.962Z,2
5 ay önce,2025-11-05T22:13:19.390Z,2
5 ay önce,2025-11-05T08:59:24.764Z,5
5 ay önce,2025-11-04T17:15:19.327Z,5
5 ay önce,2025-11-04T15:57:06.843Z,5
5 ay önce,2025-11-04T12:03:47.478Z,5
5 ay önce,2025-11-03T16:18:22.902Z,5
5 ay önce,2025-11-02T19:27:08.688Z,5
5 ay önce,2025-11-01T05:30:12.875Z,3
5 ay önce,2025-10-30T06:35:03.903Z,5
5 ay önce,2025-10-29T13:31:14.357Z,2
