publishAt,publishedAtDate,stars
5 gün önce,2026-04-06T10:04:15.884Z,4
bir hafta önce,2026-04-03T13:58:58.503Z,1
3 hafta önce,2026-03-20T17:24:24.258Z,5
bir ay önce,2026-02-19T20:29:38.787Z,5
bir ay önce,2026-02-16T15:07:59.269Z,5
2 ay önce düzenlendi,2026-01-19T14:45:00.868Z,5
2 ay önce,2026-01-14T20:28:19.050Z,5
3 ay önce,2026-01-09T18:38:34.379Z,5
3 ay önce düzenlendi,2026-01-09T16:14:44.343Z,4
3 ay önce,2026-01-05T15:08:45.939Z,4
3 ay önce,2025-12-18T11:46:31.756Z,5
3 ay önce,2025-12-15T07:01:43.915Z,5
4 ay önce,2025-12-11T14:27:44.211Z,5
4 ay önce,2025-12-06T09:44:26.882Z,1
4 ay önce,2025-12-04T19:26:05.697Z,5
4 ay önce,2025-12-02T09:33:49.008Z,5
4 ay önce,2025-11-26T16:34:41.591Z,5
4 ay önce,2025-11-26T11:32:18.219Z,5
4 ay önce,2025-11-22T16:22:49.290Z,5
4 ay önce,2025-11-19T05:51:52.680Z,3
4 ay önce,2025-11-17T15:27:46.971Z,5
4 ay önce,2025-11-14T16:35:48.520Z,5
4 ay önce,2025-11-12T19:43:59.088Z,5
5 ay önce,2025-11-11T18:54:23.608Z,5
5 ay önce,2025-11-09T11:44:49.462Z,5
5 ay önce,2025-11-01T16:15:05.094Z,5
5 ay önce,2025-10-31T17:37:26.481Z,5
5 ay önce,2025-10-29T09:45:05.971Z,1
5 ay önce,2025-10-29T03:53:09.380Z,5
5 ay önce,2025-10-27T16:37:09.398Z,5
5 ay önce,2025-10-26T12:19:45.485Z,4
5 ay önce,2025-10-26T12:15:28.944Z,5
5 ay önce,2025-10-26T09:10:03.312Z,5
5 ay önce,2025-10-26T00:04:29.589Z,5
5 ay önce,2025-10-25T18:47:36.779Z,5
5 ay önce,2025-10-23T15:27:16.955Z,5
5 ay önce,2025-10-22T16:11:25.633Z,5
5 ay önce düzenlendi,2025-10-12T15:54:49.378Z,4
5 ay önce,2025-10-12T07:51:33.611Z,5
6 ay önce,2025-10-11T07:14:04.798Z,5
6 ay önce,2025-10-10T20:53:13.114Z,5
6 ay önce,2025-10-10T15:48:54.659Z,5
6 ay önce,2025-10-10T12:29:31.747Z,4
6 ay önce,2025-10-10T11:13:42.320Z,5
6 ay önce,2025-10-09T20:16:05.393Z,5
6 ay önce,2025-10-08T12:04:08.449Z,5
6 ay önce,2025-10-08T06:51:12.501Z,5
6 ay önce,2025-10-08T04:46:49.471Z,4
6 ay önce,2025-10-07T11:01:48.148Z,5
6 ay önce,2025-10-06T22:32:41.020Z,4
6 ay önce,2025-10-06T11:32:35.455Z,5
6 ay önce,2025-10-05T16:40:17.616Z,5
6 ay önce,2025-10-04T18:40:46.827Z,5
6 ay önce,2025-10-03T10:39:40.265Z,5
6 ay önce,2025-10-03T08:49:15.113Z,5
6 ay önce,2025-10-01T05:58:54.950Z,5
6 ay önce,2025-09-29T18:14:18.250Z,5
6 ay önce,2025-09-28T15:50:23.119Z,5
6 ay önce,2025-09-27T20:51:59.605Z,5
6 ay önce düzenlendi,2025-09-25T19:13:24.591Z,5
6 ay önce,2025-09-25T15:42:01.113Z,5
