publishAt,publishedAtDate,stars
14 dakika önce,2026-04-11T19:04:59.581Z,5
6 saat önce,2026-04-11T12:28:05.946Z,5
10 saat önce düzenlendi,2026-04-11T08:50:02.324Z,5
21 saat önce,2026-04-10T22:04:48.130Z,5
2 gün önce,2026-04-09T11:01:38.798Z,5
4 gün önce,2026-04-07T16:42:23.512Z,5
4 gün önce,2026-04-07T13:56:38.865Z,5
4 gün önce,2026-04-07T12:26:13.823Z,5
6 gün önce düzenlendi,2026-04-04T19:44:20.705Z,5
bir hafta önce,2026-04-04T17:08:41.230Z,5
bir hafta önce,2026-04-04T15:04:06.678Z,5
bir hafta önce,2026-04-02T11:41:41.543Z,5
bir hafta önce,2026-04-01T13:49:28.714Z,5
2 hafta önce,2026-03-28T08:15:30.227Z,5
2 hafta önce,2026-03-25T06:50:47.946Z,5
2 hafta önce,2026-03-24T19:47:31.675Z,5
2 hafta önce,2026-03-24T12:44:54.612Z,5
2 hafta önce,2026-03-23T23:20:18.131Z,5
2 hafta önce,2026-03-23T19:05:53.500Z,5
2 hafta önce,2026-03-23T16:20:13.202Z,5
2 hafta önce,2026-03-23T07:24:30.980Z,5
2 hafta önce,2026-03-22T18:17:26.884Z,5
2 hafta önce,2026-03-22T14:02:30.015Z,5
2 hafta önce,2026-03-22T10:31:20.876Z,5
2 hafta önce,2026-03-22T09:37:24.618Z,5
2 hafta önce,2026-03-21T23:23:36.119Z,5
2 hafta önce,2026-03-21T22:11:49.046Z,5
2 hafta önce,2026-03-21T20:51:45.418Z,5
3 hafta önce,2026-03-21T17:19:43.939Z,5
3 hafta önce,2026-03-21T16:26:55.542Z,5
3 hafta önce,2026-03-21T06:35:09.423Z,5
3 hafta önce,2026-03-20T17:24:11.650Z,5
3 hafta önce,2026-03-20T16:02:10.499Z,5
3 hafta önce,2026-03-18T21:00:54.837Z,5
3 hafta önce,2026-03-17T13:01:11.926Z,5
3 hafta önce,2026-03-17T08:40:50.237Z,5
bir ay önce,2026-03-09T15:08:44.569Z,3
bir ay önce,2026-02-26T14:41:25.335Z,5
bir ay önce düzenlendi,2026-02-24T21:44:34.285Z,5
bir ay önce,2026-02-19T14:12:06.667Z,5
bir ay önce düzenlendi,2026-02-14T20:55:39.016Z,5
bir ay önce düzenlendi,2026-02-13T21:13:04.218Z,5
2 ay önce,2026-02-10T11:42:55.244Z,5
2 ay önce,2026-02-07T11:40:45.165Z,4
2 ay önce,2026-02-06T09:00:17.797Z,5
2 ay önce,2026-02-04T00:17:08.722Z,5
2 ay önce düzenlendi,2026-01-30T08:45:54.064Z,5
2 ay önce,2026-01-24T09:09:27.561Z,5
2 ay önce,2026-01-24T06:18:24.570Z,5
2 ay önce,2026-01-21T14:38:52.241Z,5
2 ay önce düzenlendi,2026-01-17T23:25:16.061Z,5
2 ay önce düzenlendi,2026-01-15T22:51:29.536Z,5
2 ay önce,2026-01-14T16:02:16.514Z,5
3 ay önce,2026-01-09T09:29:46.698Z,5
3 ay önce,2026-01-06T09:42:17.545Z,5
3 ay önce,2025-12-30T15:45:24.013Z,5
3 ay önce,2025-12-26T17:50:39.969Z,5
3 ay önce,2025-12-25T21:17:10.799Z,1
3 ay önce,2025-12-24T17:37:15.142Z,4
3 ay önce,2025-12-24T16:52:55.512Z,5
3 ay önce,2025-12-23T12:03:07.726Z,5
3 ay önce,2025-12-21T18:56:35.929Z,5
3 ay önce,2025-12-21T06:11:49.499Z,5
3 ay önce,2025-12-20T13:54:23.008Z,5
3 ay önce,2025-12-19T17:30:32.079Z,5
3 ay önce düzenlendi,2025-12-19T16:28:36.049Z,5
3 ay önce,2025-12-18T03:48:33.459Z,5
3 ay önce düzenlendi,2025-12-15T05:13:06.798Z,5
3 ay önce,2025-12-14T19:36:46.025Z,4
3 ay önce,2025-12-13T19:47:19.192Z,5
3 ay önce,2025-12-13T13:42:43.818Z,5
3 ay önce,2025-12-13T09:40:53.276Z,5
3 ay önce,2025-12-11T20:39:00.939Z,5
4 ay önce,2025-12-11T06:04:08.324Z,5
4 ay önce,2025-12-10T11:00:14.743Z,5
4 ay önce düzenlendi,2025-12-10T10:38:45.641Z,5
4 ay önce,2025-12-09T19:39:22.078Z,5
4 ay önce,2025-12-09T15:48:05.171Z,5
4 ay önce,2025-12-06T19:20:19.019Z,5
4 ay önce,2025-12-06T13:13:50.604Z,5
4 ay önce,2025-12-06T12:36:06.718Z,5
4 ay önce düzenlendi,2025-12-06T07:47:55.969Z,4
4 ay önce,2025-12-03T14:42:22.745Z,5
4 ay önce,2025-12-02T15:34:31.373Z,1
4 ay önce,2025-12-02T12:46:35.331Z,5
4 ay önce,2025-12-02T07:11:39.750Z,5
4 ay önce,2025-12-01T17:47:41.139Z,5
4 ay önce,2025-11-30T18:46:26.136Z,5
4 ay önce,2025-11-30T17:43:32.777Z,5
4 ay önce,2025-11-30T14:37:43.491Z,5
4 ay önce,2025-11-30T13:14:36.482Z,5
4 ay önce,2025-11-30T12:52:09.503Z,5
4 ay önce,2025-11-30T09:26:02.689Z,5
4 ay önce,2025-11-30T07:52:39.374Z,5
4 ay önce,2025-11-30T07:27:30.773Z,5
4 ay önce,2025-11-29T23:03:11.243Z,5
4 ay önce,2025-11-29T17:10:53.191Z,5
4 ay önce,2025-11-29T10:37:52.294Z,5
4 ay önce,2025-11-29T10:00:35.541Z,5
4 ay önce,2025-11-28T18:07:59.396Z,5
4 ay önce,2025-11-27T19:23:07.162Z,5
4 ay önce,2025-11-27T13:16:00.212Z,5
4 ay önce,2025-11-27T05:55:56.475Z,5
4 ay önce,2025-11-26T19:47:08.813Z,5
4 ay önce,2025-11-26T13:20:27.580Z,1
4 ay önce,2025-11-24T22:19:37.702Z,5
4 ay önce,2025-11-24T17:43:36.002Z,5
4 ay önce,2025-11-24T17:02:58.945Z,4
4 ay önce,2025-11-24T14:27:16.918Z,4
4 ay önce,2025-11-24T14:06:22.058Z,5
4 ay önce,2025-11-24T11:07:45.501Z,4
4 ay önce,2025-11-24T04:42:39.122Z,5
4 ay önce,2025-11-23T20:21:05.571Z,4
4 ay önce,2025-11-23T18:43:37.816Z,5
4 ay önce,2025-11-23T15:05:03.630Z,5
4 ay önce,2025-11-23T12:00:21.750Z,5
4 ay önce,2025-11-22T17:09:51.586Z,5
4 ay önce,2025-11-22T16:40:13.615Z,5
4 ay önce,2025-11-22T13:34:22.526Z,5
4 ay önce,2025-11-22T09:47:02.962Z,5
4 ay önce,2025-11-22T05:42:20.742Z,5
4 ay önce,2025-11-21T18:30:59.051Z,5
4 ay önce,2025-11-21T15:46:01.638Z,5
4 ay önce,2025-11-21T15:34:53.351Z,4
4 ay önce,2025-11-21T08:51:50.447Z,5
4 ay önce düzenlendi,2025-11-20T18:51:04.308Z,5
4 ay önce,2025-11-20T18:43:33.425Z,1
4 ay önce,2025-11-19T17:56:23.618Z,5
4 ay önce,2025-11-19T15:45:01.599Z,5
4 ay önce,2025-11-19T15:31:17.121Z,5
4 ay önce,2025-11-19T13:55:40.679Z,5
4 ay önce,2025-11-18T20:20:33.060Z,5
4 ay önce,2025-11-18T16:35:06.253Z,5
4 ay önce,2025-11-18T04:54:01.340Z,5
4 ay önce,2025-11-17T19:13:55.457Z,5
4 ay önce,2025-11-17T18:18:34.246Z,5
4 ay önce,2025-11-17T18:11:58.727Z,5
4 ay önce,2025-11-17T18:04:05.820Z,5
4 ay önce,2025-11-17T11:54:05.183Z,5
4 ay önce,2025-11-16T18:52:43.278Z,5
4 ay önce,2025-11-16T17:18:31.294Z,5
4 ay önce,2025-11-16T16:26:19.230Z,5
4 ay önce,2025-11-16T11:46:29.000Z,5
4 ay önce,2025-11-16T08:36:12.625Z,4
4 ay önce,2025-11-15T21:15:37.624Z,5
4 ay önce,2025-11-15T20:44:18.180Z,5
4 ay önce,2025-11-15T17:54:52.341Z,5
4 ay önce,2025-11-15T14:47:40.659Z,4
4 ay önce,2025-11-15T14:05:27.974Z,5
4 ay önce,2025-11-15T09:00:05.148Z,5
4 ay önce,2025-11-14T20:19:18.839Z,5
4 ay önce,2025-11-14T15:27:29.847Z,5
4 ay önce,2025-11-14T14:11:43.157Z,5
4 ay önce,2025-11-14T13:59:32.232Z,5
4 ay önce,2025-11-14T05:21:07.132Z,5
4 ay önce,2025-11-13T19:41:51.673Z,5
4 ay önce,2025-11-13T16:00:25.003Z,4
4 ay önce,2025-11-12T21:53:20.432Z,5
4 ay önce,2025-11-12T20:39:20.343Z,5
4 ay önce,2025-11-12T16:31:41.821Z,5
4 ay önce,2025-11-12T15:55:55.657Z,5
4 ay önce,2025-11-12T13:54:40.077Z,5
4 ay önce düzenlendi,2025-11-12T11:50:56.644Z,5
4 ay önce,2025-11-12T11:00:07.782Z,5
4 ay önce,2025-11-11T22:34:06.025Z,5
4 ay önce,2025-11-11T21:06:33.971Z,5
5 ay önce,2025-11-11T18:02:53.553Z,5
5 ay önce,2025-11-11T17:50:07.424Z,5
5 ay önce,2025-11-11T17:49:35.262Z,5
5 ay önce,2025-11-11T13:42:51.477Z,5
5 ay önce,2025-11-11T11:34:16.503Z,5
5 ay önce,2025-11-11T07:00:26.792Z,5
5 ay önce,2025-11-11T05:59:03.755Z,5
5 ay önce,2025-11-10T21:26:03.993Z,5
5 ay önce,2025-11-10T16:13:54.502Z,4
5 ay önce,2025-11-10T08:02:21.018Z,5
5 ay önce,2025-11-09T19:23:33.755Z,5
5 ay önce,2025-11-09T18:58:35.036Z,5
5 ay önce,2025-11-09T18:49:33.632Z,5
5 ay önce,2025-11-09T18:19:22.887Z,5
5 ay önce,2025-11-09T18:07:42.418Z,5
5 ay önce,2025-11-09T17:50:19.627Z,5
