publishAt,publishedAtDate,stars
bir gün önce,2026-04-10T11:18:28.264Z,5
bir gün önce,2026-04-09T19:18:48.731Z,5
2 gün önce düzenlendi,2026-04-09T14:43:49.466Z,5
3 gün önce,2026-04-08T13:00:07.636Z,5
3 gün önce,2026-04-08T08:59:40.472Z,1
4 gün önce,2026-04-07T10:59:38.657Z,5
4 gün önce,2026-04-06T18:38:39.163Z,5
bir hafta önce,2026-04-03T16:16:59.503Z,4
bir hafta önce,2026-04-03T07:50:33.193Z,5
bir hafta önce,2026-04-01T01:31:15.820Z,4
2 hafta önce,2026-03-27T16:55:28.129Z,5
2 hafta önce,2026-03-27T09:44:15.875Z,5
2 hafta önce,2026-03-26T11:02:35.569Z,5
2 hafta önce,2026-03-23T05:01:34.087Z,5
3 hafta önce,2026-03-21T15:15:19.205Z,5
bir ay önce,2026-03-01T20:48:42.756Z,5
bir ay önce,2026-03-01T15:18:01.114Z,5
bir ay önce,2026-02-21T16:09:05.418Z,5
bir ay önce,2026-02-19T00:19:55.923Z,5
bir ay önce düzenlendi,2026-02-11T20:31:23.069Z,5
2 ay önce,2026-02-11T10:33:43.961Z,5
2 ay önce,2026-02-04T13:51:18.450Z,3
2 ay önce,2026-02-04T07:40:08.449Z,3
2 ay önce,2026-02-02T14:10:32.449Z,5
2 ay önce,2026-01-28T12:16:32.567Z,5
2 ay önce,2026-01-21T12:53:41.773Z,5
2 ay önce,2026-01-20T10:27:53.273Z,5
2 ay önce,2026-01-18T02:33:03.692Z,5
2 ay önce,2026-01-16T19:12:56.992Z,5
3 ay önce,2026-01-04T18:12:36.877Z,4
3 ay önce,2025-12-13T17:01:31.974Z,5
3 ay önce,2025-12-12T12:27:12.139Z,5
4 ay önce,2025-12-11T13:37:48.529Z,5
4 ay önce,2025-12-07T14:39:22.535Z,5
4 ay önce,2025-12-07T10:18:43.297Z,5
4 ay önce,2025-11-27T12:40:11.827Z,5
4 ay önce,2025-11-23T15:23:59.891Z,5
4 ay önce,2025-11-23T11:22:59.564Z,5
