publishAt,publishedAtDate,stars
bir hafta önce,2026-03-30T10:23:03.035Z,5
2 hafta önce düzenlendi,2026-03-24T19:25:27.164Z,5
3 hafta önce,2026-03-21T16:55:36.436Z,5
bir ay önce,2026-03-04T11:17:47.524Z,5
2 ay önce,2026-01-28T06:33:47.150Z,5
2 ay önce düzenlendi,2026-01-16T16:27:38.314Z,5
3 ay önce,2025-12-24T16:43:09.368Z,5
3 ay önce düzenlendi,2025-12-22T15:52:44.268Z,4
3 ay önce,2025-12-12T12:21:45.041Z,4
4 ay önce,2025-12-06T19:13:32.338Z,4
4 ay önce,2025-12-05T05:07:35.997Z,5
4 ay önce,2025-12-03T15:19:56.756Z,4
4 ay önce,2025-12-01T20:01:01.640Z,5
4 ay önce,2025-11-28T11:42:43.459Z,4
4 ay önce,2025-11-27T12:56:19.572Z,5
4 ay önce,2025-11-26T15:04:52.402Z,4
4 ay önce,2025-11-24T15:53:47.409Z,5
4 ay önce,2025-11-24T14:19:47.732Z,5
4 ay önce,2025-11-24T09:17:56.788Z,3
4 ay önce düzenlendi,2025-11-21T00:45:32.970Z,4
4 ay önce,2025-11-19T16:03:58.209Z,4
4 ay önce,2025-11-15T17:57:21.698Z,5
5 ay önce,2025-11-11T00:57:49.327Z,5
5 ay önce,2025-11-10T17:03:24.876Z,3
5 ay önce,2025-11-09T21:32:08.935Z,5
5 ay önce,2025-11-08T21:01:43.331Z,5
5 ay önce,2025-11-08T12:47:00.376Z,4
5 ay önce,2025-11-02T21:47:08.608Z,5
5 ay önce,2025-11-02T15:55:22.618Z,5
5 ay önce,2025-11-01T09:24:37.488Z,5
5 ay önce,2025-10-30T17:06:43.308Z,1
5 ay önce,2025-10-28T06:03:22.722Z,5
5 ay önce,2025-10-20T04:53:06.711Z,5
5 ay önce,2025-10-19T09:11:27.191Z,5
5 ay önce,2025-10-17T22:42:23.870Z,5
5 ay önce düzenlendi,2025-10-14T06:54:51.254Z,5
6 ay önce düzenlendi,2025-10-10T23:52:06.128Z,5
6 ay önce,2025-10-09T02:26:48.306Z,5
6 ay önce,2025-10-07T04:01:28.788Z,5
6 ay önce,2025-10-04T16:01:29.413Z,5
6 ay önce,2025-10-03T08:16:19.473Z,5
6 ay önce,2025-10-03T03:37:18.705Z,5
6 ay önce,2025-10-02T11:44:39.607Z,4
6 ay önce,2025-09-27T16:33:35.365Z,5
6 ay önce,2025-09-27T05:30:37.697Z,3
6 ay önce,2025-09-26T14:48:06.566Z,5
6 ay önce,2025-09-25T16:17:41.332Z,5
6 ay önce,2025-09-24T14:12:51.377Z,5
6 ay önce,2025-09-23T17:44:16.634Z,5
6 ay önce,2025-09-21T17:48:37.750Z,5
6 ay önce,2025-09-21T16:02:47.624Z,5
6 ay önce,2025-09-20T08:26:46.842Z,1
6 ay önce,2025-09-18T09:05:37.122Z,5
6 ay önce,2025-09-17T23:58:26.949Z,4
6 ay önce,2025-09-17T21:26:46.692Z,5
6 ay önce,2025-09-17T05:35:12.463Z,5
6 ay önce,2025-09-16T18:24:50.186Z,5
6 ay önce,2025-09-16T17:06:44.767Z,5
6 ay önce,2025-09-16T16:11:49.207Z,5
6 ay önce,2025-09-16T14:03:40.092Z,5
6 ay önce,2025-09-15T20:44:48.421Z,5
6 ay önce düzenlendi,2025-09-15T10:00:40.936Z,5
6 ay önce,2025-09-14T18:49:14.875Z,5
6 ay önce,2025-09-14T10:18:20.256Z,4
6 ay önce,2025-09-13T09:05:55.954Z,5
6 ay önce,2025-09-12T15:58:25.802Z,5
6 ay önce,2025-09-11T19:52:27.086Z,5
7 ay önce,2025-09-11T17:53:04.398Z,5
7 ay önce,2025-09-11T11:45:43.751Z,5
7 ay önce,2025-09-11T04:47:42.125Z,1
7 ay önce,2025-09-10T16:22:24.159Z,5
7 ay önce,2025-09-09T18:40:13.124Z,5
7 ay önce,2025-09-09T18:23:50.901Z,5
7 ay önce,2025-09-09T17:19:05.856Z,5
7 ay önce,2025-09-09T16:57:15.185Z,5
7 ay önce,2025-09-09T08:41:12.551Z,5
7 ay önce,2025-09-09T06:29:11.886Z,5
7 ay önce,2025-09-08T15:22:55.282Z,5
7 ay önce,2025-09-08T13:25:18.479Z,5
7 ay önce,2025-09-08T06:16:40.478Z,5
7 ay önce,2025-09-07T13:32:32.046Z,2
7 ay önce,2025-09-07T05:31:31.106Z,5
7 ay önce,2025-09-06T20:42:08.333Z,4
7 ay önce,2025-09-06T18:03:35.511Z,5
7 ay önce,2025-09-06T17:50:20.047Z,5
7 ay önce,2025-09-05T08:23:07.441Z,5
7 ay önce,2025-09-04T03:12:16.002Z,1
7 ay önce,2025-09-03T22:20:55.185Z,5
7 ay önce,2025-09-03T20:12:06.070Z,5
7 ay önce,2025-09-03T19:04:18.369Z,4
7 ay önce,2025-09-03T13:47:41.418Z,1
7 ay önce,2025-09-03T09:09:48.608Z,5
7 ay önce,2025-09-03T06:21:14.390Z,5
7 ay önce düzenlendi,2025-09-02T13:32:58.337Z,3
7 ay önce,2025-09-02T09:58:43.153Z,4
7 ay önce,2025-09-02T08:03:58.923Z,5
7 ay önce,2025-09-02T07:56:05.001Z,5
7 ay önce,2025-09-02T07:13:46.454Z,5
7 ay önce,2025-09-01T20:18:31.257Z,5
7 ay önce,2025-09-01T20:06:14.759Z,5
7 ay önce,2025-09-01T17:41:38.767Z,5
7 ay önce,2025-09-01T17:19:45.640Z,5
7 ay önce,2025-09-01T10:32:42.594Z,5
7 ay önce,2025-08-31T18:09:51.432Z,5
7 ay önce,2025-08-31T16:17:05.353Z,5
7 ay önce,2025-08-31T16:17:04.697Z,5
7 ay önce,2025-08-31T10:04:52.638Z,3
