publishAt,publishedAtDate,stars
15 saat önce,2026-04-11T03:19:37.849Z,5
bir gün önce,2026-04-10T16:59:10.845Z,5
4 gün önce,2026-04-07T17:40:02.706Z,5
4 gün önce,2026-04-07T04:25:13.765Z,5
bir hafta önce,2026-04-03T18:35:17.401Z,5
bir hafta önce,2026-04-02T10:55:19.892Z,5
bir hafta önce,2026-04-01T14:47:51.899Z,4
bir hafta önce,2026-03-29T17:02:31.509Z,5
2 hafta önce,2026-03-23T17:56:39.493Z,5
2 hafta önce,2026-03-23T16:58:29.282Z,5
2 hafta önce,2026-03-21T19:32:57.750Z,5
3 hafta önce,2026-03-21T15:21:11.339Z,5
3 hafta önce düzenlendi,2026-03-15T15:49:34.987Z,5
bir ay önce,2026-03-01T19:12:47.903Z,5
bir ay önce,2026-02-19T00:31:56.283Z,5
bir ay önce,2026-02-15T08:51:13.455Z,1
bir ay önce,2026-02-13T20:08:31.282Z,5
2 ay önce,2026-02-11T17:38:14.468Z,5
2 ay önce,2026-02-09T10:30:46.143Z,4
2 ay önce,2026-02-07T20:49:45.058Z,5
2 ay önce düzenlendi,2026-01-30T13:16:52.561Z,4
3 ay önce,2026-01-08T05:44:24.862Z,5
3 ay önce,2025-12-21T19:48:28.810Z,5
3 ay önce,2025-12-16T23:20:22.046Z,5
3 ay önce,2025-12-16T20:49:24.240Z,5
3 ay önce,2025-12-12T12:21:07.576Z,5
4 ay önce,2025-12-09T08:36:23.492Z,5
4 ay önce,2025-12-06T18:50:14.293Z,4
4 ay önce,2025-12-05T07:25:50.268Z,5
4 ay önce,2025-12-03T15:20:21.351Z,5
4 ay önce,2025-12-03T11:38:25.671Z,5
4 ay önce,2025-12-01T08:25:53.817Z,5
4 ay önce,2025-11-29T18:46:36.102Z,5
4 ay önce,2025-11-27T07:20:49.424Z,4
4 ay önce,2025-11-25T18:05:29.598Z,5
4 ay önce,2025-11-25T13:18:34.327Z,5
4 ay önce,2025-11-24T12:22:29.525Z,5
4 ay önce,2025-11-19T21:02:46.452Z,5
4 ay önce,2025-11-18T14:56:01.670Z,5
4 ay önce,2025-11-13T22:41:26.521Z,5
4 ay önce,2025-11-13T12:34:59.148Z,5
5 ay önce,2025-11-11T17:51:39.395Z,5
5 ay önce,2025-11-11T12:05:59.665Z,5
5 ay önce,2025-11-10T13:30:58.755Z,5
5 ay önce,2025-11-09T22:55:11.554Z,5
5 ay önce,2025-11-09T15:19:10.154Z,4
5 ay önce,2025-11-08T21:30:06.076Z,5
5 ay önce,2025-11-06T12:31:23.794Z,5
5 ay önce,2025-11-04T14:02:51.032Z,5
5 ay önce düzenlendi,2025-11-03T15:03:47.025Z,5
5 ay önce,2025-11-03T14:45:07.483Z,4
5 ay önce düzenlendi,2025-11-03T14:40:45.919Z,5
5 ay önce,2025-11-03T10:49:33.839Z,3
5 ay önce,2025-11-02T21:48:23.054Z,5
5 ay önce,2025-11-02T21:25:51.692Z,3
5 ay önce,2025-11-02T20:26:58.148Z,5
5 ay önce,2025-11-02T13:23:45.304Z,5
5 ay önce düzenlendi,2025-11-01T09:33:01.813Z,5
5 ay önce,2025-11-01T09:14:39.398Z,5
5 ay önce,2025-10-30T12:38:50.190Z,5
5 ay önce,2025-10-30T06:49:58.175Z,5
5 ay önce,2025-10-29T05:23:53.544Z,5
5 ay önce düzenlendi,2025-10-28T10:38:33.177Z,5
5 ay önce düzenlendi,2025-10-28T04:35:17.417Z,5
5 ay önce,2025-10-26T00:32:42.636Z,5
5 ay önce,2025-10-25T18:47:20.981Z,4
5 ay önce,2025-10-24T17:28:30.649Z,3
5 ay önce,2025-10-24T08:22:54.414Z,5
5 ay önce,2025-10-21T18:14:45.627Z,5
5 ay önce,2025-10-20T16:23:42.596Z,5
5 ay önce,2025-10-19T21:31:45.169Z,1
5 ay önce,2025-10-19T08:43:54.752Z,4
5 ay önce,2025-10-19T05:37:37.848Z,5
5 ay önce,2025-10-17T01:58:34.976Z,4
5 ay önce,2025-10-16T16:14:05.938Z,5
5 ay önce,2025-10-16T13:50:32.960Z,4
5 ay önce,2025-10-16T06:32:14.524Z,5
5 ay önce,2025-10-15T12:47:39.576Z,5
5 ay önce düzenlendi,2025-10-15T06:23:00.772Z,4
5 ay önce,2025-10-15T06:11:23.591Z,5
5 ay önce,2025-10-15T05:29:20.744Z,4
5 ay önce,2025-10-14T23:21:09.108Z,5
5 ay önce,2025-10-13T13:27:10.678Z,5
5 ay önce,2025-10-12T11:28:03.984Z,5
6 ay önce düzenlendi,2025-10-10T23:53:56.603Z,5
6 ay önce,2025-10-10T21:59:01.084Z,5
6 ay önce,2025-10-09T15:33:18.427Z,3
6 ay önce,2025-10-09T11:03:25.439Z,4
6 ay önce,2025-10-09T08:44:54.187Z,5
6 ay önce,2025-10-08T11:57:04.572Z,5
6 ay önce,2025-10-08T07:48:07.437Z,5
6 ay önce,2025-10-08T07:29:15.907Z,5
6 ay önce,2025-10-07T04:00:53.576Z,5
6 ay önce,2025-10-05T17:52:30.663Z,5
6 ay önce düzenlendi,2025-10-05T08:11:08.781Z,5
6 ay önce,2025-10-04T11:12:41.731Z,5
6 ay önce,2025-10-04T06:19:49.728Z,5
6 ay önce,2025-10-03T15:35:59.600Z,5
6 ay önce,2025-10-03T03:55:50.228Z,5
6 ay önce,2025-10-02T22:42:51.578Z,4
6 ay önce,2025-10-02T11:44:30.923Z,5
6 ay önce,2025-10-01T12:07:31.416Z,5
6 ay önce,2025-09-30T09:18:09.805Z,5
