publishAt,publishedAtDate,stars
6 gün önce,2026-04-05T15:05:17.651Z,5
bir hafta önce,2026-04-02T10:08:40.691Z,5
bir hafta önce,2026-04-02T04:17:55.071Z,5
bir hafta önce,2026-03-31T14:35:51.520Z,3
2 hafta önce,2026-03-24T14:02:20.809Z,5
bir ay önce,2026-02-26T02:58:39.877Z,5
bir ay önce,2026-02-19T19:38:32.611Z,5
bir ay önce,2026-02-18T16:00:42.033Z,3
bir ay önce,2026-02-16T08:43:48.841Z,5
2 ay önce düzenlendi,2026-02-11T15:56:20.633Z,5
2 ay önce düzenlendi,2026-02-10T12:26:23.703Z,5
2 ay önce düzenlendi,2026-01-30T13:13:55.462Z,5
2 ay önce düzenlendi,2026-01-15T01:29:54.057Z,3
2 ay önce düzenlendi,2026-01-14T10:21:33.505Z,5
3 ay önce,2026-01-10T11:47:47.233Z,5
3 ay önce,2026-01-05T17:41:32.899Z,5
3 ay önce,2026-01-04T13:20:08.633Z,4
3 ay önce,2025-12-18T11:26:05.966Z,5
3 ay önce,2025-12-17T08:30:04.206Z,5
3 ay önce,2025-12-13T21:35:59.467Z,5
4 ay önce,2025-12-08T14:38:04.526Z,5
4 ay önce,2025-12-07T18:08:19.398Z,5
4 ay önce,2025-12-04T14:20:03.234Z,5
4 ay önce,2025-12-01T16:38:35.302Z,5
4 ay önce,2025-11-29T09:45:20.816Z,5
4 ay önce,2025-11-28T08:39:24.842Z,5
4 ay önce,2025-11-27T14:36:01.395Z,5
4 ay önce,2025-11-27T04:35:28.394Z,5
4 ay önce,2025-11-26T19:22:58.957Z,5
4 ay önce,2025-11-26T12:20:59.159Z,5
4 ay önce,2025-11-25T07:13:16.907Z,5
4 ay önce,2025-11-24T15:54:41.399Z,5
4 ay önce,2025-11-24T08:29:36.688Z,4
4 ay önce,2025-11-23T20:19:14.357Z,3
4 ay önce,2025-11-23T13:45:29.593Z,5
4 ay önce,2025-11-23T12:45:01.878Z,4
4 ay önce düzenlendi,2025-11-22T13:12:40.209Z,5
4 ay önce düzenlendi,2025-11-20T04:12:46.757Z,5
4 ay önce,2025-11-18T12:03:39.190Z,5
4 ay önce,2025-11-17T19:20:19.556Z,5
4 ay önce,2025-11-17T17:32:04.649Z,5
4 ay önce,2025-11-16T18:31:44.145Z,5
4 ay önce,2025-11-16T16:18:19.182Z,3
4 ay önce,2025-11-15T11:23:14.799Z,5
4 ay önce,2025-11-15T08:26:03.904Z,5
4 ay önce,2025-11-14T09:10:33.631Z,5
4 ay önce,2025-11-14T06:43:19.892Z,5
4 ay önce,2025-11-13T19:55:18.921Z,5
4 ay önce,2025-11-13T09:45:13.944Z,5
4 ay önce,2025-11-12T18:19:44.736Z,5
4 ay önce,2025-11-12T13:01:08.575Z,5
4 ay önce,2025-11-12T01:37:36.243Z,3
4 ay önce,2025-11-11T20:23:49.988Z,4
5 ay önce,2025-11-11T04:17:55.628Z,4
5 ay önce,2025-11-10T16:36:50.322Z,5
5 ay önce,2025-11-10T10:25:16.103Z,4
5 ay önce,2025-11-09T22:40:13.970Z,5
5 ay önce,2025-11-09T22:36:29.868Z,5
5 ay önce,2025-11-09T21:29:06.490Z,5
5 ay önce,2025-11-09T14:22:28.844Z,5
5 ay önce,2025-11-07T13:13:58.581Z,4
5 ay önce,2025-11-06T16:29:07.442Z,5
5 ay önce,2025-11-06T08:04:40.681Z,5
5 ay önce,2025-11-04T09:24:40.102Z,5
5 ay önce,2025-11-03T09:12:23.662Z,5
5 ay önce,2025-11-02T19:30:29.652Z,5
5 ay önce düzenlendi,2025-11-02T17:32:58.576Z,4
5 ay önce,2025-11-02T14:14:37.458Z,4
5 ay önce,2025-11-02T11:45:52.725Z,5
5 ay önce,2025-10-31T14:59:51.695Z,5
5 ay önce,2025-10-30T08:48:11.493Z,5
5 ay önce düzenlendi,2025-10-27T15:23:32.521Z,5
5 ay önce,2025-10-27T14:45:02.027Z,5
5 ay önce,2025-10-19T19:23:35.564Z,4
5 ay önce,2025-10-17T22:43:01.021Z,5
5 ay önce,2025-10-14T19:30:57.122Z,5
6 ay önce düzenlendi,2025-10-09T13:43:25.138Z,2
6 ay önce,2025-10-08T23:51:24.715Z,5
6 ay önce,2025-10-07T11:56:24.664Z,5
6 ay önce,2025-10-06T08:01:24.552Z,4
6 ay önce düzenlendi,2025-10-02T13:14:58.159Z,5
6 ay önce,2025-09-29T21:05:23.055Z,5
6 ay önce,2025-09-28T04:32:07.739Z,5
6 ay önce,2025-09-24T09:26:05.417Z,5
6 ay önce,2025-09-17T19:46:35.910Z,5
6 ay önce,2025-09-17T11:37:30.614Z,5
6 ay önce,2025-09-16T18:27:45.612Z,5
6 ay önce,2025-09-16T16:59:34.711Z,5
6 ay önce,2025-09-12T17:12:24.332Z,5
7 ay önce,2025-09-10T07:12:47.924Z,4
7 ay önce,2025-09-09T09:16:05.367Z,5
7 ay önce,2025-09-07T19:38:33.923Z,5
7 ay önce,2025-09-07T04:18:44.765Z,5
7 ay önce,2025-09-06T21:17:26.007Z,4
7 ay önce,2025-09-06T07:22:46.029Z,5
7 ay önce,2025-09-05T20:12:00.781Z,5
7 ay önce,2025-09-04T18:43:03.892Z,5
7 ay önce,2025-09-04T17:37:06.953Z,5
7 ay önce,2025-09-03T14:43:53.760Z,5
7 ay önce,2025-09-02T16:52:15.982Z,4
7 ay önce,2025-09-02T07:19:07.777Z,5
7 ay önce,2025-09-01T16:40:11.642Z,5
7 ay önce düzenlendi,2025-09-01T12:58:02.512Z,5
7 ay önce,2025-09-01T11:11:38.406Z,5
7 ay önce,2025-08-28T16:54:00.606Z,5
7 ay önce,2025-08-28T10:56:50.850Z,5
7 ay önce,2025-08-27T21:26:11.665Z,5
7 ay önce,2025-08-27T18:10:06.923Z,4
7 ay önce,2025-08-27T05:39:35.599Z,5
7 ay önce,2025-08-26T08:10:21.138Z,5
7 ay önce,2025-08-26T07:20:55.141Z,5
7 ay önce,2025-08-26T04:35:26.505Z,5
7 ay önce,2025-08-25T18:23:51.399Z,5
7 ay önce,2025-08-25T17:46:30.643Z,5
7 ay önce,2025-08-25T14:15:25.616Z,5
7 ay önce,2025-08-24T20:29:47.417Z,5
7 ay önce,2025-08-24T13:18:34.058Z,5
7 ay önce,2025-08-23T19:27:36.730Z,5
7 ay önce,2025-08-23T17:43:07.423Z,5
7 ay önce,2025-08-23T13:14:32.580Z,5
7 ay önce,2025-08-22T18:42:40.105Z,5
7 ay önce,2025-08-22T15:55:11.692Z,5
7 ay önce,2025-08-22T13:50:54.920Z,5
7 ay önce,2025-08-22T13:04:49.111Z,5
7 ay önce,2025-08-21T18:59:04.526Z,4
7 ay önce,2025-08-20T10:53:53.072Z,5
7 ay önce,2025-08-19T19:49:49.735Z,5
7 ay önce,2025-08-19T13:04:58.832Z,5
7 ay önce,2025-08-19T10:13:11.644Z,5
7 ay önce,2025-08-19T07:59:05.728Z,5
7 ay önce,2025-08-19T00:43:24.173Z,5
7 ay önce,2025-08-18T18:50:21.160Z,5
7 ay önce,2025-08-18T15:53:23.154Z,5
7 ay önce,2025-08-17T23:37:10.703Z,5
7 ay önce,2025-08-17T10:33:19.702Z,3
7 ay önce,2025-08-15T16:06:35.165Z,5
7 ay önce,2025-08-14T19:38:23.974Z,5
7 ay önce düzenlendi,2025-08-14T17:08:09.188Z,5
7 ay önce,2025-08-14T07:58:30.079Z,1
7 ay önce,2025-08-13T21:25:41.507Z,5
7 ay önce,2025-08-13T14:57:34.231Z,5
7 ay önce,2025-08-13T10:16:31.125Z,5
7 ay önce,2025-08-13T09:53:13.745Z,5
7 ay önce,2025-08-12T20:37:09.444Z,5
7 ay önce,2025-08-12T19:03:42.393Z,5
7 ay önce,2025-08-12T15:40:29.538Z,5
7 ay önce,2025-08-12T13:20:29.412Z,5
7 ay önce,2025-08-11T20:52:50.245Z,3
8 ay önce,2025-08-11T13:54:29.403Z,5
8 ay önce düzenlendi,2025-08-11T12:38:05.815Z,5
8 ay önce,2025-08-10T17:00:13.946Z,5
8 ay önce,2025-08-10T16:44:18.633Z,5
8 ay önce,2025-08-10T12:59:48.972Z,3
8 ay önce,2025-08-10T11:18:14.147Z,5
8 ay önce,2025-08-10T10:02:15.598Z,5
8 ay önce,2025-08-09T18:11:51.641Z,5
8 ay önce,2025-08-09T18:07:07.058Z,4
8 ay önce,2025-08-08T21:52:13.120Z,5
8 ay önce,2025-08-08T19:05:10.895Z,5
8 ay önce,2025-08-06T10:14:25.225Z,5
8 ay önce,2025-08-05T19:32:53.121Z,4
8 ay önce,2025-08-05T03:23:51.004Z,5
8 ay önce,2025-08-04T21:28:54.880Z,4
8 ay önce,2025-08-04T20:25:38.484Z,5
8 ay önce,2025-08-04T09:17:59.291Z,5
8 ay önce,2025-08-03T17:01:20.334Z,5
